,number,value,datetime_start,datetime_complete,duration,params_num_candidates,state
0,0,0.7543,2025-04-25 20:37:06.233483,2025-04-25 20:37:11.666914,0 days 00:00:05.433431,28,COMPLETE
1,1,0.5589,2025-04-25 20:37:11.667361,2025-04-25 20:37:17.084521,0 days 00:00:05.417160,40,COMPLETE
2,2,0.1253,2025-04-25 20:37:17.084965,2025-04-25 20:37:22.641861,0 days 00:00:05.556896,261,COMPLETE
3,3,0.557,2025-04-25 20:37:22.642261,2025-04-25 20:37:28.113551,0 days 00:00:05.471290,53,COMPLETE
4,4,0.3569,2025-04-25 20:37:28.113946,2025-04-25 20:37:33.882084,0 days 00:00:05.768138,228,COMPLETE
5,5,0.1875,2025-04-25 20:37:33.882495,2025-04-25 20:37:39.404584,0 days 00:00:05.522089,257,COMPLETE
6,6,0.4343,2025-04-25 20:37:39.404960,2025-04-25 20:37:44.929626,0 days 00:00:05.524666,198,COMPLETE
7,7,0.5291,2025-04-25 20:37:44.930030,2025-04-25 20:37:50.420531,0 days 00:00:05.490501,167,COMPLETE
8,8,0.377,2025-04-25 20:37:50.420911,2025-04-25 20:37:55.902854,0 days 00:00:05.481943,216,COMPLETE
9,9,0.377,2025-04-25 20:37:55.903246,2025-04-25 20:38:01.384250,0 days 00:00:05.481004,219,COMPLETE
10,10,0.5457,2025-04-25 20:38:01.384622,2025-04-25 20:38:06.995058,0 days 00:00:05.610436,101,COMPLETE
11,11,0.5996,2025-04-25 20:38:06.995424,2025-04-25 20:38:12.366922,0 days 00:00:05.371498,9,COMPLETE
12,12,0.5703,2025-04-25 20:38:12.367304,2025-04-25 20:38:17.740351,0 days 00:00:05.373047,7,COMPLETE
13,13,0.5435,2025-04-25 20:38:17.740758,2025-04-25 20:38:23.201128,0 days 00:00:05.460370,107,COMPLETE
14,14,0.5864,2025-04-25 20:38:23.201508,2025-04-25 20:38:28.665475,0 days 00:00:05.463967,8,COMPLETE
15,15,0.561,2025-04-25 20:38:28.665895,2025-04-25 20:38:34.352378,0 days 00:00:05.686483,74,COMPLETE
16,16,0.5398,2025-04-25 20:38:34.352744,2025-04-25 20:38:39.894088,0 days 00:00:05.541344,131,COMPLETE
17,17,0.557,2025-04-25 20:38:39.894526,2025-04-25 20:38:45.318581,0 days 00:00:05.424055,38,COMPLETE
18,18,0.5596,2025-04-25 20:38:45.318963,2025-04-25 20:38:50.724423,0 days 00:00:05.405460,80,COMPLETE
19,19,0.306,2025-04-25 20:38:50.724822,2025-04-25 20:38:56.085843,0 days 00:00:05.361021,1,COMPLETE
20,20,0.5314,2025-04-25 20:38:56.086233,2025-04-25 20:39:01.798940,0 days 00:00:05.712707,150,COMPLETE
21,21,0.7297,2025-04-25 20:39:01.799305,2025-04-25 20:39:07.192882,0 days 00:00:05.393577,25,COMPLETE
22,22,0.5535,2025-04-25 20:39:07.193289,2025-04-25 20:39:12.624019,0 days 00:00:05.430730,34,COMPLETE
23,23,0.5606,2025-04-25 20:39:12.624421,2025-04-25 20:39:18.090741,0 days 00:00:05.466320,63,COMPLETE
24,24,0.7297,2025-04-25 20:39:18.091106,2025-04-25 20:39:23.537473,0 days 00:00:05.446367,25,COMPLETE
25,25,0.5561,2025-04-25 20:39:23.537849,2025-04-25 20:39:29.231093,0 days 00:00:05.693244,95,COMPLETE
26,26,0.7297,2025-04-25 20:39:29.231466,2025-04-25 20:39:34.672980,0 days 00:00:05.441514,25,COMPLETE
27,27,0.5619,2025-04-25 20:39:34.673407,2025-04-25 20:39:40.096904,0 days 00:00:05.423497,57,COMPLETE
28,28,0.5398,2025-04-25 20:39:40.097287,2025-04-25 20:39:45.503704,0 days 00:00:05.406417,120,COMPLETE
29,29,0.7543,2025-04-25 20:39:45.504086,2025-04-25 20:39:50.897784,0 days 00:00:05.393698,28,COMPLETE
