,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.8992,2025-04-25 16:19:09.913083,2025-04-25 16:22:30.567731,0 days 00:03:20.654648,64,20,128,0.001,0.87,2,,,,COMPLETE
1,1,0.9341,2025-04-25 16:22:30.568245,2025-04-25 16:25:54.111725,0 days 00:03:23.543480,128,20,128,0.002,0.86,2,,,,COMPLETE
2,2,0.8782,2025-04-25 16:25:54.112182,2025-04-25 16:29:20.749463,0 days 00:03:26.637281,32,20,128,0.001,0.87,2,0.8782,0.8782,0.8782,COMPLETE
3,3,0.9222,2025-04-25 16:29:20.749899,2025-04-25 16:32:44.996694,0 days 00:03:24.246795,512,20,128,0.002,0.89,2,,,,COMPLETE
4,4,0.9169,2025-04-25 16:32:44.997213,2025-04-25 16:36:08.822546,0 days 00:03:23.825333,64,20,128,0.005,0.88,2,,,,COMPLETE
5,5,0.9023,2025-04-25 16:36:08.823009,2025-04-25 16:39:25.126126,0 days 00:03:16.303117,256,20,128,0.001,0.97,2,,,,COMPLETE
6,6,0.9042,2025-04-25 16:39:25.126558,2025-04-25 16:42:48.922678,0 days 00:03:23.796120,128,20,128,0.001,0.87,2,,,,COMPLETE
7,7,0.9253,2025-04-25 16:42:48.923137,2025-04-25 16:46:14.943371,0 days 00:03:26.020234,256,20,128,0.005,0.9,2,,,,COMPLETE
8,8,0.9137,2025-04-25 16:46:14.943798,2025-04-25 16:49:38.564424,0 days 00:03:23.620626,512,20,128,0.002,0.95,2,,,,COMPLETE
9,9,0.9062,2025-04-25 16:49:38.564843,2025-04-25 16:53:02.260060,0 days 00:03:23.695217,512,20,128,0.002,0.9,2,,,,COMPLETE
10,10,0.9097,2025-04-25 16:53:02.260486,2025-04-25 16:56:25.721395,0 days 00:03:23.460909,128,20,128,0.002,0.85,2,,,,COMPLETE
11,11,0.9231,2025-04-25 16:56:25.721823,2025-04-25 16:59:42.163998,0 days 00:03:16.442175,256,20,128,0.005,0.9299999999999999,2,,,,COMPLETE
12,12,0.9212,2025-04-25 16:59:42.164426,2025-04-25 17:03:17.274333,0 days 00:03:35.109907,1024,20,128,0.005,0.9099999999999999,2,,,,COMPLETE
13,13,0.9192,2025-04-25 17:03:17.274764,2025-04-25 17:06:33.862035,0 days 00:03:16.587271,256,20,128,0.005,0.85,2,,,,COMPLETE
14,14,0.9105,2025-04-25 17:06:33.862474,2025-04-25 17:09:57.419064,0 days 00:03:23.556590,128,20,128,0.002,0.9299999999999999,2,0.9117,,,COMPLETE
15,15,0.9101,2025-04-25 17:09:57.419511,2025-04-25 17:13:32.669022,0 days 00:03:35.249511,1024,20,128,0.005,0.99,2,,,,COMPLETE
16,16,0.8557,2025-04-25 17:13:32.669442,2025-04-25 17:16:58.637776,0 days 00:03:25.968334,32,20,128,0.005,0.9199999999999999,2,0.864,0.864,,COMPLETE
17,17,0.9113,2025-04-25 17:16:58.638201,2025-04-25 17:20:15.507221,0 days 00:03:16.869020,256,20,128,0.002,0.89,2,,,,COMPLETE
18,18,0.9124,2025-04-25 17:20:15.507653,2025-04-25 17:23:39.073716,0 days 00:03:23.566063,128,20,128,0.002,0.85,2,,,,COMPLETE
19,19,0.9164,2025-04-25 17:23:39.074161,2025-04-25 17:27:05.345469,0 days 00:03:26.271308,256,20,128,0.005,0.95,2,,,,COMPLETE
20,20,0.901,2025-04-25 17:27:05.345919,2025-04-25 17:30:29.013793,0 days 00:03:23.667874,128,20,128,0.005,0.9099999999999999,2,,,,COMPLETE
21,21,0.9275,2025-04-25 17:30:29.014247,2025-04-25 17:33:45.564495,0 days 00:03:16.550248,256,20,128,0.005,0.94,2,,,,COMPLETE
22,22,0.9255,2025-04-25 17:33:45.564934,2025-04-25 17:37:11.627579,0 days 00:03:26.062645,256,20,128,0.005,0.95,2,,,,COMPLETE
23,23,0.8921,2025-04-25 17:37:11.628009,2025-04-25 17:40:28.341023,0 days 00:03:16.713014,256,20,128,0.005,0.95,2,0.8921,0.8921,0.8921,COMPLETE
24,24,0.9158,2025-04-25 17:40:28.341440,2025-04-25 17:43:54.441215,0 days 00:03:26.099775,256,20,128,0.005,0.97,2,,,,COMPLETE
25,25,0.8786,2025-04-25 17:43:54.441652,2025-04-25 17:47:29.195130,0 days 00:03:34.753478,1024,20,128,0.002,0.94,2,,,,COMPLETE
26,26,0.8868,2025-04-25 17:47:29.195571,2025-04-25 17:50:13.140482,0 days 00:02:43.944911,32,20,128,0.005,0.97,2,0.8868,,,PRUNED
27,27,0.9189,2025-04-25 17:50:13.140832,2025-04-25 17:53:36.649773,0 days 00:03:23.508941,64,20,128,0.005,0.99,2,,,,COMPLETE
28,28,0.9307,2025-04-25 17:53:36.650241,2025-04-25 17:57:00.843457,0 days 00:03:24.193216,128,20,128,0.002,0.96,2,,,,COMPLETE
29,29,0.9146,2025-04-25 17:57:00.843900,2025-04-25 18:00:24.356272,0 days 00:03:23.512372,128,20,128,0.002,0.96,2,0.9196,0.9196,,COMPLETE
