,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-02 22:15:41.480542,2025-05-02 22:15:41.480616,0 days 00:00:00.000074,COMPLETE
1,1,0.0,2025-05-02 22:15:41.480780,2025-05-02 22:15:41.480808,0 days 00:00:00.000028,COMPLETE
2,2,0.0,2025-05-02 22:15:41.480920,2025-05-02 22:15:41.480945,0 days 00:00:00.000025,COMPLETE
3,3,0.0,2025-05-02 22:15:41.481051,2025-05-02 22:15:41.481076,0 days 00:00:00.000025,COMPLETE
4,4,0.0,2025-05-02 22:15:41.481179,2025-05-02 22:15:41.481203,0 days 00:00:00.000024,COMPLETE
5,5,0.0,2025-05-02 22:15:41.481305,2025-05-02 22:15:41.481330,0 days 00:00:00.000025,COMPLETE
6,6,0.0,2025-05-02 22:15:41.481432,2025-05-02 22:15:41.481457,0 days 00:00:00.000025,COMPLETE
7,7,0.0,2025-05-02 22:15:41.481560,2025-05-02 22:15:41.481585,0 days 00:00:00.000025,COMPLETE
8,8,0.0,2025-05-02 22:15:41.481686,2025-05-02 22:15:41.481710,0 days 00:00:00.000024,COMPLETE
9,9,0.0,2025-05-02 22:15:41.481810,2025-05-02 22:15:41.481834,0 days 00:00:00.000024,COMPLETE
10,10,0.0,2025-05-02 22:15:41.481934,2025-05-02 22:15:41.481958,0 days 00:00:00.000024,COMPLETE
11,11,0.0,2025-05-02 22:15:41.482061,2025-05-02 22:15:41.482085,0 days 00:00:00.000024,COMPLETE
12,12,0.0,2025-05-02 22:15:41.482224,2025-05-02 22:15:41.482251,0 days 00:00:00.000027,COMPLETE
13,13,0.0,2025-05-02 22:15:41.482370,2025-05-02 22:15:41.482406,0 days 00:00:00.000036,COMPLETE
14,14,0.0,2025-05-02 22:15:41.482509,2025-05-02 22:15:41.482533,0 days 00:00:00.000024,COMPLETE
15,15,0.0,2025-05-02 22:15:41.482634,2025-05-02 22:15:41.482659,0 days 00:00:00.000025,COMPLETE
16,16,0.0,2025-05-02 22:15:41.482760,2025-05-02 22:15:41.482784,0 days 00:00:00.000024,COMPLETE
17,17,0.0,2025-05-02 22:15:41.482885,2025-05-02 22:15:41.482909,0 days 00:00:00.000024,COMPLETE
18,18,0.0,2025-05-02 22:15:41.483009,2025-05-02 22:15:41.483033,0 days 00:00:00.000024,COMPLETE
19,19,0.0,2025-05-02 22:15:41.483132,2025-05-02 22:15:41.483156,0 days 00:00:00.000024,COMPLETE
20,20,0.0,2025-05-02 22:15:41.483255,2025-05-02 22:15:41.483279,0 days 00:00:00.000024,COMPLETE
21,21,0.0,2025-05-02 22:15:41.483383,2025-05-02 22:15:41.483408,0 days 00:00:00.000025,COMPLETE
22,22,0.0,2025-05-02 22:15:41.483508,2025-05-02 22:15:41.483532,0 days 00:00:00.000024,COMPLETE
23,23,0.0,2025-05-02 22:15:41.483633,2025-05-02 22:15:41.483657,0 days 00:00:00.000024,COMPLETE
24,24,0.0,2025-05-02 22:15:41.483757,2025-05-02 22:15:41.483781,0 days 00:00:00.000024,COMPLETE
25,25,0.0,2025-05-02 22:15:41.483879,2025-05-02 22:15:41.483902,0 days 00:00:00.000023,COMPLETE
26,26,0.0,2025-05-02 22:15:41.484003,2025-05-02 22:15:41.484028,0 days 00:00:00.000025,COMPLETE
27,27,0.0,2025-05-02 22:15:41.484129,2025-05-02 22:15:41.484153,0 days 00:00:00.000024,COMPLETE
28,28,0.0,2025-05-02 22:15:41.484251,2025-05-02 22:15:41.484275,0 days 00:00:00.000024,COMPLETE
29,29,0.0,2025-05-02 22:15:41.484374,2025-05-02 22:15:41.484397,0 days 00:00:00.000023,COMPLETE
