,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.6459991621281943,2025-07-04 23:37:53.469406,2025-07-04 23:37:54.206318,0 days 00:00:00.736912,0.09,0.01,4500,COMPLETE
1,1,0.679937139863803,2025-07-04 23:37:54.206832,2025-07-04 23:37:54.627246,0 days 00:00:00.420414,0.57,0.49,5000,COMPLETE
2,2,0.6857749469214437,2025-07-04 23:37:54.627731,2025-07-04 23:37:55.033342,0 days 00:00:00.405611,0.65,0.5700000000000001,3500,COMPLETE
3,3,0.680650235972732,2025-07-04 23:37:55.033819,2025-07-04 23:37:55.461195,0 days 00:00:00.427376,0.56,0.46,5000,COMPLETE
4,4,0.664796633941094,2025-07-04 23:37:55.461683,2025-07-04 23:37:55.944469,0 days 00:00:00.482786,0.26,0.24000000000000002,4000,COMPLETE
5,5,0.6940874035989716,2025-07-04 23:37:55.944951,2025-07-04 23:37:56.408277,0 days 00:00:00.463326,0.4,0.32,4000,COMPLETE
6,6,0.6873727087576375,2025-07-04 23:37:56.408757,2025-07-04 23:37:56.866873,0 days 00:00:00.458116,0.4,0.36000000000000004,3500,COMPLETE
7,7,0.6839323467230444,2025-07-04 23:37:56.867359,2025-07-04 23:37:57.272706,0 days 00:00:00.405347,0.6300000000000001,0.56,4500,COMPLETE
8,8,0.6844809866392599,2025-07-04 23:37:57.273200,2025-07-04 23:37:57.719093,0 days 00:00:00.445893,0.43000000000000005,0.42000000000000004,3500,COMPLETE
9,9,0.6778067885117492,2025-07-04 23:37:57.719668,2025-07-04 23:37:58.113649,0 days 00:00:00.393981,0.65,0.64,3500,COMPLETE
10,10,0.6669793621013134,2025-07-04 23:37:58.114138,2025-07-04 23:37:58.633563,0 days 00:00:00.519425,0.26,0.22,3000,COMPLETE
11,11,0.6905005107252299,2025-07-04 23:37:58.634062,2025-07-04 23:37:59.115895,0 days 00:00:00.481833,0.38,0.31,4000,COMPLETE
12,12,0.6759030183077683,2025-07-04 23:37:59.116381,2025-07-04 23:37:59.619878,0 days 00:00:00.503497,0.33999999999999997,0.25,4000,COMPLETE
13,13,0.6457892509521794,2025-07-04 23:37:59.620378,2025-07-04 23:38:00.200080,0 days 00:00:00.579702,0.12,0.09999999999999999,4500,COMPLETE
14,14,0.686960933536276,2025-07-04 23:38:00.200567,2025-07-04 23:38:00.674495,0 days 00:00:00.473928,0.39,0.36000000000000004,4000,COMPLETE
15,15,0.6866125760649087,2025-07-04 23:38:00.674990,2025-07-04 23:38:01.166049,0 days 00:00:00.491059,0.37000000000000005,0.29000000000000004,3000,COMPLETE
16,16,0.6595269968763945,2025-07-04 23:38:01.166544,2025-07-04 23:38:01.716043,0 days 00:00:00.549499,0.19000000000000003,0.15000000000000002,4500,COMPLETE
17,17,0.6595269968763945,2025-07-04 23:38:01.716537,2025-07-04 23:38:02.270049,0 days 00:00:00.553512,0.19000000000000003,0.15000000000000002,4000,COMPLETE
18,18,0.6873727087576375,2025-07-04 23:38:02.270548,2025-07-04 23:38:02.745143,0 days 00:00:00.474595,0.4,0.35000000000000003,4000,COMPLETE
19,19,0.6863966770508827,2025-07-04 23:38:02.745648,2025-07-04 23:38:03.211369,0 days 00:00:00.465721,0.47000000000000003,0.42000000000000004,3500,COMPLETE
20,20,0.6587046394120348,2025-07-04 23:38:03.211867,2025-07-04 23:38:03.750642,0 days 00:00:00.538775,0.23,0.19,4500,COMPLETE
21,21,0.6923076923076923,2025-07-04 23:38:03.751140,2025-07-04 23:38:04.236437,0 days 00:00:00.485297,0.39,0.32,3500,COMPLETE
22,22,0.6905005107252299,2025-07-04 23:38:04.236952,2025-07-04 23:38:04.721655,0 days 00:00:00.484703,0.38,0.31,4000,COMPLETE
23,23,0.6866125760649087,2025-07-04 23:38:04.722146,2025-07-04 23:38:05.215102,0 days 00:00:00.492956,0.37000000000000005,0.29000000000000004,3000,COMPLETE
24,24,0.6874999999999999,2025-07-04 23:38:05.215599,2025-07-04 23:38:05.686330,0 days 00:00:00.470731,0.42000000000000004,0.41000000000000003,3500,COMPLETE
25,25,0.678269517652909,2025-07-04 23:38:05.686829,2025-07-04 23:38:06.179292,0 days 00:00:00.492463,0.35000000000000003,0.27,4000,COMPLETE
26,26,0.6923076923076923,2025-07-04 23:38:06.179785,2025-07-04 23:38:06.664868,0 days 00:00:00.485083,0.39,0.33,3500,COMPLETE
27,27,0.6874999999999999,2025-07-04 23:38:06.665387,2025-07-04 23:38:07.142515,0 days 00:00:00.477128,0.42,0.38,3000,COMPLETE
28,28,0.6809399477806789,2025-07-04 23:38:07.143033,2025-07-04 23:38:07.577651,0 days 00:00:00.434618,0.54,0.5,3500,COMPLETE
29,29,0.6244488977955912,2025-07-04 23:38:07.578148,2025-07-04 23:38:08.191154,0 days 00:00:00.613006,0.06999999999999999,0.06999999999999999,3500,COMPLETE
30,30,0.5810218978102191,2025-07-04 23:38:08.191653,2025-07-04 23:38:08.851682,0 days 00:00:00.660029,0.03,0.03,3000,COMPLETE
31,31,0.6923076923076923,2025-07-04 23:38:08.852178,2025-07-04 23:38:09.338507,0 days 00:00:00.486329,0.39,0.32,4000,COMPLETE
32,32,0.6605080831408776,2025-07-04 23:38:09.339010,2025-07-04 23:38:09.880451,0 days 00:00:00.541441,0.24000000000000002,0.2,3500,COMPLETE
33,33,0.6940874035989716,2025-07-04 23:38:09.880955,2025-07-04 23:38:10.364290,0 days 00:00:00.483335,0.4,0.34,5000,COMPLETE
34,34,0.6819843342036553,2025-07-04 23:38:10.364784,2025-07-04 23:38:10.809059,0 days 00:00:00.444275,0.5,0.46,5000,COMPLETE
35,35,0.6870540265035677,2025-07-04 23:38:10.809566,2025-07-04 23:38:11.286915,0 days 00:00:00.477349,0.41000000000000003,0.39,5000,COMPLETE
36,36,0.680650235972732,2025-07-04 23:38:11.287421,2025-07-04 23:38:11.726123,0 days 00:00:00.438702,0.56,0.48000000000000004,5000,COMPLETE
37,37,0.6940874035989716,2025-07-04 23:38:11.726620,2025-07-04 23:38:12.211031,0 days 00:00:00.484411,0.4,0.34,4500,COMPLETE
38,38,0.6813648293963255,2025-07-04 23:38:12.211533,2025-07-04 23:38:12.636481,0 days 00:00:00.424948,0.6000000000000001,0.53,4500,COMPLETE
39,39,0.6848609680741504,2025-07-04 23:38:12.637001,2025-07-04 23:38:13.099048,0 days 00:00:00.462047,0.45,0.44,5000,COMPLETE
40,40,0.678269517652909,2025-07-04 23:38:13.099535,2025-07-04 23:38:13.595272,0 days 00:00:00.495737,0.35,0.26,4500,COMPLETE
41,41,0.6940874035989716,2025-07-04 23:38:13.595790,2025-07-04 23:38:14.078713,0 days 00:00:00.482923,0.4,0.34,4500,COMPLETE
42,42,0.6870540265035677,2025-07-04 23:38:14.079209,2025-07-04 23:38:14.560720,0 days 00:00:00.481511,0.41000000000000003,0.35000000000000003,4500,COMPLETE
43,43,0.6874999999999999,2025-07-04 23:38:14.561226,2025-07-04 23:38:15.034094,0 days 00:00:00.472868,0.42000000000000004,0.4,5000,COMPLETE
44,44,0.6747690811861935,2025-07-04 23:38:15.034596,2025-07-04 23:38:15.557861,0 days 00:00:00.523265,0.30000000000000004,0.23,4500,COMPLETE
45,45,0.6873727087576375,2025-07-04 23:38:15.558373,2025-07-04 23:38:16.038647,0 days 00:00:00.480274,0.4,0.37,4500,COMPLETE
46,46,0.6866125760649087,2025-07-04 23:38:16.039148,2025-07-04 23:38:16.537033,0 days 00:00:00.497885,0.37000000000000005,0.29000000000000004,5000,COMPLETE
47,47,0.6923076923076923,2025-07-04 23:38:16.537570,2025-07-04 23:38:17.027187,0 days 00:00:00.489617,0.39,0.33,4500,COMPLETE
48,48,0.6866125760649087,2025-07-04 23:38:17.027694,2025-07-04 23:38:17.526311,0 days 00:00:00.498617,0.37000000000000005,0.29000000000000004,5000,COMPLETE
49,49,0.6823406478578893,2025-07-04 23:38:17.526815,2025-07-04 23:38:17.983765,0 days 00:00:00.456950,0.52,0.45,4000,COMPLETE
