,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.17293455729937815,2025-05-02 18:43:41.894552,2025-05-02 18:43:43.074381,0 days 00:00:01.179829,3.8906,9,0.7686642944229729,COMPLETE
1,1,0.1856513530522341,2025-05-02 18:43:43.075499,2025-05-02 18:43:43.562185,0 days 00:00:00.486686,3.8906,11,0.7625424527038626,COMPLETE
2,2,0.15462709878953534,2025-05-02 18:43:43.563128,2025-05-02 18:43:43.928866,0 days 00:00:00.365738,3.8906,25,0.31364060595500365,COMPLETE
3,3,0.144473455178416,2025-05-02 18:43:43.929494,2025-05-02 18:43:45.095340,0 days 00:00:01.165846,3.8906,22,1.156062306683257,COMPLETE
4,4,0.21596677434240888,2025-05-02 18:43:45.105235,2025-05-02 18:43:46.143426,0 days 00:00:01.038191,3.8906,11,1.980703039594595,COMPLETE
5,5,0.2782882646363875,2025-05-02 18:43:46.144888,2025-05-02 18:43:47.280245,0 days 00:00:01.135357,3.8906,6,0.6136512432525761,COMPLETE
6,6,0.1730769230769231,2025-05-02 18:43:47.281040,2025-05-02 18:43:48.623868,0 days 00:00:01.342828,3.8906,7,0.6277128428139912,COMPLETE
7,7,0.2111414102064667,2025-05-02 18:43:48.624825,2025-05-02 18:43:49.610170,0 days 00:00:00.985345,3.8906,15,1.0098984366373294,COMPLETE
8,8,0.2646464646464647,2025-05-02 18:43:49.611238,2025-05-02 18:43:50.499836,0 days 00:00:00.888598,3.8906,5,0.6868003805310643,COMPLETE
9,9,0.14914425427872863,2025-05-02 18:43:50.500956,2025-05-02 18:43:51.979080,0 days 00:00:01.478124,3.8906,24,0.4741365537360652,COMPLETE
10,10,0.3216875411997363,2025-05-02 18:43:51.980315,2025-05-02 18:43:53.204387,0 days 00:00:01.224072,3.8906,3,0.11901443048969351,COMPLETE
11,11,0.32252783235101506,2025-05-02 18:43:53.205372,2025-05-02 18:43:54.346216,0 days 00:00:01.140844,3.8906,3,0.10277377013600188,COMPLETE
12,12,0.20723742277140336,2025-05-02 18:43:54.363625,2025-05-02 18:43:55.537080,0 days 00:00:01.173455,3.8906,4,0.13470737924186227,COMPLETE
13,13,0.3249620765211529,2025-05-02 18:43:55.537931,2025-05-02 18:43:56.703464,0 days 00:00:01.165533,3.8906,3,0.19393263874542696,COMPLETE
14,14,0.19055868341273277,2025-05-02 18:43:56.704429,2025-05-02 18:43:57.280006,0 days 00:00:00.575577,3.8906,18,1.5329095831736779,COMPLETE
15,15,0.11188240097999182,2025-05-02 18:43:57.280985,2025-05-02 18:43:57.745621,0 days 00:00:00.464636,3.8906,29,0.3019231919362043,COMPLETE
16,16,0.1928751349406261,2025-05-02 18:43:57.746589,2025-05-02 18:43:58.377470,0 days 00:00:00.630881,3.8906,13,1.0181141869656267,COMPLETE
17,17,0.18850380388841922,2025-05-02 18:43:58.378441,2025-05-02 18:43:59.064634,0 days 00:00:00.686193,3.8906,18,1.3158130680743525,COMPLETE
18,18,0.15896103896103897,2025-05-02 18:43:59.065542,2025-05-02 18:43:59.987564,0 days 00:00:00.922022,3.8906,8,0.4105018987428881,COMPLETE
19,19,0.20693295794474748,2025-05-02 18:43:59.988665,2025-05-02 18:44:00.984953,0 days 00:00:00.996288,3.8906,4,0.12858800689931668,COMPLETE
20,20,0.21484037963761862,2025-05-02 18:44:00.986008,2025-05-02 18:44:02.275312,0 days 00:00:01.289304,3.8906,10,1.6785025485650418,COMPLETE
21,21,0.32250656167979,2025-05-02 18:44:02.276229,2025-05-02 18:44:03.257345,0 days 00:00:00.981116,3.8906,3,0.10807420599535571,COMPLETE
22,22,0.33345008756567424,2025-05-02 18:44:03.258305,2025-05-02 18:44:04.604942,0 days 00:00:01.346637,3.8906,3,0.277218862055867,COMPLETE
23,23,0.21804073714839964,2025-05-02 18:44:04.605695,2025-05-02 18:44:05.678806,0 days 00:00:01.073111,3.8906,7,0.3074157634365124,COMPLETE
24,24,0.27378881987577636,2025-05-02 18:44:05.679833,2025-05-02 18:44:06.077686,0 days 00:00:00.397853,3.8906,6,0.4952080687695518,COMPLETE
25,25,0.3324621014113957,2025-05-02 18:44:06.078656,2025-05-02 18:44:06.507189,0 days 00:00:00.428533,3.8906,3,0.26798439573755106,COMPLETE
26,26,0.19253996447602134,2025-05-02 18:44:06.517101,2025-05-02 18:44:07.315370,0 days 00:00:00.798269,3.8906,13,0.8853541144986291,COMPLETE
27,27,0.21204188481675393,2025-05-02 18:44:07.316200,2025-05-02 18:44:08.121750,0 days 00:00:00.805550,3.8906,5,0.2935187942019266,COMPLETE
28,28,0.1662551440329218,2025-05-02 18:44:08.122622,2025-05-02 18:44:08.868347,0 days 00:00:00.745725,3.8906,8,0.5061276084293392,COMPLETE
29,29,0.1626569037656904,2025-05-02 18:44:08.869207,2025-05-02 18:44:09.622106,0 days 00:00:00.752899,3.8906,9,0.37696704983489215,COMPLETE
30,30,0.19496673416256868,2025-05-02 18:44:09.623007,2025-05-02 18:44:10.008774,0 days 00:00:00.385767,3.8906,13,0.24326066754141093,COMPLETE
31,31,0.3285371702637889,2025-05-02 18:44:10.009609,2025-05-02 18:44:10.689191,0 days 00:00:00.679582,3.8906,3,0.23675491715505498,COMPLETE
32,32,0.2779306549257017,2025-05-02 18:44:10.690056,2025-05-02 18:44:11.480939,0 days 00:00:00.790883,3.8906,5,0.8089218058051277,COMPLETE
33,33,0.2779078844652615,2025-05-02 18:44:11.481815,2025-05-02 18:44:11.950004,0 days 00:00:00.468189,3.8906,6,0.5532359482745685,COMPLETE
34,34,0.3283173734610123,2025-05-02 18:44:11.959328,2025-05-02 18:44:12.871062,0 days 00:00:00.911734,3.8906,3,0.2298289924660673,COMPLETE
35,35,0.16312614739050618,2025-05-02 18:44:12.872047,2025-05-02 18:44:13.425053,0 days 00:00:00.553006,3.8906,9,0.3808866414193354,COMPLETE
36,36,0.26592235473230147,2025-05-02 18:44:13.425912,2025-05-02 18:44:15.065857,0 days 00:00:01.639945,3.8906,5,0.7185532171705822,COMPLETE
37,37,0.21387755102040817,2025-05-02 18:44:15.066724,2025-05-02 18:44:16.297784,0 days 00:00:01.231060,3.8906,7,0.38745967119605346,COMPLETE
38,38,0.15384615384615385,2025-05-02 18:44:16.299199,2025-05-02 18:44:17.274613,0 days 00:00:00.975414,3.8906,20,0.21724639694832698,COMPLETE
39,39,0.18359853121175032,2025-05-02 18:44:17.275467,2025-05-02 18:44:18.169530,0 days 00:00:00.894063,3.8906,11,0.6238831256911511,COMPLETE
40,40,0.28042624789680315,2025-05-02 18:44:18.170431,2025-05-02 18:44:19.271494,0 days 00:00:01.101063,3.8906,4,0.8666594243530408,COMPLETE
41,41,0.32910089224433764,2025-05-02 18:44:19.272339,2025-05-02 18:44:19.992900,0 days 00:00:00.720561,3.8906,3,0.23922913564172854,COMPLETE
42,42,0.32825603285983224,2025-05-02 18:44:20.004929,2025-05-02 18:44:21.749877,0 days 00:00:01.744948,3.8906,3,0.2336404727402343,COMPLETE
43,43,0.2664129400570885,2025-05-02 18:44:21.750698,2025-05-02 18:44:22.948876,0 days 00:00:01.198178,3.8906,6,0.43001634423707835,COMPLETE
44,44,0.2639165009940358,2025-05-02 18:44:22.949781,2025-05-02 18:44:23.432308,0 days 00:00:00.482527,3.8906,4,0.5767920691319712,COMPLETE
45,45,0.21129199861447873,2025-05-02 18:44:23.433294,2025-05-02 18:44:23.943397,0 days 00:00:00.510103,3.8906,5,1.1591401132019472,COMPLETE
46,46,0.21497764530551414,2025-05-02 18:44:23.945521,2025-05-02 18:44:25.015531,0 days 00:00:01.070010,3.8906,7,0.20099298380855518,COMPLETE
47,47,0.3415511966888609,2025-05-02 18:44:25.016354,2025-05-02 18:44:26.026344,0 days 00:00:01.009990,3.8906,3,0.32655918177835486,COMPLETE
48,48,0.16181073922465686,2025-05-02 18:44:26.036274,2025-05-02 18:44:26.899102,0 days 00:00:00.862828,3.8906,8,0.29486704864167107,COMPLETE
49,49,0.26582278481012656,2025-05-02 18:44:26.917928,2025-05-02 18:44:27.825954,0 days 00:00:00.908026,3.8906,4,0.6705513977421276,COMPLETE
50,50,0.15846456692913385,2025-05-02 18:44:27.827082,2025-05-02 18:44:29.511444,0 days 00:00:01.684362,3.8906,25,1.9077332982826742,COMPLETE
51,51,0.34599926927292657,2025-05-02 18:44:29.512330,2025-05-02 18:44:30.564886,0 days 00:00:01.052556,3.8906,3,0.3480854419882128,COMPLETE
52,52,0.4194556001784917,2025-05-02 18:44:30.565723,2025-05-02 18:44:31.213185,0 days 00:00:00.647462,3.8906,3,0.47468432043308706,COMPLETE
53,53,0.2590529247910863,2025-05-02 18:44:31.214022,2025-05-02 18:44:32.765214,0 days 00:00:01.551192,3.8906,5,0.45251022525179474,COMPLETE
54,54,0.38278092158447863,2025-05-02 18:44:32.766057,2025-05-02 18:44:33.268989,0 days 00:00:00.502932,3.8906,3,0.3496876024761753,COMPLETE
55,55,0.2190235362769889,2025-05-02 18:44:33.269839,2025-05-02 18:44:33.898310,0 days 00:00:00.628471,3.8906,4,0.3642345903198007,COMPLETE
56,56,0.22420281243810655,2025-05-02 18:44:33.899188,2025-05-02 18:44:34.909212,0 days 00:00:01.010024,3.8906,6,0.3347560199157313,COMPLETE
57,57,0.11092003439380911,2025-05-02 18:44:34.910168,2025-05-02 18:44:36.031594,0 days 00:00:01.121426,3.8906,29,0.5198193099198328,COMPLETE
