,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-02 21:06:08.109284,2025-05-02 21:06:08.109357,0 days 00:00:00.000073,COMPLETE
1,1,0.0,2025-05-02 21:06:08.109523,2025-05-02 21:06:08.109553,0 days 00:00:00.000030,COMPLETE
2,2,0.0,2025-05-02 21:06:08.109674,2025-05-02 21:06:08.109702,0 days 00:00:00.000028,COMPLETE
3,3,0.0,2025-05-02 21:06:08.109814,2025-05-02 21:06:08.109841,0 days 00:00:00.000027,COMPLETE
4,4,0.0,2025-05-02 21:06:08.109952,2025-05-02 21:06:08.109978,0 days 00:00:00.000026,COMPLETE
5,5,0.0,2025-05-02 21:06:08.110110,2025-05-02 21:06:08.110146,0 days 00:00:00.000036,COMPLETE
6,6,0.0,2025-05-02 21:06:08.110250,2025-05-02 21:06:08.110274,0 days 00:00:00.000024,COMPLETE
7,7,0.0,2025-05-02 21:06:08.110374,2025-05-02 21:06:08.110398,0 days 00:00:00.000024,COMPLETE
8,8,0.0,2025-05-02 21:06:08.110497,2025-05-02 21:06:08.110521,0 days 00:00:00.000024,COMPLETE
9,9,0.0,2025-05-02 21:06:08.110621,2025-05-02 21:06:08.110645,0 days 00:00:00.000024,COMPLETE
10,10,0.0,2025-05-02 21:06:08.110748,2025-05-02 21:06:08.110773,0 days 00:00:00.000025,COMPLETE
11,11,0.0,2025-05-02 21:06:08.110874,2025-05-02 21:06:08.110897,0 days 00:00:00.000023,COMPLETE
12,12,0.0,2025-05-02 21:06:08.110997,2025-05-02 21:06:08.111021,0 days 00:00:00.000024,COMPLETE
13,13,0.0,2025-05-02 21:06:08.111121,2025-05-02 21:06:08.111145,0 days 00:00:00.000024,COMPLETE
14,14,0.0,2025-05-02 21:06:08.111245,2025-05-02 21:06:08.111269,0 days 00:00:00.000024,COMPLETE
15,15,0.0,2025-05-02 21:06:08.111369,2025-05-02 21:06:08.111393,0 days 00:00:00.000024,COMPLETE
16,16,0.0,2025-05-02 21:06:08.111492,2025-05-02 21:06:08.111516,0 days 00:00:00.000024,COMPLETE
17,17,0.0,2025-05-02 21:06:08.111615,2025-05-02 21:06:08.111638,0 days 00:00:00.000023,COMPLETE
18,18,0.0,2025-05-02 21:06:08.111739,2025-05-02 21:06:08.111762,0 days 00:00:00.000023,COMPLETE
19,19,0.0,2025-05-02 21:06:08.111862,2025-05-02 21:06:08.111886,0 days 00:00:00.000024,COMPLETE
20,20,0.0,2025-05-02 21:06:08.111985,2025-05-02 21:06:08.112008,0 days 00:00:00.000023,COMPLETE
21,21,0.0,2025-05-02 21:06:08.112107,2025-05-02 21:06:08.112131,0 days 00:00:00.000024,COMPLETE
22,22,0.0,2025-05-02 21:06:08.112232,2025-05-02 21:06:08.112256,0 days 00:00:00.000024,COMPLETE
23,23,0.0,2025-05-02 21:06:08.112355,2025-05-02 21:06:08.112379,0 days 00:00:00.000024,COMPLETE
24,24,0.0,2025-05-02 21:06:08.112478,2025-05-02 21:06:08.112502,0 days 00:00:00.000024,COMPLETE
25,25,0.0,2025-05-02 21:06:08.112600,2025-05-02 21:06:08.112623,0 days 00:00:00.000023,COMPLETE
26,26,0.0,2025-05-02 21:06:08.112722,2025-05-02 21:06:08.112745,0 days 00:00:00.000023,COMPLETE
27,27,0.0,2025-05-02 21:06:08.112844,2025-05-02 21:06:08.112866,0 days 00:00:00.000022,COMPLETE
28,28,0.0,2025-05-02 21:06:08.113001,2025-05-02 21:06:08.113028,0 days 00:00:00.000027,COMPLETE
29,29,0.0,2025-05-02 21:06:08.113136,2025-05-02 21:06:08.113161,0 days 00:00:00.000025,COMPLETE
