,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.8808341608738828,2025-05-02 18:15:46.277789,2025-05-02 18:15:46.791701,0 days 00:00:00.513912,1.3651388177924542,,100,l2,0.001288781782243662,COMPLETE
1,1,0.8880118401578688,2025-05-02 18:15:46.811762,2025-05-02 18:15:48.020053,0 days 00:00:01.208291,0.0011053788846637621,,500,l2,0.00792628035535819,COMPLETE
2,2,0.9079457364341086,2025-05-02 18:15:48.021352,2025-05-02 18:15:49.889249,0 days 00:00:01.867897,5.698242770359288,,500,l2,0.00046930814662910717,COMPLETE
3,3,0.8790123456790122,2025-05-02 18:15:49.896448,2025-05-02 18:15:50.347723,0 days 00:00:00.451275,462.7449415572283,balanced,500,l2,0.017961032579743685,COMPLETE
4,4,0.913900913900914,2025-05-02 18:15:50.349238,2025-05-02 18:15:50.774712,0 days 00:00:00.425474,2.5745373847640023,,200,l1,0.0001001207176967224,COMPLETE
5,5,0.8827415359207267,2025-05-02 18:15:50.775857,2025-05-02 18:15:50.985219,0 days 00:00:00.209362,0.05054969800485795,balanced,500,l1,0.07131311973317933,COMPLETE
6,6,0.853868194842407,2025-05-02 18:15:50.997095,2025-05-02 18:15:51.427347,0 days 00:00:00.430252,0.003332607926515505,balanced,1000,l2,0.04879472945658485,COMPLETE
7,7,0.8922774225282833,2025-05-02 18:15:51.428416,2025-05-02 18:15:51.918934,0 days 00:00:00.490518,0.00986160996865707,,300,l1,0.0002292956205050751,COMPLETE
8,8,0.8789756299049979,2025-05-02 18:15:51.919978,2025-05-02 18:15:54.319938,0 days 00:00:02.399960,0.4211487313233632,balanced,500,l2,0.0002963415097959599,COMPLETE
9,9,0.9120615088899567,2025-05-02 18:15:54.321266,2025-05-02 18:15:54.692590,0 days 00:00:00.371324,93.39323154554509,,400,l1,0.00018788259300645368,COMPLETE
10,10,0.91478093403948,2025-05-02 18:15:54.704175,2025-05-02 18:15:55.125654,0 days 00:00:00.421479,19.474891921850283,,800,l1,0.0018735477736770182,COMPLETE
11,11,0.9148629148629149,2025-05-02 18:15:55.126795,2025-05-02 18:15:55.544048,0 days 00:00:00.417253,13.491491134439977,,800,l1,0.0013781399047983727,COMPLETE
12,12,0.9148629148629149,2025-05-02 18:15:55.547858,2025-05-02 18:15:55.680185,0 days 00:00:00.132327,26.30659634272642,,800,l1,0.0022088490724412493,COMPLETE
13,13,0.9139836617011052,2025-05-02 18:15:55.681327,2025-05-02 18:15:56.019212,0 days 00:00:00.337885,49.760603406253644,,800,l1,0.0040560811795826495,COMPLETE
14,14,0.9134615384615384,2025-05-02 18:15:56.020587,2025-05-02 18:15:56.416426,0 days 00:00:00.395839,293.46033863078355,,800,l1,0.0008959401601157564,COMPLETE
15,15,0.9144230769230769,2025-05-02 18:15:56.418156,2025-05-02 18:15:56.821824,0 days 00:00:00.403668,0.34096368071436556,,1000,l1,0.004313330985129769,COMPLETE
16,16,0.9158249158249158,2025-05-02 18:15:56.823004,2025-05-02 18:15:56.988261,0 days 00:00:00.165257,15.152770875154125,,700,l1,0.008781385766611582,COMPLETE
17,17,0.913900913900914,2025-05-02 18:15:56.989350,2025-05-02 18:15:57.146348,0 days 00:00:00.156998,7.216996574674526,,700,l1,0.01571784463516159,COMPLETE
18,18,0.8799009492364838,2025-05-02 18:15:57.147649,2025-05-02 18:15:57.512518,0 days 00:00:00.364869,0.10711015875648948,balanced,700,l1,0.010135188459048679,COMPLETE
19,19,0.9143407122232916,2025-05-02 18:15:57.513804,2025-05-02 18:15:57.881440,0 days 00:00:00.367636,86.87632125566944,,700,l1,0.0007164387262784434,COMPLETE
20,20,0.913900913900914,2025-05-02 18:15:57.882535,2025-05-02 18:15:58.175525,0 days 00:00:00.292990,10.103769876550817,,900,l1,0.029762518711428845,COMPLETE
21,21,0.91478093403948,2025-05-02 18:15:58.176611,2025-05-02 18:15:58.398158,0 days 00:00:00.221547,22.73105189429521,,900,l1,0.0022948201466012523,COMPLETE
22,22,0.9143407122232916,2025-05-02 18:15:58.399638,2025-05-02 18:15:58.740313,0 days 00:00:00.340675,907.605577238947,,600,l1,0.004424640375210988,COMPLETE
23,23,0.913900913900914,2025-05-02 18:15:58.760425,2025-05-02 18:15:59.251042,0 days 00:00:00.490617,2.946050116760069,,900,l1,0.0017648255475582258,COMPLETE
24,24,0.9144230769230769,2025-05-02 18:15:59.252115,2025-05-02 18:15:59.497297,0 days 00:00:00.245182,143.77705527750223,,600,l1,0.007953267609162401,COMPLETE
25,25,0.9144230769230769,2025-05-02 18:15:59.507335,2025-05-02 18:15:59.860022,0 days 00:00:00.352687,33.39873157766507,,700,l1,0.0032625163343290076,COMPLETE
26,26,0.913900913900914,2025-05-02 18:15:59.870194,2025-05-02 18:16:00.387789,0 days 00:00:00.517595,0.9961152945628385,,800,l1,0.0008084566509224165,COMPLETE
27,27,0.8782501031778787,2025-05-02 18:16:00.398955,2025-05-02 18:16:00.765692,0 days 00:00:00.366737,14.42289822613955,balanced,900,l1,0.006557420223749076,COMPLETE
28,28,0.913900913900914,2025-05-02 18:16:00.766456,2025-05-02 18:16:01.071025,0 days 00:00:00.304569,184.5420085417421,,600,l1,0.016249786852858262,COMPLETE
29,29,0.9124157844080847,2025-05-02 18:16:01.072103,2025-05-02 18:16:03.989602,0 days 00:00:02.917499,1.0447078521261035,,1000,l2,0.0013278583771888922,COMPLETE
30,30,0.9132947976878614,2025-05-02 18:16:03.991088,2025-05-02 18:16:04.232284,0 days 00:00:00.241196,3.5416260983800014,,700,l1,0.002504336066415339,COMPLETE
31,31,0.9148629148629149,2025-05-02 18:16:04.251102,2025-05-02 18:16:04.797547,0 days 00:00:00.546445,19.79437090935987,,800,l1,0.001426754475161565,COMPLETE
32,32,0.9133782483156883,2025-05-02 18:16:04.799615,2025-05-02 18:16:05.326912,0 days 00:00:00.527297,52.12687048141046,,800,l1,0.0012190191551583159,COMPLETE
33,33,0.9158249158249158,2025-05-02 18:16:05.328066,2025-05-02 18:16:05.734379,0 days 00:00:00.406313,9.429105371759704,,900,l1,0.00046497514801388453,COMPLETE
34,34,0.9108433734939759,2025-05-02 18:16:05.735473,2025-05-02 18:16:07.866256,0 days 00:00:02.130783,6.25852196754754,,900,l2,0.0004261185922037949,COMPLETE
35,35,0.913900913900914,2025-05-02 18:16:07.867900,2025-05-02 18:16:08.179226,0 days 00:00:00.311326,1.7724541756652097,,600,l1,0.0005326314510009732,COMPLETE
36,36,0.9079457364341086,2025-05-02 18:16:08.188920,2025-05-02 18:16:10.180426,0 days 00:00:01.991506,8.427841796239077,,1000,l2,0.006149210679456649,COMPLETE
37,37,0.8794384805945499,2025-05-02 18:16:10.182581,2025-05-02 18:16:10.816038,0 days 00:00:00.633457,0.497779105864775,balanced,900,l1,0.0003232851569052153,COMPLETE
38,38,0.9153846153846155,2025-05-02 18:16:10.834445,2025-05-02 18:16:11.048988,0 days 00:00:00.214543,4.0216491224226045,,100,l1,0.011986480287356776,COMPLETE
39,39,0.855505525992632,2025-05-02 18:16:11.059933,2025-05-02 18:16:11.384179,0 days 00:00:00.324246,3.121761742330867,balanced,200,l2,0.03034725038092079,COMPLETE
40,40,0.9153031761308951,2025-05-02 18:16:11.385254,2025-05-02 18:16:11.682525,0 days 00:00:00.297271,0.14107499207257376,,100,l1,0.01260770030864198,COMPLETE
41,41,0.9124157844080847,2025-05-02 18:16:11.683885,2025-05-02 18:16:12.030798,0 days 00:00:00.346913,0.10693130007335712,,200,l1,0.011295204459776513,COMPLETE
42,42,0.8879012345679013,2025-05-02 18:16:12.032907,2025-05-02 18:16:12.262769,0 days 00:00:00.229862,0.0077353134793577616,,100,l1,0.023633290948715788,COMPLETE
43,43,0.9112825458052074,2025-05-02 18:16:12.263900,2025-05-02 18:16:12.533335,0 days 00:00:00.269435,0.056394316642862104,,100,l1,0.041082049786670946,COMPLETE
44,44,0.9129389129389129,2025-05-02 18:16:12.544053,2025-05-02 18:16:12.943835,0 days 00:00:00.399782,0.22664463920223765,,300,l1,0.0001109442599228418,COMPLETE
45,45,0.9036027263875365,2025-05-02 18:16:12.955489,2025-05-02 18:16:13.222621,0 days 00:00:00.267132,1.4870191130191635,,300,l1,0.06706121883881247,COMPLETE
46,46,0.9167067886374578,2025-05-02 18:16:13.223571,2025-05-02 18:16:13.538236,0 days 00:00:00.314665,0.5626078267534668,,100,l1,0.01145171594392718,COMPLETE
47,47,0.8785508439687114,2025-05-02 18:16:13.549739,2025-05-02 18:16:14.103387,0 days 00:00:00.553648,0.025854035924549146,balanced,100,l2,0.011071650760331432,COMPLETE
48,48,0.9134615384615384,2025-05-02 18:16:14.106071,2025-05-02 18:16:14.366214,0 days 00:00:00.260143,0.1588912447497323,,400,l1,0.021170579969062728,COMPLETE
49,49,0.9153031761308951,2025-05-02 18:16:14.367347,2025-05-02 18:16:14.616182,0 days 00:00:00.248835,0.7168188812609263,,200,l1,0.01326213823642264,COMPLETE
50,50,0.9148629148629149,2025-05-02 18:16:14.617580,2025-05-02 18:16:14.929209,0 days 00:00:00.311629,0.2831363726807921,,100,l1,0.006978379368240056,COMPLETE
51,51,0.9134615384615384,2025-05-02 18:16:14.938934,2025-05-02 18:16:15.188347,0 days 00:00:00.249413,0.9561589731882733,,200,l1,0.01400642177201689,COMPLETE
52,52,0.9139836617011052,2025-05-02 18:16:15.189480,2025-05-02 18:16:15.526258,0 days 00:00:00.336778,0.5867751084670847,,100,l1,0.00898100246648226,COMPLETE
53,53,0.9143407122232916,2025-05-02 18:16:15.537902,2025-05-02 18:16:15.857175,0 days 00:00:00.319273,4.132920332685922,,200,l1,0.004947252382403494,COMPLETE
54,54,0.9148629148629149,2025-05-02 18:16:15.877689,2025-05-02 18:16:16.107305,0 days 00:00:00.229616,0.6472742761936933,,200,l1,0.020717752486902535,COMPLETE
55,55,0.9158249158249158,2025-05-02 18:16:16.126493,2025-05-02 18:16:16.342877,0 days 00:00:00.216384,2.101913066498753,,400,l1,0.01256006433104274,COMPLETE
56,56,0.9156626506024096,2025-05-02 18:16:16.344038,2025-05-02 18:16:16.599618,0 days 00:00:00.255580,1.7334151944974616,,400,l1,0.030134367198725982,COMPLETE
57,57,0.9152215799614642,2025-05-02 18:16:16.600744,2025-05-02 18:16:16.878882,0 days 00:00:00.278138,2.2303302539936696,,400,l1,0.043063826139127806,COMPLETE
58,58,0.856070087609512,2025-05-02 18:16:16.879696,2025-05-02 18:16:17.084073,0 days 00:00:00.204377,0.0011341687155426922,balanced,500,l1,0.034254387460484585,COMPLETE
59,59,0.91478093403948,2025-05-02 18:16:17.085191,2025-05-02 18:16:17.350422,0 days 00:00:00.265231,6.009453864696709,,400,l1,0.023740093980906467,COMPLETE
60,60,0.9134615384615384,2025-05-02 18:16:17.351246,2025-05-02 18:16:17.683640,0 days 00:00:00.332394,12.563512231566353,,300,l1,0.005643963773917281,COMPLETE
61,61,0.9167869167869168,2025-05-02 18:16:17.689064,2025-05-02 18:16:17.951661,0 days 00:00:00.262597,2.0874736040063357,,500,l1,0.009288038377171856,COMPLETE
62,62,0.9162656400384986,2025-05-02 18:16:17.952476,2025-05-02 18:16:18.141742,0 days 00:00:00.189266,1.9271659475837095,,400,l1,0.008872323444249137,COMPLETE
63,63,0.9144230769230769,2025-05-02 18:16:18.142864,2025-05-02 18:16:18.353627,0 days 00:00:00.210763,1.79606272124888,,500,l1,0.0033540992286270007,COMPLETE
64,64,0.9153031761308951,2025-05-02 18:16:18.354545,2025-05-02 18:16:18.658932,0 days 00:00:00.304387,38.74783867752588,,500,l1,0.008442607917943339,COMPLETE
65,65,0.9161849710982659,2025-05-02 18:16:18.660000,2025-05-02 18:16:18.901192,0 days 00:00:00.241192,1.4104354134705668,,400,l1,0.017659870066724172,COMPLETE
66,66,0.9153031761308951,2025-05-02 18:16:18.902277,2025-05-02 18:16:19.161174,0 days 00:00:00.258897,4.939436232511066,,400,l1,0.016122804384459608,COMPLETE
67,67,0.9059165858389914,2025-05-02 18:16:19.162315,2025-05-02 18:16:20.219489,0 days 00:00:01.057174,1.1516849124926485,,300,l2,0.008725354196163963,COMPLETE
68,68,0.9153846153846155,2025-05-02 18:16:20.235701,2025-05-02 18:16:20.490411,0 days 00:00:00.254710,0.3669646991064947,,500,l1,0.018499317021356754,COMPLETE
69,69,0.9149447381066795,2025-05-02 18:16:20.491590,2025-05-02 18:16:20.964360,0 days 00:00:00.472770,2.323923193726572,,600,l1,0.00751880283915398,COMPLETE
70,70,0.8790755262071811,2025-05-02 18:16:20.965925,2025-05-02 18:16:21.176035,0 days 00:00:00.210110,9.646536491147186,balanced,400,l1,0.00501814798064885,COMPLETE
71,71,0.9138180067404912,2025-05-02 18:16:21.177192,2025-05-02 18:16:21.564426,0 days 00:00:00.387234,1.4216726656060266,,400,l1,0.05838486025939924,COMPLETE
72,72,0.9162656400384986,2025-05-02 18:16:21.565514,2025-05-02 18:16:22.042992,0 days 00:00:00.477478,2.6305001270683084,,300,l1,0.010012285356752249,COMPLETE
73,73,0.9129389129389129,2025-05-02 18:16:22.051176,2025-05-02 18:16:22.448141,0 days 00:00:00.396965,13.758937469234867,,300,l1,0.009854469298263223,COMPLETE
74,74,0.9153031761308951,2025-05-02 18:16:22.449252,2025-05-02 18:16:22.690748,0 days 00:00:00.241496,2.738093389978718,,500,l1,0.014271775842990832,COMPLETE
75,75,0.9153031761308951,2025-05-02 18:16:22.692183,2025-05-02 18:16:22.920779,0 days 00:00:00.228596,0.786176324103254,,400,l1,0.004142926392478616,COMPLETE
76,76,0.9153031761308951,2025-05-02 18:16:22.921955,2025-05-02 18:16:23.206884,0 days 00:00:00.284929,4.587914694554262,,300,l1,0.0060541777015805055,COMPLETE
77,77,0.9153031761308951,2025-05-02 18:16:23.209094,2025-05-02 18:16:23.437016,0 days 00:00:00.227922,7.444464596151213,,500,l1,0.017815117686208064,COMPLETE
78,78,0.8880118401578688,2025-05-02 18:16:23.438212,2025-05-02 18:16:24.143067,0 days 00:00:00.704855,20.319797062760724,,600,l2,0.02502607988367927,COMPLETE
79,79,0.9153031761308951,2025-05-02 18:16:24.144508,2025-05-02 18:16:24.416507,0 days 00:00:00.271999,2.6690093712709855,,400,l1,0.0026727877082049797,COMPLETE
80,80,0.9167869167869168,2025-05-02 18:16:24.417275,2025-05-02 18:16:24.726239,0 days 00:00:00.308964,72.53700584996757,,700,l1,0.010766924778213678,COMPLETE
81,81,0.9145052833813642,2025-05-02 18:16:24.727315,2025-05-02 18:16:25.017914,0 days 00:00:00.290599,75.42935302336893,,700,l1,0.009908153357634269,COMPLETE
82,82,0.9153846153846155,2025-05-02 18:16:25.040727,2025-05-02 18:16:25.325382,0 days 00:00:00.284655,0.4551017562806289,,600,l1,0.007224473223112791,COMPLETE
83,83,0.9152215799614642,2025-05-02 18:16:25.326592,2025-05-02 18:16:25.563568,0 days 00:00:00.236976,62.29470324051354,,700,l1,0.011655849341049773,COMPLETE
84,84,0.91478093403948,2025-05-02 18:16:25.564404,2025-05-02 18:16:25.852398,0 days 00:00:00.287994,599.0774238328651,,500,l1,0.010203997895795095,COMPLETE
85,85,0.9125000000000001,2025-05-02 18:16:25.855933,2025-05-02 18:16:26.214152,0 days 00:00:00.358219,195.38195372483742,,400,l1,0.00016889808298868408,COMPLETE
86,86,0.9148629148629149,2025-05-02 18:16:26.215376,2025-05-02 18:16:26.452365,0 days 00:00:00.236989,1.0871224714084375,,300,l1,0.014911627053050285,COMPLETE
87,87,0.8793388429752066,2025-05-02 18:16:26.453736,2025-05-02 18:16:26.761308,0 days 00:00:00.307572,34.74045631783439,balanced,1000,l1,0.005474351484967792,COMPLETE
88,88,0.913106096975516,2025-05-02 18:16:26.762525,2025-05-02 18:16:27.095333,0 days 00:00:00.332808,5.75552486746226,,700,l1,0.003578780948278823,COMPLETE
89,89,0.8880118401578688,2025-05-02 18:16:27.096644,2025-05-02 18:16:28.089601,0 days 00:00:00.992957,3.640324788758353,,800,l2,0.01938047543380385,COMPLETE
90,90,0.9142581888246628,2025-05-02 18:16:28.090746,2025-05-02 18:16:28.433679,0 days 00:00:00.342933,110.25649881699852,,600,l1,0.012756138206624947,COMPLETE
91,91,0.9158249158249158,2025-05-02 18:16:28.444801,2025-05-02 18:16:28.739313,0 days 00:00:00.294512,1.907513132440222,,400,l1,0.02759932002765623,COMPLETE
92,92,0.9132947976878614,2025-05-02 18:16:28.746362,2025-05-02 18:16:29.105040,0 days 00:00:00.358678,2.0917934202373942,,400,l1,0.02684676152008816,COMPLETE
93,93,0.9143407122232916,2025-05-02 18:16:29.106397,2025-05-02 18:16:29.315026,0 days 00:00:00.208629,1.247667387101014,,500,l1,0.015894058618498054,COMPLETE
