,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.15294117647058822,2025-05-02 18:17:21.875165,2025-05-02 18:17:22.036767,0 days 00:00:00.161602,3.8906,13,1.8046068757944378,COMPLETE
1,1,0.08026388125343596,2025-05-02 18:17:22.037841,2025-05-02 18:17:22.250439,0 days 00:00:00.212598,3.8906,24,1.4879658727895673,COMPLETE
2,2,0.06146841206602163,2025-05-02 18:17:22.251418,2025-05-02 18:17:22.408984,0 days 00:00:00.157566,3.8906,22,1.9497013269460024,COMPLETE
3,3,0.14732510288065845,2025-05-02 18:17:22.409951,2025-05-02 18:17:22.566032,0 days 00:00:00.156081,3.8906,11,0.7766000717777929,COMPLETE
4,4,0.1578336557059961,2025-05-02 18:17:22.567005,2025-05-02 18:17:22.722600,0 days 00:00:00.155595,3.8906,12,0.5338570197415923,COMPLETE
5,5,0.2111970869367319,2025-05-02 18:17:22.723574,2025-05-02 18:17:22.881786,0 days 00:00:00.158212,3.8906,9,1.2291009386305427,COMPLETE
6,6,0.23749027741768217,2025-05-02 18:17:22.882751,2025-05-02 18:17:23.068531,0 days 00:00:00.185780,3.8906,9,1.4498658188217672,COMPLETE
7,7,0.17010935601458077,2025-05-02 18:17:23.069498,2025-05-02 18:17:23.231849,0 days 00:00:00.162351,3.8906,15,0.5342583618524672,COMPLETE
8,8,0.13403416557161626,2025-05-02 18:17:23.232956,2025-05-02 18:17:23.390490,0 days 00:00:00.157534,3.8906,28,0.5420307363554303,COMPLETE
9,9,0.17681845062093435,2025-05-02 18:17:23.391473,2025-05-02 18:17:23.552072,0 days 00:00:00.160599,3.8906,10,1.8138770812921707,COMPLETE
10,10,0.003451251078515962,2025-05-02 18:17:23.553051,2025-05-02 18:17:23.749562,0 days 00:00:00.196511,3.8906,3,1.1489630452231503,COMPLETE
11,11,0.23274215552523872,2025-05-02 18:17:23.750545,2025-05-02 18:17:23.964313,0 days 00:00:00.213768,3.8906,4,1.2639774840231013,COMPLETE
12,12,0.003457216940363008,2025-05-02 18:17:23.966009,2025-05-02 18:17:24.193699,0 days 00:00:00.227690,3.8906,3,1.4034710900463232,COMPLETE
13,13,0.10831937465103295,2025-05-02 18:17:24.194679,2025-05-02 18:17:24.485113,0 days 00:00:00.290434,3.8906,6,0.9123652571159075,COMPLETE
14,14,0.10896483407627537,2025-05-02 18:17:24.485734,2025-05-02 18:17:24.714486,0 days 00:00:00.228752,3.8906,18,1.5443618992894264,COMPLETE
15,15,0.26345657781599313,2025-05-02 18:17:24.715484,2025-05-02 18:17:24.925330,0 days 00:00:00.209846,3.8906,6,0.14735342017310815,COMPLETE
16,16,0.23873926849347288,2025-05-02 18:17:24.926336,2025-05-02 18:17:25.139750,0 days 00:00:00.213414,3.8906,8,0.2914178142886732,COMPLETE
