,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-04-28 00:49:17.183558,2025-04-28 00:49:17.183642,0 days 00:00:00.000084,COMPLETE
1,1,0.0,2025-04-28 00:49:17.183806,2025-04-28 00:49:17.183837,0 days 00:00:00.000031,COMPLETE
2,2,0.0,2025-04-28 00:49:17.183987,2025-04-28 00:49:17.184017,0 days 00:00:00.000030,COMPLETE
3,3,0.0,2025-04-28 00:49:17.184144,2025-04-28 00:49:17.184172,0 days 00:00:00.000028,COMPLETE
4,4,0.0,2025-04-28 00:49:17.184297,2025-04-28 00:49:17.184324,0 days 00:00:00.000027,COMPLETE
5,5,0.0,2025-04-28 00:49:17.184464,2025-04-28 00:49:17.184492,0 days 00:00:00.000028,COMPLETE
6,6,0.0,2025-04-28 00:49:17.184621,2025-04-28 00:49:17.184649,0 days 00:00:00.000028,COMPLETE
7,7,0.0,2025-04-28 00:49:17.184775,2025-04-28 00:49:17.184802,0 days 00:00:00.000027,COMPLETE
8,8,0.0,2025-04-28 00:49:17.184925,2025-04-28 00:49:17.184952,0 days 00:00:00.000027,COMPLETE
9,9,0.0,2025-04-28 00:49:17.185075,2025-04-28 00:49:17.185102,0 days 00:00:00.000027,COMPLETE
10,10,0.0,2025-04-28 00:49:17.185226,2025-04-28 00:49:17.185254,0 days 00:00:00.000028,COMPLETE
11,11,0.0,2025-04-28 00:49:17.185377,2025-04-28 00:49:17.185404,0 days 00:00:00.000027,COMPLETE
12,12,0.0,2025-04-28 00:49:17.185528,2025-04-28 00:49:17.185555,0 days 00:00:00.000027,COMPLETE
13,13,0.0,2025-04-28 00:49:17.185678,2025-04-28 00:49:17.185705,0 days 00:00:00.000027,COMPLETE
14,14,0.0,2025-04-28 00:49:17.185829,2025-04-28 00:49:17.185856,0 days 00:00:00.000027,COMPLETE
15,15,0.0,2025-04-28 00:49:17.185982,2025-04-28 00:49:17.186009,0 days 00:00:00.000027,COMPLETE
16,16,0.0,2025-04-28 00:49:17.186132,2025-04-28 00:49:17.186159,0 days 00:00:00.000027,COMPLETE
17,17,0.0,2025-04-28 00:49:17.186282,2025-04-28 00:49:17.186310,0 days 00:00:00.000028,COMPLETE
18,18,0.0,2025-04-28 00:49:17.186433,2025-04-28 00:49:17.186460,0 days 00:00:00.000027,COMPLETE
19,19,0.0,2025-04-28 00:49:17.186580,2025-04-28 00:49:17.186607,0 days 00:00:00.000027,COMPLETE
20,20,0.0,2025-04-28 00:49:17.186731,2025-04-28 00:49:17.186759,0 days 00:00:00.000028,COMPLETE
21,21,0.0,2025-04-28 00:49:17.186883,2025-04-28 00:49:17.186910,0 days 00:00:00.000027,COMPLETE
22,22,0.0,2025-04-28 00:49:17.187033,2025-04-28 00:49:17.187060,0 days 00:00:00.000027,COMPLETE
23,23,0.0,2025-04-28 00:49:17.187189,2025-04-28 00:49:17.187216,0 days 00:00:00.000027,COMPLETE
24,24,0.0,2025-04-28 00:49:17.187337,2025-04-28 00:49:17.187365,0 days 00:00:00.000028,COMPLETE
25,25,0.0,2025-04-28 00:49:17.187489,2025-04-28 00:49:17.187516,0 days 00:00:00.000027,COMPLETE
26,26,0.0,2025-04-28 00:49:17.187639,2025-04-28 00:49:17.187665,0 days 00:00:00.000026,COMPLETE
27,27,0.0,2025-04-28 00:49:17.187788,2025-04-28 00:49:17.187814,0 days 00:00:00.000026,COMPLETE
28,28,0.0,2025-04-28 00:49:17.187999,2025-04-28 00:49:17.188026,0 days 00:00:00.000027,COMPLETE
29,29,0.0,2025-04-28 00:49:17.188150,2025-04-28 00:49:17.188177,0 days 00:00:00.000027,COMPLETE
