,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-04-28 03:46:29.373127,2025-04-28 03:46:29.373201,0 days 00:00:00.000074,COMPLETE
1,1,0.0,2025-04-28 03:46:29.373368,2025-04-28 03:46:29.373400,0 days 00:00:00.000032,COMPLETE
2,2,0.0,2025-04-28 03:46:29.373561,2025-04-28 03:46:29.373590,0 days 00:00:00.000029,COMPLETE
3,3,0.0,2025-04-28 03:46:29.373717,2025-04-28 03:46:29.373746,0 days 00:00:00.000029,COMPLETE
4,4,0.0,2025-04-28 03:46:29.373872,2025-04-28 03:46:29.373900,0 days 00:00:00.000028,COMPLETE
5,5,0.0,2025-04-28 03:46:29.374025,2025-04-28 03:46:29.374054,0 days 00:00:00.000029,COMPLETE
6,6,0.0,2025-04-28 03:46:29.374178,2025-04-28 03:46:29.374206,0 days 00:00:00.000028,COMPLETE
7,7,0.0,2025-04-28 03:46:29.374331,2025-04-28 03:46:29.374359,0 days 00:00:00.000028,COMPLETE
8,8,0.0,2025-04-28 03:46:29.374483,2025-04-28 03:46:29.374510,0 days 00:00:00.000027,COMPLETE
9,9,0.0,2025-04-28 03:46:29.374633,2025-04-28 03:46:29.374660,0 days 00:00:00.000027,COMPLETE
10,10,0.0,2025-04-28 03:46:29.374816,2025-04-28 03:46:29.374845,0 days 00:00:00.000029,COMPLETE
11,11,0.0,2025-04-28 03:46:29.374970,2025-04-28 03:46:29.374997,0 days 00:00:00.000027,COMPLETE
12,12,0.0,2025-04-28 03:46:29.375121,2025-04-28 03:46:29.375148,0 days 00:00:00.000027,COMPLETE
13,13,0.0,2025-04-28 03:46:29.375281,2025-04-28 03:46:29.375309,0 days 00:00:00.000028,COMPLETE
14,14,0.0,2025-04-28 03:46:29.375435,2025-04-28 03:46:29.375462,0 days 00:00:00.000027,COMPLETE
15,15,0.0,2025-04-28 03:46:29.375586,2025-04-28 03:46:29.375613,0 days 00:00:00.000027,COMPLETE
16,16,0.0,2025-04-28 03:46:29.375736,2025-04-28 03:46:29.375764,0 days 00:00:00.000028,COMPLETE
17,17,0.0,2025-04-28 03:46:29.375888,2025-04-28 03:46:29.375915,0 days 00:00:00.000027,COMPLETE
18,18,0.0,2025-04-28 03:46:29.376039,2025-04-28 03:46:29.376066,0 days 00:00:00.000027,COMPLETE
19,19,0.0,2025-04-28 03:46:29.376194,2025-04-28 03:46:29.376221,0 days 00:00:00.000027,COMPLETE
20,20,0.0,2025-04-28 03:46:29.376344,2025-04-28 03:46:29.376372,0 days 00:00:00.000028,COMPLETE
21,21,0.0,2025-04-28 03:46:29.376496,2025-04-28 03:46:29.376524,0 days 00:00:00.000028,COMPLETE
22,22,0.0,2025-04-28 03:46:29.376648,2025-04-28 03:46:29.376676,0 days 00:00:00.000028,COMPLETE
23,23,0.0,2025-04-28 03:46:29.376810,2025-04-28 03:46:29.376837,0 days 00:00:00.000027,COMPLETE
24,24,0.0,2025-04-28 03:46:29.376970,2025-04-28 03:46:29.376998,0 days 00:00:00.000028,COMPLETE
25,25,0.0,2025-04-28 03:46:29.377123,2025-04-28 03:46:29.377150,0 days 00:00:00.000027,COMPLETE
26,26,0.0,2025-04-28 03:46:29.377275,2025-04-28 03:46:29.377302,0 days 00:00:00.000027,COMPLETE
27,27,0.0,2025-04-28 03:46:29.377425,2025-04-28 03:46:29.377453,0 days 00:00:00.000028,COMPLETE
28,28,0.0,2025-04-28 03:46:29.377577,2025-04-28 03:46:29.377604,0 days 00:00:00.000027,COMPLETE
29,29,0.0,2025-04-28 03:46:29.377728,2025-04-28 03:46:29.377754,0 days 00:00:00.000026,COMPLETE
