,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.13138686131386862,2025-04-25 15:34:32.243545,2025-04-25 15:35:29.020154,0 days 00:00:56.776609,0.6620631342764272,0.33952302129156514,3500,COMPLETE
1,1,0.14680648236415633,2025-04-25 15:35:29.021353,2025-04-25 15:36:02.838510,0 days 00:00:33.817157,0.4458450700349792,0.4960952824332823,2500,COMPLETE
2,2,0.15160349854227406,2025-04-25 15:36:02.838864,2025-04-25 15:36:47.481135,0 days 00:00:44.642271,0.5446980762287463,0.7499451841248794,3500,COMPLETE
3,3,0.1337579617834395,2025-04-25 15:36:47.481466,2025-04-25 15:37:08.564384,0 days 00:00:21.082918,0.7152864383510804,0.5472224707117865,1000,COMPLETE
4,4,0.1599247412982126,2025-04-25 15:37:08.564719,2025-04-25 15:38:23.713942,0 days 00:01:15.149223,0.4257290832597904,0.5321741935422963,5000,COMPLETE
5,5,0.14299153339604892,2025-04-25 15:38:23.714266,2025-04-25 15:39:37.253996,0 days 00:01:13.539730,0.4665384586033624,0.6328111680291244,5000,COMPLETE
6,6,0.13504823151125403,2025-04-25 15:39:37.254313,2025-04-25 15:40:00.196351,0 days 00:00:22.942038,0.742078209072223,0.6490291010121209,1500,COMPLETE
7,7,0.13846153846153847,2025-04-25 15:40:00.196701,2025-04-25 15:40:37.924638,0 days 00:00:37.727937,0.887225918413864,0.7174315906512241,3000,COMPLETE
8,8,0.14597156398104266,2025-04-25 15:40:37.925179,2025-04-25 15:41:50.561142,0 days 00:01:12.635963,0.5117701398683976,0.730246262891655,5000,COMPLETE
9,9,0.13800657174151149,2025-04-25 15:41:50.561472,2025-04-25 15:42:13.757832,0 days 00:00:23.196360,0.8537934530630118,0.642086648278826,1500,COMPLETE
10,10,0.1753554502369668,2025-04-25 15:42:13.758145,2025-04-25 15:43:24.186323,0 days 00:01:10.428178,0.30809421369357054,0.40714015074709897,4500,COMPLETE
11,11,0.17335473515248798,2025-04-25 15:43:24.186650,2025-04-25 15:44:34.667503,0 days 00:01:10.480853,0.3187351789520904,0.41382243099094035,4500,COMPLETE
12,12,0.1711934156378601,2025-04-25 15:44:34.667831,2025-04-25 15:45:35.610566,0 days 00:01:00.942735,0.3265454922989695,0.399000109741578,4000,COMPLETE
13,13,0.16733708769107,2025-04-25 15:45:35.610908,2025-04-25 15:46:34.999155,0 days 00:00:59.388247,0.3150429434420227,0.4293393345851757,4000,COMPLETE
14,14,0.1459307764265669,2025-04-25 15:46:34.999485,2025-04-25 15:47:51.921923,0 days 00:01:16.922438,0.3944898854792085,0.3197131534658345,4500,COMPLETE
15,15,0.17437722419928825,2025-04-25 15:47:51.922250,2025-04-25 15:48:27.362207,0 days 00:00:35.439957,0.3627160496278115,0.45326545201316215,2500,COMPLETE
16,16,0.1348314606741573,2025-04-25 15:48:27.362538,2025-04-25 15:49:01.936338,0 days 00:00:34.573800,0.5858868754537652,0.4803315814239227,2500,COMPLETE
17,17,0.16081330868761554,2025-04-25 15:49:01.936665,2025-04-25 15:49:36.708127,0 days 00:00:34.771462,0.3900625844648177,0.37258451554671074,2000,COMPLETE
18,18,0.17591801878736124,2025-04-25 15:49:36.708454,2025-04-25 15:49:58.011771,0 days 00:00:21.303317,0.3727593007001948,0.45262988897344925,500,COMPLETE
19,19,0.13060428849902536,2025-04-25 15:49:58.012085,2025-04-25 15:50:23.926883,0 days 00:00:25.914798,0.4971148681301808,0.3636019242975061,500,COMPLETE
20,20,0.13510747185261002,2025-04-25 15:50:23.927222,2025-04-25 15:50:43.442688,0 days 00:00:19.515466,0.6001746784893236,0.5939255204435279,500,COMPLETE
21,21,0.1732142857142857,2025-04-25 15:50:43.443006,2025-04-25 15:51:13.807906,0 days 00:00:30.364900,0.3708237488290853,0.4638304123696687,2000,COMPLETE
22,22,0.17687074829931973,2025-04-25 15:51:13.808236,2025-04-25 15:51:56.483692,0 days 00:00:42.675456,0.3629929894787165,0.4476134421201402,3000,COMPLETE
23,23,0.16784313725490196,2025-04-25 15:51:56.484008,2025-04-25 15:52:35.657511,0 days 00:00:39.173503,0.30658551196910144,0.5089115306192733,3000,COMPLETE
24,24,0.16037735849056603,2025-04-25 15:52:35.657847,2025-04-25 15:53:27.619984,0 days 00:00:51.962137,0.42870270399159427,0.39923853587262215,3500,COMPLETE
25,25,0.15703971119133572,2025-04-25 15:53:27.620319,2025-04-25 15:54:36.755885,0 days 00:01:09.135566,0.3698998065502347,0.3034520661503133,4000,COMPLETE
26,26,0.14150943396226415,2025-04-25 15:54:36.756224,2025-04-25 15:54:58.028903,0 days 00:00:21.272679,0.48240816275665144,0.5815793833332162,1000,COMPLETE
27,27,0.1754385964912281,2025-04-25 15:54:58.029223,2025-04-25 15:55:29.679522,0 days 00:00:31.650299,0.3463578091845172,0.44179745968554296,2000,COMPLETE
28,28,0.15902712815715622,2025-04-25 15:55:29.679846,2025-04-25 15:56:00.324686,0 days 00:00:30.644840,0.4182519981423583,0.4526415542674262,2000,COMPLETE
29,29,0.12979351032448377,2025-04-25 15:56:00.325007,2025-04-25 15:56:28.080272,0 days 00:00:27.755265,0.5356167723103431,0.3633673414360085,1000,COMPLETE
30,30,0.14560161779575326,2025-04-25 15:56:28.080606,2025-04-25 15:56:49.263258,0 days 00:00:21.182652,0.6496171506847079,0.7911902704552971,1500,COMPLETE
31,31,0.17959895379250218,2025-04-25 15:56:49.263584,2025-04-25 15:57:40.782337,0 days 00:00:51.518753,0.34604449376568874,0.42669353313422603,3500,COMPLETE
32,32,0.17913043478260868,2025-04-25 15:57:40.782667,2025-04-25 15:58:27.180725,0 days 00:00:46.398058,0.3455899203121305,0.5087580533437817,3500,COMPLETE
33,33,0.14489990467111533,2025-04-25 15:58:27.181055,2025-04-25 15:59:13.524093,0 days 00:00:46.343038,0.452133748884102,0.5092583098033034,3500,COMPLETE
34,34,0.16589861751152074,2025-04-25 15:59:13.524425,2025-04-25 15:59:53.768785,0 days 00:00:40.244360,0.3968048955808069,0.4969324510779239,3000,COMPLETE
35,35,0.17552742616033754,2025-04-25 15:59:53.769110,2025-04-25 16:00:39.169089,0 days 00:00:45.399979,0.34591476012158295,0.5676156385085314,3500,COMPLETE
36,36,0.14489990467111533,2025-04-25 16:00:39.169433,2025-04-25 16:01:25.358186,0 days 00:00:46.188753,0.45221317930718985,0.5350107221353204,3500,COMPLETE
37,37,0.15911193339500462,2025-04-25 16:01:25.358517,2025-04-25 16:02:00.094544,0 days 00:00:34.736027,0.40071109442198405,0.47606252684133177,2500,COMPLETE
38,38,0.17478991596638654,2025-04-25 16:02:00.094865,2025-04-25 16:02:39.237301,0 days 00:00:39.142436,0.3490125009032872,0.5280844662675812,3000,COMPLETE
39,39,0.13636363636363635,2025-04-25 16:02:39.237634,2025-04-25 16:03:44.430745,0 days 00:01:05.193111,0.7768578532765734,0.33695615398417433,4000,COMPLETE
40,40,0.1585253456221198,2025-04-25 16:03:44.431074,2025-04-25 16:04:22.750938,0 days 00:00:38.319864,0.4268027628154778,0.6193398176732741,3000,COMPLETE
41,41,0.1783216783216783,2025-04-25 16:04:22.751271,2025-04-25 16:05:08.858935,0 days 00:00:46.107664,0.3471827514467081,0.5500309854993161,3500,COMPLETE
42,42,0.18068535825545173,2025-04-25 16:05:08.859264,2025-04-25 16:05:53.821457,0 days 00:00:44.962193,0.33869750988999586,0.6829882236040878,3500,COMPLETE
43,43,0.18449612403100776,2025-04-25 16:05:53.821819,2025-04-25 16:06:38.432884,0 days 00:00:44.611065,0.33608393495503985,0.7145873916598054,3500,COMPLETE
44,44,0.18068535825545173,2025-04-25 16:06:38.433243,2025-04-25 16:07:31.714297,0 days 00:00:53.281054,0.3369428187537625,0.6810450842704479,4000,COMPLETE
45,45,0.17159336697909158,2025-04-25 16:07:31.714629,2025-04-25 16:08:24.757690,0 days 00:00:53.043061,0.30292180166823496,0.6905552762832938,4000,COMPLETE
