,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.2847,2025-04-27 21:24:12.839984,2025-04-27 21:27:34.806804,0 days 00:03:21.966820,32,20,128,0.001,0.9199999999999999,2,,,,COMPLETE
1,1,0.172,2025-04-27 21:27:34.807277,2025-04-27 21:30:23.664374,0 days 00:02:48.857097,128,20,128,0.005,0.88,2,0.2665,0.2665,0.2665,COMPLETE
2,2,0.6467,2025-04-27 21:30:23.664875,2025-04-27 21:33:05.287667,0 days 00:02:41.622792,256,20,128,0.001,0.95,2,0.6526,0.6526,0.6526,COMPLETE
3,3,0.5806,2025-04-27 21:33:05.288112,2025-04-27 21:35:46.546869,0 days 00:02:41.258757,256,20,128,0.002,0.9199999999999999,2,0.2724,0.2724,,COMPLETE
4,4,0.2956,2025-04-27 21:35:46.547341,2025-04-27 21:37:52.576406,0 days 00:02:06.029065,64,20,128,0.001,0.9199999999999999,2,0.2956,,,PRUNED
5,5,0.1957,2025-04-27 21:37:52.576776,2025-04-27 21:39:40.588580,0 days 00:01:48.011804,64,20,128,0.001,0.9099999999999999,2,0.1957,,,PRUNED
6,6,0.1971,2025-04-27 21:39:40.588965,2025-04-27 21:41:38.473802,0 days 00:01:57.884837,128,20,128,0.005,0.88,2,0.1971,,,PRUNED
7,7,0.5768,2025-04-27 21:41:38.474165,2025-04-27 21:45:01.465609,0 days 00:03:22.991444,32,20,128,0.002,0.95,2,,,,COMPLETE
8,8,0.5886,2025-04-27 21:45:01.466063,2025-04-27 21:47:01.413866,0 days 00:01:59.947803,512,20,128,0.002,0.86,2,0.5886,,,PRUNED
9,9,0.6,2025-04-27 21:47:01.414255,2025-04-27 21:49:50.071766,0 days 00:02:48.657511,128,20,128,0.001,0.89,2,,,,COMPLETE
10,10,0.6136,2025-04-27 21:49:50.072184,2025-04-27 21:52:31.483126,0 days 00:02:41.410942,256,20,128,0.001,0.99,2,0.6136,,,COMPLETE
11,11,0.6232,2025-04-27 21:52:31.483541,2025-04-27 21:55:12.470980,0 days 00:02:40.987439,256,20,128,0.001,0.99,2,,,,COMPLETE
12,12,0.6171,2025-04-27 21:55:12.471414,2025-04-27 21:56:48.648788,0 days 00:01:36.177374,256,20,128,0.001,0.99,2,0.6171,0.6171,,PRUNED
13,13,0.5978,2025-04-27 21:56:48.649131,2025-04-27 21:59:30.147134,0 days 00:02:41.498003,1024,20,128,0.001,0.96,2,,,,COMPLETE
14,14,0.2942,2025-04-27 21:59:30.147502,2025-04-27 22:01:22.353467,0 days 00:01:52.205965,256,20,128,0.005,0.96,2,0.2942,,,PRUNED
15,15,0.6102,2025-04-27 22:01:22.353825,2025-04-27 22:02:58.619405,0 days 00:01:36.265580,256,20,128,0.001,0.95,2,0.6102,,,PRUNED
16,16,0.6039,2025-04-27 22:02:58.619741,2025-04-27 22:05:39.988584,0 days 00:02:41.368843,1024,20,128,0.001,0.97,2,0.6039,0.6039,,COMPLETE
17,17,0.6266,2025-04-27 22:05:39.988993,2025-04-27 22:08:19.927021,0 days 00:02:39.938028,512,20,128,0.001,0.94,2,0.6266,0.6266,,COMPLETE
18,18,0.6198,2025-04-27 22:08:19.927439,2025-04-27 22:10:03.402956,0 days 00:01:43.475517,512,20,128,0.005,0.94,2,0.6198,0.6198,,PRUNED
19,19,0.585,2025-04-27 22:10:03.403294,2025-04-27 22:12:43.340682,0 days 00:02:39.937388,512,20,128,0.002,0.94,2,,,,COMPLETE
20,20,0.6433,2025-04-27 22:12:43.341120,2025-04-27 22:14:34.780732,0 days 00:01:51.439612,512,20,128,0.001,0.9,2,0.6433,0.6433,,PRUNED
21,21,0.594,2025-04-27 22:14:34.781081,2025-04-27 22:16:26.894030,0 days 00:01:52.112949,256,20,128,0.001,0.98,2,0.594,,,PRUNED
22,22,0.6667,2025-04-27 22:16:26.894387,2025-04-27 22:19:07.363737,0 days 00:02:40.469350,256,20,128,0.001,0.94,2,0.6667,0.6667,0.6667,COMPLETE
23,23,0.6277,2025-04-27 22:19:07.364159,2025-04-27 22:21:06.558764,0 days 00:01:59.194605,512,20,128,0.001,0.9299999999999999,2,0.6277,,,PRUNED
24,24,0.5487,2025-04-27 22:21:06.559107,2025-04-27 22:23:14.101070,0 days 00:02:07.541963,256,20,128,0.001,0.94,2,0.5487,,,PRUNED
25,25,0.6049,2025-04-27 22:23:14.101410,2025-04-27 22:25:46.399370,0 days 00:02:32.297960,1024,20,128,0.001,0.97,2,0.6049,0.6049,,PRUNED
26,26,0.3067,2025-04-27 22:25:46.399719,2025-04-27 22:28:36.691088,0 days 00:02:50.291369,64,20,128,0.001,0.9299999999999999,2,0.3067,,,PRUNED
27,27,0.2777,2025-04-27 22:28:36.691434,2025-04-27 22:31:17.530952,0 days 00:02:40.839518,32,20,128,0.001,0.96,2,0.2777,,,PRUNED
28,28,0.3053,2025-04-27 22:31:17.531288,2025-04-27 22:33:01.506751,0 days 00:01:43.975463,512,20,128,0.005,0.95,2,0.3053,,,PRUNED
29,29,0.2945,2025-04-27 22:33:01.507091,2025-04-27 22:36:22.548120,0 days 00:03:21.041029,32,20,128,0.002,0.9099999999999999,2,0.2945,,,PRUNED
