,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.05640423031727379,2025-04-25 15:32:58.194570,2025-04-25 15:32:58.382159,0 days 00:00:00.187589,3.8906,11,1.9254439998254325,COMPLETE
1,1,0.05647058823529412,2025-04-25 15:32:58.382429,2025-04-25 15:32:58.562924,0 days 00:00:00.180495,3.8906,9,1.6597623846051806,COMPLETE
2,2,0.05892669238863557,2025-04-25 15:32:58.563174,2025-04-25 15:32:58.746528,0 days 00:00:00.183354,3.8906,13,1.2080330183055628,COMPLETE
3,3,0.060000000000000005,2025-04-25 15:32:58.746776,2025-04-25 15:32:58.936118,0 days 00:00:00.189342,3.8906,22,1.822538514167102,COMPLETE
4,4,0.0533235938641344,2025-04-25 15:32:58.936797,2025-04-25 15:32:59.122405,0 days 00:00:00.185608,3.8906,17,1.8498892633196409,COMPLETE
5,5,0.05268935236004391,2025-04-25 15:32:59.122607,2025-04-25 15:32:59.303421,0 days 00:00:00.180814,3.8906,9,1.4387395148671873,COMPLETE
6,6,0.053215077605321515,2025-04-25 15:32:59.303613,2025-04-25 15:32:59.485333,0 days 00:00:00.181720,3.8906,10,1.69646691172472,COMPLETE
7,7,0.0676280457483839,2025-04-25 15:32:59.485528,2025-04-25 15:32:59.664622,0 days 00:00:00.179094,3.8906,5,1.8765189290213982,COMPLETE
8,8,0.06404901141743247,2025-04-25 15:32:59.664811,2025-04-25 15:32:59.845995,0 days 00:00:00.181184,3.8906,4,1.1974750864742814,COMPLETE
9,9,0.0593103448275862,2025-04-25 15:32:59.846174,2025-04-25 15:33:00.026029,0 days 00:00:00.179855,3.8906,11,0.8661759332536385,COMPLETE
10,10,0.07837609247251197,2025-04-25 15:33:00.026247,2025-04-25 15:33:00.213476,0 days 00:00:00.187229,3.8906,28,0.27595207619392415,COMPLETE
11,11,0.0730034296913278,2025-04-25 15:33:00.213721,2025-04-25 15:33:00.401908,0 days 00:00:00.188187,3.8906,29,0.17149919461975252,COMPLETE
12,12,0.07339036470058531,2025-04-25 15:33:00.402106,2025-04-25 15:33:00.588117,0 days 00:00:00.186011,3.8906,29,0.13163833361456836,COMPLETE
13,13,0.06752278376139188,2025-04-25 15:33:00.588342,2025-04-25 15:33:00.773393,0 days 00:00:00.185051,3.8906,27,0.10004174248991266,COMPLETE
14,14,0.06860841423948219,2025-04-25 15:33:00.773577,2025-04-25 15:33:00.957618,0 days 00:00:00.184041,3.8906,24,0.5131256602824027,COMPLETE
15,15,0.06869734283862605,2025-04-25 15:33:00.957816,2025-04-25 15:33:01.142415,0 days 00:00:00.184599,3.8906,22,0.4753265191892986,COMPLETE
16,16,0.06923837784371908,2025-04-25 15:33:01.142600,2025-04-25 15:33:01.327866,0 days 00:00:00.185266,3.8906,18,0.46140484033103757,COMPLETE
17,17,0.06929027917928018,2025-04-25 15:33:01.328068,2025-04-25 15:33:01.513989,0 days 00:00:00.185921,3.8906,26,0.829801509472556,COMPLETE
18,18,0.07923574037651025,2025-04-25 15:33:01.514201,2025-04-25 15:33:01.700899,0 days 00:00:00.186698,3.8906,29,0.29055832076757704,COMPLETE
19,19,0.06734006734006735,2025-04-25 15:33:01.701094,2025-04-25 15:33:01.886141,0 days 00:00:00.185047,3.8906,21,0.6957765884761071,COMPLETE
20,20,0.07320024198427101,2025-04-25 15:33:01.886368,2025-04-25 15:33:02.075118,0 days 00:00:00.188750,3.8906,25,0.360911210186024,COMPLETE
21,21,0.07857341877960435,2025-04-25 15:33:02.075320,2025-04-25 15:33:02.260008,0 days 00:00:00.184688,3.8906,29,0.2572762886806559,COMPLETE
22,22,0.07617964752700399,2025-04-25 15:33:02.260197,2025-04-25 15:33:02.443952,0 days 00:00:00.183755,3.8906,28,0.29642721140558187,COMPLETE
23,23,0.06988352745424294,2025-04-25 15:33:02.444148,2025-04-25 15:33:02.631079,0 days 00:00:00.186931,3.8906,24,0.6665806723847021,COMPLETE
24,24,0.07308970099667773,2025-04-25 15:33:02.631291,2025-04-25 15:33:02.817682,0 days 00:00:00.186391,3.8906,20,0.28709459231111795,COMPLETE
25,25,0.06878650227125244,2025-04-25 15:33:02.817897,2025-04-25 15:33:03.003213,0 days 00:00:00.185316,3.8906,27,0.6288146305417877,COMPLETE
26,26,0.06644295302013423,2025-04-25 15:33:03.003401,2025-04-25 15:33:03.186910,0 days 00:00:00.183509,3.8906,29,0.9989937971573943,COMPLETE
