,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.2829736211031175,2025-04-25 15:32:25.764083,2025-04-25 15:32:25.989531,0 days 00:00:00.225448,0.007679577486528099,balanced,100,l2,0.007720181714291409,COMPLETE
1,1,0.5283018867924528,2025-04-25 15:32:25.989981,2025-04-25 15:32:26.516286,0 days 00:00:00.526305,0.8514727242543689,,300,l2,0.00023654100390946436,COMPLETE
2,2,0.5308641975308641,2025-04-25 15:32:26.516597,2025-04-25 15:32:27.103493,0 days 00:00:00.586896,0.10078702373049143,,600,l2,0.0028633928482089174,COMPLETE
3,3,0.29890643985419196,2025-04-25 15:32:27.103889,2025-04-25 15:32:27.197864,0 days 00:00:00.093975,74.81049182488988,balanced,300,l1,0.007265882852343865,COMPLETE
4,4,0.30886075949367087,2025-04-25 15:32:27.198189,2025-04-25 15:32:27.792279,0 days 00:00:00.594090,122.68565904249938,balanced,500,l2,0.0005218710342595722,COMPLETE
5,5,0.3044554455445544,2025-04-25 15:32:27.792590,2025-04-25 15:32:27.886614,0 days 00:00:00.094024,3.3664603283144596,balanced,400,l1,0.017949249847164908,COMPLETE
6,6,0.4724919093851132,2025-04-25 15:32:27.886995,2025-04-25 15:32:28.111429,0 days 00:00:00.224434,0.11379361547711328,,100,l2,0.00012209454614308808,COMPLETE
7,7,0.25055432372505543,2025-04-25 15:32:28.111746,2025-04-25 15:32:28.193380,0 days 00:00:00.081634,40.98114509208977,balanced,300,l1,0.07657410576483858,COMPLETE
8,8,0.28848484848484846,2025-04-25 15:32:28.193710,2025-04-25 15:32:28.421582,0 days 00:00:00.227872,0.09982858775282537,balanced,600,l2,0.003985556224858236,COMPLETE
9,9,0.2659217877094972,2025-04-25 15:32:28.421924,2025-04-25 15:32:28.504444,0 days 00:00:00.082520,266.9782729513924,balanced,800,l1,0.030746974126774303,COMPLETE
10,10,0.5525525525525525,2025-04-25 15:32:28.504766,2025-04-25 15:32:29.527462,0 days 00:00:01.022696,0.0035844908355599455,,900,l2,0.0008632642234312248,COMPLETE
11,11,0.5308641975308641,2025-04-25 15:32:29.527790,2025-04-25 15:32:30.328075,0 days 00:00:00.800285,0.0012979331210486182,,1000,l2,0.0009028377368271184,COMPLETE
12,12,0.5481927710843373,2025-04-25 15:32:30.328411,2025-04-25 15:32:31.033049,0 days 00:00:00.704638,0.016236869963298355,,800,l2,0.0014603605286181661,COMPLETE
13,13,0.5171339563862929,2025-04-25 15:32:31.033378,2025-04-25 15:32:31.746518,0 days 00:00:00.713140,0.0010309080354317397,,900,l2,0.0013233362979908974,COMPLETE
14,14,0.5847953216374269,2025-04-25 15:32:31.746846,2025-04-25 15:32:33.109021,0 days 00:00:01.362175,0.010624538363909088,,800,l2,0.0004367411496880597,COMPLETE
15,15,0.5847953216374269,2025-04-25 15:32:33.109342,2025-04-25 15:32:33.970390,0 days 00:00:00.861048,0.00809130873485579,,800,l2,0.00037485923969105266,COMPLETE
16,16,0.5847953216374269,2025-04-25 15:32:33.970724,2025-04-25 15:32:35.038145,0 days 00:00:01.067421,0.026073825678540153,,700,l2,0.0003077099003558059,COMPLETE
17,17,0.5398773006134969,2025-04-25 15:32:35.038494,2025-04-25 15:32:36.109890,0 days 00:00:01.071396,0.6403239543195813,,1000,l2,0.00010368825283636617,COMPLETE
18,18,0.5764705882352941,2025-04-25 15:32:36.110237,2025-04-25 15:32:36.229173,0 days 00:00:00.118936,14.283710095472507,,700,l1,0.0003260310439609648,COMPLETE
19,19,0.5398773006134969,2025-04-25 15:32:36.229506,2025-04-25 15:32:37.022095,0 days 00:00:00.792589,0.036864269459606885,,800,l2,0.00021925037748835366,COMPLETE
20,20,0.5525525525525525,2025-04-25 15:32:37.022433,2025-04-25 15:32:37.982064,0 days 00:00:00.959631,0.3248068942184512,,700,l2,0.0006081269594265,COMPLETE
21,21,0.5611940298507462,2025-04-25 15:32:37.982417,2025-04-25 15:32:39.072028,0 days 00:00:01.089611,0.016006133688139617,,700,l2,0.0002972432854725417,COMPLETE
22,22,0.5847953216374269,2025-04-25 15:32:39.072366,2025-04-25 15:32:40.246097,0 days 00:00:01.173731,0.005893203351820569,,900,l2,0.0004044558389445296,COMPLETE
23,23,0.5531914893617021,2025-04-25 15:32:40.246581,2025-04-25 15:32:40.995045,0 days 00:00:00.748464,0.030468105056288265,,500,l2,0.00017001775412843562,COMPLETE
24,24,0.5353846153846155,2025-04-25 15:32:40.995372,2025-04-25 15:32:41.646081,0 days 00:00:00.650709,0.0028796148324596693,,700,l2,0.0019355290384849432,COMPLETE
25,25,0.5398773006134969,2025-04-25 15:32:41.646414,2025-04-25 15:32:42.680531,0 days 00:00:01.034117,2.2566417483840606,,800,l2,0.0007278482158441802,COMPLETE
26,26,0.5398773006134969,2025-04-25 15:32:42.680865,2025-04-25 15:32:43.587982,0 days 00:00:00.907117,0.2249092403237766,,600,l2,0.00016845756438366248,COMPLETE
27,27,0.6617647058823529,2025-04-25 15:32:43.588410,2025-04-25 15:32:43.746191,0 days 00:00:00.157781,0.023299612054359476,,900,l1,0.000492855601932241,COMPLETE
