,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.05395996518711923,2025-04-25 15:33:48.420794,2025-04-25 15:33:48.614690,0 days 00:00:00.193896,3.8906,24,1.8186890814497376,COMPLETE
1,1,0.03798613204703045,2025-04-25 15:33:48.614937,2025-04-25 15:33:48.802958,0 days 00:00:00.188021,3.8906,4,0.37030472631314115,COMPLETE
2,2,0.06769016050244242,2025-04-25 15:33:48.803157,2025-04-25 15:33:49.004203,0 days 00:00:00.201046,3.8906,25,0.9759129260479767,COMPLETE
3,3,0.04884004884004885,2025-04-25 15:33:49.004445,2025-04-25 15:33:49.198921,0 days 00:00:00.194476,3.8906,12,1.5330957023574638,COMPLETE
4,4,0.036256906077348064,2025-04-25 15:33:49.199142,2025-04-25 15:33:49.390334,0 days 00:00:00.191192,3.8906,5,1.9091490721340836,COMPLETE
5,5,0.06608695652173913,2025-04-25 15:33:49.390552,2025-04-25 15:33:49.587725,0 days 00:00:00.197173,3.8906,28,0.25178324970969795,COMPLETE
6,6,0.09632446134347276,2025-04-25 15:33:49.587931,2025-04-25 15:33:49.778431,0 days 00:00:00.190500,3.8906,6,1.5319320366881688,COMPLETE
7,7,0.03691376701966717,2025-04-25 15:33:49.778649,2025-04-25 15:33:49.969068,0 days 00:00:00.190419,3.8906,3,0.4895390398283531,COMPLETE
8,8,0.0362256339485941,2025-04-25 15:33:49.969281,2025-04-25 15:33:50.156984,0 days 00:00:00.187703,3.8906,5,1.8921539524969506,COMPLETE
9,9,0.06869983948635634,2025-04-25 15:33:50.157242,2025-04-25 15:33:50.345150,0 days 00:00:00.187908,3.8906,29,0.6663773538127091,COMPLETE
10,10,0.03778801843317973,2025-04-25 15:33:50.345344,2025-04-25 15:33:50.539702,0 days 00:00:00.194358,3.8906,13,1.3536649226444406,COMPLETE
11,11,0.053917438921651226,2025-04-25 15:33:50.539914,2025-04-25 15:33:50.730685,0 days 00:00:00.190771,3.8906,19,0.8749998266589456,COMPLETE
12,12,0.05295821266032272,2025-04-25 15:33:50.730884,2025-04-25 15:33:50.922947,0 days 00:00:00.192063,3.8906,19,0.6533682779661929,COMPLETE
13,13,0.05184705119896306,2025-04-25 15:33:50.923251,2025-04-25 15:33:51.114002,0 days 00:00:00.190751,3.8906,10,1.1948707383539594,COMPLETE
14,14,0.06008876749743941,2025-04-25 15:33:51.114202,2025-04-25 15:33:51.304843,0 days 00:00:00.190641,3.8906,29,1.5328277050596504,COMPLETE
15,15,0.05202558635394457,2025-04-25 15:33:51.305042,2025-04-25 15:33:51.499896,0 days 00:00:00.194854,3.8906,16,0.7755664886433519,COMPLETE
16,16,0.05382674516400336,2025-04-25 15:33:51.500113,2025-04-25 15:33:51.695260,0 days 00:00:00.195147,3.8906,22,1.207762339313005,COMPLETE
17,17,0.06098514464425331,2025-04-25 15:33:51.695469,2025-04-25 15:33:51.888799,0 days 00:00:00.193330,3.8906,8,1.597388318237545,COMPLETE
18,18,0.07174603174603174,2025-04-25 15:33:51.889011,2025-04-25 15:33:52.079824,0 days 00:00:00.190813,3.8906,16,0.14190370342672287,COMPLETE
19,19,0.06943989518506387,2025-04-25 15:33:52.080032,2025-04-25 15:33:52.286598,0 days 00:00:00.206566,3.8906,15,0.20330066221647647,COMPLETE
20,20,0.05416666666666666,2025-04-25 15:33:52.286845,2025-04-25 15:33:52.486797,0 days 00:00:00.199952,3.8906,9,1.1309519356616742,COMPLETE
21,21,0.07174603174603174,2025-04-25 15:33:52.487024,2025-04-25 15:33:52.681001,0 days 00:00:00.193977,3.8906,16,0.14304208061482732,COMPLETE
22,22,0.07171314741035857,2025-04-25 15:33:52.681201,2025-04-25 15:33:52.873732,0 days 00:00:00.192531,3.8906,18,0.12289918524610755,COMPLETE
23,23,0.05254237288135594,2025-04-25 15:33:52.873958,2025-04-25 15:33:53.065032,0 days 00:00:00.191074,3.8906,13,0.4600590022146117,COMPLETE
24,24,0.06302966101694915,2025-04-25 15:33:53.065242,2025-04-25 15:33:53.256114,0 days 00:00:00.190872,3.8906,22,0.10172542617465258,COMPLETE
25,25,0.046263345195729534,2025-04-25 15:33:53.256314,2025-04-25 15:33:53.447393,0 days 00:00:00.191079,3.8906,7,0.3500022339027433,COMPLETE
26,26,0.050689195197865716,2025-04-25 15:33:53.447612,2025-04-25 15:33:53.641544,0 days 00:00:00.193932,3.8906,11,0.5809790968657171,COMPLETE
27,27,0.037735849056603765,2025-04-25 15:33:53.641785,2025-04-25 15:33:53.846754,0 days 00:00:00.204969,3.8906,15,1.6878681681502932,COMPLETE
28,28,0.05269868253293668,2025-04-25 15:33:53.846968,2025-04-25 15:33:54.047463,0 days 00:00:00.200495,3.8906,21,1.3714903914094956,COMPLETE
29,29,0.05412371134020619,2025-04-25 15:33:54.047732,2025-04-25 15:33:54.247356,0 days 00:00:00.199624,3.8906,25,1.7380676141787694,COMPLETE
30,30,0.05165733964700818,2025-04-25 15:33:54.247588,2025-04-25 15:33:54.448034,0 days 00:00:00.200446,3.8906,17,0.9731408857044965,COMPLETE
31,31,0.07189339944220638,2025-04-25 15:33:54.448330,2025-04-25 15:33:54.646791,0 days 00:00:00.198461,3.8906,18,0.13546365340145036,COMPLETE
32,32,0.06247464503042596,2025-04-25 15:33:54.647011,2025-04-25 15:33:54.841255,0 days 00:00:00.194244,3.8906,14,0.2667982824845115,COMPLETE
33,33,0.06746675316250406,2025-04-25 15:33:54.841482,2025-04-25 15:33:55.034911,0 days 00:00:00.193429,3.8906,21,0.3826251279541213,COMPLETE
34,34,0.06593406593406592,2025-04-25 15:33:55.035111,2025-04-25 15:33:55.226771,0 days 00:00:00.191660,3.8906,17,0.3069578194931921,COMPLETE
35,35,0.07288721332076657,2025-04-25 15:33:55.226975,2025-04-25 15:33:55.418304,0 days 00:00:00.191329,3.8906,19,0.1887706146798726,COMPLETE
36,36,0.06740837696335078,2025-04-25 15:33:55.418505,2025-04-25 15:33:55.609878,0 days 00:00:00.191373,3.8906,24,0.48401747412054774,COMPLETE
37,37,0.0732092142631745,2025-04-25 15:33:55.610089,2025-04-25 15:33:55.801417,0 days 00:00:00.191328,3.8906,19,0.2006602709064661,COMPLETE
38,38,0.06489675516224189,2025-04-25 15:33:55.801626,2025-04-25 15:33:56.002256,0 days 00:00:00.200630,3.8906,20,0.40040781338001075,COMPLETE
39,39,0.06502463054187192,2025-04-25 15:33:56.002485,2025-04-25 15:33:56.198774,0 days 00:00:00.196289,3.8906,23,0.5707213118511281,COMPLETE
40,40,0.06786296900489396,2025-04-25 15:33:56.198996,2025-04-25 15:33:56.393283,0 days 00:00:00.194287,3.8906,18,0.2731773828759245,COMPLETE
41,41,0.06953937592867755,2025-04-25 15:33:56.393487,2025-04-25 15:33:56.586302,0 days 00:00:00.192815,3.8906,25,0.19367490949234573,COMPLETE
42,42,0.07330173775671406,2025-04-25 15:33:56.586514,2025-04-25 15:33:56.779913,0 days 00:00:00.193399,3.8906,19,0.2034715043428601,COMPLETE
43,43,0.07210626185958253,2025-04-25 15:33:56.780118,2025-04-25 15:33:56.971932,0 days 00:00:00.191814,3.8906,20,0.23905814186746993,COMPLETE
44,44,0.0679419525065963,2025-04-25 15:33:56.972140,2025-04-25 15:33:57.163532,0 days 00:00:00.191392,3.8906,27,0.7284827458495777,COMPLETE
45,45,0.05165733964700818,2025-04-25 15:33:57.163735,2025-04-25 15:33:57.355738,0 days 00:00:00.192003,3.8906,19,1.3754599635793503,COMPLETE
46,46,0.06486125041792043,2025-04-25 15:33:57.355948,2025-04-25 15:33:57.547713,0 days 00:00:00.191765,3.8906,20,0.5453727140530167,COMPLETE
47,47,0.06547619047619048,2025-04-25 15:33:57.547913,2025-04-25 15:33:57.739761,0 days 00:00:00.191848,3.8906,20,0.4236632321218703,COMPLETE
48,48,0.10294117647058823,2025-04-25 15:33:57.739967,2025-04-25 15:33:57.931350,0 days 00:00:00.191383,3.8906,6,1.9789991171564858,COMPLETE
49,49,0.10144927536231885,2025-04-25 15:33:57.931571,2025-04-25 15:33:58.123639,0 days 00:00:00.192068,3.8906,6,1.7696266872252722,COMPLETE
50,50,0.03633846686277903,2025-04-25 15:33:58.123866,2025-04-25 15:33:58.320708,0 days 00:00:00.196842,3.8906,5,1.951864401479795,COMPLETE
51,51,0.03497513236001925,2025-04-25 15:33:58.320911,2025-04-25 15:33:58.516030,0 days 00:00:00.195119,3.8906,3,1.8258971712689531,COMPLETE
52,52,0.08091286307053942,2025-04-25 15:33:58.516251,2025-04-25 15:33:58.709327,0 days 00:00:00.193076,3.8906,7,1.8547400650835904,COMPLETE
53,53,0.0972568578553616,2025-04-25 15:33:58.709535,2025-04-25 15:33:58.902959,0 days 00:00:00.193424,3.8906,7,1.97534954263847,COMPLETE
54,54,0.10294117647058823,2025-04-25 15:33:58.903206,2025-04-25 15:33:59.095480,0 days 00:00:00.192274,3.8906,6,1.9765440063119433,COMPLETE
55,55,0.0975,2025-04-25 15:33:59.095688,2025-04-25 15:33:59.287686,0 days 00:00:00.191998,3.8906,7,1.9887357862969162,COMPLETE
