,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-05 14:03:57.051923,2025-05-05 14:03:57.051991,0 days 00:00:00.000068,COMPLETE
1,1,0.0,2025-05-05 14:03:57.052116,2025-05-05 14:03:57.052139,0 days 00:00:00.000023,COMPLETE
2,2,0.0,2025-05-05 14:03:57.052224,2025-05-05 14:03:57.052243,0 days 00:00:00.000019,COMPLETE
3,3,0.0,2025-05-05 14:03:57.052318,2025-05-05 14:03:57.052335,0 days 00:00:00.000017,COMPLETE
4,4,0.0,2025-05-05 14:03:57.052409,2025-05-05 14:03:57.052426,0 days 00:00:00.000017,COMPLETE
5,5,0.0,2025-05-05 14:03:57.052509,2025-05-05 14:03:57.052526,0 days 00:00:00.000017,COMPLETE
6,6,0.0,2025-05-05 14:03:57.052597,2025-05-05 14:03:57.052613,0 days 00:00:00.000016,COMPLETE
7,7,0.0,2025-05-05 14:03:57.052681,2025-05-05 14:03:57.052696,0 days 00:00:00.000015,COMPLETE
8,8,0.0,2025-05-05 14:03:57.052765,2025-05-05 14:03:57.052780,0 days 00:00:00.000015,COMPLETE
9,9,0.0,2025-05-05 14:03:57.052850,2025-05-05 14:03:57.052865,0 days 00:00:00.000015,COMPLETE
10,10,0.0,2025-05-05 14:03:57.052932,2025-05-05 14:03:57.052947,0 days 00:00:00.000015,COMPLETE
11,11,0.0,2025-05-05 14:03:57.053020,2025-05-05 14:03:57.053035,0 days 00:00:00.000015,COMPLETE
12,12,0.0,2025-05-05 14:03:57.053112,2025-05-05 14:03:57.053128,0 days 00:00:00.000016,COMPLETE
13,13,0.0,2025-05-05 14:03:57.053199,2025-05-05 14:03:57.053214,0 days 00:00:00.000015,COMPLETE
14,14,0.0,2025-05-05 14:03:57.053284,2025-05-05 14:03:57.053299,0 days 00:00:00.000015,COMPLETE
15,15,0.0,2025-05-05 14:03:57.053367,2025-05-05 14:03:57.053381,0 days 00:00:00.000014,COMPLETE
16,16,0.0,2025-05-05 14:03:57.053449,2025-05-05 14:03:57.053463,0 days 00:00:00.000014,COMPLETE
17,17,0.0,2025-05-05 14:03:57.053528,2025-05-05 14:03:57.053542,0 days 00:00:00.000014,COMPLETE
18,18,0.0,2025-05-05 14:03:57.053608,2025-05-05 14:03:57.053622,0 days 00:00:00.000014,COMPLETE
19,19,0.0,2025-05-05 14:03:57.053688,2025-05-05 14:03:57.053702,0 days 00:00:00.000014,COMPLETE
20,20,0.0,2025-05-05 14:03:57.053768,2025-05-05 14:03:57.053782,0 days 00:00:00.000014,COMPLETE
21,21,0.0,2025-05-05 14:03:57.053847,2025-05-05 14:03:57.053862,0 days 00:00:00.000015,COMPLETE
22,22,0.0,2025-05-05 14:03:57.053929,2025-05-05 14:03:57.053943,0 days 00:00:00.000014,COMPLETE
23,23,0.0,2025-05-05 14:03:57.054010,2025-05-05 14:03:57.054024,0 days 00:00:00.000014,COMPLETE
24,24,0.0,2025-05-05 14:03:57.054090,2025-05-05 14:03:57.054104,0 days 00:00:00.000014,COMPLETE
25,25,0.0,2025-05-05 14:03:57.054169,2025-05-05 14:03:57.054183,0 days 00:00:00.000014,COMPLETE
26,26,0.0,2025-05-05 14:03:57.054249,2025-05-05 14:03:57.054262,0 days 00:00:00.000013,COMPLETE
27,27,0.0,2025-05-05 14:03:57.054329,2025-05-05 14:03:57.054343,0 days 00:00:00.000014,COMPLETE
28,28,0.0,2025-05-05 14:03:57.054413,2025-05-05 14:03:57.054428,0 days 00:00:00.000015,COMPLETE
29,29,0.0,2025-05-05 14:03:57.054494,2025-05-05 14:03:57.054507,0 days 00:00:00.000013,COMPLETE
