,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-05 16:05:46.939782,2025-05-05 16:05:46.939862,0 days 00:00:00.000080,COMPLETE
1,1,0.0,2025-05-05 16:05:46.940060,2025-05-05 16:05:46.940096,0 days 00:00:00.000036,COMPLETE
2,2,0.0,2025-05-05 16:05:46.940239,2025-05-05 16:05:46.940272,0 days 00:00:00.000033,COMPLETE
3,3,0.0,2025-05-05 16:05:46.940407,2025-05-05 16:05:46.940440,0 days 00:00:00.000033,COMPLETE
4,4,0.0,2025-05-05 16:05:46.940575,2025-05-05 16:05:46.940607,0 days 00:00:00.000032,COMPLETE
5,5,0.0,2025-05-05 16:05:46.940737,2025-05-05 16:05:46.940769,0 days 00:00:00.000032,COMPLETE
6,6,0.0,2025-05-05 16:05:46.940897,2025-05-05 16:05:46.940934,0 days 00:00:00.000037,COMPLETE
7,7,0.0,2025-05-05 16:05:46.941071,2025-05-05 16:05:46.941103,0 days 00:00:00.000032,COMPLETE
8,8,0.0,2025-05-05 16:05:46.941233,2025-05-05 16:05:46.941264,0 days 00:00:00.000031,COMPLETE
9,9,0.0,2025-05-05 16:05:46.941394,2025-05-05 16:05:46.941424,0 days 00:00:00.000030,COMPLETE
10,10,0.0,2025-05-05 16:05:46.941555,2025-05-05 16:05:46.941585,0 days 00:00:00.000030,COMPLETE
11,11,0.0,2025-05-05 16:05:46.941714,2025-05-05 16:05:46.941746,0 days 00:00:00.000032,COMPLETE
12,12,0.0,2025-05-05 16:05:46.941876,2025-05-05 16:05:46.941907,0 days 00:00:00.000031,COMPLETE
13,13,0.0,2025-05-05 16:05:46.942046,2025-05-05 16:05:46.942079,0 days 00:00:00.000033,COMPLETE
14,14,0.0,2025-05-05 16:05:46.942210,2025-05-05 16:05:46.942241,0 days 00:00:00.000031,COMPLETE
15,15,0.0,2025-05-05 16:05:46.942370,2025-05-05 16:05:46.942401,0 days 00:00:00.000031,COMPLETE
16,16,0.0,2025-05-05 16:05:46.942533,2025-05-05 16:05:46.942564,0 days 00:00:00.000031,COMPLETE
17,17,0.0,2025-05-05 16:05:46.942694,2025-05-05 16:05:46.942725,0 days 00:00:00.000031,COMPLETE
18,18,0.0,2025-05-05 16:05:46.942854,2025-05-05 16:05:46.942886,0 days 00:00:00.000032,COMPLETE
19,19,0.0,2025-05-05 16:05:46.943017,2025-05-05 16:05:46.943048,0 days 00:00:00.000031,COMPLETE
20,20,0.0,2025-05-05 16:05:46.943178,2025-05-05 16:05:46.943210,0 days 00:00:00.000032,COMPLETE
21,21,0.0,2025-05-05 16:05:46.943340,2025-05-05 16:05:46.943372,0 days 00:00:00.000032,COMPLETE
22,22,0.0,2025-05-05 16:05:46.943501,2025-05-05 16:05:46.943531,0 days 00:00:00.000030,COMPLETE
23,23,0.0,2025-05-05 16:05:46.943658,2025-05-05 16:05:46.943689,0 days 00:00:00.000031,COMPLETE
24,24,0.0,2025-05-05 16:05:46.943818,2025-05-05 16:05:46.943849,0 days 00:00:00.000031,COMPLETE
25,25,0.0,2025-05-05 16:05:46.943976,2025-05-05 16:05:46.944006,0 days 00:00:00.000030,COMPLETE
26,26,0.0,2025-05-05 16:05:46.944134,2025-05-05 16:05:46.944164,0 days 00:00:00.000030,COMPLETE
27,27,0.0,2025-05-05 16:05:46.944293,2025-05-05 16:05:46.944323,0 days 00:00:00.000030,COMPLETE
28,28,0.0,2025-05-05 16:05:46.944453,2025-05-05 16:05:46.944484,0 days 00:00:00.000031,COMPLETE
29,29,0.0,2025-05-05 16:05:46.944613,2025-05-05 16:05:46.944644,0 days 00:00:00.000031,COMPLETE
