,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.4999999999999999,2025-07-02 14:10:53.369780,2025-07-02 14:12:23.322541,0 days 00:01:29.952761,0.12,0.02,4000,COMPLETE
1,1,0.44590581247348327,2025-07-02 14:12:23.322847,2025-07-02 14:13:15.393093,0 days 00:00:52.070246,0.21000000000000002,0.15000000000000002,4000,COMPLETE
2,2,0.49743694894402296,2025-07-02 14:13:15.393379,2025-07-02 14:14:29.538138,0 days 00:01:14.144759,0.16,0.12,5000,COMPLETE
3,3,0.2917251051893408,2025-07-02 14:14:29.538438,2025-07-02 14:15:10.199106,0 days 00:00:40.660668,0.6900000000000001,0.64,4000,COMPLETE
4,4,0.3909311027955096,2025-07-02 14:15:10.199399,2025-07-02 14:16:12.588252,0 days 00:01:02.388853,0.42000000000000004,0.41000000000000003,5000,COMPLETE
5,5,0.43144815766923744,2025-07-02 14:16:12.588559,2025-07-02 14:17:03.205227,0 days 00:00:50.616668,0.24000000000000002,0.18000000000000002,4000,COMPLETE
6,6,0.3884479717813052,2025-07-02 14:17:03.205507,2025-07-02 14:17:33.145085,0 days 00:00:29.939578,0.41,0.31,3000,COMPLETE
7,7,0.42046190373408165,2025-07-02 14:17:33.145384,2025-07-02 14:18:43.351161,0 days 00:01:10.205777,0.26,0.17,5000,COMPLETE
8,8,0.5064115611642581,2025-07-02 14:18:43.351460,2025-07-02 14:19:55.865416,0 days 00:01:12.513956,0.11,0.03,3500,COMPLETE
9,9,0.39199296084469865,2025-07-02 14:19:55.865705,2025-07-02 14:20:24.653566,0 days 00:00:28.787861,0.41,0.37,3000,COMPLETE
10,10,0.3091161499305877,2025-07-02 14:20:24.653867,2025-07-02 14:20:58.386998,0 days 00:00:33.733131,0.5800000000000001,0.56,3500,COMPLETE
11,11,0.9380804953560372,2025-07-02 14:20:58.387288,2025-07-02 14:22:36.960760,0 days 00:01:38.573472,0.01,0.01,3500,COMPLETE
12,12,0.898806893504198,2025-07-02 14:22:36.961069,2025-07-02 14:23:59.148085,0 days 00:01:22.187016,0.02,0.02,3500,COMPLETE
13,13,0.819135410044501,2025-07-02 14:23:59.148378,2025-07-02 14:25:11.591642,0 days 00:01:12.443264,0.03,0.03,3500,COMPLETE
14,14,0.430195153334763,2025-07-02 14:25:11.591936,2025-07-02 14:26:07.007058,0 days 00:00:55.415122,0.28,0.28,4500,COMPLETE
15,15,0.4506982649174778,2025-07-02 14:26:07.007363,2025-07-02 14:26:47.073741,0 days 00:00:40.066378,0.24000000000000002,0.24000000000000002,3500,COMPLETE
16,16,0.5501183898973954,2025-07-02 14:26:47.074036,2025-07-02 14:27:31.748607,0 days 00:00:44.674571,0.09,0.09,3000,COMPLETE
17,17,0.3860424028268551,2025-07-02 14:27:31.748901,2025-07-02 14:28:23.475310,0 days 00:00:51.726409,0.47,0.44,4500,COMPLETE
18,18,0.5512618296529969,2025-07-02 14:28:23.475594,2025-07-02 14:29:15.018372,0 days 00:00:51.542778,0.09,0.09,3500,COMPLETE
19,19,0.4506029193991961,2025-07-02 14:29:15.018657,2025-07-02 14:30:11.474328,0 days 00:00:56.455671,0.24000000000000002,0.24000000000000002,4500,COMPLETE
20,20,0.37455516014234874,2025-07-02 14:30:11.474579,2025-07-02 14:30:38.614790,0 days 00:00:27.140211,0.53,0.49,3000,COMPLETE
21,21,0.898806893504198,2025-07-02 14:30:38.615069,2025-07-02 14:32:00.536041,0 days 00:01:21.920972,0.02,0.02,3500,COMPLETE
22,22,0.9380804953560372,2025-07-02 14:32:00.536331,2025-07-02 14:33:39.417037,0 days 00:01:38.880706,0.01,0.01,3500,COMPLETE
23,23,0.5626219274287944,2025-07-02 14:33:39.417515,2025-07-02 14:34:32.390027,0 days 00:00:52.972512,0.08,0.08,3500,COMPLETE
24,24,0.5609994144056216,2025-07-02 14:34:32.390308,2025-07-02 14:35:21.005936,0 days 00:00:48.615628,0.06999999999999999,0.06999999999999999,3000,COMPLETE
25,25,0.5081366965012205,2025-07-02 14:35:21.006227,2025-07-02 14:36:06.636194,0 days 00:00:45.629967,0.14,0.14,3500,COMPLETE
26,26,0.4475968663984756,2025-07-02 14:36:06.636488,2025-07-02 14:36:55.925420,0 days 00:00:49.288932,0.21000000000000002,0.21000000000000002,4000,COMPLETE
27,27,0.9385113268608415,2025-07-02 14:36:55.925682,2025-07-02 14:38:42.331281,0 days 00:01:46.405599,0.01,0.01,4000,COMPLETE
