,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9971,2025-05-05 02:40:00.400119,2025-05-05 02:45:28.149484,0 days 00:05:27.749365,32,20,128,0.002,0.94,2,,,,COMPLETE
1,1,0.9985,2025-05-05 02:45:28.149979,2025-05-05 02:51:14.272923,0 days 00:05:46.122944,512,20,128,0.002,0.87,2,,,,COMPLETE
2,2,0.9974,2025-05-05 02:51:14.273391,2025-05-05 02:57:35.630367,0 days 00:06:21.356976,1024,20,128,0.001,0.9099999999999999,2,,,,COMPLETE
3,3,0.9985,2025-05-05 02:57:35.630845,2025-05-05 03:03:03.311048,0 days 00:05:27.680203,64,20,128,0.002,0.86,2,,,,COMPLETE
4,4,0.9394,2025-05-05 03:03:03.311496,2025-05-05 03:08:49.290845,0 days 00:05:45.979349,32,20,128,0.005,0.97,2,0.9659,0.9659,0.9659,COMPLETE
5,5,0.9866,2025-05-05 03:08:49.291277,2025-05-05 03:14:35.588293,0 days 00:05:46.297016,32,20,128,0.005,0.9099999999999999,2,0.9911,0.9911,,COMPLETE
6,6,0.9982,2025-05-05 03:14:35.588713,2025-05-05 03:20:18.218668,0 days 00:05:42.629955,256,20,128,0.002,0.87,2,,,,COMPLETE
7,7,0.9985,2025-05-05 03:20:18.219090,2025-05-05 03:25:45.274189,0 days 00:05:27.055099,64,20,128,0.002,0.95,2,,,,COMPLETE
8,8,0.9903,2025-05-05 03:25:45.274610,2025-05-05 03:31:30.413290,0 days 00:05:45.138680,32,20,128,0.005,0.96,2,0.9903,0.9903,0.9903,COMPLETE
9,9,0.9902,2025-05-05 03:31:30.413703,2025-05-05 03:37:16.649561,0 days 00:05:46.235858,32,20,128,0.005,0.9299999999999999,2,,,,COMPLETE
10,10,0.9973,2025-05-05 03:37:16.650004,2025-05-05 03:43:00.593519,0 days 00:05:43.943515,512,20,128,0.001,0.88,2,,,,COMPLETE
11,11,0.9944,2025-05-05 03:43:00.593953,2025-05-05 03:48:27.999884,0 days 00:05:27.405931,64,20,128,0.002,0.85,2,0.9945,0.9945,0.9945,COMPLETE
12,12,0.9979,2025-05-05 03:48:28.000299,2025-05-05 03:54:12.643382,0 days 00:05:44.643083,512,20,128,0.002,0.88,2,0.9979,0.9979,0.9979,COMPLETE
13,13,0.9986,2025-05-05 03:54:12.643801,2025-05-05 03:59:37.263094,0 days 00:05:24.619293,128,20,128,0.002,0.85,2,0.9986,0.9986,0.9986,COMPLETE
14,14,0.9986,2025-05-05 03:59:37.263529,2025-05-05 04:04:59.132632,0 days 00:05:21.869103,128,20,128,0.002,0.99,2,,,,COMPLETE
15,15,0.9977,2025-05-05 04:04:59.133060,2025-05-05 04:10:21.278403,0 days 00:05:22.145343,128,20,128,0.002,0.99,2,,,,COMPLETE
16,16,0.9985,2025-05-05 04:10:21.278853,2025-05-05 04:15:42.258483,0 days 00:05:20.979630,128,20,128,0.001,0.9,2,,,,COMPLETE
17,17,0.9988,2025-05-05 04:15:42.258910,2025-05-05 04:21:04.993797,0 days 00:05:22.734887,128,20,128,0.002,0.99,2,,,,COMPLETE
18,18,0.9944,2025-05-05 04:21:04.994231,2025-05-05 04:25:53.414887,0 days 00:04:48.420656,128,20,128,0.002,0.97,2,0.9944,,,PRUNED
19,19,0.9988,2025-05-05 04:25:53.415235,2025-05-05 04:31:16.686789,0 days 00:05:23.271554,128,20,128,0.001,0.89,2,,,,COMPLETE
20,20,0.9969,2025-05-05 04:31:16.687226,2025-05-05 04:36:04.538350,0 days 00:04:47.851124,256,20,128,0.001,0.89,2,0.9969,,,PRUNED
21,21,0.9985,2025-05-05 04:36:04.538691,2025-05-05 04:41:28.913619,0 days 00:05:24.374928,128,20,128,0.001,0.85,2,0.9985,,,COMPLETE
22,22,0.9974,2025-05-05 04:41:28.914043,2025-05-05 04:45:29.076069,0 days 00:04:00.162026,128,20,128,0.001,0.9199999999999999,2,0.9974,,,PRUNED
23,23,0.9984,2025-05-05 04:45:29.076403,2025-05-05 04:50:52.125322,0 days 00:05:23.048919,128,20,128,0.001,0.89,2,,,,COMPLETE
24,24,0.9936,2025-05-05 04:50:52.125763,2025-05-05 04:57:12.412376,0 days 00:06:20.286613,1024,20,128,0.002,0.9299999999999999,2,0.9933,0.9933,,COMPLETE
25,25,0.9984,2025-05-05 04:57:12.412816,2025-05-05 05:02:36.877849,0 days 00:05:24.465033,128,20,128,0.001,0.86,2,,,,COMPLETE
26,26,0.9986,2025-05-05 05:02:36.878322,2025-05-05 05:07:58.662099,0 days 00:05:21.783777,128,20,128,0.002,0.9,2,0.9986,,,COMPLETE
27,27,0.9952,2025-05-05 05:07:58.662541,2025-05-05 05:12:15.763833,0 days 00:04:17.101292,128,20,128,0.002,0.87,2,0.9952,,,PRUNED
28,28,0.9982,2025-05-05 05:12:15.764171,2025-05-05 05:17:37.360074,0 days 00:05:21.595903,128,20,128,0.001,0.98,2,,,,COMPLETE
29,29,0.9975,2025-05-05 05:17:37.360520,2025-05-05 05:23:19.138142,0 days 00:05:41.777622,256,20,128,0.005,0.95,2,,,,COMPLETE
