,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.2806458949283603,2025-05-02 23:17:51.017109,2025-05-02 23:17:51.646023,0 days 00:00:00.628914,3.8906,21,0.47224721767948563,COMPLETE
1,1,0.15061124694376526,2025-05-02 23:17:51.646960,2025-05-02 23:17:52.034188,0 days 00:00:00.387228,3.8906,5,0.7789610790888775,COMPLETE
2,2,0.0068783068783068784,2025-05-02 23:17:52.035108,2025-05-02 23:17:52.319046,0 days 00:00:00.283938,3.8906,4,1.8995961460264477,COMPLETE
3,3,0.04360388757551878,2025-05-02 23:17:52.320049,2025-05-02 23:17:52.670580,0 days 00:00:00.350531,3.8906,27,1.6229299069516703,COMPLETE
4,4,0.1646398503274088,2025-05-02 23:17:52.671699,2025-05-02 23:17:53.132809,0 days 00:00:00.461110,3.8906,17,0.5653004965121396,COMPLETE
5,5,0.025144054478784702,2025-05-02 23:17:53.133687,2025-05-02 23:17:53.520516,0 days 00:00:00.386829,3.8906,4,1.6009630193651114,COMPLETE
6,6,0.05478036175710595,2025-05-02 23:17:53.521781,2025-05-02 23:17:53.910356,0 days 00:00:00.388575,3.8906,5,1.4261404370002266,COMPLETE
7,7,0.121691813010141,2025-05-02 23:17:53.911335,2025-05-02 23:17:54.286051,0 days 00:00:00.374716,3.8906,10,1.1644024788025213,COMPLETE
8,8,0.0700025926886181,2025-05-02 23:17:54.286927,2025-05-02 23:17:54.944627,0 days 00:00:00.657700,3.8906,29,1.3585258215363731,COMPLETE
9,9,0.07313997477931905,2025-05-02 23:17:54.945986,2025-05-02 23:17:55.207244,0 days 00:00:00.261258,3.8906,13,1.0069652269445026,COMPLETE
10,10,0.4837791690381333,2025-05-02 23:17:55.207864,2025-05-02 23:17:55.775757,0 days 00:00:00.567893,3.8906,22,0.10058210828573044,COMPLETE
11,11,0.46396218983851917,2025-05-02 23:17:55.776767,2025-05-02 23:17:56.162408,0 days 00:00:00.385641,3.8906,21,0.1547751967715111,COMPLETE
12,12,0.4738863287250384,2025-05-02 23:17:56.163018,2025-05-02 23:17:56.599679,0 days 00:00:00.436661,3.8906,22,0.11127895093205298,COMPLETE
13,13,0.4750342666927746,2025-05-02 23:17:56.600280,2025-05-02 23:17:57.014172,0 days 00:00:00.413892,3.8906,23,0.12947302809878938,COMPLETE
14,14,0.2865576748410536,2025-05-02 23:17:57.015187,2025-05-02 23:17:57.469311,0 days 00:00:00.454124,3.8906,25,0.37011061133631434,COMPLETE
15,15,0.14485870339586795,2025-05-02 23:17:57.470137,2025-05-02 23:17:57.978434,0 days 00:00:00.508297,3.8906,17,0.6989588712304835,COMPLETE
16,16,0.3008455718736093,2025-05-02 23:17:57.979288,2025-05-02 23:17:58.343306,0 days 00:00:00.364018,3.8906,24,0.29341664732987627,COMPLETE
17,17,0.13037037037037036,2025-05-02 23:17:58.344353,2025-05-02 23:17:58.790523,0 days 00:00:00.446170,3.8906,19,0.8685270851179236,COMPLETE
18,18,0.2114221724524076,2025-05-02 23:17:58.791549,2025-05-02 23:17:59.162913,0 days 00:00:00.371364,3.8906,13,0.2690162378721602,COMPLETE
19,19,0.17638483965014579,2025-05-02 23:17:59.163772,2025-05-02 23:17:59.642132,0 days 00:00:00.478360,3.8906,29,0.6115045464953702,COMPLETE
20,20,0.2752502274795268,2025-05-02 23:17:59.642978,2025-05-02 23:18:00.017687,0 days 00:00:00.374709,3.8906,24,0.38829804312347516,COMPLETE
21,21,0.4737953541946631,2025-05-02 23:18:00.018545,2025-05-02 23:18:00.327919,0 days 00:00:00.309374,3.8906,21,0.10369467095946128,COMPLETE
22,22,0.5054246165357277,2025-05-02 23:18:00.328763,2025-05-02 23:18:00.761236,0 days 00:00:00.432473,3.8906,25,0.10204460030027362,COMPLETE
23,23,0.2255498362189986,2025-05-02 23:18:00.762243,2025-05-02 23:18:01.268571,0 days 00:00:00.506328,3.8906,26,0.30154170824701215,COMPLETE
24,24,0.2893366538374462,2025-05-02 23:18:01.269618,2025-05-02 23:18:01.619792,0 days 00:00:00.350174,3.8906,23,0.4476280557531711,COMPLETE
25,25,0.30436681222707423,2025-05-02 23:18:01.620656,2025-05-02 23:18:02.012599,0 days 00:00:00.391943,3.8906,19,0.21177270559883624,COMPLETE
26,26,0.17736854858250548,2025-05-02 23:18:02.013427,2025-05-02 23:18:02.427309,0 days 00:00:00.413882,3.8906,27,0.5247798379405567,COMPLETE
27,27,0.12295488349033218,2025-05-02 23:18:02.428150,2025-05-02 23:18:03.186840,0 days 00:00:00.758690,3.8906,19,0.9279758331983315,COMPLETE
28,28,0.12150433944069433,2025-05-02 23:18:03.187787,2025-05-02 23:18:03.851824,0 days 00:00:00.664037,3.8906,14,0.7050372005708259,COMPLETE
29,29,0.2844182354275346,2025-05-02 23:18:03.852660,2025-05-02 23:18:04.223088,0 days 00:00:00.370428,3.8906,21,0.44860019649062527,COMPLETE
30,30,0.26277372262773724,2025-05-02 23:18:04.224467,2025-05-02 23:18:04.494525,0 days 00:00:00.270058,3.8906,27,0.24095487953866784,COMPLETE
31,31,0.4668094218415417,2025-05-02 23:18:04.495364,2025-05-02 23:18:05.030090,0 days 00:00:00.534726,3.8906,22,0.13638311667144729,COMPLETE
32,32,0.4697029702970296,2025-05-02 23:18:05.031092,2025-05-02 23:18:05.525779,0 days 00:00:00.494687,3.8906,23,0.1658921654320916,COMPLETE
33,33,0.5016261718002678,2025-05-02 23:18:05.526618,2025-05-02 23:18:06.027200,0 days 00:00:00.500582,3.8906,25,0.1157272678757073,COMPLETE
34,34,0.29749830966869506,2025-05-02 23:18:06.044039,2025-05-02 23:18:06.457779,0 days 00:00:00.413740,3.8906,25,0.34129975183077016,COMPLETE
35,35,0.036430834213305174,2025-05-02 23:18:06.467924,2025-05-02 23:18:06.873497,0 days 00:00:00.405573,3.8906,28,1.9268753285197902,COMPLETE
36,36,0.15267175572519084,2025-05-02 23:18:06.874540,2025-05-02 23:18:07.408413,0 days 00:00:00.533873,3.8906,26,0.6064015784079642,COMPLETE
37,37,0.26994711427914464,2025-05-02 23:18:07.409253,2025-05-02 23:18:08.000551,0 days 00:00:00.591298,3.8906,25,0.4650076681060069,COMPLETE
38,38,0.30596026490066225,2025-05-02 23:18:08.001663,2025-05-02 23:18:08.605294,0 days 00:00:00.603631,3.8906,20,0.24358376671807208,COMPLETE
39,39,0.09514321295143213,2025-05-02 23:18:08.606755,2025-05-02 23:18:09.061814,0 days 00:00:00.455059,3.8906,16,1.1590901387368382,COMPLETE
40,40,0.4562252104092096,2025-05-02 23:18:09.062777,2025-05-02 23:18:09.372079,0 days 00:00:00.309302,3.8906,7,0.3741198940877056,COMPLETE
41,41,0.47452978056426337,2025-05-02 23:18:09.373005,2025-05-02 23:18:09.661111,0 days 00:00:00.288106,3.8906,23,0.13180646021317666,COMPLETE
42,42,0.49503816793893135,2025-05-02 23:18:09.661962,2025-05-02 23:18:10.074222,0 days 00:00:00.412260,3.8906,23,0.10326210133999257,COMPLETE
43,43,0.35278969957081546,2025-05-02 23:18:10.075207,2025-05-02 23:18:10.504737,0 days 00:00:00.429530,3.8906,24,0.21465969810647031,COMPLETE
44,44,0.03385347791589527,2025-05-02 23:18:10.505745,2025-05-02 23:18:10.967421,0 days 00:00:00.461676,3.8906,26,1.8348139519710278,COMPLETE
45,45,0.3111013602457218,2025-05-02 23:18:10.968266,2025-05-02 23:18:11.270414,0 days 00:00:00.302148,3.8906,20,0.22260583386925248,COMPLETE
46,46,0.3010033444816054,2025-05-02 23:18:11.271423,2025-05-02 23:18:11.749102,0 days 00:00:00.477679,3.8906,22,0.3281309481175024,COMPLETE
47,47,0.4962349397590361,2025-05-02 23:18:11.750101,2025-05-02 23:18:12.228192,0 days 00:00:00.478091,3.8906,28,0.10839577170912865,COMPLETE
48,48,0.5028100412139379,2025-05-02 23:18:12.229085,2025-05-02 23:18:12.820221,0 days 00:00:00.591136,3.8906,28,0.10488673010639468,COMPLETE
49,49,0.18383594692400484,2025-05-02 23:18:12.821050,2025-05-02 23:18:13.165622,0 days 00:00:00.344572,3.8906,28,0.519498152647434,COMPLETE
50,50,0.06799896184791072,2025-05-02 23:18:13.166479,2025-05-02 23:18:13.532010,0 days 00:00:00.365531,3.8906,29,1.3957863630672533,COMPLETE
51,51,0.29138777331548416,2025-05-02 23:18:13.532868,2025-05-02 23:18:13.879852,0 days 00:00:00.346984,3.8906,28,0.2049258260796012,COMPLETE
52,52,0.48156014674647607,2025-05-02 23:18:13.880704,2025-05-02 23:18:14.248717,0 days 00:00:00.368013,3.8906,27,0.11921667482183845,COMPLETE
53,53,0.3146666666666666,2025-05-02 23:18:14.249578,2025-05-02 23:18:14.627066,0 days 00:00:00.377488,3.8906,25,0.2788893888246442,COMPLETE
54,54,0.5159505808593029,2025-05-02 23:18:14.627927,2025-05-02 23:18:14.982790,0 days 00:00:00.354863,3.8906,29,0.10364906349259602,COMPLETE
55,55,0.057933194154488526,2025-05-02 23:18:14.983795,2025-05-02 23:18:15.427193,0 days 00:00:00.443398,3.8906,29,1.5150278878979342,COMPLETE
56,56,0.20542082738944367,2025-05-02 23:18:15.428079,2025-05-02 23:18:15.827707,0 days 00:00:00.399628,3.8906,27,0.40233330927319133,COMPLETE
57,57,0.34381732012063765,2025-05-02 23:18:15.828581,2025-05-02 23:18:16.219795,0 days 00:00:00.391214,3.8906,28,0.17925723633056312,COMPLETE
58,58,0.2215962441314554,2025-05-02 23:18:16.220653,2025-05-02 23:18:16.615149,0 days 00:00:00.394496,3.8906,26,0.31814365536915823,COMPLETE
59,59,0.5065371684721705,2025-05-02 23:18:16.616155,2025-05-02 23:18:17.082140,0 days 00:00:00.465985,3.8906,29,0.11065774557492035,COMPLETE
60,60,0.27126332501701067,2025-05-02 23:18:17.083148,2025-05-02 23:18:17.685812,0 days 00:00:00.602664,3.8906,29,0.2589238155220022,COMPLETE
61,61,0.5065274151436032,2025-05-02 23:18:17.686462,2025-05-02 23:18:18.048033,0 days 00:00:00.361571,3.8906,28,0.10197785632642457,COMPLETE
62,62,0.34381732012063765,2025-05-02 23:18:18.049036,2025-05-02 23:18:18.338585,0 days 00:00:00.289549,3.8906,28,0.17844950739881693,COMPLETE
63,63,0.5154071900220102,2025-05-02 23:18:18.339580,2025-05-02 23:18:18.725766,0 days 00:00:00.386186,3.8906,29,0.10102316872987656,COMPLETE
64,64,0.3448275862068966,2025-05-02 23:18:18.726671,2025-05-02 23:18:19.439954,0 days 00:00:00.713283,3.8906,29,0.18779239041049983,COMPLETE
65,65,0.22632686462473697,2025-05-02 23:18:19.441074,2025-05-02 23:18:20.082305,0 days 00:00:00.641231,3.8906,26,0.2947411216037821,COMPLETE
66,66,0.20376100928350394,2025-05-02 23:18:20.083159,2025-05-02 23:18:20.381131,0 days 00:00:00.297972,3.8906,27,0.4080711205809576,COMPLETE
67,67,0.3543762037235181,2025-05-02 23:18:20.382136,2025-05-02 23:18:20.801070,0 days 00:00:00.418934,3.8906,29,0.17601242884887308,COMPLETE
68,68,0.47985347985347987,2025-05-02 23:18:20.802072,2025-05-02 23:18:21.322518,0 days 00:00:00.520446,3.8906,9,0.25585855633499743,COMPLETE
