,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.9995892099137341,2025-05-02 23:17:49.474607,2025-05-02 23:17:50.337510,0 days 00:00:00.862903,9.418420644618116,,700,l1,0.00011618623227898999,COMPLETE
1,1,0.9993151623065333,2025-05-02 23:17:50.347214,2025-05-02 23:17:50.692793,0 days 00:00:00.345579,0.20307576790452803,balanced,700,l1,0.006054453544789712,COMPLETE
2,2,0.9990412272291468,2025-05-02 23:17:50.702850,2025-05-02 23:17:51.779395,0 days 00:00:01.076545,0.7847184515011706,,500,l2,0.0004716511248773753,COMPLETE
3,3,0.9990409645156871,2025-05-02 23:17:51.780593,2025-05-02 23:17:52.862845,0 days 00:00:01.082252,7.998169351969368,,700,l2,0.0069408022886429215,COMPLETE
4,4,0.9991780821917808,2025-05-02 23:17:52.863933,2025-05-02 23:17:53.546280,0 days 00:00:00.682347,110.80652008667101,balanced,700,l1,0.002732148295390023,COMPLETE
5,5,0.9932478985806806,2025-05-02 23:17:53.563817,2025-05-02 23:17:53.830963,0 days 00:00:00.267146,0.066873532947195,,1000,l1,0.08635469331029444,COMPLETE
6,6,0.9980800877674164,2025-05-02 23:17:53.832040,2025-05-02 23:17:54.843873,0 days 00:00:01.011833,0.0011655678714789467,,800,l2,0.0009175192556919049,COMPLETE
7,7,0.9924211106517846,2025-05-02 23:17:54.844946,2025-05-02 23:17:55.585759,0 days 00:00:00.740813,8.2577520018761,,800,l2,0.09210166833537885,COMPLETE
8,8,0.9993151623065333,2025-05-02 23:17:55.586881,2025-05-02 23:17:56.352182,0 days 00:00:00.765301,1.30012213402484,,600,l1,0.0016914212436392384,COMPLETE
9,9,0.9995892099137341,2025-05-02 23:17:56.354115,2025-05-02 23:17:58.403442,0 days 00:00:02.049327,2.7655320931350564,,600,l2,0.00031831323768071335,COMPLETE
10,10,0.9995892099137341,2025-05-02 23:17:58.405058,2025-05-02 23:18:00.635288,0 days 00:00:02.230230,403.4450865235275,balanced,200,l1,0.00010353638954921537,COMPLETE
11,11,0.9995892099137341,2025-05-02 23:18:00.637683,2025-05-02 23:18:04.626199,0 days 00:00:03.988516,24.12820802947185,,400,l2,0.00010983431752794726,COMPLETE
12,12,0.9995892099137341,2025-05-02 23:18:04.628628,2025-05-02 23:18:07.523442,0 days 00:00:02.894814,0.03955643729566317,,300,l2,0.00030429252036789017,COMPLETE
13,13,0.9993151623065333,2025-05-02 23:18:07.525814,2025-05-02 23:18:08.732428,0 days 00:00:01.206614,46.55452594020068,,1000,l1,0.0002960149647124083,COMPLETE
14,14,0.9995892099137341,2025-05-02 23:18:08.733988,2025-05-02 23:18:10.115260,0 days 00:00:01.381272,975.6542929485511,,100,l2,0.000207301602751037,COMPLETE
15,15,0.9993151623065333,2025-05-02 23:18:10.117680,2025-05-02 23:18:10.856723,0 days 00:00:00.739043,3.8384499048670637,balanced,500,l1,0.0008143169774682007,COMPLETE
16,16,0.9961538461538462,2025-05-02 23:18:10.866439,2025-05-02 23:18:11.860943,0 days 00:00:00.994504,0.012546819843299662,,800,l2,0.030390773212344145,COMPLETE
17,17,0.9993151623065333,2025-05-02 23:18:11.880210,2025-05-02 23:18:12.779295,0 days 00:00:00.899085,0.6596609352477465,,400,l1,0.0008625215675888262,COMPLETE
18,18,0.9995892099137341,2025-05-02 23:18:12.797939,2025-05-02 23:18:14.365606,0 days 00:00:01.567667,146.14543812838392,balanced,900,l2,0.00018045808096762956,COMPLETE
19,19,0.9993151623065333,2025-05-02 23:18:14.367144,2025-05-02 23:18:15.025882,0 days 00:00:00.658738,2.9667244422605057,,600,l1,0.00048620837577341663,COMPLETE
20,20,0.9991780821917808,2025-05-02 23:18:15.026703,2025-05-02 23:18:15.647983,0 days 00:00:00.621280,20.589432182843687,,400,l1,0.010507382423802813,COMPLETE
21,21,0.9995892099137341,2025-05-02 23:18:15.657960,2025-05-02 23:18:16.947672,0 days 00:00:01.289712,429.6260896168249,balanced,100,l1,0.00010564003135522533,COMPLETE
22,22,0.9995892099137341,2025-05-02 23:18:16.950383,2025-05-02 23:18:18.590026,0 days 00:00:01.639643,158.06874178879224,balanced,200,l1,0.0001020447151316102,COMPLETE
23,23,0.9995892099137341,2025-05-02 23:18:18.592225,2025-05-02 23:18:19.957769,0 days 00:00:01.365544,37.19104566827164,balanced,300,l1,0.0001733697633886167,COMPLETE
24,24,0.9993151623065333,2025-05-02 23:18:19.959100,2025-05-02 23:18:20.622952,0 days 00:00:00.663852,935.8478548287615,balanced,600,l1,0.00043243131842349145,COMPLETE
25,25,0.9993151623065333,2025-05-02 23:18:20.624796,2025-05-02 23:18:23.636426,0 days 00:00:03.011630,0.306499214762729,balanced,500,l1,0.00019996420684087918,COMPLETE
26,26,0.9990412272291468,2025-05-02 23:18:23.641828,2025-05-02 23:18:24.696041,0 days 00:00:01.054213,9.486340357562675,balanced,200,l2,0.0015521442879983854,COMPLETE
27,27,0.9994522048753766,2025-05-02 23:18:24.697396,2025-05-02 23:18:25.481213,0 days 00:00:00.783817,2.2445172723569806,,700,l1,0.00035636075715520535,COMPLETE
28,28,0.9995892099137341,2025-05-02 23:18:25.482379,2025-05-02 23:18:28.321226,0 days 00:00:02.838847,295.6549804368237,balanced,900,l2,0.0001506545087306383,COMPLETE
29,29,0.9990412272291468,2025-05-02 23:18:28.323777,2025-05-02 23:18:28.947259,0 days 00:00:00.623482,69.57752635349053,balanced,700,l1,0.0006368036732224698,COMPLETE
30,30,0.9993151623065333,2025-05-02 23:18:28.967409,2025-05-02 23:18:29.402182,0 days 00:00:00.434773,0.13348547297187607,,300,l1,0.0013229440567041717,COMPLETE
31,31,0.9995892099137341,2025-05-02 23:18:29.403538,2025-05-02 23:18:32.407947,0 days 00:00:03.004409,32.62392823353253,,400,l2,0.00010003375114592323,COMPLETE
32,32,0.9995892099137341,2025-05-02 23:18:32.410353,2025-05-02 23:18:33.721944,0 days 00:00:01.311591,16.098108732582936,,200,l2,0.00025359346381455895,COMPLETE
33,33,0.9995892099137341,2025-05-02 23:18:33.724366,2025-05-02 23:18:35.458743,0 days 00:00:01.734377,4.340347177794055,,500,l2,0.00013425170723702282,COMPLETE
