,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.03541226215644821,2025-05-02 23:17:44.836101,2025-05-02 23:17:45.036225,0 days 00:00:00.200124,3.8906,30,1.741590863487485,COMPLETE
1,1,0.06062149770759042,2025-05-02 23:17:45.037301,2025-05-02 23:17:45.250228,0 days 00:00:00.212927,3.8906,11,1.084225354994432,COMPLETE
2,2,0.08913097301312206,2025-05-02 23:17:45.251195,2025-05-02 23:17:45.425498,0 days 00:00:00.174303,3.8906,14,0.6592166284517245,COMPLETE
3,3,0.05362614913176711,2025-05-02 23:17:45.426465,2025-05-02 23:17:45.599216,0 days 00:00:00.172751,3.8906,16,1.2594661089794004,COMPLETE
4,4,0.0630561912026443,2025-05-02 23:17:45.600194,2025-05-02 23:17:45.773143,0 days 00:00:00.172949,3.8906,17,1.2861030295132774,COMPLETE
5,5,0.03598435462842243,2025-05-02 23:17:45.774126,2025-05-02 23:17:45.947239,0 days 00:00:00.173113,3.8906,26,1.5773205647209325,COMPLETE
6,6,0.00948116934421912,2025-05-02 23:17:45.948204,2025-05-02 23:17:46.119902,0 days 00:00:00.171698,3.8906,6,1.3960144127594138,COMPLETE
7,7,0.14607279693486588,2025-05-02 23:17:46.120874,2025-05-02 23:17:46.291970,0 days 00:00:00.171096,3.8906,28,0.5119163201968706,COMPLETE
8,8,0.6017640755090264,2025-05-02 23:17:46.293116,2025-05-02 23:17:46.465974,0 days 00:00:00.172858,3.8906,5,0.1087565398250202,COMPLETE
9,9,0.05768735513778007,2025-05-02 23:17:46.466941,2025-05-02 23:17:46.677882,0 days 00:00:00.210941,3.8906,22,1.4771861063356653,COMPLETE
10,10,0.1695427092320966,2025-05-02 23:17:46.678867,2025-05-02 23:17:46.880737,0 days 00:00:00.201870,3.8906,3,0.15932607854137626,COMPLETE
11,11,0.17925133689839573,2025-05-02 23:17:46.881715,2025-05-02 23:17:47.090397,0 days 00:00:00.208682,3.8906,3,0.14215052444994036,COMPLETE
12,12,0.5757490898907868,2025-05-02 23:17:47.091983,2025-05-02 23:17:47.309703,0 days 00:00:00.217720,3.8906,8,0.11086463396505088,COMPLETE
13,13,0.11778674899073854,2025-05-02 23:17:47.310695,2025-05-02 23:17:47.527645,0 days 00:00:00.216950,3.8906,9,0.5645217021959514,COMPLETE
14,14,0.15370581527936147,2025-05-02 23:17:47.528638,2025-05-02 23:17:47.737587,0 days 00:00:00.208949,3.8906,8,0.3880659926758793,COMPLETE
15,15,0.10375494071146245,2025-05-02 23:17:47.738579,2025-05-02 23:17:47.951369,0 days 00:00:00.212790,3.8906,13,0.7534808807424195,COMPLETE
16,16,0.037755365916731315,2025-05-02 23:17:47.952362,2025-05-02 23:17:48.201099,0 days 00:00:00.248737,3.8906,6,0.905791408164568,COMPLETE
17,17,0.15694349119194692,2025-05-02 23:17:48.202098,2025-05-02 23:17:48.418302,0 days 00:00:00.216204,3.8906,19,0.3138530910204602,COMPLETE
18,18,0.14048059149722736,2025-05-02 23:17:48.419296,2025-05-02 23:17:48.635595,0 days 00:00:00.216299,3.8906,6,0.3223950866618953,COMPLETE
19,19,0.011575901078663511,2025-05-02 23:17:48.636601,2025-05-02 23:17:48.852525,0 days 00:00:00.215924,3.8906,11,1.9632937936010673,COMPLETE
20,20,0.07429871114480668,2025-05-02 23:17:48.853535,2025-05-02 23:17:49.077707,0 days 00:00:00.224172,3.8906,9,0.9394195706422634,COMPLETE
21,21,0.20911752404851527,2025-05-02 23:17:49.078831,2025-05-02 23:17:49.304048,0 days 00:00:00.225217,3.8906,3,0.10661652617995654,COMPLETE
22,22,0.18041898247114152,2025-05-02 23:17:49.305131,2025-05-02 23:17:49.514317,0 days 00:00:00.209186,3.8906,3,0.1386613461740134,COMPLETE
23,23,0.10796545105566219,2025-05-02 23:17:49.515316,2025-05-02 23:17:49.796630,0 days 00:00:00.281314,3.8906,6,0.41112945246085647,COMPLETE
24,24,0.6026807876882343,2025-05-02 23:17:49.797631,2025-05-02 23:17:50.156304,0 days 00:00:00.358673,3.8906,5,0.24521717234876025,COMPLETE
25,25,0.2004319654427646,2025-05-02 23:17:50.157662,2025-05-02 23:17:50.410505,0 days 00:00:00.252843,3.8906,11,0.2780361652189198,COMPLETE
26,26,0.11728395061728396,2025-05-02 23:17:50.411475,2025-05-02 23:17:50.626653,0 days 00:00:00.215178,3.8906,8,0.5237895358300069,COMPLETE
27,27,0.6551119364489838,2025-05-02 23:17:50.627652,2025-05-02 23:17:50.925565,0 days 00:00:00.297913,3.8906,5,0.7623691440426328,COMPLETE
28,28,0.11530041352468987,2025-05-02 23:17:50.926684,2025-05-02 23:17:51.241184,0 days 00:00:00.314500,3.8906,21,0.7023596995873503,COMPLETE
29,29,0.6719056974459725,2025-05-02 23:17:51.242031,2025-05-02 23:17:51.634438,0 days 00:00:00.392407,3.8906,5,0.883885440192678,COMPLETE
30,30,0.06482653836414282,2025-05-02 23:17:51.635270,2025-05-02 23:17:52.155576,0 days 00:00:00.520306,3.8906,14,1.0497196600198464,COMPLETE
31,31,0.6676912943242946,2025-05-02 23:17:52.156596,2025-05-02 23:17:52.633671,0 days 00:00:00.477075,3.8906,5,0.9255281762347576,COMPLETE
32,32,0.6759309521224622,2025-05-02 23:17:52.634530,2025-05-02 23:17:53.132359,0 days 00:00:00.497829,3.8906,5,0.8457234203824378,COMPLETE
33,33,0.07824570147022178,2025-05-02 23:17:53.133201,2025-05-02 23:17:53.498390,0 days 00:00:00.365189,3.8906,10,0.8246225554055185,COMPLETE
34,34,0.664940328754785,2025-05-02 23:17:53.499229,2025-05-02 23:17:54.045277,0 days 00:00:00.546048,3.8906,5,1.0978824813068873,COMPLETE
35,35,0.0504244918960638,2025-05-02 23:17:54.061089,2025-05-02 23:17:54.474947,0 days 00:00:00.413858,3.8906,7,1.1159911039295893,COMPLETE
36,36,0.06407322654462243,2025-05-02 23:17:54.475875,2025-05-02 23:17:54.959214,0 days 00:00:00.483339,3.8906,13,1.1644844635175389,COMPLETE
37,37,0.07204464738711314,2025-05-02 23:17:54.960218,2025-05-02 23:17:55.361571,0 days 00:00:00.401353,3.8906,4,1.007118197877909,COMPLETE
38,38,0.044398554465668566,2025-05-02 23:17:55.371603,2025-05-02 23:17:55.890040,0 days 00:00:00.518437,3.8906,7,1.2226801778087288,COMPLETE
39,39,0.04429564769508112,2025-05-02 23:17:55.890978,2025-05-02 23:17:56.277989,0 days 00:00:00.387011,3.8906,12,1.326191556297635,COMPLETE
40,40,0.0837696335078534,2025-05-02 23:17:56.278979,2025-05-02 23:17:56.767564,0 days 00:00:00.488585,3.8906,24,0.8867303784345524,COMPLETE
41,41,0.6792980945204005,2025-05-02 23:17:56.768416,2025-05-02 23:17:57.262149,0 days 00:00:00.493733,3.8906,5,0.7907704401688187,COMPLETE
42,42,0.07245283018867925,2025-05-02 23:17:57.273827,2025-05-02 23:17:57.723294,0 days 00:00:00.449467,3.8906,4,0.6220146597410909,COMPLETE
43,43,0.06449948400412797,2025-05-02 23:17:57.724190,2025-05-02 23:17:58.145147,0 days 00:00:00.420957,3.8906,30,0.9841309525534373,COMPLETE
44,44,0.6755053249293632,2025-05-02 23:17:58.146096,2025-05-02 23:17:58.670064,0 days 00:00:00.523968,3.8906,5,0.8554483016537353,COMPLETE
45,45,0.07613323315802654,2025-05-02 23:17:58.670971,2025-05-02 23:17:59.223420,0 days 00:00:00.552449,3.8906,16,0.8672584712804028,COMPLETE
46,46,0.09866342648845687,2025-05-02 23:17:59.224301,2025-05-02 23:17:59.605381,0 days 00:00:00.381080,3.8906,7,0.646067554697229,COMPLETE
47,47,0.07240506329113924,2025-05-02 23:17:59.606423,2025-05-02 23:17:59.974088,0 days 00:00:00.367665,3.8906,4,0.8024862684416401,COMPLETE
48,48,0.09166666666666666,2025-05-02 23:17:59.975097,2025-05-02 23:18:00.556400,0 days 00:00:00.581303,3.8906,9,0.7338762689217471,COMPLETE
49,49,0.062292570845034465,2025-05-02 23:18:00.557256,2025-05-02 23:18:01.116163,0 days 00:00:00.558907,3.8906,7,0.9706692605084516,COMPLETE
50,50,0.07245283018867925,2025-05-02 23:18:01.117059,2025-05-02 23:18:01.632875,0 days 00:00:00.515816,3.8906,4,0.5915101328386023,COMPLETE
51,51,0.6649438202247191,2025-05-02 23:18:01.633755,2025-05-02 23:18:01.979467,0 days 00:00:00.345712,3.8906,5,1.089628522120384,COMPLETE
52,52,0.015739769150052468,2025-05-02 23:18:01.980497,2025-05-02 23:18:02.648780,0 days 00:00:00.668283,3.8906,6,1.1966809562023033,COMPLETE
53,53,0.10691375623663578,2025-05-02 23:18:02.649904,2025-05-02 23:18:03.022189,0 days 00:00:00.372285,3.8906,3,0.8319300932169026,COMPLETE
54,54,0.06426931905126244,2025-05-02 23:18:03.023089,2025-05-02 23:18:03.490783,0 days 00:00:00.467694,3.8906,8,1.0577099497471665,COMPLETE
55,55,0.03626943005181347,2025-05-02 23:18:03.491968,2025-05-02 23:18:03.984897,0 days 00:00:00.492929,3.8906,10,1.3047517135439526,COMPLETE
56,56,0.667837926869441,2025-05-02 23:18:03.986075,2025-05-02 23:18:04.805971,0 days 00:00:00.819896,3.8906,5,0.9264346544463464,COMPLETE
57,57,0.037267080745341616,2025-05-02 23:18:04.806940,2025-05-02 23:18:05.181406,0 days 00:00:00.374466,3.8906,6,0.9124609768213775,COMPLETE
58,58,0.07290886392009988,2025-05-02 23:18:05.182515,2025-05-02 23:18:05.609673,0 days 00:00:00.427158,3.8906,18,0.7020578085420244,COMPLETE
59,59,0.1441108545034642,2025-05-02 23:18:05.611340,2025-05-02 23:18:06.014959,0 days 00:00:00.403619,3.8906,3,0.4399978444679473,COMPLETE
60,60,0.021454735740450027,2025-05-02 23:18:06.015933,2025-05-02 23:18:06.357494,0 days 00:00:00.341561,3.8906,9,1.6587866338504755,COMPLETE
61,61,0.6671797691039032,2025-05-02 23:18:06.358521,2025-05-02 23:18:06.698270,0 days 00:00:00.339749,3.8906,5,0.9361773566068505,COMPLETE
62,62,0.07238673753480131,2025-05-02 23:18:06.708318,2025-05-02 23:18:07.085559,0 days 00:00:00.377241,3.8906,4,0.784453083720337,COMPLETE
63,63,0.6668867613073621,2025-05-02 23:18:07.086678,2025-05-02 23:18:07.451037,0 days 00:00:00.364359,3.8906,5,0.9412068840067748,COMPLETE
64,64,0.0583567954952649,2025-05-02 23:18:07.452006,2025-05-02 23:18:07.858272,0 days 00:00:00.406266,3.8906,7,1.0155534357672618,COMPLETE
65,65,0.08379052369077306,2025-05-02 23:18:07.859233,2025-05-02 23:18:08.297875,0 days 00:00:00.438642,3.8906,8,0.8625322771543619,COMPLETE
66,66,0.06410582548969729,2025-05-02 23:18:08.298817,2025-05-02 23:18:08.649550,0 days 00:00:00.350733,3.8906,6,0.6780633258241188,COMPLETE
67,67,0.6682626538987687,2025-05-02 23:18:08.650492,2025-05-02 23:18:09.056138,0 days 00:00:00.405646,3.8906,5,1.146862168044733,COMPLETE
68,68,0.0005288207297726071,2025-05-02 23:18:09.057263,2025-05-02 23:18:09.381263,0 days 00:00:00.324000,3.8906,4,1.4909153877817545,COMPLETE
69,69,0.05326504481434059,2025-05-02 23:18:09.382413,2025-05-02 23:18:09.806083,0 days 00:00:00.423670,3.8906,6,0.7587638203277283,COMPLETE
70,70,0.1146919431279621,2025-05-02 23:18:09.807199,2025-05-02 23:18:10.239833,0 days 00:00:00.432634,3.8906,10,0.538127681047006,COMPLETE
71,71,0.6672737620944792,2025-05-02 23:18:10.240965,2025-05-02 23:18:10.649410,0 days 00:00:00.408445,3.8906,5,1.1381111032763103,COMPLETE
72,72,0.0005288207297726071,2025-05-02 23:18:10.650571,2025-05-02 23:18:11.117344,0 days 00:00:00.466773,3.8906,3,1.3760406751568155,COMPLETE
73,73,0.6686444545869467,2025-05-02 23:18:11.118493,2025-05-02 23:18:11.477871,0 days 00:00:00.359378,3.8906,5,1.1508152949240515,COMPLETE
74,74,0.039337474120082816,2025-05-02 23:18:11.479013,2025-05-02 23:18:11.937489,0 days 00:00:00.458476,3.8906,7,1.2610731931846835,COMPLETE
75,75,0.07204464738711314,2025-05-02 23:18:11.938472,2025-05-02 23:18:12.435534,0 days 00:00:00.497062,3.8906,4,1.0056050249055242,COMPLETE
76,76,0.6686498855835241,2025-05-02 23:18:12.436882,2025-05-02 23:18:12.814849,0 days 00:00:00.377967,3.8906,5,1.166740579706212,COMPLETE
77,77,0.07082294264339152,2025-05-02 23:18:12.815779,2025-05-02 23:18:13.100433,0 days 00:00:00.284654,3.8906,3,1.194761067606163,COMPLETE
78,78,0.025560772039645276,2025-05-02 23:18:13.101551,2025-05-02 23:18:13.471279,0 days 00:00:00.369728,3.8906,6,1.0488858359278779,COMPLETE
79,79,0.011073029264434483,2025-05-02 23:18:13.472453,2025-05-02 23:18:13.810516,0 days 00:00:00.338063,3.8906,7,1.9112147782970599,COMPLETE
80,80,0.05542725173210161,2025-05-02 23:18:13.811556,2025-05-02 23:18:14.224276,0 days 00:00:00.412720,3.8906,8,1.1517129564958586,COMPLETE
81,81,0.6762886597938145,2025-05-02 23:18:14.225209,2025-05-02 23:18:14.824520,0 days 00:00:00.599311,3.8906,5,0.8391953947410536,COMPLETE
82,82,0.07246009627565239,2025-05-02 23:18:14.825991,2025-05-02 23:18:15.353675,0 days 00:00:00.527684,3.8906,4,0.8737001335102673,COMPLETE
83,83,0.6763525967689472,2025-05-02 23:18:15.354709,2025-05-02 23:18:15.840016,0 days 00:00:00.485307,3.8906,5,0.8325668153449517,COMPLETE
84,84,0.04780262143407864,2025-05-02 23:18:15.841057,2025-05-02 23:18:16.135249,0 days 00:00:00.294192,3.8906,6,0.826975291660043,COMPLETE
85,85,0.655680296631991,2025-05-02 23:18:16.136273,2025-05-02 23:18:16.497493,0 days 00:00:00.361220,3.8906,5,0.742391370376609,COMPLETE
86,86,0.09444171175602557,2025-05-02 23:18:16.498528,2025-05-02 23:18:16.868200,0 days 00:00:00.369672,3.8906,3,0.9663187812219511,COMPLETE
87,87,0.072264631043257,2025-05-02 23:18:16.869267,2025-05-02 23:18:17.321777,0 days 00:00:00.452510,3.8906,4,1.2424179758224778,COMPLETE
