,number,value,datetime_start,datetime_complete,duration,params_num_candidates,state
0,0,0.6176,2025-04-16 19:02:37.778040,2025-04-16 19:02:49.452460,0 days 00:00:11.674420,26,COMPLETE
1,1,0.0061,2025-04-16 19:02:49.452784,2025-04-16 19:03:02.127600,0 days 00:00:12.674816,50,COMPLETE
2,2,0.7994,2025-04-16 19:03:02.127902,2025-04-16 19:03:14.628107,0 days 00:00:12.500205,4,COMPLETE
3,3,0.6563,2025-04-16 19:03:14.628412,2025-04-16 19:03:25.986945,0 days 00:00:11.358533,15,COMPLETE
4,4,0.6118,2025-04-16 19:03:25.987316,2025-04-16 19:03:38.466280,0 days 00:00:12.478964,31,COMPLETE
5,5,0.6563,2025-04-16 19:03:38.466582,2025-04-16 19:03:51.040936,0 days 00:00:12.574354,15,COMPLETE
6,6,0.8694,2025-04-16 19:03:51.041240,2025-04-16 19:04:02.583261,0 days 00:00:11.542021,8,COMPLETE
7,7,0.6416,2025-04-16 19:04:02.583569,2025-04-16 19:04:15.060982,0 days 00:00:12.477413,17,COMPLETE
8,8,0.6118,2025-04-16 19:04:15.061357,2025-04-16 19:04:27.452466,0 days 00:00:12.391109,31,COMPLETE
9,9,0.0061,2025-04-16 19:04:27.452766,2025-04-16 19:04:39.070184,0 days 00:00:11.617418,50,COMPLETE
10,10,0.1214,2025-04-16 19:04:39.070487,2025-04-16 19:04:51.649851,0 days 00:00:12.579364,1,COMPLETE
11,11,0.2169,2025-04-16 19:04:51.650150,2025-04-16 19:05:04.276842,0 days 00:00:12.626692,2,COMPLETE
12,12,0.8694,2025-04-16 19:05:04.277142,2025-04-16 19:05:15.713688,0 days 00:00:11.436546,8,COMPLETE
13,13,0.745,2025-04-16 19:05:15.714071,2025-04-16 19:05:28.224455,0 days 00:00:12.510384,10,COMPLETE
14,14,0.6246,2025-04-16 19:05:28.224778,2025-04-16 19:05:39.792967,0 days 00:00:11.568189,23,COMPLETE
15,15,0.834,2025-04-16 19:05:39.793279,2025-04-16 19:05:52.393897,0 days 00:00:12.600618,9,COMPLETE
16,16,0.6071,2025-04-16 19:05:52.394213,2025-04-16 19:06:04.992179,0 days 00:00:12.597966,38,COMPLETE
17,17,0.8904,2025-04-16 19:06:04.992696,2025-04-16 19:06:16.341091,0 days 00:00:11.348395,7,COMPLETE
18,18,0.6263,2025-04-16 19:06:16.341396,2025-04-16 19:06:28.933031,0 days 00:00:12.591635,20,COMPLETE
19,19,0.6893,2025-04-16 19:06:28.933335,2025-04-16 19:06:41.508350,0 days 00:00:12.575015,11,COMPLETE
20,20,0.8862,2025-04-16 19:06:41.508650,2025-04-16 19:06:53.061005,0 days 00:00:11.552355,5,COMPLETE
21,21,0.8694,2025-04-16 19:06:53.061320,2025-04-16 19:07:05.517740,0 days 00:00:12.456420,8,COMPLETE
22,22,0.7994,2025-04-16 19:07:05.518128,2025-04-16 19:07:17.928321,0 days 00:00:12.410193,4,COMPLETE
23,23,0.6661,2025-04-16 19:07:17.928630,2025-04-16 19:07:29.532052,0 days 00:00:11.603422,13,COMPLETE
24,24,0.8973,2025-04-16 19:07:29.532366,2025-04-16 19:07:42.115806,0 days 00:00:12.583440,6,COMPLETE
25,25,0.6275,2025-04-16 19:07:42.116116,2025-04-16 19:07:54.662569,0 days 00:00:12.546453,19,COMPLETE
26,26,0.8862,2025-04-16 19:07:54.662885,2025-04-16 19:08:06.062775,0 days 00:00:11.399890,5,COMPLETE
27,27,0.1214,2025-04-16 19:08:06.063166,2025-04-16 19:08:18.519506,0 days 00:00:12.456340,1,COMPLETE
28,28,0.0805,2025-04-16 19:08:18.519819,2025-04-16 19:08:31.284141,0 days 00:00:12.764322,44,COMPLETE
29,29,0.6153,2025-04-16 19:08:31.284459,2025-04-16 19:08:42.935752,0 days 00:00:11.651293,28,COMPLETE
