,number,value,datetime_start,datetime_complete,duration,params_num_candidates,state
0,0,0.8006,2025-04-19 04:51:57.973461,2025-04-19 04:52:08.391654,0 days 00:00:10.418193,12,COMPLETE
1,1,0.4122,2025-04-19 04:52:08.391986,2025-04-19 04:52:17.209408,0 days 00:00:08.817422,27,COMPLETE
2,2,0.6951,2025-04-19 04:52:17.209726,2025-04-19 04:52:27.246090,0 days 00:00:10.036364,18,COMPLETE
3,3,0.4114,2025-04-19 04:52:27.246411,2025-04-19 04:52:37.181377,0 days 00:00:09.934966,34,COMPLETE
4,4,0.1219,2025-04-19 04:52:37.181726,2025-04-19 04:52:45.889523,0 days 00:00:08.707797,1,COMPLETE
5,5,0.4091,2025-04-19 04:52:45.889849,2025-04-19 04:52:56.107771,0 days 00:00:10.217922,37,COMPLETE
6,6,0.1569,2025-04-19 04:52:56.108068,2025-04-19 04:53:06.361810,0 days 00:00:10.253742,46,COMPLETE
7,7,0.037,2025-04-19 04:53:06.362150,2025-04-19 04:53:16.572170,0 days 00:00:10.210020,51,COMPLETE
8,8,0.0681,2025-04-19 04:53:16.572582,2025-04-19 04:53:25.210805,0 days 00:00:08.638223,50,COMPLETE
9,9,0.7168,2025-04-19 04:53:25.211131,2025-04-19 04:53:35.131671,0 days 00:00:09.920540,16,COMPLETE
10,10,0.7711,2025-04-19 04:53:35.132064,2025-04-19 04:53:45.160439,0 days 00:00:10.028375,4,COMPLETE
11,11,0.2152,2025-04-19 04:53:45.160770,2025-04-19 04:53:53.921872,0 days 00:00:08.761102,2,COMPLETE
12,12,0.8134,2025-04-19 04:53:53.922182,2025-04-19 04:54:04.139436,0 days 00:00:10.217254,11,COMPLETE
13,13,0.7857,2025-04-19 04:54:04.139745,2025-04-19 04:54:14.231745,0 days 00:00:10.092000,13,COMPLETE
14,14,0.8303,2025-04-19 04:54:14.232106,2025-04-19 04:54:22.892167,0 days 00:00:08.660061,9,COMPLETE
15,15,0.624,2025-04-19 04:54:22.892483,2025-04-19 04:54:32.864869,0 days 00:00:09.972386,23,COMPLETE
16,16,0.8873,2025-04-19 04:54:32.865192,2025-04-19 04:54:42.818595,0 days 00:00:09.953403,7,COMPLETE
17,17,0.8873,2025-04-19 04:54:42.818917,2025-04-19 04:54:52.872458,0 days 00:00:10.053541,7,COMPLETE
18,18,0.624,2025-04-19 04:54:52.872776,2025-04-19 04:55:01.666484,0 days 00:00:08.793708,23,COMPLETE
19,19,0.8811,2025-04-19 04:55:01.666792,2025-04-19 04:55:11.836272,0 days 00:00:10.169480,6,COMPLETE
20,20,0.684,2025-04-19 04:55:11.836619,2025-04-19 04:55:21.903473,0 days 00:00:10.066854,19,COMPLETE
21,21,0.8873,2025-04-19 04:55:21.903793,2025-04-19 04:55:30.495622,0 days 00:00:08.591829,7,COMPLETE
22,22,0.8873,2025-04-19 04:55:30.496010,2025-04-19 04:55:40.576838,0 days 00:00:10.080828,7,COMPLETE
23,23,0.8303,2025-04-19 04:55:40.577200,2025-04-19 04:55:50.688245,0 days 00:00:10.111045,9,COMPLETE
24,24,0.7259,2025-04-19 04:55:50.688597,2025-04-19 04:55:59.486667,0 days 00:00:08.798070,15,COMPLETE
25,25,0.4122,2025-04-19 04:55:59.487082,2025-04-19 04:56:09.728080,0 days 00:00:10.240998,29,COMPLETE
26,26,0.8614,2025-04-19 04:56:09.728395,2025-04-19 04:56:19.785493,0 days 00:00:10.057098,5,COMPLETE
27,27,0.624,2025-04-19 04:56:19.785804,2025-04-19 04:56:29.728175,0 days 00:00:09.942371,22,COMPLETE
28,28,0.1219,2025-04-19 04:56:29.728495,2025-04-19 04:56:38.333903,0 days 00:00:08.605408,1,COMPLETE
29,29,0.8006,2025-04-19 04:56:38.334310,2025-04-19 04:56:48.364127,0 days 00:00:10.029817,12,COMPLETE
