,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.827512473271561,2025-07-02 14:43:52.038656,2025-07-02 14:44:58.255516,0 days 00:01:06.216860,0.4,0.37,3000,COMPLETE
1,1,0.7970749542961609,2025-07-02 14:44:58.255943,2025-07-02 14:46:18.522489,0 days 00:01:20.266546,0.62,0.59,3500,COMPLETE
2,2,0.827512473271561,2025-07-02 14:46:18.522855,2025-07-02 14:47:32.223936,0 days 00:01:13.701081,0.4,0.31,3000,COMPLETE
3,3,0.8395061728395062,2025-07-02 14:47:32.224340,2025-07-02 14:48:59.194950,0 days 00:01:26.970610,0.32,0.32,3500,COMPLETE
4,4,0.8071065989847716,2025-07-02 14:48:59.195337,2025-07-02 14:50:49.820427,0 days 00:01:50.625090,0.5800000000000001,0.5700000000000001,4500,COMPLETE
5,5,0.8532589752527012,2025-07-02 14:50:49.820885,2025-07-02 14:52:23.365664,0 days 00:01:33.544779,0.19000000000000003,0.18000000000000002,3000,COMPLETE
6,6,0.8695950583390528,2025-07-02 14:52:23.366069,2025-07-02 14:54:21.746137,0 days 00:01:58.380068,0.13999999999999999,0.09999999999999999,3000,COMPLETE
7,7,0.8617829993089151,2025-07-02 14:54:21.746533,2025-07-02 14:57:11.825817,0 days 00:02:50.079284,0.15000000000000002,0.08,4500,COMPLETE
8,8,0.8203657224811761,2025-07-02 14:57:11.826216,2025-07-02 14:59:28.787709,0 days 00:02:16.961493,0.43000000000000005,0.35000000000000003,5000,COMPLETE
9,9,0.8053740014524329,2025-07-02 14:59:28.788114,2025-07-02 15:01:19.174012,0 days 00:01:50.385898,0.64,0.6,4500,COMPLETE
10,10,0.944337811900192,2025-07-02 15:01:19.174408,2025-07-02 15:05:54.632067,0 days 00:04:35.457659,0.01,0.01,3500,COMPLETE
11,11,0.9190429367420518,2025-07-02 15:05:54.632477,2025-07-02 15:09:43.939832,0 days 00:03:49.307355,0.02,0.02,3500,COMPLETE
12,12,0.9067993366500829,2025-07-02 15:09:43.940217,2025-07-02 15:12:25.785511,0 days 00:02:41.845294,0.05,0.05,3500,COMPLETE
13,13,0.944337811900192,2025-07-02 15:12:25.785918,2025-07-02 15:17:13.310055,0 days 00:04:47.524137,0.01,0.01,4000,COMPLETE
14,14,0.8584316446911867,2025-07-02 15:17:13.310472,2025-07-02 15:19:16.287334,0 days 00:02:02.976862,0.18000000000000002,0.18000000000000002,4000,COMPLETE
15,15,0.8540578195750609,2025-07-02 15:19:16.287743,2025-07-02 15:21:18.748698,0 days 00:02:02.460955,0.19,0.19,4000,COMPLETE
16,16,0.8645294725956567,2025-07-02 15:21:18.749106,2025-07-02 15:23:43.417477,0 days 00:02:24.668371,0.12,0.12,4000,COMPLETE
17,17,0.944337811900192,2025-07-02 15:23:43.417894,2025-07-02 15:29:05.772222,0 days 00:05:22.354328,0.01,0.01,5000,COMPLETE
18,18,0.8068140630663283,2025-07-02 15:29:05.772632,2025-07-02 15:30:41.253426,0 days 00:01:35.480794,0.54,0.51,4000,COMPLETE
19,19,0.8472319551506657,2025-07-02 15:30:41.253820,2025-07-02 15:32:23.542190,0 days 00:01:42.288370,0.26,0.22,3500,COMPLETE
20,20,0.8199426111908178,2025-07-02 15:32:23.542596,2025-07-02 15:34:00.955915,0 days 00:01:37.413319,0.48,0.43,4000,COMPLETE
21,21,0.9190429367420518,2025-07-02 15:34:00.956308,2025-07-02 15:38:43.430272,0 days 00:04:42.473964,0.02,0.02,5000,COMPLETE
22,22,0.944337811900192,2025-07-02 15:38:43.430721,2025-07-02 15:43:48.211423,0 days 00:05:04.780702,0.01,0.01,4500,COMPLETE
23,23,0.8700719917723689,2025-07-02 15:43:48.211854,2025-07-02 15:46:41.374667,0 days 00:02:53.162813,0.13,0.13,5000,COMPLETE
24,24,0.8399153737658673,2025-07-02 15:46:41.375073,2025-07-02 15:48:48.561605,0 days 00:02:07.186532,0.30000000000000004,0.27,4500,COMPLETE
25,25,0.8968519758874749,2025-07-02 15:48:48.562025,2025-07-02 15:51:12.977965,0 days 00:02:24.415940,0.07999999999999999,0.06999999999999999,3500,COMPLETE
26,26,0.8700719917723689,2025-07-02 15:51:12.978377,2025-07-02 15:53:27.378608,0 days 00:02:14.400231,0.14,0.14,4000,COMPLETE
