,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9942,2025-04-16 10:33:30.437222,2025-04-16 10:47:55.397328,0 days 00:14:24.960106,512,20,128,0.002,0.96,2,,,,COMPLETE
1,1,0.9891,2025-04-16 10:47:55.397952,2025-04-16 11:05:53.891561,0 days 00:17:58.493609,32,20,128,0.002,0.86,2,0.99,0.99,0.99,COMPLETE
2,2,0.9799,2025-04-16 11:05:53.892096,2025-04-16 11:23:45.803726,0 days 00:17:51.911630,32,20,128,0.005,0.94,2,,,,COMPLETE
3,3,0.9909,2025-04-16 11:23:45.804280,2025-04-16 11:37:04.412894,0 days 00:13:18.608614,256,20,128,0.001,0.9199999999999999,2,,,,COMPLETE
4,4,0.9939,2025-04-16 11:37:04.413476,2025-04-16 11:50:29.956076,0 days 00:13:25.542600,256,20,128,0.005,0.86,2,,,,COMPLETE
5,5,0.9942,2025-04-16 11:50:29.956666,2025-04-16 12:05:05.729056,0 days 00:14:35.772390,512,20,128,0.005,0.88,2,,,,COMPLETE
6,6,0.993,2025-04-16 12:05:05.729625,2025-04-16 12:18:33.157202,0 days 00:13:27.427577,256,20,128,0.001,0.95,2,,,,COMPLETE
7,7,0.9894,2025-04-16 12:18:33.157785,2025-04-16 12:40:07.761111,0 days 00:21:34.603326,32,20,128,0.002,0.94,2,,,,COMPLETE
8,8,0.9861,2025-04-16 12:40:07.761732,2025-04-16 12:55:07.805537,0 days 00:15:00.043805,1024,20,128,0.001,0.89,2,0.9861,,,PRUNED
9,9,0.993,2025-04-16 12:55:07.805972,2025-04-16 13:08:08.412246,0 days 00:13:00.606274,128,20,128,0.002,0.9099999999999999,2,,,,COMPLETE
10,10,0.9864,2025-04-16 13:08:08.412684,2025-04-16 13:20:36.301947,0 days 00:12:27.889263,64,20,128,0.002,0.99,2,,,,COMPLETE
11,11,0.9927,2025-04-16 13:20:36.302410,2025-04-16 13:34:39.421906,0 days 00:14:03.119496,512,20,128,0.005,0.99,2,,,,COMPLETE
12,12,0.9903,2025-04-16 13:34:39.422380,2025-04-16 13:48:42.212095,0 days 00:14:02.789715,512,20,128,0.005,0.89,2,,,,COMPLETE
13,13,0.9951,2025-04-16 13:48:42.212541,2025-04-16 14:02:44.785466,0 days 00:14:02.572925,512,20,128,0.005,0.96,2,,,,COMPLETE
14,14,0.993,2025-04-16 14:02:44.785912,2025-04-16 14:16:41.244409,0 days 00:13:56.458497,512,20,128,0.002,0.97,2,,,,COMPLETE
15,15,0.9945,2025-04-16 14:16:41.244903,2025-04-16 14:30:39.787530,0 days 00:13:58.542627,512,20,128,0.005,0.96,2,,,,COMPLETE
16,16,0.9939,2025-04-16 14:30:39.787970,2025-04-16 14:46:58.475691,0 days 00:16:18.687721,1024,20,128,0.005,0.97,2,,,,COMPLETE
17,17,0.9864,2025-04-16 14:46:58.476148,2025-04-16 14:59:23.641590,0 days 00:12:25.165442,64,20,128,0.005,0.9299999999999999,2,0.9848,0.9848,,COMPLETE
18,18,0.9864,2025-04-16 14:59:23.642070,2025-04-16 15:11:34.172041,0 days 00:12:10.529971,128,20,128,0.005,0.98,2,,,,COMPLETE
19,19,0.9915,2025-04-16 15:11:34.172488,2025-04-16 15:25:34.267407,0 days 00:14:00.094919,512,20,128,0.005,0.96,2,,,,COMPLETE
20,20,0.9921,2025-04-16 15:25:34.267894,2025-04-16 15:39:33.978694,0 days 00:13:59.710800,512,20,128,0.005,0.9199999999999999,2,,,,COMPLETE
21,21,0.9924,2025-04-16 15:39:33.979168,2025-04-16 15:53:30.047843,0 days 00:13:56.068675,512,20,128,0.002,0.96,2,,,,COMPLETE
22,22,0.9939,2025-04-16 15:53:30.048320,2025-04-16 16:07:27.857376,0 days 00:13:57.809056,512,20,128,0.002,0.95,2,,,,COMPLETE
23,23,0.9936,2025-04-16 16:07:27.857817,2025-04-16 16:21:27.387837,0 days 00:13:59.530020,512,20,128,0.001,0.97,2,,,,COMPLETE
24,24,0.9942,2025-04-16 16:21:27.388286,2025-04-16 16:35:24.158015,0 days 00:13:56.769729,512,20,128,0.005,0.95,2,,,,COMPLETE
25,25,0.9945,2025-04-16 16:35:24.158496,2025-04-16 16:49:22.554347,0 days 00:13:58.395851,512,20,128,0.002,0.98,2,,,,COMPLETE
26,26,0.9921,2025-04-16 16:49:22.554807,2025-04-16 17:01:32.994722,0 days 00:12:10.439915,128,20,128,0.005,0.98,2,,,,COMPLETE
27,27,0.9936,2025-04-16 17:01:32.995197,2025-04-16 17:17:45.519283,0 days 00:16:12.524086,1024,20,128,0.005,0.98,2,,,,COMPLETE
28,28,0.9853,2025-04-16 17:17:45.519746,2025-04-16 17:30:13.910861,0 days 00:12:28.391115,64,20,128,0.002,0.99,2,0.9859,0.9859,,COMPLETE
29,29,0.993,2025-04-16 17:30:13.911346,2025-04-16 17:44:09.864084,0 days 00:13:55.952738,512,20,128,0.001,0.94,2,,,,COMPLETE
