,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.7566072526121695,2025-05-02 18:27:42.722979,2025-05-02 18:27:42.914497,0 days 00:00:00.191518,3.8906,4,0.12335381303286125,COMPLETE
1,1,0.7677035076108537,2025-05-02 18:27:42.915736,2025-05-02 18:27:43.087959,0 days 00:00:00.172223,3.8906,4,1.367562842939653,COMPLETE
2,2,0.5223340040241449,2025-05-02 18:27:43.088863,2025-05-02 18:27:43.270712,0 days 00:00:00.181849,3.8906,4,1.6898897544924316,COMPLETE
3,3,0.5223340040241449,2025-05-02 18:27:43.271605,2025-05-02 18:27:43.453142,0 days 00:00:00.181537,3.8906,4,1.703799525992138,COMPLETE
4,4,0.1507271925958572,2025-05-02 18:27:43.454038,2025-05-02 18:27:43.638619,0 days 00:00:00.184581,3.8906,1,1.0417697359862217,COMPLETE
5,5,0.3341940243452601,2025-05-02 18:27:43.639516,2025-05-02 18:27:43.832237,0 days 00:00:00.192721,3.8906,1,0.33337268145204746,COMPLETE
6,6,0.7453689167974884,2025-05-02 18:27:43.833204,2025-05-02 18:27:44.015102,0 days 00:00:00.181898,3.8906,5,1.2796128526303485,COMPLETE
7,7,0.7566072526121695,2025-05-02 18:27:44.016011,2025-05-02 18:27:44.205511,0 days 00:00:00.189500,3.8906,4,0.13466888561260526,COMPLETE
8,8,0.13808463251670378,2025-05-02 18:27:44.206491,2025-05-02 18:27:44.395105,0 days 00:00:00.188614,3.8906,1,1.7196615049327155,COMPLETE
9,9,0.13891362422083703,2025-05-02 18:27:44.396086,2025-05-02 18:27:44.584102,0 days 00:00:00.188016,3.8906,1,1.625167261554443,COMPLETE
10,10,0.11579945894670275,2025-05-02 18:27:44.584989,2025-05-02 18:27:44.799097,0 days 00:00:00.214108,3.8906,3,0.8723441970754461,COMPLETE
11,11,0.11357292994727956,2025-05-02 18:27:44.799436,2025-05-02 18:27:44.999123,0 days 00:00:00.199687,3.8906,3,0.6348592210353556,COMPLETE
12,12,0.7453689167974884,2025-05-02 18:27:44.999600,2025-05-02 18:27:45.195724,0 days 00:00:00.196124,3.8906,5,1.2775435059971072,COMPLETE
13,13,0.11357292994727956,2025-05-02 18:27:45.196090,2025-05-02 18:27:45.396148,0 days 00:00:00.200058,3.8906,3,0.5750370967958081,COMPLETE
14,14,0.5206477732793523,2025-05-02 18:27:45.397186,2025-05-02 18:27:45.578991,0 days 00:00:00.181805,3.8906,4,1.9780182739186327,COMPLETE
15,15,0.34910714285714284,2025-05-02 18:27:45.588953,2025-05-02 18:27:45.780560,0 days 00:00:00.191607,3.8906,2,1.350722511814471,COMPLETE
16,16,0.7400249376558603,2025-05-02 18:27:45.781531,2025-05-02 18:27:45.972493,0 days 00:00:00.190962,3.8906,5,0.8761422331844695,COMPLETE
17,17,0.44768,2025-05-02 18:27:45.973468,2025-05-02 18:27:46.182644,0 days 00:00:00.209176,3.8906,2,0.11107313762096938,COMPLETE
18,18,0.7395638629283491,2025-05-02 18:27:46.182943,2025-05-02 18:27:46.369533,0 days 00:00:00.186590,3.8906,4,0.5353811938928495,COMPLETE
19,19,0.3727034120734908,2025-05-02 18:27:46.370848,2025-05-02 18:27:46.563621,0 days 00:00:00.192773,3.8906,2,1.013845170024151,COMPLETE
20,20,0.11615449675782352,2025-05-02 18:27:46.564599,2025-05-02 18:27:46.766425,0 days 00:00:00.201826,3.8906,3,1.3687827059715425,COMPLETE
21,21,0.752675022928768,2025-05-02 18:27:46.766794,2025-05-02 18:27:46.952721,0 days 00:00:00.185927,3.8906,4,0.10385821051319355,COMPLETE
22,22,0.7395638629283491,2025-05-02 18:27:46.953714,2025-05-02 18:27:47.146145,0 days 00:00:00.192431,3.8906,4,0.3772189422346325,COMPLETE
23,23,0.7568398401475562,2025-05-02 18:27:47.147119,2025-05-02 18:27:47.347732,0 days 00:00:00.200613,3.8906,5,0.2818885447247731,COMPLETE
24,24,0.7568398401475562,2025-05-02 18:27:47.348756,2025-05-02 18:27:47.573893,0 days 00:00:00.225137,3.8906,5,0.316636491775057,COMPLETE
25,25,0.7400249376558603,2025-05-02 18:27:47.575136,2025-05-02 18:27:47.815844,0 days 00:00:00.240708,3.8906,5,0.7794604540136287,COMPLETE
26,26,0.7568398401475562,2025-05-02 18:27:47.816701,2025-05-02 18:27:48.183893,0 days 00:00:00.367192,3.8906,5,0.35304740910341803,COMPLETE
27,27,0.7376111817026683,2025-05-02 18:27:48.184275,2025-05-02 18:27:48.401192,0 days 00:00:00.216917,3.8906,5,1.5041621261504705,COMPLETE
28,28,0.7453689167974884,2025-05-02 18:27:48.402179,2025-05-02 18:27:48.621381,0 days 00:00:00.219202,3.8906,5,1.160210217058094,COMPLETE
29,29,0.7568398401475562,2025-05-02 18:27:48.622382,2025-05-02 18:27:48.860966,0 days 00:00:00.238584,3.8906,5,0.28380162147231786,COMPLETE
30,30,0.7395638629283491,2025-05-02 18:27:48.861802,2025-05-02 18:27:49.197723,0 days 00:00:00.335921,3.8906,4,0.4689068934069419,COMPLETE
31,31,0.7568398401475562,2025-05-02 18:27:49.198115,2025-05-02 18:27:49.417396,0 days 00:00:00.219281,3.8906,5,0.2679984789114994,COMPLETE
32,32,0.7400249376558603,2025-05-02 18:27:49.418392,2025-05-02 18:27:49.643754,0 days 00:00:00.225362,3.8906,5,0.6741960333078043,COMPLETE
33,33,0.7543913713405239,2025-05-02 18:27:49.644154,2025-05-02 18:27:49.866989,0 days 00:00:00.222835,3.8906,5,0.44375528411398546,COMPLETE
34,34,0.7566072526121695,2025-05-02 18:27:49.867840,2025-05-02 18:27:50.163625,0 days 00:00:00.295785,3.8906,4,0.23707453388194144,COMPLETE
35,35,0.7395638629283491,2025-05-02 18:27:50.164622,2025-05-02 18:27:50.392804,0 days 00:00:00.228182,3.8906,4,0.39286103889254803,COMPLETE
36,36,0.7400249376558603,2025-05-02 18:27:50.393794,2025-05-02 18:27:50.615261,0 days 00:00:00.221467,3.8906,5,0.7647990351398697,COMPLETE
37,37,0.7568398401475562,2025-05-02 18:27:50.616106,2025-05-02 18:27:51.004935,0 days 00:00:00.388829,3.8906,5,0.2531184120647832,COMPLETE
38,38,0.7476446837146702,2025-05-02 18:27:51.006049,2025-05-02 18:27:51.247998,0 days 00:00:00.241949,3.8906,4,1.5333462187282163,COMPLETE
39,39,0.7453689167974884,2025-05-02 18:27:51.248352,2025-05-02 18:27:51.578308,0 days 00:00:00.329956,3.8906,5,1.1601685906114243,COMPLETE
40,40,0.7400249376558603,2025-05-02 18:27:51.579525,2025-05-02 18:27:51.853980,0 days 00:00:00.274455,3.8906,5,0.5387371757480731,COMPLETE
41,41,0.7568398401475562,2025-05-02 18:27:51.854404,2025-05-02 18:27:52.075212,0 days 00:00:00.220808,3.8906,5,0.20363522117059643,COMPLETE
42,42,0.7568398401475562,2025-05-02 18:27:52.076283,2025-05-02 18:27:52.383711,0 days 00:00:00.307428,3.8906,5,0.33410199631278437,COMPLETE
43,43,0.7532387415175819,2025-05-02 18:27:52.384626,2025-05-02 18:27:52.686357,0 days 00:00:00.301731,3.8906,5,0.44661100752373506,COMPLETE
44,44,0.7566072526121695,2025-05-02 18:27:52.687373,2025-05-02 18:27:52.913038,0 days 00:00:00.225665,3.8906,4,0.1940051684882136,COMPLETE
45,45,0.7568398401475562,2025-05-02 18:27:52.914025,2025-05-02 18:27:53.123966,0 days 00:00:00.209941,3.8906,5,0.29607755225664406,COMPLETE
46,46,0.5211437776882804,2025-05-02 18:27:53.124956,2025-05-02 18:27:53.353927,0 days 00:00:00.228971,3.8906,4,1.8257450654353529,COMPLETE
47,47,0.7400249376558603,2025-05-02 18:27:53.354756,2025-05-02 18:27:53.651876,0 days 00:00:00.297120,3.8906,5,0.6841344887612618,COMPLETE
48,48,0.05571991276858316,2025-05-02 18:27:53.652851,2025-05-02 18:27:53.867501,0 days 00:00:00.214650,3.8906,3,0.1762817001965693,COMPLETE
49,49,0.7371428571428572,2025-05-02 18:27:53.868495,2025-05-02 18:27:54.088764,0 days 00:00:00.220269,3.8906,4,0.9724868965673178,COMPLETE
50,50,0.7400249376558603,2025-05-02 18:27:54.089746,2025-05-02 18:27:54.328225,0 days 00:00:00.238479,3.8906,5,0.5898051981412316,COMPLETE
51,51,0.7568398401475562,2025-05-02 18:27:54.329068,2025-05-02 18:27:54.649117,0 days 00:00:00.320049,3.8906,5,0.3152706442181785,COMPLETE
52,52,0.7568398401475562,2025-05-02 18:27:54.650119,2025-05-02 18:27:54.867259,0 days 00:00:00.217140,3.8906,5,0.27922524997185966,COMPLETE
53,53,0.7568398401475562,2025-05-02 18:27:54.867667,2025-05-02 18:27:55.128955,0 days 00:00:00.261288,3.8906,5,0.381987631743095,COMPLETE
54,54,0.7400249376558603,2025-05-02 18:27:55.129871,2025-05-02 18:27:55.514868,0 days 00:00:00.384997,3.8906,5,0.4752579752345123,COMPLETE
55,55,0.7566072526121695,2025-05-02 18:27:55.515864,2025-05-02 18:27:55.720172,0 days 00:00:00.204308,3.8906,4,0.1367634036355039,COMPLETE
56,56,0.7568398401475562,2025-05-02 18:27:55.721166,2025-05-02 18:27:55.925426,0 days 00:00:00.204260,3.8906,5,0.38030535654686237,COMPLETE
57,57,0.7400249376558603,2025-05-02 18:27:55.926420,2025-05-02 18:27:56.139256,0 days 00:00:00.212836,3.8906,5,0.5182573483763809,COMPLETE
58,58,0.7605727605727606,2025-05-02 18:27:56.142394,2025-05-02 18:27:56.463606,0 days 00:00:00.321212,3.8906,4,1.4484956128553528,COMPLETE
59,59,0.34852546916890087,2025-05-02 18:27:56.464603,2025-05-02 18:27:56.659056,0 days 00:00:00.194453,3.8906,2,1.4126636523689369,COMPLETE
60,60,0.12367729831144467,2025-05-02 18:27:56.660055,2025-05-02 18:27:56.873507,0 days 00:00:00.213452,3.8906,3,1.6265930242283506,COMPLETE
61,61,0.7664354146019161,2025-05-02 18:27:56.873909,2025-05-02 18:27:57.077848,0 days 00:00:00.203939,3.8906,4,1.241287381735891,COMPLETE
62,62,0.7668428005284016,2025-05-02 18:27:57.078696,2025-05-02 18:27:57.353197,0 days 00:00:00.274501,3.8906,4,1.2095593521103747,COMPLETE
63,63,0.7668428005284016,2025-05-02 18:27:57.354039,2025-05-02 18:27:57.591447,0 days 00:00:00.237408,3.8906,4,1.218015466397427,COMPLETE
64,64,0.7668428005284016,2025-05-02 18:27:57.592442,2025-05-02 18:27:57.826935,0 days 00:00:00.234493,3.8906,4,1.2248500489680463,COMPLETE
65,65,0.7668428005284016,2025-05-02 18:27:57.827566,2025-05-02 18:27:58.115454,0 days 00:00:00.287888,3.8906,4,1.2140874264947856,COMPLETE
66,66,0.7668428005284016,2025-05-02 18:27:58.116730,2025-05-02 18:27:58.493423,0 days 00:00:00.376693,3.8906,4,1.2088082279496595,COMPLETE
67,67,0.11614221783713308,2025-05-02 18:27:58.494407,2025-05-02 18:27:58.707132,0 days 00:00:00.212725,3.8906,3,1.257503133110539,COMPLETE
68,68,0.7668428005284016,2025-05-02 18:27:58.708067,2025-05-02 18:27:58.909975,0 days 00:00:00.201908,3.8906,4,1.1510627262509396,COMPLETE
69,69,0.7668428005284016,2025-05-02 18:27:58.910966,2025-05-02 18:27:59.120925,0 days 00:00:00.209959,3.8906,4,1.159793436845154,COMPLETE
70,70,0.7663366336633664,2025-05-02 18:27:59.121807,2025-05-02 18:27:59.408870,0 days 00:00:00.287063,3.8906,4,1.0632913735455676,COMPLETE
71,71,0.7668428005284016,2025-05-02 18:27:59.409860,2025-05-02 18:27:59.624498,0 days 00:00:00.214638,3.8906,4,1.174569342334696,COMPLETE
72,72,0.7677035076108537,2025-05-02 18:27:59.625490,2025-05-02 18:27:59.848848,0 days 00:00:00.223358,3.8906,4,1.3162624886965952,COMPLETE
73,73,0.11615449675782352,2025-05-02 18:27:59.849243,2025-05-02 18:28:00.116060,0 days 00:00:00.266817,3.8906,3,1.3290766040582653,COMPLETE
