,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.939834616481323,2025-05-02 18:27:42.677888,2025-05-02 18:29:14.517849,0 days 00:01:31.839961,570.0563528169776,balanced,1000,l2,0.004929365960774506,COMPLETE
1,1,0.9867708959711365,2025-05-02 18:29:14.520948,2025-05-02 18:29:36.225651,0 days 00:00:21.704703,72.66814729704402,,1000,l1,0.0016385372936497911,COMPLETE
2,2,0.9785074626865673,2025-05-02 18:29:36.227592,2025-05-02 18:29:48.139084,0 days 00:00:11.911492,23.87977228749358,,700,l1,0.0010047290755175874,COMPLETE
3,3,0.939834616481323,2025-05-02 18:29:48.140365,2025-05-02 18:30:21.406472,0 days 00:00:33.266107,38.730731265792876,balanced,900,l2,0.006741306026823409,COMPLETE
4,4,0.827114002054091,2025-05-02 18:30:21.408181,2025-05-02 18:30:22.560631,0 days 00:00:01.152450,10.191181185406704,,200,l2,0.03216063725917217,COMPLETE
5,5,0.939834616481323,2025-05-02 18:30:22.561912,2025-05-02 18:30:27.266707,0 days 00:00:04.704795,0.004664962678062839,balanced,500,l1,0.00013854980120059303,COMPLETE
6,6,0.9749552772808586,2025-05-02 18:30:27.267989,2025-05-02 18:30:32.378888,0 days 00:00:05.110899,45.812357206516566,,300,l1,0.052326430437799054,COMPLETE
7,7,0.939834616481323,2025-05-02 18:30:32.380163,2025-05-02 18:30:38.827578,0 days 00:00:06.447415,0.005799508672048471,balanced,700,l1,0.00013258633674784559,COMPLETE
8,8,0.9785202863961814,2025-05-02 18:30:38.829511,2025-05-02 18:30:52.490577,0 days 00:00:13.661066,2.537568309539942,,800,l1,0.008445681762971589,COMPLETE
9,9,0.9783189783189783,2025-05-02 18:30:52.491839,2025-05-02 18:31:14.688695,0 days 00:00:22.196856,9.966245783073594,balanced,800,l1,0.00010028169079948989,COMPLETE
10,10,0.9314303443996277,2025-05-02 18:31:14.690550,2025-05-02 18:31:34.145309,0 days 00:00:19.454759,0.1582734514364963,,500,l2,0.0009288685006759853,COMPLETE
11,11,0.9663259170174383,2025-05-02 18:31:34.147509,2025-05-02 18:31:40.953569,0 days 00:00:06.806060,0.7132129161445219,,1000,l1,0.014631370678318925,COMPLETE
12,12,0.9785074626865673,2025-05-02 18:31:40.954872,2025-05-02 18:31:55.715520,0 days 00:00:14.760648,887.6329336290704,,800,l1,0.0011334301801534904,COMPLETE
13,13,0.9666165413533835,2025-05-02 18:31:55.717014,2025-05-02 18:32:12.577843,0 days 00:00:16.860829,0.09678662501895663,,1000,l1,0.0024806692340752796,COMPLETE
14,14,0.9767580452920143,2025-05-02 18:32:12.579366,2025-05-02 18:32:24.499730,0 days 00:00:11.920364,2.364422227826692,,700,l1,0.01116460055282914,COMPLETE
15,15,0.9663056558363416,2025-05-02 18:32:24.501729,2025-05-02 18:32:25.868918,0 days 00:00:01.367189,176.48628029184687,,900,l1,0.09936332178320881,COMPLETE
16,16,0.9764670837056897,2025-05-02 18:32:25.870211,2025-05-02 18:32:36.107118,0 days 00:00:10.236907,2.5405716306968507,,600,l1,0.00038565127105822934,COMPLETE
17,17,0.9770491803278688,2025-05-02 18:32:36.108417,2025-05-02 18:32:51.323867,0 days 00:00:15.215450,0.2931163894316535,,900,l1,0.002128839128288025,COMPLETE
18,18,0.9653927174240146,2025-05-02 18:32:51.325371,2025-05-02 18:33:33.796045,0 days 00:00:42.470674,157.0080639595686,,400,l2,0.0003908290159120247,COMPLETE
19,19,0.9660150375939849,2025-05-02 18:33:33.798218,2025-05-02 18:33:39.710024,0 days 00:00:05.911806,0.03928850042046306,,800,l1,0.01770365989111265,COMPLETE
20,20,0.9785074626865673,2025-05-02 18:33:39.711341,2025-05-02 18:33:55.056721,0 days 00:00:15.345380,2.875747569257528,,900,l1,0.0054546883389271425,COMPLETE
21,21,0.9785074626865673,2025-05-02 18:33:55.058208,2025-05-02 18:34:07.014169,0 days 00:00:11.955961,17.133066322675578,,700,l1,0.001199831311866952,COMPLETE
22,22,0.9767580452920143,2025-05-02 18:34:07.015675,2025-05-02 18:34:17.308275,0 days 00:00:10.292600,114.43913788309474,,600,l1,0.0004497832853640887,COMPLETE
23,23,0.964769647696477,2025-05-02 18:34:17.309569,2025-05-02 18:34:19.266839,0 days 00:00:01.957270,37.73459921585789,,100,l1,0.003192490369417721,COMPLETE
24,24,0.9782154580722172,2025-05-02 18:34:19.268814,2025-05-02 18:34:32.860124,0 days 00:00:13.591310,9.614030197516668,,800,l1,0.0006245928530927271,COMPLETE
25,25,0.9761478831246273,2025-05-02 18:34:32.861432,2025-05-02 18:34:44.823901,0 days 00:00:11.962469,0.8233727638712648,,700,l1,0.0018092574143143412,COMPLETE
26,26,0.939834616481323,2025-05-02 18:34:44.825207,2025-05-02 18:34:52.376253,0 days 00:00:07.551046,0.0011383327972546815,balanced,1000,l1,0.00020568310263033047,COMPLETE
27,27,0.931098696461825,2025-05-02 18:34:52.377769,2025-05-02 18:35:06.649473,0 days 00:00:14.271704,358.5803474736655,,600,l2,0.007241411012122036,COMPLETE
28,28,0.97999402806808,2025-05-02 18:35:06.650993,2025-05-02 18:35:21.949469,0 days 00:00:15.298476,4.974749741295735,,900,l1,0.0034021155942506854,COMPLETE
29,29,0.9414118319519864,2025-05-02 18:35:21.951512,2025-05-02 18:36:53.660587,0 days 00:01:31.709075,3.7839904129137585,balanced,1000,l2,0.0035266007290709928,COMPLETE
30,30,0.9767580452920143,2025-05-02 18:36:53.663018,2025-05-02 18:37:07.096189,0 days 00:00:13.433171,0.42743187479450445,,900,l1,0.02637908937077618,COMPLETE
31,31,0.9785074626865673,2025-05-02 18:37:07.097714,2025-05-02 18:37:20.716182,0 days 00:00:13.618468,69.03396066629483,,800,l1,0.0042432040673367165,COMPLETE
32,32,0.9793845234538392,2025-05-02 18:37:20.718703,2025-05-02 18:37:36.139473,0 days 00:00:15.420770,18.32940454453339,,900,l1,0.007853342185923751,COMPLETE
33,33,0.9867708959711365,2025-05-02 18:37:36.140765,2025-05-02 18:37:53.221737,0 days 00:00:17.080972,7.486439985845249,,1000,l1,0.008555345288074412,COMPLETE
34,34,0.9864661654135337,2025-05-02 18:37:53.223238,2025-05-02 18:38:10.187868,0 days 00:00:16.964630,6.124252990926656,,1000,l1,0.009919371450711397,COMPLETE
35,35,0.9317617866004962,2025-05-02 18:38:10.189358,2025-05-02 18:38:44.527708,0 days 00:00:34.338350,6.030937324846001,,1000,l2,0.004942008783904038,COMPLETE
36,36,0.9783189783189783,2025-05-02 18:38:44.529734,2025-05-02 18:39:12.287024,0 days 00:00:27.757290,1.4202421152405964,balanced,1000,l1,0.0017258432930439321,COMPLETE
37,37,0.97999402806808,2025-05-02 18:39:12.288725,2025-05-02 18:39:27.635370,0 days 00:00:15.346645,25.366687517990325,,900,l1,0.024263574059326148,COMPLETE
38,38,0.9867708959711365,2025-05-02 18:39:27.637363,2025-05-02 18:39:44.595083,0 days 00:00:16.957720,6.6951556362923395,,1000,l1,0.011448942383733863,COMPLETE
39,39,0.939834616481323,2025-05-02 18:39:44.596368,2025-05-02 18:40:08.481585,0 days 00:00:23.885217,334.92878924119117,balanced,1000,l2,0.017491420743837572,COMPLETE
40,40,0.9660150375939849,2025-05-02 18:40:08.483338,2025-05-02 18:40:19.565825,0 days 00:00:11.082487,57.627844716128074,,1000,l1,0.044673805007298645,COMPLETE
41,41,0.9793845234538392,2025-05-02 18:40:19.566940,2025-05-02 18:40:47.585336,0 days 00:00:28.018396,6.445859476932061,,900,l1,0.011706555604903404,COMPLETE
42,42,0.9793845234538392,2025-05-02 18:40:47.588571,2025-05-02 18:41:11.734525,0 days 00:00:24.145954,1.3123247501773525,,1000,l1,0.010274672092844148,COMPLETE
43,43,0.9867708959711365,2025-05-02 18:41:11.738853,2025-05-02 18:41:34.953085,0 days 00:00:23.214232,14.730977126426957,,1000,l1,0.005570357653601009,COMPLETE
44,44,0.9867708959711365,2025-05-02 18:41:34.955111,2025-05-02 18:41:56.476353,0 days 00:00:21.521242,13.476832790405293,,1000,l1,0.005834809068740511,COMPLETE
45,45,0.9758713136729222,2025-05-02 18:41:56.478805,2025-05-02 18:42:01.813060,0 days 00:00:05.334255,18.039597227974806,,300,l1,0.004850819699745976,COMPLETE
46,46,0.9861612515042119,2025-05-02 18:42:01.814369,2025-05-02 18:42:17.068883,0 days 00:00:15.254514,83.82591113891758,,900,l1,0.006335919119566591,COMPLETE
47,47,0.9783189783189783,2025-05-02 18:42:17.070405,2025-05-02 18:42:45.493292,0 days 00:00:28.422887,28.43905055139498,balanced,1000,l1,0.002454667036482856,COMPLETE
48,48,0.9785202863961814,2025-05-02 18:42:45.495529,2025-05-02 18:42:59.098682,0 days 00:00:13.603153,11.832804643169426,,800,l1,0.013497821237725399,COMPLETE
49,49,0.9870754433423504,2025-05-02 18:42:59.099988,2025-05-02 18:43:16.326001,0 days 00:00:17.226013,43.60458920874678,,1000,l1,0.0013612821028494493,COMPLETE
50,50,0.9770628537384569,2025-05-02 18:43:16.327718,2025-05-02 18:45:47.338110,0 days 00:02:31.010392,225.39318949490985,,900,l2,0.001385808030153013,COMPLETE
51,51,0.97999402806808,2025-05-02 18:45:47.340563,2025-05-02 18:46:04.680876,0 days 00:00:17.340313,42.414780962694444,,1000,l1,0.0008594637189855782,COMPLETE
52,52,0.9867708959711365,2025-05-02 18:46:04.683074,2025-05-02 18:46:22.171356,0 days 00:00:17.488282,11.905825920017621,,1000,l1,0.0025690965999934662,COMPLETE
53,53,0.9793845234538392,2025-05-02 18:46:22.172649,2025-05-02 18:46:37.838442,0 days 00:00:15.665793,101.41203556351634,,900,l1,0.0007860856818062295,COMPLETE
54,54,0.97999402806808,2025-05-02 18:46:37.839960,2025-05-02 18:46:56.482993,0 days 00:00:18.643033,777.8311154170649,,1000,l1,0.005985778357568271,COMPLETE
55,55,0.9870754433423504,2025-05-02 18:46:56.484505,2025-05-02 18:47:13.972109,0 days 00:00:17.487604,29.639940309576648,,1000,l1,0.0016381252953091595,COMPLETE
56,56,0.9793845234538392,2025-05-02 18:47:13.974128,2025-05-02 18:47:28.057170,0 days 00:00:14.083042,34.00006433318343,,800,l1,0.0013809186698571943,COMPLETE
57,57,0.9785074626865673,2025-05-02 18:47:28.058479,2025-05-02 18:47:43.744969,0 days 00:00:15.686490,55.432584194170225,,900,l1,0.0006301144621763865,COMPLETE
58,58,0.9761762954139369,2025-05-02 18:47:43.746479,2025-05-02 18:47:50.847715,0 days 00:00:07.101236,152.60366185511333,,400,l1,0.0018554694458636646,COMPLETE
59,59,0.9785074626865673,2025-05-02 18:47:50.849208,2025-05-02 18:48:06.565561,0 days 00:00:15.716353,1.9063661252936541,,900,l1,0.0041342259540982145,COMPLETE
