,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.10239549084077032,2025-05-02 18:27:47.195908,2025-05-02 18:27:48.172206,0 days 00:00:00.976298,3.8906,4,1.9911262695144054,COMPLETE
1,1,0.05529953917050691,2025-05-02 18:27:48.172670,2025-05-02 18:27:49.140758,0 days 00:00:00.968088,3.8906,3,1.662138533020474,COMPLETE
2,2,0.3563032022699635,2025-05-02 18:27:49.141717,2025-05-02 18:27:50.087770,0 days 00:00:00.946053,3.8906,4,0.1706614113227764,COMPLETE
3,3,0.09788953749438706,2025-05-02 18:27:50.089041,2025-05-02 18:27:50.858245,0 days 00:00:00.769204,3.8906,3,1.2411456882301766,COMPLETE
4,4,0.39468690702087283,2025-05-02 18:27:50.858676,2025-05-02 18:27:51.652692,0 days 00:00:00.794016,3.8906,16,1.3203224934953737,COMPLETE
5,5,0.7318718381112984,2025-05-02 18:27:51.653275,2025-05-02 18:27:52.573190,0 days 00:00:00.919915,3.8906,6,1.9163578343342444,COMPLETE
6,6,0.19162835712557466,2025-05-02 18:27:52.574490,2025-05-02 18:27:53.641504,0 days 00:00:01.067014,3.8906,4,0.4105748499318904,COMPLETE
7,7,0.42158946026349337,2025-05-02 18:27:53.642917,2025-05-02 18:27:54.541917,0 days 00:00:00.899000,3.8906,16,0.3855183249592037,COMPLETE
8,8,0.7464892830746489,2025-05-02 18:27:54.542938,2025-05-02 18:27:55.423136,0 days 00:00:00.880198,3.8906,11,0.6646183144570639,COMPLETE
9,9,0.026050917702782707,2025-05-02 18:27:55.424112,2025-05-02 18:27:56.400063,0 days 00:00:00.975951,3.8906,29,0.4800296016608949,COMPLETE
10,10,0.7450834879406307,2025-05-02 18:27:56.401023,2025-05-02 18:27:57.438502,0 days 00:00:01.037479,3.8906,11,0.8174038772037416,COMPLETE
11,11,0.7374219610723466,2025-05-02 18:27:57.438854,2025-05-02 18:27:58.367020,0 days 00:00:00.928166,3.8906,12,0.8192976775862433,COMPLETE
12,12,0.7450834879406307,2025-05-02 18:27:58.367362,2025-05-02 18:27:59.374729,0 days 00:00:01.007367,3.8906,11,0.8375978031356923,COMPLETE
13,13,0.07090103397341212,2025-05-02 18:27:59.375698,2025-05-02 18:28:00.479280,0 days 00:00:01.103582,3.8906,23,0.8311315184232814,COMPLETE
