,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-02 21:38:41.163939,2025-05-02 21:38:41.164048,0 days 00:00:00.000109,COMPLETE
1,1,0.0,2025-05-02 21:38:41.164236,2025-05-02 21:38:41.164271,0 days 00:00:00.000035,COMPLETE
2,2,0.0,2025-05-02 21:38:41.164391,2025-05-02 21:38:41.164418,0 days 00:00:00.000027,COMPLETE
3,3,0.0,2025-05-02 21:38:41.164526,2025-05-02 21:38:41.164552,0 days 00:00:00.000026,COMPLETE
4,4,0.0,2025-05-02 21:38:41.164660,2025-05-02 21:38:41.164686,0 days 00:00:00.000026,COMPLETE
5,5,0.0,2025-05-02 21:38:41.164790,2025-05-02 21:38:41.164816,0 days 00:00:00.000026,COMPLETE
6,6,0.0,2025-05-02 21:38:41.164917,2025-05-02 21:38:41.164942,0 days 00:00:00.000025,COMPLETE
7,7,0.0,2025-05-02 21:38:41.165045,2025-05-02 21:38:41.165069,0 days 00:00:00.000024,COMPLETE
8,8,0.0,2025-05-02 21:38:41.165171,2025-05-02 21:38:41.165196,0 days 00:00:00.000025,COMPLETE
9,9,0.0,2025-05-02 21:38:41.165297,2025-05-02 21:38:41.165322,0 days 00:00:00.000025,COMPLETE
10,10,0.0,2025-05-02 21:38:41.165423,2025-05-02 21:38:41.165447,0 days 00:00:00.000024,COMPLETE
11,11,0.0,2025-05-02 21:38:41.165551,2025-05-02 21:38:41.165576,0 days 00:00:00.000025,COMPLETE
12,12,0.0,2025-05-02 21:38:41.165680,2025-05-02 21:38:41.165705,0 days 00:00:00.000025,COMPLETE
13,13,0.0,2025-05-02 21:38:41.165814,2025-05-02 21:38:41.165839,0 days 00:00:00.000025,COMPLETE
14,14,0.0,2025-05-02 21:38:41.165942,2025-05-02 21:38:41.165967,0 days 00:00:00.000025,COMPLETE
15,15,0.0,2025-05-02 21:38:41.166069,2025-05-02 21:38:41.166093,0 days 00:00:00.000024,COMPLETE
16,16,0.0,2025-05-02 21:38:41.166222,2025-05-02 21:38:41.166248,0 days 00:00:00.000026,COMPLETE
17,17,0.0,2025-05-02 21:38:41.166352,2025-05-02 21:38:41.166377,0 days 00:00:00.000025,COMPLETE
18,18,0.0,2025-05-02 21:38:41.166481,2025-05-02 21:38:41.166506,0 days 00:00:00.000025,COMPLETE
19,19,0.0,2025-05-02 21:38:41.166619,2025-05-02 21:38:41.166644,0 days 00:00:00.000025,COMPLETE
20,20,0.0,2025-05-02 21:38:41.166747,2025-05-02 21:38:41.166772,0 days 00:00:00.000025,COMPLETE
21,21,0.0,2025-05-02 21:38:41.166873,2025-05-02 21:38:41.166898,0 days 00:00:00.000025,COMPLETE
22,22,0.0,2025-05-02 21:38:41.166998,2025-05-02 21:38:41.167022,0 days 00:00:00.000024,COMPLETE
23,23,0.0,2025-05-02 21:38:41.167122,2025-05-02 21:38:41.167145,0 days 00:00:00.000023,COMPLETE
24,24,0.0,2025-05-02 21:38:41.167246,2025-05-02 21:38:41.167270,0 days 00:00:00.000024,COMPLETE
25,25,0.0,2025-05-02 21:38:41.167370,2025-05-02 21:38:41.167395,0 days 00:00:00.000025,COMPLETE
26,26,0.0,2025-05-02 21:38:41.167495,2025-05-02 21:38:41.167519,0 days 00:00:00.000024,COMPLETE
27,27,0.0,2025-05-02 21:38:41.167619,2025-05-02 21:38:41.167643,0 days 00:00:00.000024,COMPLETE
28,28,0.0,2025-05-02 21:38:41.167744,2025-05-02 21:38:41.167768,0 days 00:00:00.000024,COMPLETE
29,29,0.0,2025-05-02 21:38:41.167870,2025-05-02 21:38:41.167894,0 days 00:00:00.000024,COMPLETE
