,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.8528827037773361,2025-07-02 14:13:32.187113,2025-07-02 14:14:03.101641,0 days 00:00:30.914528,0.21000000000000002,0.16,3500,COMPLETE
1,1,0.834735779198923,2025-07-02 14:14:03.101973,2025-07-02 14:14:58.309147,0 days 00:00:55.207174,0.36,0.33,5000,COMPLETE
2,2,0.8386447500838645,2025-07-02 14:14:58.309439,2025-07-02 14:15:35.654110,0 days 00:00:37.344671,0.29000000000000004,0.23,4000,COMPLETE
3,3,0.7904861839804127,2025-07-02 14:15:35.654396,2025-07-02 14:16:12.085297,0 days 00:00:36.430901,0.6799999999999999,0.62,4000,COMPLETE
4,4,0.83591123066577,2025-07-02 14:16:12.085582,2025-07-02 14:16:57.746681,0 days 00:00:45.661099,0.34,0.28,4500,COMPLETE
5,5,0.9026941362916007,2025-07-02 14:16:57.746989,2025-07-02 14:17:26.612943,0 days 00:00:28.865954,0.060000000000000005,0.05,3000,COMPLETE
6,6,0.7849613492621224,2025-07-02 14:17:26.613207,2025-07-02 14:18:10.863739,0 days 00:00:44.250532,0.74,0.64,4500,COMPLETE
7,7,0.8029045643153528,2025-07-02 14:18:10.864025,2025-07-02 14:18:39.296383,0 days 00:00:28.432358,0.56,0.55,3500,COMPLETE
8,8,0.8693664271717831,2025-07-02 14:18:39.296657,2025-07-02 14:19:06.822090,0 days 00:00:27.525433,0.10999999999999999,0.06999999999999999,3000,COMPLETE
9,9,0.8363025210084033,2025-07-02 14:19:06.822375,2025-07-02 14:19:28.219927,0 days 00:00:21.397552,0.34,0.34,3000,COMPLETE
10,10,0.9044908285895004,2025-07-02 14:19:28.220210,2025-07-02 14:20:15.268112,0 days 00:00:47.047902,0.02,0.01,3500,COMPLETE
11,11,0.9359877488514547,2025-07-02 14:20:15.268407,2025-07-02 14:21:02.312891,0 days 00:00:47.044484,0.01,0.01,3500,COMPLETE
12,12,0.9045512010113781,2025-07-02 14:21:02.313180,2025-07-02 14:21:44.938153,0 days 00:00:42.624973,0.02,0.02,3500,COMPLETE
13,13,0.8726799088244871,2025-07-02 14:21:44.938433,2025-07-02 14:22:16.197239,0 days 00:00:31.258806,0.14,0.14,3500,COMPLETE
14,14,0.8208446866485013,2025-07-02 14:22:16.197540,2025-07-02 14:22:52.230277,0 days 00:00:36.032737,0.49,0.45,4000,COMPLETE
15,15,0.8726799088244871,2025-07-02 14:22:52.230575,2025-07-02 14:23:23.483149,0 days 00:00:31.252574,0.13,0.13,3500,COMPLETE
16,16,0.9359877488514547,2025-07-02 14:23:23.483439,2025-07-02 14:24:27.302422,0 days 00:01:03.818983,0.01,0.01,4500,COMPLETE
17,17,0.8536423841059603,2025-07-02 14:24:27.302710,2025-07-02 14:25:13.947811,0 days 00:00:46.645101,0.21000000000000002,0.21000000000000002,4500,COMPLETE
18,18,0.8763388510223954,2025-07-02 14:25:13.948111,2025-07-02 14:26:13.060074,0 days 00:00:59.111963,0.11,0.11,5000,COMPLETE
19,19,0.8220483157536577,2025-07-02 14:26:13.060357,2025-07-02 14:26:58.276232,0 days 00:00:45.215875,0.44,0.4,4500,COMPLETE
20,20,0.8536423841059603,2025-07-02 14:26:58.276524,2025-07-02 14:27:54.613450,0 days 00:00:56.336926,0.21000000000000002,0.21000000000000002,5000,COMPLETE
21,21,0.9359877488514547,2025-07-02 14:27:54.613747,2025-07-02 14:28:48.866480,0 days 00:00:54.252733,0.01,0.01,4000,COMPLETE
22,22,0.8960459183673469,2025-07-02 14:28:48.866775,2025-07-02 14:29:30.789833,0 days 00:00:41.923058,0.06999999999999999,0.06999999999999999,4000,COMPLETE
23,23,0.9359877488514547,2025-07-02 14:29:30.790264,2025-07-02 14:30:34.058987,0 days 00:01:03.268723,0.01,0.01,4500,COMPLETE
24,24,0.8992050874403816,2025-07-02 14:30:34.059283,2025-07-02 14:31:14.366554,0 days 00:00:40.307271,0.09999999999999999,0.09999999999999999,4000,COMPLETE
25,25,0.862306933946763,2025-07-02 14:31:14.366830,2025-07-02 14:32:01.616983,0 days 00:00:47.250153,0.17,0.17,4500,COMPLETE
26,26,0.8960459183673469,2025-07-02 14:32:01.617270,2025-07-02 14:32:43.398501,0 days 00:00:41.781231,0.06999999999999999,0.06999999999999999,4000,COMPLETE
27,27,0.8999682438869482,2025-07-02 14:32:43.398783,2025-07-02 14:33:37.775686,0 days 00:00:54.376903,0.03,0.01,4000,COMPLETE
28,28,0.9040835707502375,2025-07-02 14:33:37.775978,2025-07-02 14:34:27.353115,0 days 00:00:49.577137,0.09,0.09,4500,COMPLETE
29,29,0.8570485308682735,2025-07-02 14:34:27.353414,2025-07-02 14:34:58.222814,0 days 00:00:30.869400,0.19,0.17,3500,COMPLETE
30,30,0.8436873747494991,2025-07-02 14:34:58.223104,2025-07-02 14:35:20.345732,0 days 00:00:22.122628,0.29000000000000004,0.27,3000,COMPLETE
31,31,0.8963978323238764,2025-07-02 14:35:20.346024,2025-07-02 14:36:14.323679,0 days 00:00:53.977655,0.05,0.04,4500,COMPLETE
32,32,0.9359877488514547,2025-07-02 14:36:14.323977,2025-07-02 14:37:27.020544,0 days 00:01:12.696567,0.01,0.01,5000,COMPLETE
33,33,0.9245107176141659,2025-07-02 14:37:27.020832,2025-07-02 14:38:10.201425,0 days 00:00:43.180593,0.05,0.05,4000,COMPLETE
34,34,0.8763388510223954,2025-07-02 14:38:10.201726,2025-07-02 14:39:09.225588,0 days 00:00:59.023862,0.11,0.11,5000,COMPLETE
35,35,0.8604344963791968,2025-07-02 14:39:09.225901,2025-07-02 14:39:57.041655,0 days 00:00:47.815754,0.19,0.16,4500,COMPLETE
36,36,0.9019980970504282,2025-07-02 14:39:57.041956,2025-07-02 14:40:41.544460,0 days 00:00:44.502504,0.04,0.04,4000,COMPLETE
37,37,0.8041450777202073,2025-07-02 14:40:41.544747,2025-07-02 14:41:26.424286,0 days 00:00:44.879539,0.53,0.5,4500,COMPLETE
38,38,0.8436873747494991,2025-07-02 14:41:26.424572,2025-07-02 14:42:03.075683,0 days 00:00:36.651111,0.29000000000000004,0.26,4000,COMPLETE
39,39,0.8960459183673469,2025-07-02 14:42:03.075970,2025-07-02 14:43:03.770470,0 days 00:01:00.694500,0.06999999999999999,0.06999999999999999,5000,COMPLETE
40,40,0.83591123066577,2025-07-02 14:43:03.770772,2025-07-02 14:43:32.145868,0 days 00:00:28.375096,0.36000000000000004,0.34,3500,COMPLETE
41,41,0.9045512010113781,2025-07-02 14:43:32.146156,2025-07-02 14:44:41.693673,0 days 00:01:09.547517,0.02,0.02,5000,COMPLETE
42,42,0.9359877488514547,2025-07-02 14:44:41.693992,2025-07-02 14:45:54.624487,0 days 00:01:12.930495,0.01,0.01,5000,COMPLETE
43,43,0.9245107176141659,2025-07-02 14:45:54.624776,2025-07-02 14:46:56.475539,0 days 00:01:01.850763,0.05,0.05,5000,COMPLETE
