,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9945,2025-05-02 19:55:20.314393,2025-05-02 19:59:00.912857,0 days 00:03:40.598464,512,20,128,0.005,0.89,2,,,,COMPLETE
1,1,0.9939,2025-05-02 19:59:00.913366,2025-05-02 20:02:17.900826,0 days 00:03:16.987460,128,20,128,0.005,0.9,2,,,,COMPLETE
2,2,0.9936,2025-05-02 20:02:17.901294,2025-05-02 20:05:39.153210,0 days 00:03:21.251916,256,20,128,0.002,0.97,2,0.9936,0.9936,0.9936,COMPLETE
3,3,0.9937,2025-05-02 20:05:39.153659,2025-05-02 20:08:55.934705,0 days 00:03:16.781046,128,20,128,0.005,0.98,2,,,,COMPLETE
4,4,0.9754,2025-05-02 20:08:55.935165,2025-05-02 20:13:03.838476,0 days 00:04:07.903311,1024,20,128,0.001,0.96,2,0.9754,,,PRUNED
5,5,0.9948,2025-05-02 20:13:03.838861,2025-05-02 20:16:25.191960,0 days 00:03:21.353099,64,20,128,0.001,0.88,2,,,,COMPLETE
6,6,0.981,2025-05-02 20:16:25.192409,2025-05-02 20:19:12.146866,0 days 00:02:46.954457,32,20,128,0.002,0.99,2,0.981,,,PRUNED
7,7,0.9877,2025-05-02 20:19:12.147230,2025-05-02 20:22:56.023802,0 days 00:03:43.876572,512,20,128,0.002,0.95,2,0.9877,0.9877,,COMPLETE
8,8,0.9916,2025-05-02 20:22:56.024293,2025-05-02 20:25:42.924707,0 days 00:02:46.900414,256,20,128,0.005,0.99,2,0.9916,,,PRUNED
9,9,0.9928,2025-05-02 20:25:42.925145,2025-05-02 20:29:13.788016,0 days 00:03:30.862871,64,20,128,0.001,0.9,2,,,,COMPLETE
10,10,0.9916,2025-05-02 20:29:13.788527,2025-05-02 20:32:43.305261,0 days 00:03:29.516734,64,20,128,0.001,0.85,2,0.9916,,,COMPLETE
11,11,0.9908,2025-05-02 20:32:43.305774,2025-05-02 20:36:34.004856,0 days 00:03:50.699082,512,20,128,0.001,0.86,2,,,,COMPLETE
12,12,0.9931,2025-05-02 20:36:34.005347,2025-05-02 20:40:25.282963,0 days 00:03:51.277616,512,20,128,0.005,0.88,2,,,,COMPLETE
13,13,0.9948,2025-05-02 20:40:25.283443,2025-05-02 20:43:56.348459,0 days 00:03:31.065016,64,20,128,0.005,0.9299999999999999,2,,,,COMPLETE
14,14,0.9905,2025-05-02 20:43:56.348980,2025-05-02 20:47:28.282146,0 days 00:03:31.933166,64,20,128,0.001,0.9299999999999999,2,,,,COMPLETE
15,15,0.9914,2025-05-02 20:47:28.282628,2025-05-02 20:50:23.321963,0 days 00:02:55.039335,64,20,128,0.005,0.9299999999999999,2,0.9914,,,PRUNED
16,16,0.9905,2025-05-02 20:50:23.322353,2025-05-02 20:53:55.308377,0 days 00:03:31.986024,64,20,128,0.001,0.9199999999999999,2,,,,COMPLETE
17,17,0.988,2025-05-02 20:53:55.308866,2025-05-02 20:58:28.423275,0 days 00:04:33.114409,1024,20,128,0.005,0.87,2,,,,COMPLETE
18,18,0.9936,2025-05-02 20:58:28.423733,2025-05-02 21:01:57.233505,0 days 00:03:28.809772,64,20,128,0.001,0.9099999999999999,2,,,,COMPLETE
19,19,0.9914,2025-05-02 21:01:57.233982,2025-05-02 21:06:01.209609,0 days 00:04:03.975627,32,20,128,0.002,0.94,2,,,,COMPLETE
20,20,0.9925,2025-05-02 21:06:01.210064,2025-05-02 21:08:45.185800,0 days 00:02:43.975736,64,20,128,0.005,0.88,2,0.9925,0.9925,,PRUNED
21,21,0.9933,2025-05-02 21:08:45.186179,2025-05-02 21:12:34.779483,0 days 00:03:49.593304,512,20,128,0.005,0.89,2,,,,COMPLETE
22,22,0.996,2025-05-02 21:12:34.779947,2025-05-02 21:16:23.454274,0 days 00:03:48.674327,512,20,128,0.005,0.9099999999999999,2,,,,COMPLETE
23,23,0.9911,2025-05-02 21:16:23.454738,2025-05-02 21:19:38.200745,0 days 00:03:14.746007,64,20,128,0.005,0.9099999999999999,2,0.9911,,,PRUNED
24,24,0.9919,2025-05-02 21:19:38.201153,2025-05-02 21:23:43.176856,0 days 00:04:04.975703,32,20,128,0.005,0.9199999999999999,2,,,,COMPLETE
25,25,0.9907,2025-05-02 21:23:43.177331,2025-05-02 21:27:14.662565,0 days 00:03:31.485234,256,20,128,0.001,0.95,2,,,,COMPLETE
26,26,0.9871,2025-05-02 21:27:14.663057,2025-05-02 21:31:47.428960,0 days 00:04:32.765903,1024,20,128,0.005,0.9099999999999999,2,,,,COMPLETE
27,27,0.9914,2025-05-02 21:31:47.429443,2025-05-02 21:35:14.199326,0 days 00:03:26.769883,128,20,128,0.005,0.87,2,,,,COMPLETE
28,28,0.9865,2025-05-02 21:35:14.199793,2025-05-02 21:39:05.776984,0 days 00:03:51.577191,512,20,128,0.001,0.89,2,,,,COMPLETE
29,29,0.9877,2025-05-02 21:39:05.777468,2025-05-02 21:42:57.074091,0 days 00:03:51.296623,512,20,128,0.002,0.9299999999999999,2,0.9877,0.9877,,COMPLETE
