,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-03 02:38:29.054415,2025-05-03 02:38:29.054490,0 days 00:00:00.000075,COMPLETE
1,1,0.0,2025-05-03 02:38:29.054665,2025-05-03 02:38:29.054695,0 days 00:00:00.000030,COMPLETE
2,2,0.0,2025-05-03 02:38:29.054817,2025-05-03 02:38:29.054845,0 days 00:00:00.000028,COMPLETE
3,3,0.0,2025-05-03 02:38:29.054960,2025-05-03 02:38:29.054987,0 days 00:00:00.000027,COMPLETE
4,4,0.0,2025-05-03 02:38:29.055101,2025-05-03 02:38:29.055128,0 days 00:00:00.000027,COMPLETE
5,5,0.0,2025-05-03 02:38:29.055260,2025-05-03 02:38:29.055288,0 days 00:00:00.000028,COMPLETE
6,6,0.0,2025-05-03 02:38:29.055404,2025-05-03 02:38:29.055430,0 days 00:00:00.000026,COMPLETE
7,7,0.0,2025-05-03 02:38:29.055541,2025-05-03 02:38:29.055568,0 days 00:00:00.000027,COMPLETE
8,8,0.0,2025-05-03 02:38:29.055679,2025-05-03 02:38:29.055704,0 days 00:00:00.000025,COMPLETE
9,9,0.0,2025-05-03 02:38:29.055817,2025-05-03 02:38:29.055844,0 days 00:00:00.000027,COMPLETE
10,10,0.0,2025-05-03 02:38:29.055954,2025-05-03 02:38:29.055980,0 days 00:00:00.000026,COMPLETE
11,11,0.0,2025-05-03 02:38:29.056090,2025-05-03 02:38:29.056116,0 days 00:00:00.000026,COMPLETE
12,12,0.0,2025-05-03 02:38:29.056225,2025-05-03 02:38:29.056250,0 days 00:00:00.000025,COMPLETE
13,13,0.0,2025-05-03 02:38:29.056358,2025-05-03 02:38:29.056384,0 days 00:00:00.000026,COMPLETE
14,14,0.0,2025-05-03 02:38:29.056493,2025-05-03 02:38:29.056518,0 days 00:00:00.000025,COMPLETE
15,15,0.0,2025-05-03 02:38:29.056629,2025-05-03 02:38:29.056654,0 days 00:00:00.000025,COMPLETE
16,16,0.0,2025-05-03 02:38:29.056765,2025-05-03 02:38:29.056790,0 days 00:00:00.000025,COMPLETE
17,17,0.0,2025-05-03 02:38:29.056899,2025-05-03 02:38:29.056925,0 days 00:00:00.000026,COMPLETE
18,18,0.0,2025-05-03 02:38:29.057034,2025-05-03 02:38:29.057060,0 days 00:00:00.000026,COMPLETE
19,19,0.0,2025-05-03 02:38:29.057168,2025-05-03 02:38:29.057193,0 days 00:00:00.000025,COMPLETE
20,20,0.0,2025-05-03 02:38:29.057302,2025-05-03 02:38:29.057327,0 days 00:00:00.000025,COMPLETE
21,21,0.0,2025-05-03 02:38:29.057436,2025-05-03 02:38:29.057461,0 days 00:00:00.000025,COMPLETE
22,22,0.0,2025-05-03 02:38:29.057570,2025-05-03 02:38:29.057595,0 days 00:00:00.000025,COMPLETE
23,23,0.0,2025-05-03 02:38:29.057703,2025-05-03 02:38:29.057728,0 days 00:00:00.000025,COMPLETE
24,24,0.0,2025-05-03 02:38:29.057836,2025-05-03 02:38:29.057861,0 days 00:00:00.000025,COMPLETE
25,25,0.0,2025-05-03 02:38:29.057972,2025-05-03 02:38:29.057997,0 days 00:00:00.000025,COMPLETE
26,26,0.0,2025-05-03 02:38:29.058106,2025-05-03 02:38:29.058132,0 days 00:00:00.000026,COMPLETE
27,27,0.0,2025-05-03 02:38:29.058253,2025-05-03 02:38:29.058279,0 days 00:00:00.000026,COMPLETE
28,28,0.0,2025-05-03 02:38:29.058391,2025-05-03 02:38:29.058416,0 days 00:00:00.000025,COMPLETE
29,29,0.0,2025-05-03 02:38:29.058529,2025-05-03 02:38:29.058555,0 days 00:00:00.000026,COMPLETE
