,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.14329670329670327,2025-05-02 18:40:02.685123,2025-05-02 18:40:02.904944,0 days 00:00:00.219821,3.8906,1,1.5918268654898902,COMPLETE
1,1,0.8008595988538681,2025-05-02 18:40:02.906270,2025-05-02 18:40:03.110078,0 days 00:00:00.203808,3.8906,4,0.7062606967337764,COMPLETE
2,2,0.11538596429698733,2025-05-02 18:40:03.111014,2025-05-02 18:40:03.313832,0 days 00:00:00.202818,3.8906,3,1.3718118291119583,COMPLETE
3,3,0.11530912659470069,2025-05-02 18:40:03.314230,2025-05-02 18:40:03.513433,0 days 00:00:00.199203,3.8906,3,1.122231143942342,COMPLETE
4,4,0.8008595988538681,2025-05-02 18:40:03.513830,2025-05-02 18:40:03.757020,0 days 00:00:00.243190,3.8906,4,1.1999385034651635,COMPLETE
5,5,0.40558220671609246,2025-05-02 18:40:03.757554,2025-05-02 18:40:03.951366,0 days 00:00:00.193812,3.8906,2,1.0099016221987773,COMPLETE
6,6,0.5679983440281515,2025-05-02 18:40:03.952353,2025-05-02 18:40:04.166574,0 days 00:00:00.214221,3.8906,1,0.18002807126453108,COMPLETE
7,7,0.11703187250996017,2025-05-02 18:40:04.166958,2025-05-02 18:40:04.369309,0 days 00:00:00.202351,3.8906,3,1.6519213585377013,COMPLETE
8,8,0.14460999123575813,2025-05-02 18:40:04.370315,2025-05-02 18:40:04.564873,0 days 00:00:00.194558,3.8906,1,1.2961372335169505,COMPLETE
9,9,0.115305085339782,2025-05-02 18:40:04.565856,2025-05-02 18:40:04.771553,0 days 00:00:00.205697,3.8906,3,0.8754110430242189,COMPLETE
10,10,0.8008595988538681,2025-05-02 18:40:04.772113,2025-05-02 18:40:04.981796,0 days 00:00:00.209683,3.8906,4,0.5904423717944673,COMPLETE
11,11,0.8008595988538681,2025-05-02 18:40:04.982217,2025-05-02 18:40:05.191393,0 days 00:00:00.209176,3.8906,4,0.6044430656422991,COMPLETE
12,12,0.8008595988538681,2025-05-02 18:40:05.191797,2025-05-02 18:40:05.400809,0 days 00:00:00.209012,3.8906,4,1.9115445413222594,COMPLETE
13,13,0.8008595988538681,2025-05-02 18:40:05.401475,2025-05-02 18:40:05.607303,0 days 00:00:00.205828,3.8906,4,0.6826896751501742,COMPLETE
14,14,0.5906155832974601,2025-05-02 18:40:05.608277,2025-05-02 18:40:05.812380,0 days 00:00:00.204103,3.8906,2,0.26102245224179366,COMPLETE
15,15,0.8008595988538681,2025-05-02 18:40:05.813444,2025-05-02 18:40:06.013905,0 days 00:00:00.200461,3.8906,4,0.8569785150289436,COMPLETE
16,16,0.8008595988538681,2025-05-02 18:40:06.014961,2025-05-02 18:40:06.230138,0 days 00:00:00.215177,3.8906,4,0.46865005150212313,COMPLETE
17,17,0.3702051739518288,2025-05-02 18:40:06.231175,2025-05-02 18:40:06.435626,0 days 00:00:00.204451,3.8906,2,1.15297417364384,COMPLETE
18,18,0.11538596429698733,2025-05-02 18:40:06.436667,2025-05-02 18:40:06.645427,0 days 00:00:00.208760,3.8906,3,1.4535604179580497,COMPLETE
19,19,0.8008595988538681,2025-05-02 18:40:06.646524,2025-05-02 18:40:06.877479,0 days 00:00:00.230955,3.8906,4,0.3732331233602679,COMPLETE
20,20,0.05582610761373084,2025-05-02 18:40:06.878482,2025-05-02 18:40:07.102708,0 days 00:00:00.224226,3.8906,3,0.7483583176199011,COMPLETE
21,21,0.8008595988538681,2025-05-02 18:40:07.103690,2025-05-02 18:40:07.329255,0 days 00:00:00.225565,3.8906,4,0.5325662408639278,COMPLETE
22,22,0.8008595988538681,2025-05-02 18:40:07.330240,2025-05-02 18:40:07.583374,0 days 00:00:00.253134,3.8906,4,0.9727014551110663,COMPLETE
23,23,0.8008595988538681,2025-05-02 18:40:07.584540,2025-05-02 18:40:07.840188,0 days 00:00:00.255648,3.8906,4,0.7533666960044266,COMPLETE
24,24,0.8008595988538681,2025-05-02 18:40:07.841199,2025-05-02 18:40:08.419175,0 days 00:00:00.577976,3.8906,4,1.2044549011146461,COMPLETE
25,25,0.05562036144781998,2025-05-02 18:40:08.420574,2025-05-02 18:40:08.714179,0 days 00:00:00.293605,3.8906,3,0.3786444493420093,COMPLETE
26,26,0.8008595988538681,2025-05-02 18:40:08.715161,2025-05-02 18:40:08.942881,0 days 00:00:00.227720,3.8906,4,0.8619260221683891,COMPLETE
27,27,0.05582610761373084,2025-05-02 18:40:08.943887,2025-05-02 18:40:09.310095,0 days 00:00:00.366208,3.8906,3,0.6474236231151129,COMPLETE
28,28,0.8008595988538681,2025-05-02 18:40:09.311116,2025-05-02 18:40:09.549979,0 days 00:00:00.238863,3.8906,4,1.0247538428331557,COMPLETE
29,29,0.360198108959928,2025-05-02 18:40:09.551368,2025-05-02 18:40:09.795307,0 days 00:00:00.243939,3.8906,2,1.6518829234299093,COMPLETE
30,30,0.8008595988538681,2025-05-02 18:40:09.796394,2025-05-02 18:40:10.276667,0 days 00:00:00.480273,3.8906,4,0.4876567423002165,COMPLETE
31,31,0.8008595988538681,2025-05-02 18:40:10.277122,2025-05-02 18:40:10.495817,0 days 00:00:00.218695,3.8906,4,0.5934105000921062,COMPLETE
32,32,0.7881565033486077,2025-05-02 18:40:10.496764,2025-05-02 18:40:10.780227,0 days 00:00:00.283463,3.8906,4,0.278521232019577,COMPLETE
33,33,0.05562036144781998,2025-05-02 18:40:10.780669,2025-05-02 18:40:11.147435,0 days 00:00:00.366766,3.8906,3,0.10574122571697697,COMPLETE
34,34,0.8008595988538681,2025-05-02 18:40:11.148726,2025-05-02 18:40:11.411318,0 days 00:00:00.262592,3.8906,4,0.7713057466373305,COMPLETE
35,35,0.8008595988538681,2025-05-02 18:40:11.411884,2025-05-02 18:40:11.635544,0 days 00:00:00.223660,3.8906,4,1.4813922062771256,COMPLETE
36,36,0.115305085339782,2025-05-02 18:40:11.636528,2025-05-02 18:40:11.917929,0 days 00:00:00.281401,3.8906,3,0.9316596032267196,COMPLETE
