,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.8167069382119434,2025-05-02 18:40:02.605149,2025-05-02 18:40:03.644545,0 days 00:00:01.039396,0.0019187920706519891,,100,l2,0.06120875381739893,COMPLETE
1,1,0.9617354624887015,2025-05-02 18:40:03.647035,2025-05-02 18:40:09.975760,0 days 00:00:06.328725,0.11257712497232943,,600,l1,0.05515476021427666,COMPLETE
2,2,0.9617354624887015,2025-05-02 18:40:09.978195,2025-05-02 18:40:15.323340,0 days 00:00:05.345145,215.4074388360043,,400,l1,0.08175273001039225,COMPLETE
3,3,0.9740994343554631,2025-05-02 18:40:15.325345,2025-05-02 18:40:34.849153,0 days 00:00:19.523808,43.93181376528847,,700,l1,0.012022200519719473,COMPLETE
4,4,0.9623607347184583,2025-05-02 18:40:34.851440,2025-05-02 18:40:42.925661,0 days 00:00:08.074221,238.89866370999385,,300,l1,0.0017910757287258683,COMPLETE
5,5,0.9756532066508313,2025-05-02 18:40:42.927624,2025-05-02 18:40:59.130773,0 days 00:00:16.203149,154.08885192532242,balanced,400,l1,0.0003181994076118786,COMPLETE
6,6,0.9264660254421346,2025-05-02 18:40:59.133085,2025-05-02 18:41:28.348922,0 days 00:00:29.215837,1.1085243198947303,,600,l2,0.009348073817723263,COMPLETE
7,7,0.9756532066508313,2025-05-02 18:41:28.351247,2025-05-02 18:41:49.479829,0 days 00:00:21.128582,0.6319498820952207,balanced,600,l1,0.0003512145047499618,COMPLETE
8,8,0.962673088500903,2025-05-02 18:41:49.482175,2025-05-02 18:41:53.512132,0 days 00:00:04.029957,0.4411946991236461,,200,l1,0.00796481827823774,COMPLETE
9,9,0.9744047619047619,2025-05-02 18:41:53.514431,2025-05-02 18:42:01.245313,0 days 00:00:07.730882,138.50712807464416,,500,l1,0.012907155222529847,COMPLETE
10,10,0.9739490822972173,2025-05-02 18:42:01.247610,2025-05-02 18:43:06.787669,0 days 00:01:05.540059,11.416053596002678,balanced,1000,l2,0.00016850342069140524,COMPLETE
11,11,0.9762611275964391,2025-05-02 18:43:06.789999,2025-05-02 18:43:22.711470,0 days 00:00:15.921471,0.031492953336112774,balanced,700,l1,0.00024181471240659669,COMPLETE
12,12,0.9448592762780011,2025-05-02 18:43:22.713606,2025-05-02 18:43:32.644608,0 days 00:00:09.931002,0.007708292191452272,balanced,900,l1,0.0006984109794671303,COMPLETE
13,13,0.9762611275964391,2025-05-02 18:43:32.646068,2025-05-02 18:44:22.143392,0 days 00:00:49.497324,0.04754859561227949,balanced,800,l1,0.00014806245204400216,COMPLETE
14,14,0.9739490822972173,2025-05-02 18:44:22.159155,2025-05-02 18:45:16.083121,0 days 00:00:53.923966,0.029385160708740678,balanced,800,l1,0.00010785946329139277,COMPLETE
15,15,0.9448592762780011,2025-05-02 18:45:16.085547,2025-05-02 18:46:09.858561,0 days 00:00:53.773014,0.0329033110311458,balanced,800,l2,0.00133428426374566,COMPLETE
16,16,0.9445879988515647,2025-05-02 18:46:09.860758,2025-05-02 18:46:19.233918,0 days 00:00:09.373160,0.0013470711575251303,balanced,1000,l1,0.00036227929070240704,COMPLETE
17,17,0.9759572573463936,2025-05-02 18:46:19.235478,2025-05-02 18:46:39.508316,0 days 00:00:20.272838,5.413006235903225,balanced,800,l1,0.00012238864011543434,COMPLETE
18,18,0.9448592762780011,2025-05-02 18:46:39.510303,2025-05-02 18:47:16.328975,0 days 00:00:36.818672,0.09714796034176805,balanced,700,l2,0.0009339963557603008,COMPLETE
19,19,0.9448592762780011,2025-05-02 18:47:16.331143,2025-05-02 18:47:25.492330,0 days 00:00:09.161187,0.010160075802566232,balanced,900,l1,0.0026247071534942117,COMPLETE
20,20,0.9762611275964391,2025-05-02 18:47:25.493598,2025-05-02 18:47:42.930537,0 days 00:00:17.436939,0.1705307267643156,balanced,700,l1,0.00023777072733423057,COMPLETE
21,21,0.9762611275964391,2025-05-02 18:47:42.932675,2025-05-02 18:48:00.372232,0 days 00:00:17.439557,0.14993452950303277,balanced,700,l1,0.0001967750373169535,COMPLETE
22,22,0.9448592762780011,2025-05-02 18:48:00.373692,2025-05-02 18:48:05.944861,0 days 00:00:05.571169,0.010122912471433721,balanced,500,l1,0.0006277729924240544,COMPLETE
23,23,0.9759572573463936,2025-05-02 18:48:05.946120,2025-05-02 18:48:28.886068,0 days 00:00:22.939948,2.382859975683463,balanced,900,l1,0.0002733361286463396,COMPLETE
24,24,0.9762611275964391,2025-05-02 18:48:28.888242,2025-05-02 18:48:44.771784,0 days 00:00:15.883542,0.050617335315065584,balanced,700,l1,0.0005424234938812444,COMPLETE
25,25,0.9448592762780011,2025-05-02 18:48:44.773274,2025-05-02 18:48:53.200961,0 days 00:00:08.427687,0.004463219266446901,balanced,800,l1,0.00018844375805634122,COMPLETE
26,26,0.9448592762780011,2025-05-02 18:48:53.202232,2025-05-02 18:49:35.879210,0 days 00:00:42.676978,0.1667357788986035,balanced,700,l2,0.0047200269040372335,COMPLETE
27,27,0.9756532066508313,2025-05-02 18:49:35.881577,2025-05-02 18:49:48.374405,0 days 00:00:12.492828,0.327139224690812,balanced,500,l1,0.00010850302627172198,COMPLETE
28,28,0.9713610865072335,2025-05-02 18:49:48.375852,2025-05-02 18:50:08.798591,0 days 00:00:20.422739,0.02761076646421053,balanced,900,l1,0.00047415382845200665,COMPLETE
29,29,0.9448592762780011,2025-05-02 18:50:08.800563,2025-05-02 18:50:19.153397,0 days 00:00:10.352834,0.003615122789747154,balanced,600,l2,0.030233200325626305,COMPLETE
30,30,0.9707533234859675,2025-05-02 18:50:19.154865,2025-05-02 18:50:21.512720,0 days 00:00:02.357855,1.3841695044724562,balanced,100,l1,0.0010846393997014868,COMPLETE
31,31,0.9756532066508313,2025-05-02 18:50:21.513987,2025-05-02 18:50:38.987461,0 days 00:00:17.473474,0.19737776493594492,balanced,700,l1,0.00019684995946841975,COMPLETE
32,32,0.9762611275964391,2025-05-02 18:50:38.988905,2025-05-02 18:50:59.202318,0 days 00:00:20.213413,0.09711991684518982,balanced,800,l1,0.0002248279611032908,COMPLETE
33,33,0.9762611275964391,2025-05-02 18:50:59.204478,2025-05-02 18:51:16.525243,0 days 00:00:17.320765,0.06533388274772294,balanced,700,l1,0.00014311704797017517,COMPLETE
34,34,0.9448592762780011,2025-05-02 18:51:16.526699,2025-05-02 18:51:28.567513,0 days 00:00:12.040814,0.016386493390967708,balanced,600,l1,0.0002413664214079346,COMPLETE
35,35,0.9620481927710843,2025-05-02 18:51:28.570013,2025-05-02 18:51:39.062342,0 days 00:00:10.492329,0.20656498899548356,,700,l1,0.0004074146140569408,COMPLETE
36,36,0.9445879988515647,2025-05-02 18:51:39.063604,2025-05-02 18:51:43.179911,0 days 00:00:04.116307,0.0033996864244183692,balanced,400,l1,0.00015430287560297924,COMPLETE
37,37,0.9620481927710843,2025-05-02 18:51:43.181394,2025-05-02 18:51:52.221816,0 days 00:00:09.040422,0.6110493920866986,,600,l1,0.001632281261797315,COMPLETE
38,38,0.9759572573463936,2025-05-02 18:51:52.223081,2025-05-02 18:52:12.327934,0 days 00:00:20.104853,2.577880495721455,balanced,800,l1,0.00010022060076400652,COMPLETE
39,39,0.9762611275964391,2025-05-02 18:52:12.330086,2025-05-02 18:52:23.820228,0 days 00:00:11.490142,0.05823605025274154,balanced,500,l1,0.00032508771837565573,COMPLETE
40,40,0.9623607347184583,2025-05-02 18:52:23.821498,2025-05-02 18:53:02.311470,0 days 00:00:38.489972,909.2077882701441,,400,l2,0.0008824711049362624,COMPLETE
41,41,0.9762611275964391,2025-05-02 18:53:02.313821,2025-05-02 18:53:19.336594,0 days 00:00:17.022773,0.0542451210147118,balanced,700,l1,0.0005004879997876876,COMPLETE
42,42,0.9448592762780011,2025-05-02 18:53:19.338035,2025-05-02 18:53:32.235468,0 days 00:00:12.897433,0.016060400068258724,balanced,700,l1,0.0005903468924189354,COMPLETE
43,43,0.9756532066508313,2025-05-02 18:53:32.237459,2025-05-02 18:53:47.182927,0 days 00:00:14.945468,0.3109462386400899,balanced,600,l1,0.00025873157289342877,COMPLETE
44,44,0.9762611275964391,2025-05-02 18:53:47.184402,2025-05-02 18:54:05.538203,0 days 00:00:18.353801,0.11598088354886876,balanced,800,l1,0.000161000061768786,COMPLETE
45,45,0.9762611275964391,2025-05-02 18:54:05.539675,2025-05-02 18:54:27.010638,0 days 00:00:21.470963,0.047776230589119464,balanced,900,l1,0.00031466230053300766,COMPLETE
46,46,0.9532766990291262,2025-05-02 18:54:27.012635,2025-05-02 18:54:35.651383,0 days 00:00:08.638748,0.01729911371482167,,600,l1,0.0024263129936271262,COMPLETE
47,47,0.9756532066508313,2025-05-02 18:54:35.652868,2025-05-02 18:54:53.059642,0 days 00:00:17.406774,0.8817534074915252,balanced,700,l1,0.00020772452393917032,COMPLETE
48,48,0.9739490822972173,2025-05-02 18:54:53.061105,2025-05-02 18:55:11.008890,0 days 00:00:17.947785,0.028372060102831578,balanced,800,l1,0.0004314762591144229,COMPLETE
49,49,0.9448592762780011,2025-05-02 18:55:11.010887,2025-05-02 18:56:05.618505,0 days 00:00:54.607618,0.42432271402537103,balanced,700,l2,0.00013785813378515362,COMPLETE
50,50,0.9762611275964391,2025-05-02 18:56:05.620885,2025-05-02 18:56:30.796641,0 days 00:00:25.175756,0.1254635866623202,balanced,1000,l1,0.0007822231838468944,COMPLETE
51,51,0.9762611275964391,2025-05-02 18:56:30.798845,2025-05-02 18:56:50.374059,0 days 00:00:19.575214,0.08851243038970352,balanced,800,l1,0.00023276239334819705,COMPLETE
52,52,0.9762611275964391,2025-05-02 18:56:50.375544,2025-05-02 18:57:10.427141,0 days 00:00:20.051597,0.2199866367814133,balanced,800,l1,0.00031117026529860686,COMPLETE
53,53,0.9448592762780011,2025-05-02 18:57:10.428618,2025-05-02 18:57:20.380211,0 days 00:00:09.951593,0.006999871290032694,balanced,900,l1,0.00019169679127792363,COMPLETE
54,54,0.9762611275964391,2025-05-02 18:57:20.382216,2025-05-02 18:57:38.873770,0 days 00:00:18.491554,0.040168381953395414,balanced,800,l1,0.00014552559199456448,COMPLETE
55,55,0.9762611275964391,2025-05-02 18:57:38.875305,2025-05-02 18:57:56.910357,0 days 00:00:18.035052,0.0868480173614435,balanced,700,l1,0.0005958729832855787,COMPLETE
