,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.9576372315035799,2025-05-02 18:40:07.291148,2025-05-02 18:40:08.439986,0 days 00:00:01.148838,3.8906,7,0.22775827117845276,COMPLETE
1,1,0.02510460251046025,2025-05-02 18:40:08.441474,2025-05-02 18:40:09.350007,0 days 00:00:00.908533,3.8906,28,0.5028434679637369,COMPLETE
2,2,0.911669128508124,2025-05-02 18:40:09.350379,2025-05-02 18:40:10.283742,0 days 00:00:00.933363,3.8906,5,0.3812870158523606,COMPLETE
3,3,0.12260967379077617,2025-05-02 18:40:10.284088,2025-05-02 18:40:11.175582,0 days 00:00:00.891494,3.8906,17,1.1897648748151273,COMPLETE
4,4,0.5825571549534293,2025-05-02 18:40:11.176191,2025-05-02 18:40:12.082062,0 days 00:00:00.905871,3.8906,8,1.6764501178269167,COMPLETE
5,5,0.017848755284170972,2025-05-02 18:40:12.083044,2025-05-02 18:40:13.122588,0 days 00:00:01.039544,3.8906,4,1.5426899382551302,COMPLETE
6,6,0.03216200119118523,2025-05-02 18:40:13.122917,2025-05-02 18:40:14.159301,0 days 00:00:01.036384,3.8906,28,0.1537227199523039,COMPLETE
7,7,0.03216200119118523,2025-05-02 18:40:14.159634,2025-05-02 18:40:15.252545,0 days 00:00:01.092911,3.8906,22,0.48289120978294153,COMPLETE
8,8,0.06612529002320187,2025-05-02 18:40:15.253732,2025-05-02 18:40:16.287392,0 days 00:00:01.033660,3.8906,23,0.24837495705195808,COMPLETE
9,9,0.34611602753195675,2025-05-02 18:40:16.287933,2025-05-02 18:40:17.281816,0 days 00:00:00.993883,3.8906,14,1.8748321682840545,COMPLETE
10,10,0.6926570779712338,2025-05-02 18:40:17.282181,2025-05-02 18:40:18.316730,0 days 00:00:01.034549,3.8906,11,0.8744783997291699,COMPLETE
11,11,0.6352059925093633,2025-05-02 18:40:18.317263,2025-05-02 18:40:19.247829,0 days 00:00:00.930566,3.8906,5,0.7663798726117078,COMPLETE
12,12,0.1151373465809468,2025-05-02 18:40:19.248162,2025-05-02 18:40:20.552461,0 days 00:00:01.304299,3.8906,3,0.4643323412891234,COMPLETE
13,13,0.9561586638830897,2025-05-02 18:40:20.552998,2025-05-02 18:40:21.662825,0 days 00:00:01.109827,3.8906,9,0.11452427500292606,COMPLETE
14,14,0.8104280656581911,2025-05-02 18:40:21.663153,2025-05-02 18:40:22.724303,0 days 00:00:01.061150,3.8906,11,0.10907357040544874,COMPLETE
15,15,0.7677655677655677,2025-05-02 18:40:22.724697,2025-05-02 18:40:23.591830,0 days 00:00:00.867133,3.8906,9,0.7314372770487578,COMPLETE
16,16,0.32000000000000006,2025-05-02 18:40:23.592246,2025-05-02 18:40:24.653903,0 days 00:00:01.061657,3.8906,16,1.1103158713973946,COMPLETE
17,17,0.9570149253731343,2025-05-02 18:40:24.654867,2025-05-02 18:40:25.896729,0 days 00:00:01.241862,3.8906,8,0.6294999842223759,COMPLETE
18,18,0.03216200119118523,2025-05-02 18:40:25.897351,2025-05-02 18:40:26.935855,0 days 00:00:01.038504,3.8906,19,0.6157581189475897,COMPLETE
19,19,0.46693297825122054,2025-05-02 18:40:26.936375,2025-05-02 18:40:28.066200,0 days 00:00:01.129825,3.8906,12,1.0177026495437254,COMPLETE
20,20,0.9570149253731343,2025-05-02 18:40:28.066837,2025-05-02 18:40:29.430101,0 days 00:00:01.363264,3.8906,7,0.35559562275327755,COMPLETE
21,21,0.9570149253731343,2025-05-02 18:40:29.430437,2025-05-02 18:40:30.271037,0 days 00:00:00.840600,3.8906,6,0.2754081256943123,COMPLETE
22,22,0.9570149253731343,2025-05-02 18:40:30.271436,2025-05-02 18:40:30.900659,0 days 00:00:00.629223,3.8906,7,0.6119663070334886,COMPLETE
23,23,0.45734702992407333,2025-05-02 18:40:30.901171,2025-05-02 18:40:31.709230,0 days 00:00:00.808059,3.8906,13,0.3535079081179884,COMPLETE
24,24,0.5204755614266843,2025-05-02 18:40:31.710243,2025-05-02 18:40:32.536122,0 days 00:00:00.825879,3.8906,10,1.3362526997241932,COMPLETE
25,25,0.788583509513742,2025-05-02 18:40:32.536524,2025-05-02 18:40:33.150831,0 days 00:00:00.614307,3.8906,7,0.9203740064468047,COMPLETE
26,26,0.06684733514001807,2025-05-02 18:40:33.151825,2025-05-02 18:40:34.092666,0 days 00:00:00.940841,3.8906,3,0.6702216400968425,COMPLETE
27,27,0.4640638864241349,2025-05-02 18:40:34.093182,2025-05-02 18:40:34.730643,0 days 00:00:00.637461,3.8906,14,0.2921499426255554,COMPLETE
28,28,0.9570149253731343,2025-05-02 18:40:34.730972,2025-05-02 18:40:35.686466,0 days 00:00:00.955494,3.8906,7,0.5079114817698898,COMPLETE
29,29,0.4097605893186004,2025-05-02 18:40:35.686811,2025-05-02 18:40:36.304651,0 days 00:00:00.617840,3.8906,16,0.5322363941221073,COMPLETE
30,30,0.7677655677655677,2025-05-02 18:40:36.304984,2025-05-02 18:40:37.264648,0 days 00:00:00.959664,3.8906,9,0.8569235818926164,COMPLETE
31,31,0.9570149253731343,2025-05-02 18:40:37.264982,2025-05-02 18:40:37.886686,0 days 00:00:00.621704,3.8906,6,0.2883125003641005,COMPLETE
32,32,0.911669128508124,2025-05-02 18:40:37.887020,2025-05-02 18:40:38.891752,0 days 00:00:01.004732,3.8906,5,0.39189121244460573,COMPLETE
