,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-02 21:52:45.090171,2025-05-02 21:52:45.090250,0 days 00:00:00.000079,COMPLETE
1,1,0.0,2025-05-02 21:52:45.090439,2025-05-02 21:52:45.090474,0 days 00:00:00.000035,COMPLETE
2,2,0.0,2025-05-02 21:52:45.090601,2025-05-02 21:52:45.090630,0 days 00:00:00.000029,COMPLETE
3,3,0.0,2025-05-02 21:52:45.090744,2025-05-02 21:52:45.090771,0 days 00:00:00.000027,COMPLETE
4,4,0.0,2025-05-02 21:52:45.090882,2025-05-02 21:52:45.090908,0 days 00:00:00.000026,COMPLETE
5,5,0.0,2025-05-02 21:52:45.091018,2025-05-02 21:52:45.091044,0 days 00:00:00.000026,COMPLETE
6,6,0.0,2025-05-02 21:52:45.091159,2025-05-02 21:52:45.091185,0 days 00:00:00.000026,COMPLETE
7,7,0.0,2025-05-02 21:52:45.091295,2025-05-02 21:52:45.091321,0 days 00:00:00.000026,COMPLETE
8,8,0.0,2025-05-02 21:52:45.091433,2025-05-02 21:52:45.091459,0 days 00:00:00.000026,COMPLETE
9,9,0.0,2025-05-02 21:52:45.091566,2025-05-02 21:52:45.091592,0 days 00:00:00.000026,COMPLETE
10,10,0.0,2025-05-02 21:52:45.091699,2025-05-02 21:52:45.091724,0 days 00:00:00.000025,COMPLETE
11,11,0.0,2025-05-02 21:52:45.091834,2025-05-02 21:52:45.091859,0 days 00:00:00.000025,COMPLETE
12,12,0.0,2025-05-02 21:52:45.091966,2025-05-02 21:52:45.091991,0 days 00:00:00.000025,COMPLETE
13,13,0.0,2025-05-02 21:52:45.092099,2025-05-02 21:52:45.092127,0 days 00:00:00.000028,COMPLETE
14,14,0.0,2025-05-02 21:52:45.092243,2025-05-02 21:52:45.092270,0 days 00:00:00.000027,COMPLETE
15,15,0.0,2025-05-02 21:52:45.092379,2025-05-02 21:52:45.092404,0 days 00:00:00.000025,COMPLETE
16,16,0.0,2025-05-02 21:52:45.092511,2025-05-02 21:52:45.092536,0 days 00:00:00.000025,COMPLETE
17,17,0.0,2025-05-02 21:52:45.092639,2025-05-02 21:52:45.092663,0 days 00:00:00.000024,COMPLETE
18,18,0.0,2025-05-02 21:52:45.092769,2025-05-02 21:52:45.092798,0 days 00:00:00.000029,COMPLETE
19,19,0.0,2025-05-02 21:52:45.092905,2025-05-02 21:52:45.092930,0 days 00:00:00.000025,COMPLETE
20,20,0.0,2025-05-02 21:52:45.093034,2025-05-02 21:52:45.093059,0 days 00:00:00.000025,COMPLETE
21,21,0.0,2025-05-02 21:52:45.093166,2025-05-02 21:52:45.093191,0 days 00:00:00.000025,COMPLETE
22,22,0.0,2025-05-02 21:52:45.093309,2025-05-02 21:52:45.093334,0 days 00:00:00.000025,COMPLETE
23,23,0.0,2025-05-02 21:52:45.093460,2025-05-02 21:52:45.093488,0 days 00:00:00.000028,COMPLETE
24,24,0.0,2025-05-02 21:52:45.093594,2025-05-02 21:52:45.093619,0 days 00:00:00.000025,COMPLETE
25,25,0.0,2025-05-02 21:52:45.093723,2025-05-02 21:52:45.093747,0 days 00:00:00.000024,COMPLETE
26,26,0.0,2025-05-02 21:52:45.093852,2025-05-02 21:52:45.093876,0 days 00:00:00.000024,COMPLETE
27,27,0.0,2025-05-02 21:52:45.093981,2025-05-02 21:52:45.094004,0 days 00:00:00.000023,COMPLETE
28,28,0.0,2025-05-02 21:52:45.094107,2025-05-02 21:52:45.094131,0 days 00:00:00.000024,COMPLETE
29,29,0.0,2025-05-02 21:52:45.094250,2025-05-02 21:52:45.094275,0 days 00:00:00.000025,COMPLETE
