,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9385,2025-05-02 21:19:56.715203,2025-05-02 21:21:29.771042,0 days 00:01:33.055839,128,20,128,0.001,0.94,2,,,,COMPLETE
1,1,0.9354,2025-05-02 21:21:29.771752,2025-05-02 21:23:05.900946,0 days 00:01:36.129194,64,20,128,0.001,0.99,2,,,,COMPLETE
2,2,0.9408,2025-05-02 21:23:05.901523,2025-05-02 21:24:56.799055,0 days 00:01:50.897532,32,20,128,0.001,0.9299999999999999,2,0.9408,0.9408,0.9408,COMPLETE
3,3,0.7848,2025-05-02 21:24:56.799652,2025-05-02 21:26:35.263444,0 days 00:01:38.463792,512,20,128,0.005,0.97,2,,,,COMPLETE
4,4,0.4735,2025-05-02 21:26:35.264029,2025-05-02 21:28:08.289704,0 days 00:01:33.025675,512,20,128,0.005,0.99,2,0.4735,,,PRUNED
5,5,0.9403,2025-05-02 21:28:08.290148,2025-05-02 21:29:36.658072,0 days 00:01:28.367924,256,20,128,0.002,0.86,2,0.9403,0.9403,,COMPLETE
6,6,0.5853,2025-05-02 21:29:36.658642,2025-05-02 21:31:33.098145,0 days 00:01:56.439503,1024,20,128,0.002,0.9,2,,,,COMPLETE
7,7,0.6359,2025-05-02 21:31:33.099108,2025-05-02 21:33:08.670236,0 days 00:01:35.571128,512,20,128,0.002,0.97,2,,,,COMPLETE
8,8,0.5936,2025-05-02 21:33:08.670827,2025-05-02 21:34:36.968724,0 days 00:01:28.297897,256,20,128,0.001,0.87,2,,,,COMPLETE
9,9,0.9345,2025-05-02 21:34:36.969312,2025-05-02 21:36:02.384723,0 days 00:01:25.415411,256,20,128,0.001,0.95,2,0.9345,,,PRUNED
10,10,0.7811,2025-05-02 21:36:02.385181,2025-05-02 21:37:53.778545,0 days 00:01:51.393364,32,20,128,0.001,0.9099999999999999,2,0.7815,,,COMPLETE
11,11,0.8226,2025-05-02 21:37:53.779114,2025-05-02 21:39:14.266814,0 days 00:01:20.487700,32,20,128,0.002,0.85,2,0.8226,,,PRUNED
12,12,0.943,2025-05-02 21:39:14.267238,2025-05-02 21:40:48.133013,0 days 00:01:33.865775,256,20,128,0.002,0.89,2,,,,COMPLETE
13,13,0.9405,2025-05-02 21:40:48.133600,2025-05-02 21:42:42.033826,0 days 00:01:53.900226,32,20,128,0.002,0.89,2,0.9408,0.9408,0.9408,COMPLETE
14,14,0.5853,2025-05-02 21:42:42.034414,2025-05-02 21:44:34.681972,0 days 00:01:52.647558,1024,20,128,0.005,0.9299999999999999,2,,,,COMPLETE
15,15,0.9408,2025-05-02 21:44:34.682581,2025-05-02 21:46:04.360228,0 days 00:01:29.677647,128,20,128,0.001,0.88,2,,,,COMPLETE
16,16,0.8217,2025-05-02 21:46:04.360819,2025-05-02 21:47:29.457139,0 days 00:01:25.096320,64,20,128,0.002,0.9199999999999999,2,0.8217,,,PRUNED
17,17,0.6607,2025-05-02 21:47:29.457552,2025-05-02 21:48:58.954374,0 days 00:01:29.496822,256,20,128,0.002,0.9,2,,,,COMPLETE
18,18,0.9368,2025-05-02 21:48:58.954963,2025-05-02 21:50:52.704645,0 days 00:01:53.749682,32,20,128,0.001,0.95,2,,,,COMPLETE
19,19,0.9442,2025-05-02 21:50:52.705249,2025-05-02 21:52:45.169081,0 days 00:01:52.463832,32,20,128,0.005,0.9199999999999999,2,,,,COMPLETE
20,20,0.9408,2025-05-02 21:52:45.169670,2025-05-02 21:54:15.727690,0 days 00:01:30.558020,256,20,128,0.005,0.88,2,,,,COMPLETE
21,21,0.9393,2025-05-02 21:54:15.728304,2025-05-02 21:56:07.184650,0 days 00:01:51.456346,32,20,128,0.005,0.9199999999999999,2,0.9393,,,COMPLETE
22,22,0.9659,2025-05-02 21:56:07.185239,2025-05-02 21:58:01.657506,0 days 00:01:54.472267,32,20,128,0.005,0.9099999999999999,2,,,,COMPLETE
23,23,0.9408,2025-05-02 21:58:01.658106,2025-05-02 21:59:53.125982,0 days 00:01:51.467876,32,20,128,0.005,0.9,2,,,,COMPLETE
24,24,0.7343,2025-05-02 21:59:53.126571,2025-05-02 22:01:34.760838,0 days 00:01:41.634267,32,20,128,0.005,0.9099999999999999,2,0.7343,,,PRUNED
25,25,0.6238,2025-05-02 22:01:34.761247,2025-05-02 22:02:54.509245,0 days 00:01:19.747998,64,20,128,0.005,0.88,2,0.6238,,,PRUNED
26,26,0.292,2025-05-02 22:02:54.509789,2025-05-02 22:04:13.396933,0 days 00:01:18.887144,128,20,128,0.005,0.9099999999999999,2,0.292,,,PRUNED
27,27,0.5853,2025-05-02 22:04:13.397343,2025-05-02 22:06:08.252045,0 days 00:01:54.854702,1024,20,128,0.005,0.89,2,,,,COMPLETE
28,28,0.9499,2025-05-02 22:06:08.252541,2025-05-02 22:07:38.294297,0 days 00:01:30.041756,256,20,128,0.005,0.9299999999999999,2,0.9527,0.9527,,COMPLETE
29,29,0.5623,2025-05-02 22:07:38.294915,2025-05-02 22:09:02.610021,0 days 00:01:24.315106,128,20,128,0.005,0.94,2,0.5623,,,PRUNED
