,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.4964458345180552,2025-05-02 19:02:22.536178,2025-05-02 19:02:23.534003,0 days 00:00:00.997825,3.8906,9,0.12439816933866328,COMPLETE
1,1,0.13399503722084366,2025-05-02 19:02:23.535278,2025-05-02 19:02:24.469527,0 days 00:00:00.934249,3.8906,22,0.6506799986743995,COMPLETE
2,2,0.13399503722084366,2025-05-02 19:02:24.470513,2025-05-02 19:02:25.914475,0 days 00:00:01.443962,3.8906,29,1.7778425797667157,COMPLETE
3,3,0.13399503722084366,2025-05-02 19:02:25.915807,2025-05-02 19:02:27.137082,0 days 00:00:01.221275,3.8906,17,1.3131256813530103,COMPLETE
4,4,0.1466662951714915,2025-05-02 19:02:27.137801,2025-05-02 19:02:28.189896,0 days 00:00:01.052095,3.8906,6,0.25602954139967593,COMPLETE
5,5,0.6866336633663367,2025-05-02 19:02:28.191236,2025-05-02 19:02:29.005902,0 days 00:00:00.814666,3.8906,4,1.9355549003946557,COMPLETE
6,6,0.4800229951135384,2025-05-02 19:02:29.006872,2025-05-02 19:02:29.974690,0 days 00:00:00.967818,3.8906,7,1.5710846450600189,COMPLETE
7,7,0.09034010798170501,2025-05-02 19:02:29.975212,2025-05-02 19:02:31.183219,0 days 00:00:01.208007,3.8906,3,0.23449394057608094,COMPLETE
8,8,0.13399503722084366,2025-05-02 19:02:31.183700,2025-05-02 19:02:31.831240,0 days 00:00:00.647540,3.8906,27,1.4433170496415582,COMPLETE
9,9,0.07969551033089949,2025-05-02 19:02:31.831641,2025-05-02 19:02:32.493643,0 days 00:00:00.662002,3.8906,3,0.7525121895026424,COMPLETE
10,10,0.13399503722084366,2025-05-02 19:02:32.494511,2025-05-02 19:02:33.115511,0 days 00:00:00.621000,3.8906,13,1.9997328418569795,COMPLETE
11,11,0.13399503722084366,2025-05-02 19:02:33.116821,2025-05-02 19:02:33.830091,0 days 00:00:00.713270,3.8906,11,0.9838160712790043,COMPLETE
12,12,0.2098849018280298,2025-05-02 19:02:33.830480,2025-05-02 19:02:34.978227,0 days 00:00:01.147747,3.8906,10,1.1078989989361365,COMPLETE
13,13,0.13399503722084366,2025-05-02 19:02:34.978940,2025-05-02 19:02:35.931581,0 days 00:00:00.952641,3.8906,16,0.546032507838155,COMPLETE
14,14,0.09739297739297738,2025-05-02 19:02:35.931979,2025-05-02 19:02:36.703383,0 days 00:00:00.771404,3.8906,7,0.10945796422675678,COMPLETE
15,15,0.13399503722084366,2025-05-02 19:02:36.704397,2025-05-02 19:02:37.427967,0 days 00:00:00.723570,3.8906,14,1.003080923190856,COMPLETE
16,16,0.13399503722084366,2025-05-02 19:02:37.429036,2025-05-02 19:02:38.461626,0 days 00:00:01.032590,3.8906,21,1.9967385344129558,COMPLETE
17,17,0.2098849018280298,2025-05-02 19:02:38.462588,2025-05-02 19:02:39.340405,0 days 00:00:00.877817,3.8906,10,0.40697363186294766,COMPLETE
18,18,0.8760855750900234,2025-05-02 19:02:39.341421,2025-05-02 19:02:40.162250,0 days 00:00:00.820829,3.8906,6,0.8219574857663117,COMPLETE
19,19,0.1191539897076288,2025-05-02 19:02:40.163256,2025-05-02 19:02:40.881919,0 days 00:00:00.718663,3.8906,5,0.7977386640653416,COMPLETE
20,20,0.13399503722084366,2025-05-02 19:02:40.882263,2025-05-02 19:02:41.685579,0 days 00:00:00.803316,3.8906,20,1.2910115897489822,COMPLETE
21,21,0.2098849018280298,2025-05-02 19:02:41.686437,2025-05-02 19:02:42.323971,0 days 00:00:00.637534,3.8906,9,0.48707604636615176,COMPLETE
22,22,0.5389287686361126,2025-05-02 19:02:42.324344,2025-05-02 19:02:43.162484,0 days 00:00:00.838140,3.8906,5,1.6526163565550993,COMPLETE
23,23,0.055491102153180615,2025-05-02 19:02:43.162840,2025-05-02 19:02:43.701207,0 days 00:00:00.538367,3.8906,3,1.718980075893793,COMPLETE
24,24,0.5176470588235293,2025-05-02 19:02:43.710702,2025-05-02 19:02:44.341642,0 days 00:00:00.630940,3.8906,5,1.8007384395723431,COMPLETE
25,25,0.4800229951135384,2025-05-02 19:02:44.342052,2025-05-02 19:02:45.096576,0 days 00:00:00.754524,3.8906,7,1.5910487704495204,COMPLETE
26,26,0.13399503722084366,2025-05-02 19:02:45.097086,2025-05-02 19:02:45.528857,0 days 00:00:00.431771,3.8906,13,1.2442099090786178,COMPLETE
27,27,0.5113924050632912,2025-05-02 19:02:45.529344,2025-05-02 19:02:46.529636,0 days 00:00:01.000292,3.8906,5,1.879474240753699,COMPLETE
28,28,0.4801610120759058,2025-05-02 19:02:46.530222,2025-05-02 19:02:46.971309,0 days 00:00:00.441087,3.8906,8,1.636754991471785,COMPLETE
29,29,0.13399503722084366,2025-05-02 19:02:46.972883,2025-05-02 19:02:47.657615,0 days 00:00:00.684732,3.8906,12,1.4679167966730788,COMPLETE
30,30,0.9794223145176516,2025-05-02 19:02:47.658039,2025-05-02 19:02:48.165848,0 days 00:00:00.507809,3.8906,4,0.9013698066343876,COMPLETE
31,31,0.14609810479375696,2025-05-02 19:02:48.167116,2025-05-02 19:02:48.773174,0 days 00:00:00.606058,3.8906,4,0.8030097278033476,COMPLETE
32,32,0.6917367639782286,2025-05-02 19:02:48.773540,2025-05-02 19:02:49.586144,0 days 00:00:00.812604,3.8906,8,0.918070109149461,COMPLETE
33,33,0.2098849018280298,2025-05-02 19:02:49.586524,2025-05-02 19:02:50.213766,0 days 00:00:00.627242,3.8906,9,0.667357243841926,COMPLETE
34,34,0.6917367639782286,2025-05-02 19:02:50.214119,2025-05-02 19:02:50.985049,0 days 00:00:00.770930,3.8906,8,0.9116668027550583,COMPLETE
35,35,0.13399503722084366,2025-05-02 19:02:50.985423,2025-05-02 19:02:51.437273,0 days 00:00:00.451850,3.8906,16,0.9369445942650847,COMPLETE
36,36,0.6917367639782286,2025-05-02 19:02:51.437629,2025-05-02 19:02:51.989381,0 days 00:00:00.551752,3.8906,8,1.1558356742704858,COMPLETE
37,37,0.8760855750900234,2025-05-02 19:02:51.989747,2025-05-02 19:02:52.447850,0 days 00:00:00.458103,3.8906,6,0.8942632146423546,COMPLETE
38,38,0.13399503722084366,2025-05-02 19:02:52.448265,2025-05-02 19:02:52.868798,0 days 00:00:00.420533,3.8906,24,0.8776841966086237,COMPLETE
39,39,0.8763235916984328,2025-05-02 19:02:52.869293,2025-05-02 19:02:53.247113,0 days 00:00:00.377820,3.8906,6,0.6016138690274426,COMPLETE
