,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-02 22:57:53.168408,2025-05-02 22:57:53.168477,0 days 00:00:00.000069,COMPLETE
1,1,0.0,2025-05-02 22:57:53.168634,2025-05-02 22:57:53.168666,0 days 00:00:00.000032,COMPLETE
2,2,0.0,2025-05-02 22:57:53.168796,2025-05-02 22:57:53.168826,0 days 00:00:00.000030,COMPLETE
3,3,0.0,2025-05-02 22:57:53.168952,2025-05-02 22:57:53.168981,0 days 00:00:00.000029,COMPLETE
4,4,0.0,2025-05-02 22:57:53.169106,2025-05-02 22:57:53.169134,0 days 00:00:00.000028,COMPLETE
5,5,0.0,2025-05-02 22:57:53.169276,2025-05-02 22:57:53.169303,0 days 00:00:00.000027,COMPLETE
6,6,0.0,2025-05-02 22:57:53.169427,2025-05-02 22:57:53.169455,0 days 00:00:00.000028,COMPLETE
7,7,0.0,2025-05-02 22:57:53.169579,2025-05-02 22:57:53.169606,0 days 00:00:00.000027,COMPLETE
8,8,0.0,2025-05-02 22:57:53.169730,2025-05-02 22:57:53.169757,0 days 00:00:00.000027,COMPLETE
9,9,0.0,2025-05-02 22:57:53.169882,2025-05-02 22:57:53.169909,0 days 00:00:00.000027,COMPLETE
10,10,0.0,2025-05-02 22:57:53.170034,2025-05-02 22:57:53.170062,0 days 00:00:00.000028,COMPLETE
11,11,0.0,2025-05-02 22:57:53.170186,2025-05-02 22:57:53.170213,0 days 00:00:00.000027,COMPLETE
12,12,0.0,2025-05-02 22:57:53.170337,2025-05-02 22:57:53.170363,0 days 00:00:00.000026,COMPLETE
13,13,0.0,2025-05-02 22:57:53.170487,2025-05-02 22:57:53.170524,0 days 00:00:00.000037,COMPLETE
14,14,0.0,2025-05-02 22:57:53.170653,2025-05-02 22:57:53.170680,0 days 00:00:00.000027,COMPLETE
15,15,0.0,2025-05-02 22:57:53.170806,2025-05-02 22:57:53.170833,0 days 00:00:00.000027,COMPLETE
16,16,0.0,2025-05-02 22:57:53.170956,2025-05-02 22:57:53.170984,0 days 00:00:00.000028,COMPLETE
17,17,0.0,2025-05-02 22:57:53.171108,2025-05-02 22:57:53.171135,0 days 00:00:00.000027,COMPLETE
18,18,0.0,2025-05-02 22:57:53.171260,2025-05-02 22:57:53.171287,0 days 00:00:00.000027,COMPLETE
19,19,0.0,2025-05-02 22:57:53.171411,2025-05-02 22:57:53.171438,0 days 00:00:00.000027,COMPLETE
20,20,0.0,2025-05-02 22:57:53.171563,2025-05-02 22:57:53.171590,0 days 00:00:00.000027,COMPLETE
21,21,0.0,2025-05-02 22:57:53.171713,2025-05-02 22:57:53.171741,0 days 00:00:00.000028,COMPLETE
22,22,0.0,2025-05-02 22:57:53.171865,2025-05-02 22:57:53.171892,0 days 00:00:00.000027,COMPLETE
23,23,0.0,2025-05-02 22:57:53.172016,2025-05-02 22:57:53.172043,0 days 00:00:00.000027,COMPLETE
24,24,0.0,2025-05-02 22:57:53.172167,2025-05-02 22:57:53.172194,0 days 00:00:00.000027,COMPLETE
25,25,0.0,2025-05-02 22:57:53.172318,2025-05-02 22:57:53.172345,0 days 00:00:00.000027,COMPLETE
26,26,0.0,2025-05-02 22:57:53.172474,2025-05-02 22:57:53.172502,0 days 00:00:00.000028,COMPLETE
27,27,0.0,2025-05-02 22:57:53.172625,2025-05-02 22:57:53.172653,0 days 00:00:00.000028,COMPLETE
28,28,0.0,2025-05-02 22:57:53.172777,2025-05-02 22:57:53.172804,0 days 00:00:00.000027,COMPLETE
29,29,0.0,2025-05-02 22:57:53.172929,2025-05-02 22:57:53.172956,0 days 00:00:00.000027,COMPLETE
