,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.9078630004823927,2025-07-02 14:10:42.765622,2025-07-02 14:11:04.191856,0 days 00:00:21.426234,0.24,0.19,3000,COMPLETE
1,1,0.9050153201096598,2025-07-02 14:11:04.192156,2025-07-02 14:11:39.910072,0 days 00:00:35.717916,0.34,0.28,4000,COMPLETE
2,2,0.7969725638599812,2025-07-02 14:11:39.910374,2025-07-02 14:12:07.732380,0 days 00:00:27.822006,0.48000000000000004,0.41000000000000003,3500,COMPLETE
3,3,0.8848446815186696,2025-07-02 14:12:07.732681,2025-07-02 14:13:04.215790,0 days 00:00:56.483109,0.16999999999999998,0.09999999999999999,5000,COMPLETE
4,4,0.7859327217125381,2025-07-02 14:13:04.216070,2025-07-02 14:13:40.342397,0 days 00:00:36.126327,0.52,0.51,4000,COMPLETE
5,5,0.7642023346303503,2025-07-02 14:13:40.342702,2025-07-02 14:14:08.005964,0 days 00:00:27.663262,0.65,0.5700000000000001,3500,COMPLETE
6,6,0.7706599574221018,2025-07-02 14:14:08.006269,2025-07-02 14:15:02.335463,0 days 00:00:54.329194,0.61,0.61,5000,COMPLETE
7,7,0.5948836234011323,2025-07-02 14:15:02.335775,2025-07-02 14:15:26.240355,0 days 00:00:23.904580,0.14,0.04,3000,COMPLETE
8,8,0.9078630004823927,2025-07-02 14:15:26.240667,2025-07-02 14:16:20.897149,0 days 00:00:54.656482,0.27,0.19,5000,COMPLETE
9,9,0.7919437583127493,2025-07-02 14:16:20.897446,2025-07-02 14:17:04.895711,0 days 00:00:43.998265,0.5,0.4,4500,COMPLETE
10,10,0.9078630004823927,2025-07-02 14:17:04.896025,2025-07-02 14:17:26.404259,0 days 00:00:21.508234,0.25,0.22,3000,COMPLETE
11,11,0.9078630004823927,2025-07-02 14:17:26.404555,2025-07-02 14:18:11.134067,0 days 00:00:44.729512,0.24000000000000002,0.17,4500,COMPLETE
12,12,0.9078630004823927,2025-07-02 14:18:11.134367,2025-07-02 14:18:39.754291,0 days 00:00:28.619924,0.23000000000000004,0.15000000000000002,3500,COMPLETE
13,13,0.9078630004823927,2025-07-02 14:18:39.754584,2025-07-02 14:19:24.670831,0 days 00:00:44.916247,0.29000000000000004,0.28,4500,COMPLETE
14,14,0.15895585738539897,2025-07-02 14:19:24.671137,2025-07-02 14:19:52.094270,0 days 00:00:27.423133,0.01,0.01,3000,COMPLETE
15,15,0.9021827000808409,2025-07-02 14:19:52.094571,2025-07-02 14:20:46.963920,0 days 00:00:54.869349,0.35000000000000003,0.35000000000000003,5000,COMPLETE
16,16,0.9078630004823927,2025-07-02 14:20:46.964206,2025-07-02 14:21:23.397313,0 days 00:00:36.433107,0.27,0.22,4000,COMPLETE
17,17,0.16024844720496892,2025-07-02 14:21:23.397613,2025-07-02 14:21:53.821053,0 days 00:00:30.423440,0.09999999999999999,0.09,3500,COMPLETE
18,18,0.9078630004823927,2025-07-02 14:21:53.821361,2025-07-02 14:22:38.757101,0 days 00:00:44.935740,0.27,0.21000000000000002,4500,COMPLETE
19,19,0.9050153201096598,2025-07-02 14:22:38.757398,2025-07-02 14:22:59.894605,0 days 00:00:21.137207,0.33999999999999997,0.3,3000,COMPLETE
20,20,0.8886786502680543,2025-07-02 14:22:59.894901,2025-07-02 14:23:36.840712,0 days 00:00:36.945811,0.2,0.12,4000,COMPLETE
21,21,0.9078630004823927,2025-07-02 14:23:36.841017,2025-07-02 14:23:58.217768,0 days 00:00:21.376751,0.25,0.22,3000,COMPLETE
22,22,0.9078630004823927,2025-07-02 14:23:58.218080,2025-07-02 14:24:19.703589,0 days 00:00:21.485509,0.26,0.2,3000,COMPLETE
23,23,0.9078630004823927,2025-07-02 14:24:19.703919,2025-07-02 14:24:47.875754,0 days 00:00:28.171835,0.29000000000000004,0.26,3500,COMPLETE
24,24,0.8946453407510432,2025-07-02 14:24:47.876219,2025-07-02 14:25:09.149363,0 days 00:00:21.273144,0.41000000000000003,0.35000000000000003,3000,COMPLETE
25,25,0.1594943820224719,2025-07-02 14:25:09.149660,2025-07-02 14:25:39.452668,0 days 00:00:30.303008,0.07999999999999999,0.06999999999999999,3500,COMPLETE
26,26,0.9071336760925449,2025-07-02 14:25:39.452959,2025-07-02 14:26:01.545337,0 days 00:00:22.092378,0.22000000000000003,0.15000000000000002,3000,COMPLETE
27,27,0.7898647361402171,2025-07-02 14:26:01.545651,2025-07-02 14:26:55.848025,0 days 00:00:54.302374,0.54,0.48000000000000004,5000,COMPLETE
28,28,0.9078630004823927,2025-07-02 14:26:55.848345,2025-07-02 14:27:32.037075,0 days 00:00:36.188730,0.27,0.25,4000,COMPLETE
29,29,0.901294498381877,2025-07-02 14:27:32.037371,2025-07-02 14:28:16.464649,0 days 00:00:44.427278,0.37,0.32,4500,COMPLETE
30,30,0.9078630004823927,2025-07-02 14:28:16.464966,2025-07-02 14:28:44.666370,0 days 00:00:28.201404,0.24000000000000002,0.17,3500,COMPLETE
31,31,0.9078630004823927,2025-07-02 14:28:44.666664,2025-07-02 14:29:29.403800,0 days 00:00:44.737136,0.24000000000000002,0.18000000000000002,4500,COMPLETE
32,32,0.9069879518072289,2025-07-02 14:29:29.404104,2025-07-02 14:30:24.750537,0 days 00:00:55.346433,0.21000000000000002,0.13,5000,COMPLETE
33,33,0.9078630004823927,2025-07-02 14:30:24.750845,2025-07-02 14:31:09.580912,0 days 00:00:44.830067,0.26,0.25,4500,COMPLETE
34,34,0.16149315731072353,2025-07-02 14:31:09.581219,2025-07-02 14:32:06.229680,0 days 00:00:56.648461,0.10999999999999999,0.06999999999999999,5000,COMPLETE
35,35,0.885343618513324,2025-07-02 14:32:06.229980,2025-07-02 14:32:41.961823,0 days 00:00:35.731843,0.44,0.4,4000,COMPLETE
36,36,0.9078630004823927,2025-07-02 14:32:41.962140,2025-07-02 14:33:26.815987,0 days 00:00:44.853847,0.25,0.19,4500,COMPLETE
37,37,0.6832148451620677,2025-07-02 14:33:26.816306,2025-07-02 14:34:23.537947,0 days 00:00:56.721641,0.15,0.09999999999999999,5000,COMPLETE
38,38,0.9078630004823927,2025-07-02 14:34:23.538261,2025-07-02 14:34:59.618526,0 days 00:00:36.080265,0.25,0.23,4000,COMPLETE
39,39,0.9078630004823927,2025-07-02 14:34:59.618845,2025-07-02 14:35:54.089768,0 days 00:00:54.470923,0.23,0.16,5000,COMPLETE
40,40,0.9078630004823927,2025-07-02 14:35:54.090104,2025-07-02 14:36:15.141376,0 days 00:00:21.051272,0.29000000000000004,0.28,3000,COMPLETE
41,41,0.9062550249236211,2025-07-02 14:36:15.141665,2025-07-02 14:36:44.054637,0 days 00:00:28.912972,0.22,0.13,3500,COMPLETE
42,42,0.9078630004823927,2025-07-02 14:36:44.054947,2025-07-02 14:37:12.645318,0 days 00:00:28.590371,0.23000000000000004,0.15000000000000002,3500,COMPLETE
43,43,0.15930988124579878,2025-07-02 14:37:12.645639,2025-07-02 14:37:36.807855,0 days 00:00:24.162216,0.06,0.04,3000,COMPLETE
44,44,0.9078630004823927,2025-07-02 14:37:36.808198,2025-07-02 14:37:58.221420,0 days 00:00:21.413222,0.24000000000000002,0.18000000000000002,3000,COMPLETE
45,45,0.8827305464224205,2025-07-02 14:37:58.221766,2025-07-02 14:38:27.695072,0 days 00:00:29.473306,0.18,0.11,3500,COMPLETE
46,46,0.9071600965406276,2025-07-02 14:38:27.695386,2025-07-02 14:38:55.527916,0 days 00:00:27.832530,0.32000000000000006,0.29000000000000004,3500,COMPLETE
47,47,0.760343481654957,2025-07-02 14:38:55.528245,2025-07-02 14:39:31.034060,0 days 00:00:35.505815,0.7,0.63,4000,COMPLETE
48,48,0.9078630004823927,2025-07-02 14:39:31.034388,2025-07-02 14:39:52.542336,0 days 00:00:21.507948,0.26,0.23,3000,COMPLETE
49,49,0.16024844720496892,2025-07-02 14:39:52.542692,2025-07-02 14:40:39.620458,0 days 00:00:47.077766,0.09999999999999999,0.06999999999999999,4500,COMPLETE
