,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.8210597596072455,2025-05-02 19:04:14.292905,2025-05-02 19:04:14.449102,0 days 00:00:00.156197,3.8906,3,1.48051567465672,COMPLETE
1,1,0.3589865024863841,2025-05-02 19:04:14.450253,2025-05-02 19:04:14.605409,0 days 00:00:00.155156,3.8906,1,1.6491296982946804,COMPLETE
2,2,0.2155076649633415,2025-05-02 19:04:14.606380,2025-05-02 19:04:14.760020,0 days 00:00:00.153640,3.8906,1,0.48135367459598066,COMPLETE
3,3,0.21552681864640272,2025-05-02 19:04:14.760997,2025-05-02 19:04:14.922162,0 days 00:00:00.161165,3.8906,4,0.16918602370108643,COMPLETE
4,4,0.8210597596072455,2025-05-02 19:04:14.923401,2025-05-02 19:04:15.078772,0 days 00:00:00.155371,3.8906,4,1.775023366748797,COMPLETE
5,5,0.8210597596072455,2025-05-02 19:04:15.079730,2025-05-02 19:04:15.228911,0 days 00:00:00.149181,3.8906,4,0.7893215958127682,COMPLETE
6,6,0.20847661623108663,2025-05-02 19:04:15.229858,2025-05-02 19:04:15.379788,0 days 00:00:00.149930,3.8906,3,0.1898455072268234,COMPLETE
7,7,0.8210597596072455,2025-05-02 19:04:15.380736,2025-05-02 19:04:15.530907,0 days 00:00:00.150171,3.8906,4,1.5138792101786631,COMPLETE
8,8,0.8210597596072455,2025-05-02 19:04:15.531888,2025-05-02 19:04:15.707717,0 days 00:00:00.175829,3.8906,3,1.702113284324062,COMPLETE
9,9,0.23353235747303544,2025-05-02 19:04:15.708595,2025-05-02 19:04:15.837966,0 days 00:00:00.129371,3.8906,2,0.24479588734323451,COMPLETE
10,10,0.8210597596072455,2025-05-02 19:04:15.838634,2025-05-02 19:04:15.966055,0 days 00:00:00.127421,3.8906,2,0.953606333328213,COMPLETE
11,11,0.7895011298452981,2025-05-02 19:04:15.966761,2025-05-02 19:04:16.124206,0 days 00:00:00.157445,3.8906,3,1.9942122408440093,COMPLETE
12,12,0.8210597596072455,2025-05-02 19:04:16.125177,2025-05-02 19:04:16.297182,0 days 00:00:00.172005,3.8906,4,1.3132136765732,COMPLETE
13,13,0.8210597596072455,2025-05-02 19:04:16.306211,2025-05-02 19:04:16.470170,0 days 00:00:00.163959,3.8906,3,1.2976134920953006,COMPLETE
14,14,0.43444846292947564,2025-05-02 19:04:16.471141,2025-05-02 19:04:16.696603,0 days 00:00:00.225462,3.8906,2,1.9560401003614805,COMPLETE
15,15,0.8210597596072455,2025-05-02 19:04:16.696929,2025-05-02 19:04:16.851408,0 days 00:00:00.154479,3.8906,4,1.2832753063358635,COMPLETE
16,16,0.8210597596072455,2025-05-02 19:04:16.852303,2025-05-02 19:04:17.012219,0 days 00:00:00.159916,3.8906,3,1.6821317653767516,COMPLETE
17,17,0.8210597596072455,2025-05-02 19:04:17.013266,2025-05-02 19:04:17.226600,0 days 00:00:00.213334,3.8906,4,1.0808331628703538,COMPLETE
18,18,0.8210597596072455,2025-05-02 19:04:17.227095,2025-05-02 19:04:17.353895,0 days 00:00:00.126800,3.8906,3,1.4683285946495224,COMPLETE
19,19,0.7667788206127149,2025-05-02 19:04:17.354495,2025-05-02 19:04:17.472927,0 days 00:00:00.118432,3.8906,2,1.8261206804522478,COMPLETE
20,20,0.8210597596072455,2025-05-02 19:04:17.473505,2025-05-02 19:04:17.592096,0 days 00:00:00.118591,3.8906,4,1.10572479068119,COMPLETE
21,21,0.8210597596072455,2025-05-02 19:04:17.592710,2025-05-02 19:04:17.719923,0 days 00:00:00.127213,3.8906,4,0.8072098224564096,COMPLETE
