,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.9559066967644846,2025-05-02 19:04:14.180824,2025-05-02 19:04:15.728595,0 days 00:00:01.547771,1.2898035943436215,balanced,800,l1,0.0005743025798388455,COMPLETE
1,1,0.9540785498489427,2025-05-02 19:04:15.729951,2025-05-02 19:04:16.601347,0 days 00:00:00.871396,8.25998285189861,balanced,1000,l2,0.0007810536216457047,COMPLETE
2,2,0.9540264423076923,2025-05-02 19:04:16.602518,2025-05-02 19:04:23.094145,0 days 00:00:06.491627,0.005454223671357211,balanced,900,l1,0.0004024169528408169,COMPLETE
3,3,0.9532851115129596,2025-05-02 19:04:23.105330,2025-05-02 19:04:24.009764,0 days 00:00:00.904434,0.020905296233818024,,100,l1,0.0002139870999982354,COMPLETE
4,4,0.9539205318023871,2025-05-02 19:04:24.010890,2025-05-02 19:04:25.039184,0 days 00:00:01.028294,81.02024792477758,balanced,900,l2,0.009613190114110624,COMPLETE
5,5,0.9525823014195107,2025-05-02 19:04:25.040296,2025-05-02 19:04:26.126279,0 days 00:00:01.085983,27.103013561014354,balanced,100,l2,0.05329582243546263,COMPLETE
6,6,0.9540785498489427,2025-05-02 19:04:26.127670,2025-05-02 19:04:27.437053,0 days 00:00:01.309383,2.5702178447285884,balanced,1000,l2,0.00036948180927694896,COMPLETE
7,7,0.9547300345916679,2025-05-02 19:04:27.439127,2025-05-02 19:04:27.841811,0 days 00:00:00.402684,11.897088702654354,balanced,700,l1,0.08362043324414428,COMPLETE
8,8,0.9540785498489427,2025-05-02 19:04:27.843075,2025-05-02 19:04:29.292401,0 days 00:00:01.449326,8.441355350768504,balanced,800,l2,0.0031960141633855165,COMPLETE
9,9,0.9534147444595206,2025-05-02 19:04:29.293783,2025-05-02 19:04:29.760090,0 days 00:00:00.466307,0.002284586078553758,balanced,200,l1,0.008470502464045038,COMPLETE
10,10,0.905368370143479,2025-05-02 19:04:29.769806,2025-05-02 19:04:33.145547,0 days 00:00:03.375741,997.2967068379955,,400,l1,0.00010163781891852955,COMPLETE
11,11,0.9543944427665358,2025-05-02 19:04:33.155679,2025-05-02 19:04:34.019469,0 days 00:00:00.863790,0.36290644145951567,,600,l1,0.07052559214306478,COMPLETE
12,12,0.9548736462093862,2025-05-02 19:04:34.020892,2025-05-02 19:04:35.270845,0 days 00:00:01.249953,0.19440373463348032,balanced,600,l1,0.0018585005997646866,COMPLETE
13,13,0.9550443542324463,2025-05-02 19:04:35.272067,2025-05-02 19:04:36.102889,0 days 00:00:00.830822,0.17681527281724352,balanced,500,l1,0.0014648465329420762,COMPLETE
14,14,0.9549007817197835,2025-05-02 19:04:36.112848,2025-05-02 19:04:38.357737,0 days 00:00:02.244889,0.07128973312844263,balanced,400,l1,0.0012516524965204214,COMPLETE
15,15,0.9505910882085481,2025-05-02 19:04:38.359309,2025-05-02 19:04:39.387035,0 days 00:00:01.027726,0.9006908248508115,,400,l1,0.005360674064799906,COMPLETE
16,16,0.9549007817197835,2025-05-02 19:04:39.388158,2025-05-02 19:04:39.897513,0 days 00:00:00.509355,0.02734634875977487,balanced,700,l1,0.01969136377353285,COMPLETE
17,17,0.9555923528526268,2025-05-02 19:04:39.907332,2025-05-02 19:04:41.392565,0 days 00:00:01.485233,1.2795028013405207,balanced,500,l1,0.0008153611123962343,COMPLETE
18,18,0.9042553191489361,2025-05-02 19:04:41.394358,2025-05-02 19:04:45.783765,0 days 00:00:04.389407,123.52358594448732,,800,l1,0.0007133453748129918,COMPLETE
19,19,0.9548679245283018,2025-05-02 19:04:45.785384,2025-05-02 19:04:48.294586,0 days 00:00:02.509202,1.9352091698593101,balanced,500,l1,0.00013510472529758375,COMPLETE
20,20,0.9564824574612257,2025-05-02 19:04:48.296154,2025-05-02 19:04:49.641099,0 days 00:00:01.344945,0.8250486906154968,balanced,300,l1,0.00035551035804073943,COMPLETE
21,21,0.9555923528526268,2025-05-02 19:04:49.642341,2025-05-02 19:04:50.840361,0 days 00:00:01.198020,0.5800531531157802,balanced,300,l1,0.00033071792618885674,COMPLETE
22,22,0.9550173010380623,2025-05-02 19:04:50.842069,2025-05-02 19:04:52.215682,0 days 00:00:01.373613,2.31930494563761,balanced,300,l1,0.0007022939186444992,COMPLETE
23,23,0.9549007817197835,2025-05-02 19:04:52.216957,2025-05-02 19:04:53.719020,0 days 00:00:01.502063,0.058456266358582455,balanced,300,l1,0.0002271539798250832,COMPLETE
24,24,0.9555923528526268,2025-05-02 19:04:53.720307,2025-05-02 19:04:54.251684,0 days 00:00:00.531377,3.2828018376556867,balanced,500,l1,0.002484275070952553,COMPLETE
25,25,0.9557628648811314,2025-05-02 19:04:54.252808,2025-05-02 19:04:55.174495,0 days 00:00:00.921687,0.7338267802489868,balanced,700,l1,0.0009460677273968541,COMPLETE
26,26,0.9507351826587842,2025-05-02 19:04:55.177210,2025-05-02 19:04:56.416733,0 days 00:00:01.239523,0.2303782965901036,,700,l2,0.00046751001155989966,COMPLETE
27,27,0.9548679245283018,2025-05-02 19:04:56.417816,2025-05-02 19:04:59.246965,0 days 00:00:02.829149,26.312312145349072,balanced,800,l1,0.00017987066020974755,COMPLETE
28,28,0.9540126239855726,2025-05-02 19:04:59.248492,2025-05-02 19:05:00.401211,0 days 00:00:01.152719,0.08640940511104982,balanced,900,l1,0.001258139550295144,COMPLETE
29,29,0.9540785498489427,2025-05-02 19:05:00.402335,2025-05-02 19:05:01.269341,0 days 00:00:00.867006,4.967325974242787,balanced,1000,l2,0.000836066367273846,COMPLETE
30,30,0.9538692712246432,2025-05-02 19:05:01.270571,2025-05-02 19:05:03.046626,0 days 00:00:01.776055,0.013528079812822837,balanced,600,l1,0.003172323206596297,COMPLETE
31,31,0.9563121422115095,2025-05-02 19:05:03.047763,2025-05-02 19:05:04.681736,0 days 00:00:01.633973,0.9977345717909338,balanced,700,l1,0.000604062606947387,COMPLETE
32,32,0.9559066967644846,2025-05-02 19:05:04.683010,2025-05-02 19:05:06.079759,0 days 00:00:01.396749,0.9703935830076731,balanced,700,l1,0.0005680384606903894,COMPLETE
33,33,0.9548736462093862,2025-05-02 19:05:06.080845,2025-05-02 19:05:07.732513,0 days 00:00:01.651668,0.36561914243773075,balanced,800,l1,0.0004630024452499458,COMPLETE
34,34,0.9548679245283018,2025-05-02 19:05:07.734049,2025-05-02 19:05:10.057192,0 days 00:00:02.323143,17.943715251704024,balanced,700,l1,0.0002695927985047417,COMPLETE
35,35,0.9559066967644846,2025-05-02 19:05:10.059234,2025-05-02 19:05:11.495997,0 days 00:00:01.436763,5.384713307188065,balanced,900,l1,0.0005305091100810865,COMPLETE
36,36,0.9540785498489427,2025-05-02 19:05:11.497078,2025-05-02 19:05:12.240986,0 days 00:00:00.743908,1.1930209398252034,balanced,600,l2,0.00018579057880446537,COMPLETE
37,37,0.9474802671523982,2025-05-02 19:05:12.242080,2025-05-02 19:05:13.509131,0 days 00:00:01.267051,72.66575353080593,,200,l1,0.0003053827254549633,COMPLETE
38,38,0.9560240963855422,2025-05-02 19:05:13.510430,2025-05-02 19:05:14.493705,0 days 00:00:00.983275,0.40030603373855567,balanced,800,l2,0.0005627947168442241,COMPLETE
39,39,0.9548736462093862,2025-05-02 19:05:14.494994,2025-05-02 19:05:15.228601,0 days 00:00:00.733607,0.12205426524527196,balanced,900,l2,0.0023195754922438407,COMPLETE
40,40,0.9546755006776089,2025-05-02 19:05:15.229718,2025-05-02 19:05:17.212121,0 days 00:00:01.982403,0.042569363166487864,balanced,1000,l2,0.00014860232947250742,COMPLETE
41,41,0.9548679245283018,2025-05-02 19:05:17.213682,2025-05-02 19:05:17.706334,0 days 00:00:00.492652,0.4569528158222091,balanced,800,l2,0.0005647923373745105,COMPLETE
