,number,value,datetime_start,datetime_complete,duration,params_num_candidates,state
0,0,0.5862,2025-04-15 20:28:58.025705,2025-04-15 20:29:04.092492,0 days 00:00:06.066787,117,COMPLETE
1,1,0.6154,2025-04-15 20:29:04.092851,2025-04-15 20:29:10.999148,0 days 00:00:06.906297,102,COMPLETE
2,2,0.324,2025-04-15 20:29:10.999463,2025-04-15 20:29:17.890724,0 days 00:00:06.891261,16,COMPLETE
3,3,0.3639,2025-04-15 20:29:17.891031,2025-04-15 20:29:23.802281,0 days 00:00:05.911250,29,COMPLETE
4,4,0.5934,2025-04-15 20:29:23.802609,2025-04-15 20:29:30.697664,0 days 00:00:06.895055,110,COMPLETE
5,5,0.357,2025-04-15 20:29:30.697993,2025-04-15 20:29:37.613937,0 days 00:00:06.915944,27,COMPLETE
6,6,0.0,2025-04-15 20:29:37.614270,2025-04-15 20:29:43.555421,0 days 00:00:05.941151,148,COMPLETE
7,7,0.3959,2025-04-15 20:29:43.555770,2025-04-15 20:29:50.290132,0 days 00:00:06.734362,39,COMPLETE
8,8,0.5004,2025-04-15 20:29:50.290551,2025-04-15 20:29:57.045735,0 days 00:00:06.755184,66,COMPLETE
9,9,0.3229,2025-04-15 20:29:57.046060,2025-04-15 20:30:02.701301,0 days 00:00:05.655241,7,COMPLETE
10,10,0.6045,2025-04-15 20:30:02.701625,2025-04-15 20:30:09.619149,0 days 00:00:06.917524,85,COMPLETE
11,11,0.6152,2025-04-15 20:30:09.619498,2025-04-15 20:30:16.599041,0 days 00:00:06.979543,88,COMPLETE
12,12,0.5923,2025-04-15 20:30:16.599352,2025-04-15 20:30:22.477236,0 days 00:00:05.877884,82,COMPLETE
13,13,0.594,2025-04-15 20:30:22.477576,2025-04-15 20:30:29.453859,0 days 00:00:06.976283,109,COMPLETE
14,14,0.4668,2025-04-15 20:30:29.454201,2025-04-15 20:30:35.403124,0 days 00:00:05.948923,58,COMPLETE
15,15,0.2264,2025-04-15 20:30:35.403491,2025-04-15 20:30:42.309700,0 days 00:00:06.906209,137,COMPLETE
16,16,0.6363,2025-04-15 20:30:42.310163,2025-04-15 20:30:49.239194,0 days 00:00:06.929031,97,COMPLETE
17,17,0.5652,2025-04-15 20:30:49.239553,2025-04-15 20:30:55.124956,0 days 00:00:05.885403,124,COMPLETE
18,18,0.6051,2025-04-15 20:30:55.125282,2025-04-15 20:31:02.097343,0 days 00:00:06.972061,104,COMPLETE
19,19,0.632,2025-04-15 20:31:02.097666,2025-04-15 20:31:08.981092,0 days 00:00:06.883426,95,COMPLETE
20,20,0.4769,2025-04-15 20:31:08.981421,2025-04-15 20:31:15.062514,0 days 00:00:06.081093,60,COMPLETE
21,21,0.6363,2025-04-15 20:31:15.062811,2025-04-15 20:31:22.020867,0 days 00:00:06.958056,97,COMPLETE
22,22,0.6253,2025-04-15 20:31:22.021217,2025-04-15 20:31:28.921065,0 days 00:00:06.899848,91,COMPLETE
23,23,0.5365,2025-04-15 20:31:28.921401,2025-04-15 20:31:34.752443,0 days 00:00:05.831042,72,COMPLETE
24,24,0.5652,2025-04-15 20:31:34.752803,2025-04-15 20:31:41.540649,0 days 00:00:06.787846,126,COMPLETE
25,25,0.6363,2025-04-15 20:31:41.541091,2025-04-15 20:31:48.369955,0 days 00:00:06.828864,97,COMPLETE
26,26,0.4388,2025-04-15 20:31:48.370294,2025-04-15 20:31:54.153731,0 days 00:00:05.783437,50,COMPLETE
27,27,0.637,2025-04-15 20:31:54.154059,2025-04-15 20:32:01.056156,0 days 00:00:06.902097,98,COMPLETE
28,28,0.5876,2025-04-15 20:32:01.056493,2025-04-15 20:32:08.027345,0 days 00:00:06.970852,81,COMPLETE
29,29,0.5794,2025-04-15 20:32:08.027692,2025-04-15 20:32:13.840574,0 days 00:00:05.812882,119,COMPLETE
