,number,value,datetime_start,datetime_complete,duration,params_num_candidates,state
0,0,0.5898,2025-04-19 03:02:53.528496,2025-04-19 03:03:00.268356,0 days 00:00:06.739860,128,COMPLETE
1,1,0.5365,2025-04-19 03:03:00.268679,2025-04-19 03:03:08.219878,0 days 00:00:07.951199,141,COMPLETE
2,2,0.6259,2025-04-19 03:03:08.220201,2025-04-19 03:03:16.543718,0 days 00:00:08.323517,87,COMPLETE
3,3,0.3443,2025-04-19 03:03:16.544171,2025-04-19 03:03:24.367654,0 days 00:00:07.823483,28,COMPLETE
4,4,0.526,2025-04-19 03:03:24.367985,2025-04-19 03:03:31.806448,0 days 00:00:07.438463,66,COMPLETE
5,5,0.4406,2025-04-19 03:03:31.806787,2025-04-19 03:03:40.075796,0 days 00:00:08.269009,50,COMPLETE
6,6,0.4085,2025-04-19 03:03:40.076124,2025-04-19 03:03:48.369258,0 days 00:00:08.293134,43,COMPLETE
7,7,0.3017,2025-04-19 03:03:48.369580,2025-04-19 03:03:55.054715,0 days 00:00:06.685135,9,COMPLETE
8,8,0.6545,2025-04-19 03:03:55.055037,2025-04-19 03:04:02.434298,0 days 00:00:07.379261,91,COMPLETE
9,9,0.664,2025-04-19 03:04:02.434616,2025-04-19 03:04:09.894944,0 days 00:00:07.460328,94,COMPLETE
10,10,0.693,2025-04-19 03:04:09.895380,2025-04-19 03:04:16.818195,0 days 00:00:06.922815,111,COMPLETE
11,11,0.6961,2025-04-19 03:04:16.818509,2025-04-19 03:04:24.375562,0 days 00:00:07.557053,110,COMPLETE
12,12,0.6257,2025-04-19 03:04:24.375880,2025-04-19 03:04:31.914554,0 days 00:00:07.538674,117,COMPLETE
13,13,0.693,2025-04-19 03:04:31.914873,2025-04-19 03:04:39.607434,0 days 00:00:07.692561,111,COMPLETE
14,14,0.3299,2025-04-19 03:04:39.607750,2025-04-19 03:04:46.580952,0 days 00:00:06.973202,147,COMPLETE
15,15,0.6922,2025-04-19 03:04:46.581261,2025-04-19 03:04:54.249684,0 days 00:00:07.668423,113,COMPLETE
16,16,0.5753,2025-04-19 03:04:54.250001,2025-04-19 03:05:01.992453,0 days 00:00:07.742452,76,COMPLETE
17,17,0.6826,2025-04-19 03:05:01.992883,2025-04-19 03:05:08.670474,0 days 00:00:06.677591,99,COMPLETE
18,18,0.5843,2025-04-19 03:05:08.670801,2025-04-19 03:05:16.094911,0 days 00:00:07.424110,130,COMPLETE
19,19,0.5455,2025-04-19 03:05:16.095237,2025-04-19 03:05:23.783650,0 days 00:00:07.688413,70,COMPLETE
