,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.53125,2025-04-15 15:18:46.450360,2025-04-15 15:19:01.178137,0 days 00:00:14.727777,0.3297874357378895,0.3958201223539185,500,COMPLETE
1,1,0.5305940151853507,2025-04-15 15:19:01.178937,2025-04-15 15:19:13.312178,0 days 00:00:12.133241,0.49832527591104603,0.750322586652744,1000,COMPLETE
2,2,0.53125,2025-04-15 15:19:13.312889,2025-04-15 15:19:31.535717,0 days 00:00:18.222828,0.4562127496704847,0.7239518246498502,1500,COMPLETE
3,3,0.53125,2025-04-15 15:19:31.536518,2025-04-15 15:19:53.137019,0 days 00:00:21.600501,0.4669672877793565,0.4649633832404239,1500,COMPLETE
4,4,0.0,2025-04-15 15:19:53.137741,2025-04-15 15:21:02.228646,0 days 00:01:09.090905,0.8614893191154209,0.35842355559701916,3500,COMPLETE
5,5,0.5300668151447662,2025-04-15 15:21:02.229360,2025-04-15 15:22:43.270361,0 days 00:01:41.041001,0.3656539808860149,0.4798724162137014,4500,COMPLETE
6,6,0.5298840321141838,2025-04-15 15:22:43.271078,2025-04-15 15:23:35.397749,0 days 00:00:52.126671,0.39154255547391903,0.41806523871564133,3000,COMPLETE
7,7,0.5305940151853507,2025-04-15 15:23:35.398483,2025-04-15 15:24:28.111931,0 days 00:00:52.713448,0.5051581675426002,0.7011655195541173,3000,COMPLETE
8,8,0.5299374441465594,2025-04-15 15:24:28.112637,2025-04-15 15:25:03.383399,0 days 00:00:35.270762,0.45726518582114073,0.36700482765076575,2000,COMPLETE
9,9,0.0,2025-04-15 15:25:03.384170,2025-04-15 15:27:05.579879,0 days 00:02:02.195709,0.7796145852742236,0.5739605994118737,5000,COMPLETE
10,10,0.0,2025-04-15 15:27:05.580586,2025-04-15 15:27:17.361546,0 days 00:00:11.780960,0.6530981235149234,0.5820449078730126,500,COMPLETE
11,11,0.0,2025-04-15 15:27:17.362300,2025-04-15 15:27:29.465774,0 days 00:00:12.103474,0.6127366963300585,0.6587557096741113,500,COMPLETE
12,12,0.53125,2025-04-15 15:27:29.466127,2025-04-15 15:28:03.241286,0 days 00:00:33.775159,0.3314930614632896,0.313862087593335,2000,COMPLETE
13,13,0.5300668151447662,2025-04-15 15:28:03.242010,2025-04-15 15:28:23.591747,0 days 00:00:20.349737,0.32611406010632316,0.6429636079586947,1500,COMPLETE
14,14,0.5292802860974519,2025-04-15 15:28:23.592472,2025-04-15 15:28:35.474508,0 days 00:00:11.882036,0.5683210206247663,0.7876577292715221,1000,COMPLETE
15,15,0.5298840321141838,2025-04-15 15:28:35.475222,2025-04-15 15:29:06.503320,0 days 00:00:31.028098,0.4086990287970762,0.5087708983426503,2000,COMPLETE
16,16,0.0,2025-04-15 15:29:06.503725,2025-04-15 15:29:21.094282,0 days 00:00:14.590557,0.7049702192092725,0.5398439520382198,500,COMPLETE
17,17,0.5298308103294747,2025-04-15 15:29:21.095006,2025-04-15 15:29:41.318746,0 days 00:00:20.223740,0.301155135682358,0.422767216669845,1500,COMPLETE
18,18,0.5299374441465594,2025-04-15 15:29:41.319441,2025-04-15 15:30:18.484230,0 days 00:00:37.164789,0.5555498593707855,0.6336458207035562,2500,COMPLETE
19,19,0.5298308103294747,2025-04-15 15:30:18.484959,2025-04-15 15:30:30.574968,0 days 00:00:12.090009,0.4181506141548026,0.7098516832570939,1000,COMPLETE
20,20,0.5299374441465594,2025-04-15 15:30:30.575353,2025-04-15 15:31:31.426100,0 days 00:01:00.850747,0.5275204709047914,0.796582550685886,3500,COMPLETE
21,21,0.53125,2025-04-15 15:31:31.426805,2025-04-15 15:31:52.142446,0 days 00:00:20.715641,0.4562325092437373,0.44635307731736906,1500,COMPLETE
22,22,0.5299374441465594,2025-04-15 15:31:52.143170,2025-04-15 15:32:12.565371,0 days 00:00:20.422201,0.4482978654026547,0.3756817846182443,1000,COMPLETE
23,23,0.5300668151447662,2025-04-15 15:32:12.566087,2025-04-15 15:32:53.188296,0 days 00:00:40.622209,0.367070984523217,0.471611023999995,2500,COMPLETE
24,24,0.53125,2025-04-15 15:32:53.189025,2025-04-15 15:33:13.441166,0 days 00:00:20.252141,0.46925010199655065,0.5268365632864116,1500,COMPLETE
25,25,0.0,2025-04-15 15:33:13.441576,2025-04-15 15:33:31.192492,0 days 00:00:17.750916,0.614521646795425,0.3277080911114061,500,COMPLETE
26,26,0.5300668151447662,2025-04-15 15:33:31.193167,2025-04-15 15:33:59.499890,0 days 00:00:28.306723,0.36259376420264916,0.5961276748816202,2000,COMPLETE
27,27,0.5305940151853507,2025-04-15 15:33:59.500288,2025-04-15 15:34:17.323698,0 days 00:00:17.823410,0.41956642056093474,0.41550958939491295,1000,COMPLETE
28,28,0.0,2025-04-15 15:34:17.324413,2025-04-15 15:34:37.663422,0 days 00:00:20.339009,0.6865187310484829,0.49281120033801007,1500,COMPLETE
29,29,0.5305940151853507,2025-04-15 15:34:37.664104,2025-04-15 15:34:46.459135,0 days 00:00:08.795031,0.5074833124510252,0.7360858275585268,500,COMPLETE
30,30,0.0,2025-04-15 15:34:46.459542,2025-04-15 15:35:26.883631,0 days 00:00:40.424089,0.5609866214852475,0.4514002698134684,2500,COMPLETE
31,31,0.53125,2025-04-15 15:35:26.884359,2025-04-15 15:36:02.031562,0 days 00:00:35.147203,0.3280796910915368,0.300987634639498,2000,COMPLETE
32,32,0.53125,2025-04-15 15:36:02.032302,2025-04-15 15:36:35.646501,0 days 00:00:33.614199,0.3040428218219968,0.39049263209190516,2000,COMPLETE
33,33,0.53125,2025-04-15 15:36:35.647260,2025-04-15 15:37:01.959210,0 days 00:00:26.311950,0.35494040005755084,0.33408912569264704,1500,COMPLETE
34,34,0.0,2025-04-15 15:37:01.959945,2025-04-15 15:38:11.487406,0 days 00:01:09.527461,0.8884984588797081,0.33790262932088966,3500,COMPLETE
35,35,0.5305940151853507,2025-04-15 15:38:11.490963,2025-04-15 15:39:28.929170,0 days 00:01:17.438207,0.3886495982112096,0.39572149206991813,3000,COMPLETE
36,36,0.5292802860974519,2025-04-15 15:39:28.929894,2025-04-15 15:40:09.178156,0 days 00:00:40.248262,0.4828297994180419,0.35095546471480404,1000,COMPLETE
37,37,0.5300668151447662,2025-04-15 15:40:09.178936,2025-04-15 15:41:07.278809,0 days 00:00:58.099873,0.3397880506753548,0.45826155173157057,2500,COMPLETE
38,38,0.5299374441465594,2025-04-15 15:41:07.279554,2025-04-15 15:42:31.012294,0 days 00:01:23.732740,0.43334247014777494,0.42414730188658467,4000,COMPLETE
39,39,0.5305940151853507,2025-04-15 15:42:31.013018,2025-04-15 15:43:05.379942,0 days 00:00:34.366924,0.38642846517325447,0.3054627704800824,2000,COMPLETE
40,40,0.5292802860974519,2025-04-15 15:43:05.380732,2025-04-15 15:43:31.611174,0 days 00:00:26.230442,0.5256880193658136,0.3689458856032474,1500,COMPLETE
41,41,0.5305940151853507,2025-04-15 15:43:31.611573,2025-04-15 15:43:52.125227,0 days 00:00:20.513654,0.48675126151238324,0.4360682089349204,1500,COMPLETE
42,42,0.5298840321141838,2025-04-15 15:43:52.125959,2025-04-15 15:44:09.570519,0 days 00:00:17.444560,0.390599584182475,0.49032074327072295,1000,COMPLETE
43,43,0.0,2025-04-15 15:44:09.570921,2025-04-15 15:44:42.880386,0 days 00:00:33.309465,0.7841901301978156,0.39851598602029725,2000,COMPLETE
44,44,0.53125,2025-04-15 15:44:42.881107,2025-04-15 15:45:03.323968,0 days 00:00:20.442861,0.43300692937445867,0.4494149118757236,1500,COMPLETE
45,45,0.53125,2025-04-15 15:45:03.324709,2025-04-15 15:45:18.063649,0 days 00:00:14.738940,0.45647387411153,0.5608766299925448,1000,COMPLETE
46,46,0.5300668151447662,2025-04-15 15:45:18.064405,2025-04-15 15:45:29.685353,0 days 00:00:11.620948,0.32736057365198457,0.598113990224254,500,COMPLETE
47,47,0.2846715328467153,2025-04-15 15:45:29.685789,2025-04-15 15:46:10.847818,0 days 00:00:41.162029,0.5314310860950177,0.516178213593157,2500,COMPLETE
48,48,0.5305394560855996,2025-04-15 15:46:10.848621,2025-04-15 15:46:31.045339,0 days 00:00:20.196718,0.4020879738259925,0.6847820571390292,1500,COMPLETE
49,49,0.0,2025-04-15 15:46:31.046106,2025-04-15 15:48:31.359958,0 days 00:02:00.313852,0.6353346766466113,0.4755967024644254,5000,COMPLETE
50,50,0.0,2025-04-15 15:48:31.360742,2025-04-15 15:49:05.335342,0 days 00:00:33.974600,0.59046974110038,0.3547946652500288,2000,COMPLETE
51,51,0.5299374441465594,2025-04-15 15:49:05.336088,2025-04-15 15:49:23.013545,0 days 00:00:17.677457,0.47491300974911055,0.5298170619272984,1000,COMPLETE
52,52,0.53125,2025-04-15 15:49:23.014297,2025-04-15 15:49:43.275596,0 days 00:00:20.261299,0.4527364795225202,0.5057709032273541,1500,COMPLETE
53,53,0.5305940151853507,2025-04-15 15:49:43.276337,2025-04-15 15:50:03.875272,0 days 00:00:20.598935,0.5023533850659723,0.526774208215095,1500,COMPLETE
54,54,0.5299374441465594,2025-04-15 15:50:03.875688,2025-04-15 15:50:34.562199,0 days 00:00:30.686511,0.47092971130686867,0.5497573273582342,2000,COMPLETE
55,55,0.5300668151447662,2025-04-15 15:50:34.562930,2025-04-15 15:50:46.256857,0 days 00:00:11.693927,0.3663264998176762,0.6298383048886809,500,COMPLETE
56,56,0.45020668921458096,2025-04-15 15:50:46.257570,2025-04-15 15:51:04.509764,0 days 00:00:18.252194,0.30198777787554265,0.7680936941785255,1500,COMPLETE
