,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9906,2025-04-15 15:05:20.822708,2025-04-15 15:11:27.292745,0 days 00:06:06.470037,256,20,128,0.005,0.89,2,,,,COMPLETE
1,1,0.9891,2025-04-15 15:11:27.293369,2025-04-15 15:21:21.491102,0 days 00:09:54.197733,64,20,128,0.001,0.97,2,0.9894,0.9894,0.9894,COMPLETE
2,2,0.9948,2025-04-15 15:21:21.491621,2025-04-15 15:27:31.253806,0 days 00:06:09.762185,256,20,128,0.002,0.97,2,,,,COMPLETE
3,3,0.9897,2025-04-15 15:27:31.254422,2025-04-15 15:34:45.012591,0 days 00:07:13.758169,128,20,128,0.002,0.89,2,,,,COMPLETE
4,4,0.9912,2025-04-15 15:34:45.013141,2025-04-15 15:41:46.292283,0 days 00:07:01.279142,1024,20,128,0.005,0.99,2,,,,COMPLETE
5,5,0.9897,2025-04-15 15:41:46.292903,2025-04-15 15:48:04.690270,0 days 00:06:18.397367,512,20,128,0.005,0.99,2,0.99,0.99,,COMPLETE
6,6,0.993,2025-04-15 15:48:04.690887,2025-04-15 15:54:23.949404,0 days 00:06:19.258517,512,20,128,0.002,0.9099999999999999,2,,,,COMPLETE
7,7,0.9924,2025-04-15 15:54:23.950018,2025-04-15 16:00:37.442503,0 days 00:06:13.492485,256,20,128,0.002,0.9299999999999999,2,,,,COMPLETE
8,8,0.987,2025-04-15 16:00:37.443138,2025-04-15 16:07:31.031376,0 days 00:06:53.588238,128,20,128,0.001,0.86,2,0.987,,,PRUNED
9,9,0.9921,2025-04-15 16:07:31.031829,2025-04-15 16:13:49.039257,0 days 00:06:18.007428,512,20,128,0.001,0.85,2,0.9921,0.9921,0.9921,COMPLETE
10,10,0.9909,2025-04-15 16:13:49.039866,2025-04-15 16:30:13.034171,0 days 00:16:23.994305,32,20,128,0.002,0.95,2,,,,COMPLETE
11,11,0.9933,2025-04-15 16:30:13.034736,2025-04-15 16:36:24.227360,0 days 00:06:11.192624,256,20,128,0.002,0.9099999999999999,2,,,,COMPLETE
12,12,0.9939,2025-04-15 16:36:24.227944,2025-04-15 16:42:39.395996,0 days 00:06:15.168052,256,20,128,0.002,0.9299999999999999,2,,,,COMPLETE
13,13,0.9927,2025-04-15 16:42:39.396692,2025-04-15 16:48:55.069669,0 days 00:06:15.672977,256,20,128,0.002,0.95,2,,,,COMPLETE
14,14,0.9933,2025-04-15 16:48:55.070274,2025-04-15 16:55:09.519013,0 days 00:06:14.448739,256,20,128,0.002,0.95,2,,,,COMPLETE
15,15,0.9942,2025-04-15 16:55:09.519689,2025-04-15 17:02:11.043068,0 days 00:07:01.523379,1024,20,128,0.002,0.9299999999999999,2,,,,COMPLETE
16,16,0.9948,2025-04-15 17:02:11.043634,2025-04-15 17:09:13.133185,0 days 00:07:02.089551,1024,20,128,0.002,0.97,2,,,,COMPLETE
17,17,0.9945,2025-04-15 17:09:13.134006,2025-04-15 17:16:15.249544,0 days 00:07:02.115538,1024,20,128,0.002,0.97,2,,,,COMPLETE
18,18,0.9844,2025-04-15 17:16:15.250171,2025-04-15 17:30:13.014537,0 days 00:13:57.764366,32,20,128,0.001,0.97,2,0.9844,,,PRUNED
19,19,0.9837,2025-04-15 17:30:13.015036,2025-04-15 17:40:20.865614,0 days 00:10:07.850578,64,20,128,0.005,0.98,2,,,,COMPLETE
20,20,0.9936,2025-04-15 17:40:20.866251,2025-04-15 17:47:21.504107,0 days 00:07:00.637856,1024,20,128,0.002,0.96,2,,,,COMPLETE
21,21,0.9939,2025-04-15 17:47:21.504672,2025-04-15 17:54:20.069238,0 days 00:06:58.564566,1024,20,128,0.002,0.97,2,,,,COMPLETE
22,22,0.9954,2025-04-15 17:54:20.069694,2025-04-15 18:01:22.402479,0 days 00:07:02.332785,1024,20,128,0.002,0.99,2,,,,COMPLETE
23,23,0.9903,2025-04-15 18:01:22.403066,2025-04-15 18:07:18.017822,0 days 00:05:55.614756,1024,20,128,0.002,0.99,2,0.9903,,,PRUNED
24,24,0.9933,2025-04-15 18:07:18.018286,2025-04-15 18:14:18.668226,0 days 00:07:00.649940,1024,20,128,0.002,0.98,2,,,,COMPLETE
25,25,0.9921,2025-04-15 18:14:18.668784,2025-04-15 18:21:22.232215,0 days 00:07:03.563431,1024,20,128,0.002,0.96,2,,,,COMPLETE
26,26,0.9887,2025-04-15 18:21:22.232858,2025-04-15 18:31:46.091673,0 days 00:10:23.858815,64,20,128,0.002,0.94,2,0.9884,,,COMPLETE
27,27,0.9909,2025-04-15 18:31:46.092329,2025-04-15 18:38:42.920118,0 days 00:06:56.827789,128,20,128,0.002,0.98,2,0.9909,0.9909,,PRUNED
28,28,0.99,2025-04-15 18:38:42.920515,2025-04-15 18:55:23.077063,0 days 00:16:40.156548,32,20,128,0.001,0.96,2,,,,COMPLETE
29,29,0.9936,2025-04-15 18:55:23.077669,2025-04-15 19:01:37.941290,0 days 00:06:14.863621,256,20,128,0.005,0.88,2,,,,COMPLETE
