,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.22726519794599964,2025-04-15 14:36:52.746517,2025-04-15 14:36:53.200655,0 days 00:00:00.454138,3.8906,1,1.2848291297477383,COMPLETE
1,1,0.139075271440771,2025-04-15 14:36:53.201081,2025-04-15 14:36:53.542304,0 days 00:00:00.341223,3.8906,13,1.309033859700865,COMPLETE
2,2,0.22047970479704795,2025-04-15 14:36:53.542637,2025-04-15 14:36:53.889144,0 days 00:00:00.346507,3.8906,8,0.8334466569732577,COMPLETE
3,3,0.22730284956925118,2025-04-15 14:36:53.889573,2025-04-15 14:36:54.333137,0 days 00:00:00.443564,3.8906,1,1.5254894531131435,COMPLETE
4,4,0.20932134096484056,2025-04-15 14:36:54.333434,2025-04-15 14:36:54.665813,0 days 00:00:00.332379,3.8906,11,1.1453007200767125,COMPLETE
5,5,0.1392865809269595,2025-04-15 14:36:54.666120,2025-04-15 14:36:55.007857,0 days 00:00:00.341737,3.8906,9,1.5567256769051887,COMPLETE
6,6,0.220581449007845,2025-04-15 14:36:55.008237,2025-04-15 14:36:55.345333,0 days 00:00:00.337096,3.8906,11,0.504999864069063,COMPLETE
7,7,0.18702290076335878,2025-04-15 14:36:55.345658,2025-04-15 14:36:55.691404,0 days 00:00:00.345746,3.8906,3,0.2851436419029825,COMPLETE
8,8,0.2292972340603326,2025-04-15 14:36:55.691709,2025-04-15 14:36:56.031987,0 days 00:00:00.340278,3.8906,1,1.7816564438040603,COMPLETE
9,9,0.22234826999432783,2025-04-15 14:36:56.032337,2025-04-15 14:36:56.519738,0 days 00:00:00.487401,3.8906,2,0.480689749687109,COMPLETE
10,10,0.2629359908010732,2025-04-15 14:36:56.520039,2025-04-15 14:36:56.865401,0 days 00:00:00.345362,3.8906,2,1.979776071569676,COMPLETE
11,11,0.2629359908010732,2025-04-15 14:36:56.865718,2025-04-15 14:36:57.193602,0 days 00:00:00.327884,3.8906,2,1.9900200414291092,COMPLETE
12,12,0.26279470960322027,2025-04-15 14:36:57.193918,2025-04-15 14:36:57.524065,0 days 00:00:00.330147,3.8906,3,1.9556892746871717,COMPLETE
13,13,0.2629359908010732,2025-04-15 14:36:57.524390,2025-04-15 14:36:57.851441,0 days 00:00:00.327051,3.8906,2,1.9793594926175795,COMPLETE
14,14,0.2208077768776762,2025-04-15 14:36:57.851751,2025-04-15 14:36:58.170502,0 days 00:00:00.318751,3.8906,5,1.645297522284773,COMPLETE
15,15,0.23790532339171144,2025-04-15 14:36:58.170809,2025-04-15 14:36:58.646882,0 days 00:00:00.476073,3.8906,2,0.8124114977292586,COMPLETE
16,16,0.14379084967320263,2025-04-15 14:36:58.647222,2025-04-15 14:36:58.979467,0 days 00:00:00.332245,3.8906,5,1.7812744282718476,COMPLETE
17,17,0.16004282082162452,2025-04-15 14:36:58.979762,2025-04-15 14:36:59.314139,0 days 00:00:00.334377,3.8906,4,1.9931140146958177,COMPLETE
18,18,0.23831856869897514,2025-04-15 14:36:59.314462,2025-04-15 14:36:59.643174,0 days 00:00:00.328712,3.8906,2,1.3899662021587555,COMPLETE
19,19,0.15270516717325228,2025-04-15 14:36:59.643758,2025-04-15 14:37:00.006768,0 days 00:00:00.363010,3.8906,4,1.77663854636411,COMPLETE
20,20,0.22705833678113366,2025-04-15 14:37:00.007109,2025-04-15 14:37:00.354846,0 days 00:00:00.347737,3.8906,1,0.9951949187510347,COMPLETE
21,21,0.2629359908010732,2025-04-15 14:37:00.355265,2025-04-15 14:37:00.871437,0 days 00:00:00.516172,3.8906,2,1.9852687003615548,COMPLETE
22,22,0.26275974336876373,2025-04-15 14:37:00.871980,2025-04-15 14:37:01.258789,0 days 00:00:00.386809,3.8906,2,1.792861253689421,COMPLETE
23,23,0.26126727012863266,2025-04-15 14:37:01.259116,2025-04-15 14:37:01.607121,0 days 00:00:00.348005,3.8906,3,1.6434400417110016,COMPLETE
24,24,0.26275974336876373,2025-04-15 14:37:01.607697,2025-04-15 14:37:01.902533,0 days 00:00:00.294836,3.8906,2,1.8442310720155588,COMPLETE
25,25,0.23104360833045676,2025-04-15 14:37:01.903260,2025-04-15 14:37:02.276432,0 days 00:00:00.373172,3.8906,4,1.4471542337059686,COMPLETE
26,26,0.26126727012863266,2025-04-15 14:37:02.276769,2025-04-15 14:37:02.624313,0 days 00:00:00.347544,3.8906,3,1.6355665358666998,COMPLETE
27,27,0.14042346069603312,2025-04-15 14:37:02.624638,2025-04-15 14:37:03.118689,0 days 00:00:00.494051,3.8906,7,1.8797604342069816,COMPLETE
28,28,0.22204232681854977,2025-04-15 14:37:03.119154,2025-04-15 14:37:03.524975,0 days 00:00:00.405821,3.8906,6,1.651788405525704,COMPLETE
29,29,0.22715231788079468,2025-04-15 14:37:03.525275,2025-04-15 14:37:03.917580,0 days 00:00:00.392305,3.8906,1,1.194951807068705,COMPLETE
30,30,0.26275974336876373,2025-04-15 14:37:03.917872,2025-04-15 14:37:04.321299,0 days 00:00:00.403427,3.8906,2,1.9125175599002158,COMPLETE
31,31,0.2629359908010732,2025-04-15 14:37:04.321607,2025-04-15 14:37:04.724983,0 days 00:00:00.403376,3.8906,2,1.973940109912932,COMPLETE
32,32,0.26284509202453993,2025-04-15 14:37:04.725306,2025-04-15 14:37:05.258238,0 days 00:00:00.532932,3.8906,3,1.9844709357287664,COMPLETE
33,33,0.26275974336876373,2025-04-15 14:37:05.258533,2025-04-15 14:37:05.655283,0 days 00:00:00.396750,3.8906,2,1.7680330800486757,COMPLETE
34,34,0.22918232690219664,2025-04-15 14:37:05.655581,2025-04-15 14:37:06.049709,0 days 00:00:00.394128,3.8906,1,1.6937496949157633,COMPLETE
35,35,0.23104360833045676,2025-04-15 14:37:06.050029,2025-04-15 14:37:06.449378,0 days 00:00:00.399349,3.8906,4,1.4911670744338426,COMPLETE
36,36,0.23818624044475334,2025-04-15 14:37:06.449679,2025-04-15 14:37:06.877213,0 days 00:00:00.427534,3.8906,3,1.3495475899506375,COMPLETE
37,37,0.1428050115557718,2025-04-15 14:37:06.878193,2025-04-15 14:37:07.306049,0 days 00:00:00.427856,3.8906,5,1.8712750715201991,COMPLETE
38,38,0.26275974336876373,2025-04-15 14:37:07.306369,2025-04-15 14:37:07.649368,0 days 00:00:00.342999,3.8906,2,1.8945130997189064,COMPLETE
39,39,0.23789692868297763,2025-04-15 14:37:07.649659,2025-04-15 14:37:07.973880,0 days 00:00:00.324221,3.8906,3,0.8731726631528567,COMPLETE
40,40,0.22916318690496074,2025-04-15 14:37:07.974195,2025-04-15 14:37:08.297551,0 days 00:00:00.323356,3.8906,1,1.5438513964935128,COMPLETE
41,41,0.2629359908010732,2025-04-15 14:37:08.297856,2025-04-15 14:37:08.637535,0 days 00:00:00.339679,3.8906,2,1.9692141891297925,COMPLETE
42,42,0.2629359908010732,2025-04-15 14:37:08.637926,2025-04-15 14:37:09.158590,0 days 00:00:00.520664,3.8906,2,1.9982164421453223,COMPLETE
43,43,0.13822629969418962,2025-04-15 14:37:09.158985,2025-04-15 14:37:09.541032,0 days 00:00:00.382047,3.8906,14,1.725145039643163,COMPLETE
44,44,0.26275974336876373,2025-04-15 14:37:09.541351,2025-04-15 14:37:09.918941,0 days 00:00:00.377590,3.8906,2,1.8554313012223922,COMPLETE
45,45,0.1835942727151077,2025-04-15 14:37:09.919264,2025-04-15 14:37:10.298547,0 days 00:00:00.379283,3.8906,3,0.2269654992657465,COMPLETE
46,46,0.26275974336876373,2025-04-15 14:37:10.298852,2025-04-15 14:37:10.676463,0 days 00:00:00.377611,3.8906,2,1.9114359338558091,COMPLETE
47,47,0.13935421218742414,2025-04-15 14:37:10.676790,2025-04-15 14:37:11.174341,0 days 00:00:00.497551,3.8906,10,1.579143617617822,COMPLETE
48,48,0.23788469874295623,2025-04-15 14:37:11.174655,2025-04-15 14:37:11.554255,0 days 00:00:00.379600,3.8906,3,0.6591343133384375,COMPLETE
49,49,0.14289180009704028,2025-04-15 14:37:11.554588,2025-04-15 14:37:11.930337,0 days 00:00:00.375749,3.8906,5,1.8219110875776459,COMPLETE
50,50,0.23829787234042554,2025-04-15 14:37:11.930651,2025-04-15 14:37:12.315782,0 days 00:00:00.385131,3.8906,2,1.2299917878346598,COMPLETE
51,51,0.16,2025-04-15 14:37:12.316114,2025-04-15 14:37:12.690831,0 days 00:00:00.374717,3.8906,4,1.9914160363271498,COMPLETE
52,52,0.26275974336876373,2025-04-15 14:37:12.691167,2025-04-15 14:37:13.214081,0 days 00:00:00.522914,3.8906,2,1.9180048574475697,COMPLETE
53,53,0.25857519788918204,2025-04-15 14:37:13.214400,2025-04-15 14:37:13.581208,0 days 00:00:00.366808,3.8906,2,1.7245517314717378,COMPLETE
54,54,0.26264367816091955,2025-04-15 14:37:13.581524,2025-04-15 14:37:13.972951,0 days 00:00:00.391427,3.8906,3,1.9268042447501745,COMPLETE
55,55,0.26275974336876373,2025-04-15 14:37:13.973287,2025-04-15 14:37:14.336809,0 days 00:00:00.363522,3.8906,2,1.819148704475082,COMPLETE
56,56,0.11204577188979327,2025-04-15 14:37:14.337137,2025-04-15 14:37:14.664935,0 days 00:00:00.327798,3.8906,2,0.12188501311004984,COMPLETE
57,57,0.16045076469009928,2025-04-15 14:37:14.665250,2025-04-15 14:37:15.204097,0 days 00:00:00.538847,3.8906,4,1.999756297041837,COMPLETE
58,58,0.2613918017159199,2025-04-15 14:37:15.204591,2025-04-15 14:37:15.693681,0 days 00:00:00.489090,3.8906,3,1.732880305331497,COMPLETE
59,59,0.22715231788079468,2025-04-15 14:37:15.694703,2025-04-15 14:37:16.078912,0 days 00:00:00.384209,3.8906,1,1.077681507491901,COMPLETE
60,60,0.13951231347810264,2025-04-15 14:37:16.079266,2025-04-15 14:37:16.499529,0 days 00:00:00.420263,3.8906,8,1.823849315675456,COMPLETE
61,61,0.2629359908010732,2025-04-15 14:37:16.500140,2025-04-15 14:37:16.997253,0 days 00:00:00.497113,3.8906,2,1.9564074752109182,COMPLETE
62,62,0.2629359908010732,2025-04-15 14:37:16.997813,2025-04-15 14:37:17.498985,0 days 00:00:00.501172,3.8906,2,1.9952209224396107,COMPLETE
63,63,0.26275974336876373,2025-04-15 14:37:17.499893,2025-04-15 14:37:17.924160,0 days 00:00:00.424267,3.8906,2,1.9231841483285836,COMPLETE
64,64,0.26275974336876373,2025-04-15 14:37:17.925152,2025-04-15 14:37:18.528410,0 days 00:00:00.603258,3.8906,2,1.8524891669312662,COMPLETE
