,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.9448592762780011,2025-04-15 14:37:06.557640,2025-04-15 14:37:20.591684,0 days 00:00:14.034044,0.01841192315132335,balanced,400,l2,0.03530418740495477,COMPLETE
1,1,0.9448592762780011,2025-04-15 14:37:20.593903,2025-04-15 14:38:46.900305,0 days 00:01:26.306402,14.358615259526921,balanced,700,l2,0.0016664378351750467,COMPLETE
2,2,0.857236411263916,2025-04-15 14:38:46.902263,2025-04-15 14:38:49.940831,0 days 00:00:03.038568,0.003901259860570147,,900,l2,0.008791456427558048,COMPLETE
3,3,0.9717208182912155,2025-04-15 14:38:49.942040,2025-04-15 14:39:06.525841,0 days 00:00:16.583801,6.232558655006794,,600,l1,0.00019089747373968446,COMPLETE
4,4,0.9448592762780011,2025-04-15 14:39:06.527262,2025-04-15 14:40:07.672511,0 days 00:01:01.145249,8.25384940050755,balanced,700,l2,0.0009807026536438005,COMPLETE
5,5,0.9522091974752028,2025-04-15 14:40:07.674638,2025-04-15 14:40:26.820552,0 days 00:00:19.145914,0.16413541450557959,,900,l2,0.00184569520303225,COMPLETE
6,6,0.8571428571428571,2025-04-15 14:40:26.826034,2025-04-15 14:40:33.109683,0 days 00:00:06.283649,0.005319237070528987,,400,l2,0.0007741105611999248,COMPLETE
7,7,0.9448592762780011,2025-04-15 14:40:33.112567,2025-04-15 14:40:36.984395,0 days 00:00:03.871828,0.001126377179301441,balanced,700,l2,0.001668814083482987,COMPLETE
8,8,0.9448592762780011,2025-04-15 14:40:36.991613,2025-04-15 14:41:01.093063,0 days 00:00:24.101450,772.0531756364228,balanced,300,l2,0.00033846434297994074,COMPLETE
9,9,0.9756532066508313,2025-04-15 14:41:01.095217,2025-04-15 14:41:09.616566,0 days 00:00:08.521349,41.47266642426141,balanced,700,l1,0.0278826301628985,COMPLETE
10,10,0.9733412322274881,2025-04-15 14:41:09.618678,2025-04-15 14:41:13.500438,0 days 00:00:03.881760,465.8263055963866,balanced,100,l1,0.051170031850029496,COMPLETE
11,11,0.9608187134502925,2025-04-15 14:41:13.502108,2025-04-15 14:41:16.074745,0 days 00:00:02.572637,906.5664808815867,balanced,100,l1,0.0844233990476796,COMPLETE
12,12,0.9756532066508313,2025-04-15 14:41:16.076083,2025-04-15 14:41:19.558670,0 days 00:00:03.482587,68.20811681136425,balanced,100,l1,0.011681936734558121,COMPLETE
13,13,0.9750445632798574,2025-04-15 14:41:19.560057,2025-04-15 14:41:51.749083,0 days 00:00:32.189026,62.813118680970184,balanced,1000,l1,0.010186154058579722,COMPLETE
14,14,0.9756532066508313,2025-04-15 14:41:51.751284,2025-04-15 14:42:01.560294,0 days 00:00:09.809010,0.704337312086495,balanced,300,l1,0.012860895767362221,COMPLETE
15,15,0.9753489753489754,2025-04-15 14:42:01.561712,2025-04-15 14:42:13.224010,0 days 00:00:11.662298,86.48160918815884,balanced,500,l1,0.020604381580006607,COMPLETE
16,16,0.9756532066508313,2025-04-15 14:42:13.225351,2025-04-15 14:42:19.848167,0 days 00:00:06.622816,70.48331823282054,balanced,200,l1,0.004940075980044658,COMPLETE
17,17,0.9750445632798574,2025-04-15 14:42:19.849460,2025-04-15 14:42:45.375535,0 days 00:00:25.526075,0.5736637250589748,balanced,800,l1,0.004708952672134109,COMPLETE
18,18,0.9701717384754444,2025-04-15 14:42:45.377693,2025-04-15 14:42:56.607034,0 days 00:00:11.229341,2.466463514730289,,500,l1,0.026882571208271942,COMPLETE
19,19,0.9756532066508313,2025-04-15 14:42:56.608353,2025-04-15 14:43:00.743504,0 days 00:00:04.135151,181.43045469745257,balanced,600,l1,0.0623908268885147,COMPLETE
20,20,0.9756532066508313,2025-04-15 14:43:00.745614,2025-04-15 14:43:12.770345,0 days 00:00:12.024731,30.86802408388659,balanced,800,l1,0.01726638560637266,COMPLETE
21,21,0.9756532066508313,2025-04-15 14:43:12.771759,2025-04-15 14:43:19.288589,0 days 00:00:06.516830,0.36490151377235,balanced,200,l1,0.010285332722461264,COMPLETE
22,22,0.9756532066508313,2025-04-15 14:43:19.289888,2025-04-15 14:43:26.174459,0 days 00:00:06.884571,0.10375808310093587,balanced,200,l1,0.015301844699749895,COMPLETE
23,23,0.9756532066508313,2025-04-15 14:43:26.175802,2025-04-15 14:43:36.098040,0 days 00:00:09.922238,2.933983041199287,balanced,300,l1,0.0056775293574138855,COMPLETE
24,24,0.9756532066508313,2025-04-15 14:43:36.100081,2025-04-15 14:43:39.516470,0 days 00:00:03.416389,1.2710199746665949,balanced,100,l1,0.03976898171575968,COMPLETE
25,25,0.9756532066508313,2025-04-15 14:43:39.517872,2025-04-15 14:43:49.482515,0 days 00:00:09.964643,22.148569094733304,balanced,300,l1,0.003403105319974487,COMPLETE
26,26,0.9442528735632184,2025-04-15 14:43:49.483802,2025-04-15 14:43:51.064180,0 days 00:00:01.580378,0.054405404278361394,balanced,400,l1,0.09864586361156572,COMPLETE
27,27,0.9678001805597353,2025-04-15 14:43:51.065512,2025-04-15 14:43:56.628459,0 days 00:00:05.562947,199.45193025322027,,200,l1,0.01131584783536783,COMPLETE
28,28,0.9756532066508313,2025-04-15 14:43:56.629752,2025-04-15 14:44:05.114112,0 days 00:00:08.484360,3.6167126364293987,balanced,500,l1,0.026579883774349448,COMPLETE
29,29,0.9756532066508313,2025-04-15 14:44:05.116200,2025-04-15 14:44:11.135902,0 days 00:00:06.019702,0.881327127089044,balanced,300,l1,0.03665198112689338,COMPLETE
30,30,0.9448592762780011,2025-04-15 14:44:11.137342,2025-04-15 14:44:22.439516,0 days 00:00:11.302174,0.018961774010201226,balanced,400,l1,0.006869279242916011,COMPLETE
31,31,0.9756532066508313,2025-04-15 14:44:22.440824,2025-04-15 14:44:29.222097,0 days 00:00:06.781273,64.81377317848987,balanced,200,l1,0.0033834257341894083,COMPLETE
32,32,0.9756532066508313,2025-04-15 14:44:29.223430,2025-04-15 14:44:32.666737,0 days 00:00:03.443307,218.7194469370709,balanced,100,l1,0.01442839349756316,COMPLETE
33,33,0.9756532066508313,2025-04-15 14:44:32.668045,2025-04-15 14:44:39.355808,0 days 00:00:06.687763,10.79720481917762,balanced,200,l1,0.007704192348666632,COMPLETE
34,34,0.9756532066508313,2025-04-15 14:44:39.357841,2025-04-15 14:44:49.442289,0 days 00:00:10.084448,31.160172611038153,balanced,600,l1,0.021956867621934405,COMPLETE
35,35,0.9668674698795181,2025-04-15 14:44:49.443682,2025-04-15 14:44:52.393140,0 days 00:00:02.949458,110.66006097183002,,100,l1,0.0051159553158655205,COMPLETE
36,36,0.9448592762780011,2025-04-15 14:44:52.394429,2025-04-15 14:45:58.805253,0 days 00:01:06.410824,15.701046420038223,balanced,800,l2,0.002319236857378846,COMPLETE
37,37,0.9711191335740073,2025-04-15 14:45:58.807419,2025-04-15 14:46:09.510478,0 days 00:00:10.703059,6.948836142453354,,400,l1,0.002650495825604299,COMPLETE
