,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.028708133971291867,2025-04-15 14:37:14.668295,2025-04-15 14:37:15.783693,0 days 00:00:01.115398,3.8906,28,1.932019127681888,COMPLETE
1,1,0.0,2025-04-15 14:37:15.784177,2025-04-15 14:37:16.681108,0 days 00:00:00.896931,3.8906,1,1.7631935841151807,COMPLETE
2,2,0.0,2025-04-15 14:37:16.682371,2025-04-15 14:37:17.465576,0 days 00:00:00.783205,3.8906,2,1.9007956935573003,COMPLETE
3,3,0.0012084592145015106,2025-04-15 14:37:17.465927,2025-04-15 14:37:18.377650,0 days 00:00:00.911723,3.8906,1,1.3628733206035377,COMPLETE
4,4,0.40986547085201797,2025-04-15 14:37:18.378381,2025-04-15 14:37:19.372514,0 days 00:00:00.994133,3.8906,16,0.528103225538325,COMPLETE
5,5,0.0011911852293031567,2025-04-15 14:37:19.372934,2025-04-15 14:37:20.365617,0 days 00:00:00.992683,3.8906,1,1.10844350778562,COMPLETE
6,6,0.8645195634815013,2025-04-15 14:37:20.366856,2025-04-15 14:37:21.480092,0 days 00:00:01.113236,3.8906,10,0.25089191177078074,COMPLETE
7,7,0.5365677045619117,2025-04-15 14:37:21.480629,2025-04-15 14:37:22.360508,0 days 00:00:00.879879,3.8906,8,1.412851190387303,COMPLETE
8,8,0.4165890027958994,2025-04-15 14:37:22.361847,2025-04-15 14:37:23.423440,0 days 00:00:01.061593,3.8906,16,1.2432828263206763,COMPLETE
9,9,0.0,2025-04-15 14:37:23.423906,2025-04-15 14:37:24.334915,0 days 00:00:00.911009,3.8906,1,1.9476393965297907,COMPLETE
10,10,0.2565169162506933,2025-04-15 14:37:24.336162,2025-04-15 14:37:25.409930,0 days 00:00:01.073768,3.8906,4,0.1784686542396402,COMPLETE
11,11,0.29967727063162747,2025-04-15 14:37:25.410475,2025-04-15 14:37:26.420747,0 days 00:00:01.010272,3.8906,6,0.6984469870738342,COMPLETE
12,12,0.5344452501812909,2025-04-15 14:37:26.421269,2025-04-15 14:37:27.396165,0 days 00:00:00.974896,3.8906,8,1.5137087240648532,COMPLETE
13,13,0.6565692145121522,2025-04-15 14:37:27.396558,2025-04-15 14:37:28.417454,0 days 00:00:01.020896,3.8906,10,0.7935704013859978,COMPLETE
14,14,0.6280078895463511,2025-04-15 14:37:28.417945,2025-04-15 14:37:29.204917,0 days 00:00:00.786972,3.8906,14,0.7811536469908994,COMPLETE
15,15,0.13963830418025497,2025-04-15 14:37:29.205282,2025-04-15 14:37:30.158243,0 days 00:00:00.952961,3.8906,3,0.2113477209270514,COMPLETE
16,16,0.15602263540824576,2025-04-15 14:37:30.158881,2025-04-15 14:37:31.049803,0 days 00:00:00.890922,3.8906,25,0.46371866279743046,COMPLETE
17,17,0.6017333883615353,2025-04-15 14:37:31.050128,2025-04-15 14:37:31.808577,0 days 00:00:00.758449,3.8906,11,0.9008961686297663,COMPLETE
18,18,0.2019774011299435,2025-04-15 14:37:31.808907,2025-04-15 14:37:32.924841,0 days 00:00:01.115934,3.8906,4,0.48976702047590637,COMPLETE
19,19,0.09662921348314607,2025-04-15 14:37:32.925179,2025-04-15 14:37:33.799752,0 days 00:00:00.874573,3.8906,2,0.1084303654320996,COMPLETE
20,20,0.8661333333333333,2025-04-15 14:37:33.800085,2025-04-15 14:37:34.829903,0 days 00:00:01.029818,3.8906,10,0.3437454481483295,COMPLETE
21,21,0.8657272002127094,2025-04-15 14:37:34.832617,2025-04-15 14:37:35.696741,0 days 00:00:00.864124,3.8906,8,0.3683070672301985,COMPLETE
22,22,0.20245120290512938,2025-04-15 14:37:35.697089,2025-04-15 14:37:36.287112,0 days 00:00:00.590023,3.8906,5,0.386280717352399,COMPLETE
