,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-04-29 04:59:15.265675,2025-04-29 04:59:15.265825,0 days 00:00:00.000150,COMPLETE
1,1,0.0,2025-04-29 04:59:15.266046,2025-04-29 04:59:15.266086,0 days 00:00:00.000040,COMPLETE
2,2,0.0,2025-04-29 04:59:15.266238,2025-04-29 04:59:15.266273,0 days 00:00:00.000035,COMPLETE
3,3,0.0,2025-04-29 04:59:15.266418,2025-04-29 04:59:15.266452,0 days 00:00:00.000034,COMPLETE
4,4,0.0,2025-04-29 04:59:15.266589,2025-04-29 04:59:15.266623,0 days 00:00:00.000034,COMPLETE
5,5,0.0,2025-04-29 04:59:15.266758,2025-04-29 04:59:15.266790,0 days 00:00:00.000032,COMPLETE
6,6,0.0,2025-04-29 04:59:15.266923,2025-04-29 04:59:15.266965,0 days 00:00:00.000042,COMPLETE
7,7,0.0,2025-04-29 04:59:15.267109,2025-04-29 04:59:15.267142,0 days 00:00:00.000033,COMPLETE
8,8,0.0,2025-04-29 04:59:15.267276,2025-04-29 04:59:15.267308,0 days 00:00:00.000032,COMPLETE
9,9,0.0,2025-04-29 04:59:15.267439,2025-04-29 04:59:15.267472,0 days 00:00:00.000033,COMPLETE
10,10,0.0,2025-04-29 04:59:15.267603,2025-04-29 04:59:15.267635,0 days 00:00:00.000032,COMPLETE
11,11,0.0,2025-04-29 04:59:15.267769,2025-04-29 04:59:15.267801,0 days 00:00:00.000032,COMPLETE
12,12,0.0,2025-04-29 04:59:15.267935,2025-04-29 04:59:15.267967,0 days 00:00:00.000032,COMPLETE
13,13,0.0,2025-04-29 04:59:15.268100,2025-04-29 04:59:15.268131,0 days 00:00:00.000031,COMPLETE
14,14,0.0,2025-04-29 04:59:15.268262,2025-04-29 04:59:15.268293,0 days 00:00:00.000031,COMPLETE
15,15,0.0,2025-04-29 04:59:15.268423,2025-04-29 04:59:15.268453,0 days 00:00:00.000030,COMPLETE
16,16,0.0,2025-04-29 04:59:15.268582,2025-04-29 04:59:15.268613,0 days 00:00:00.000031,COMPLETE
17,17,0.0,2025-04-29 04:59:15.268745,2025-04-29 04:59:15.268776,0 days 00:00:00.000031,COMPLETE
18,18,0.0,2025-04-29 04:59:15.268907,2025-04-29 04:59:15.268938,0 days 00:00:00.000031,COMPLETE
19,19,0.0,2025-04-29 04:59:15.269069,2025-04-29 04:59:15.269101,0 days 00:00:00.000032,COMPLETE
20,20,0.0,2025-04-29 04:59:15.269230,2025-04-29 04:59:15.269261,0 days 00:00:00.000031,COMPLETE
21,21,0.0,2025-04-29 04:59:15.269391,2025-04-29 04:59:15.269423,0 days 00:00:00.000032,COMPLETE
22,22,0.0,2025-04-29 04:59:15.269554,2025-04-29 04:59:15.269584,0 days 00:00:00.000030,COMPLETE
23,23,0.0,2025-04-29 04:59:15.269712,2025-04-29 04:59:15.269742,0 days 00:00:00.000030,COMPLETE
24,24,0.0,2025-04-29 04:59:15.269872,2025-04-29 04:59:15.269902,0 days 00:00:00.000030,COMPLETE
25,25,0.0,2025-04-29 04:59:15.270032,2025-04-29 04:59:15.270062,0 days 00:00:00.000030,COMPLETE
26,26,0.0,2025-04-29 04:59:15.270192,2025-04-29 04:59:15.270222,0 days 00:00:00.000030,COMPLETE
27,27,0.0,2025-04-29 04:59:15.270352,2025-04-29 04:59:15.270382,0 days 00:00:00.000030,COMPLETE
28,28,0.0,2025-04-29 04:59:15.270512,2025-04-29 04:59:15.270543,0 days 00:00:00.000031,COMPLETE
29,29,0.0,2025-04-29 04:59:15.270674,2025-04-29 04:59:15.270706,0 days 00:00:00.000032,COMPLETE
