,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-05 02:37:06.501190,2025-05-05 02:37:06.501330,0 days 00:00:00.000140,COMPLETE
1,1,0.0,2025-05-05 02:37:06.501518,2025-05-05 02:37:06.501553,0 days 00:00:00.000035,COMPLETE
2,2,0.0,2025-05-05 02:37:06.501674,2025-05-05 02:37:06.501703,0 days 00:00:00.000029,COMPLETE
3,3,0.0,2025-05-05 02:37:06.501811,2025-05-05 02:37:06.501838,0 days 00:00:00.000027,COMPLETE
4,4,0.0,2025-05-05 02:37:06.501943,2025-05-05 02:37:06.501969,0 days 00:00:00.000026,COMPLETE
5,5,0.0,2025-05-05 02:37:06.502072,2025-05-05 02:37:06.502097,0 days 00:00:00.000025,COMPLETE
6,6,0.0,2025-05-05 02:37:06.502200,2025-05-05 02:37:06.502224,0 days 00:00:00.000024,COMPLETE
7,7,0.0,2025-05-05 02:37:06.502325,2025-05-05 02:37:06.502349,0 days 00:00:00.000024,COMPLETE
8,8,0.0,2025-05-05 02:37:06.502451,2025-05-05 02:37:06.502475,0 days 00:00:00.000024,COMPLETE
9,9,0.0,2025-05-05 02:37:06.502576,2025-05-05 02:37:06.502600,0 days 00:00:00.000024,COMPLETE
10,10,0.0,2025-05-05 02:37:06.502700,2025-05-05 02:37:06.502724,0 days 00:00:00.000024,COMPLETE
11,11,0.0,2025-05-05 02:37:06.502825,2025-05-05 02:37:06.502849,0 days 00:00:00.000024,COMPLETE
12,12,0.0,2025-05-05 02:37:06.502952,2025-05-05 02:37:06.502976,0 days 00:00:00.000024,COMPLETE
13,13,0.0,2025-05-05 02:37:06.503075,2025-05-05 02:37:06.503098,0 days 00:00:00.000023,COMPLETE
14,14,0.0,2025-05-05 02:37:06.503196,2025-05-05 02:37:06.503220,0 days 00:00:00.000024,COMPLETE
15,15,0.0,2025-05-05 02:37:06.503320,2025-05-05 02:37:06.503345,0 days 00:00:00.000025,COMPLETE
16,16,0.0,2025-05-05 02:37:06.503448,2025-05-05 02:37:06.503471,0 days 00:00:00.000023,COMPLETE
17,17,0.0,2025-05-05 02:37:06.503571,2025-05-05 02:37:06.503594,0 days 00:00:00.000023,COMPLETE
18,18,0.0,2025-05-05 02:37:06.503692,2025-05-05 02:37:06.503715,0 days 00:00:00.000023,COMPLETE
19,19,0.0,2025-05-05 02:37:06.503813,2025-05-05 02:37:06.503836,0 days 00:00:00.000023,COMPLETE
20,20,0.0,2025-05-05 02:37:06.911966,2025-05-05 02:37:06.912026,0 days 00:00:00.000060,COMPLETE
21,21,0.0,2025-05-05 02:37:06.912173,2025-05-05 02:37:06.912203,0 days 00:00:00.000030,COMPLETE
22,22,0.0,2025-05-05 02:37:06.912319,2025-05-05 02:37:06.912345,0 days 00:00:00.000026,COMPLETE
23,23,0.0,2025-05-05 02:37:06.912461,2025-05-05 02:37:06.912488,0 days 00:00:00.000027,COMPLETE
24,24,0.0,2025-05-05 02:37:06.912595,2025-05-05 02:37:06.912620,0 days 00:00:00.000025,COMPLETE
25,25,0.0,2025-05-05 02:37:06.912722,2025-05-05 02:37:06.912746,0 days 00:00:00.000024,COMPLETE
26,26,0.0,2025-05-05 02:37:06.912848,2025-05-05 02:37:06.912871,0 days 00:00:00.000023,COMPLETE
27,27,0.0,2025-05-05 02:37:06.912973,2025-05-05 02:37:06.912996,0 days 00:00:00.000023,COMPLETE
28,28,0.0,2025-05-05 02:37:06.913096,2025-05-05 02:37:06.913119,0 days 00:00:00.000023,COMPLETE
29,29,0.0,2025-05-05 02:37:06.913218,2025-05-05 02:37:06.913242,0 days 00:00:00.000024,COMPLETE
