,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,,2025-07-03 23:06:16.930780,2025-07-03 23:26:16.948682,0 days 00:20:00.017902,0.34,0.26,3500,PRUNED
1,1,,2025-07-03 23:26:16.949178,2025-07-03 23:46:16.952131,0 days 00:20:00.002953,0.53,0.45,4500,PRUNED
2,2,0.0024279598747683853,2025-07-03 23:46:16.953073,2025-07-03 23:52:59.676064,0 days 00:06:42.722991,0.65,0.61,3000,COMPLETE
3,3,0.185099757813401,2025-07-03 23:52:59.676568,2025-07-04 00:09:22.127894,0 days 00:16:22.451326,0.49000000000000005,0.48000000000000004,3500,COMPLETE
4,4,,2025-07-04 00:09:22.128754,2025-07-04 00:29:22.600308,0 days 00:20:00.471554,0.24000000000000002,0.15000000000000002,5000,PRUNED
5,5,0.0026831917204369767,2025-07-04 00:29:22.601153,2025-07-04 00:35:50.912038,0 days 00:06:28.310885,0.65,0.6,3500,COMPLETE
6,6,,2025-07-04 00:35:50.935235,2025-07-04 00:55:50.983668,0 days 00:20:00.048433,0.2,0.13,3000,PRUNED
7,7,,2025-07-04 00:55:50.984034,2025-07-04 01:15:51.081793,0 days 00:20:00.097759,0.03,0.02,5000,PRUNED
8,8,,2025-07-04 01:15:51.082718,2025-07-04 01:35:51.084329,0 days 00:20:00.001611,0.51,0.46,5000,PRUNED
9,9,,2025-07-04 01:35:51.085213,2025-07-04 01:55:51.088993,0 days 00:20:00.003780,0.55,0.47000000000000003,4000,PRUNED
10,10,,2025-07-04 01:55:51.089810,2025-07-04 02:15:51.116069,0 days 00:20:00.026259,0.41000000000000003,0.34,4000,PRUNED
11,11,0.0008955414827608265,2025-07-04 02:15:51.116967,2025-07-04 02:20:34.688835,0 days 00:04:43.571868,0.75,0.65,3500,COMPLETE
12,12,0.0023009075802121947,2025-07-04 02:20:34.689817,2025-07-04 02:31:16.724510,0 days 00:10:42.034693,0.65,0.55,3500,COMPLETE
13,13,0.0038309283616396374,2025-07-04 02:31:16.726335,2025-07-04 02:44:06.135136,0 days 00:12:49.408801,0.63,0.53,3500,COMPLETE
14,14,,2025-07-04 02:44:06.136065,2025-07-04 03:04:06.148809,0 days 00:20:00.012744,0.41000000000000003,0.34,3000,PRUNED
15,15,0.02211830131445905,2025-07-04 03:04:06.149903,2025-07-04 03:22:35.622931,0 days 00:18:29.473028,0.58,0.49,4000,COMPLETE
16,16,,2025-07-04 03:22:35.624747,2025-07-04 03:42:35.628205,0 days 00:20:00.003458,0.47000000000000003,0.4,4500,PRUNED
17,17,0.01598173515981735,2025-07-04 03:42:35.629103,2025-07-04 03:58:24.833333,0 days 00:15:49.204230,0.5900000000000001,0.52,4500,COMPLETE
18,18,,2025-07-04 03:58:24.834387,2025-07-04 04:18:24.894751,0 days 00:20:00.060364,0.32,0.26,4000,PRUNED
19,19,,2025-07-04 04:18:24.895700,2025-07-04 04:38:24.906472,0 days 00:20:00.010772,0.46,0.4,4000,PRUNED
20,20,,2025-07-04 04:38:24.908176,2025-07-04 04:58:24.910417,0 days 00:20:00.002241,0.34,0.27,4500,PRUNED
21,21,0.011316676203191555,2025-07-04 04:58:24.911392,2025-07-04 05:12:33.851674,0 days 00:14:08.940282,0.6000000000000001,0.53,4500,COMPLETE
22,22,0.021618204804045513,2025-07-04 05:12:33.853401,2025-07-04 05:29:20.682937,0 days 00:16:46.829536,0.58,0.5,4500,COMPLETE
23,23,,2025-07-04 05:29:20.684037,2025-07-04 05:49:20.685880,0 days 00:20:00.001843,0.44,0.4,4000,PRUNED
24,24,0.04408642437866867,2025-07-04 05:49:20.687738,2025-07-04 06:08:30.279998,0 days 00:19:09.592260,0.56,0.48000000000000004,3500,COMPLETE
25,25,0.004211601046519048,2025-07-04 06:08:30.280536,2025-07-04 06:15:21.937340,0 days 00:06:51.656804,0.6300000000000001,0.5800000000000001,3500,COMPLETE
26,26,,2025-07-04 06:15:21.937864,2025-07-04 06:35:21.940979,0 days 00:20:00.003115,0.48000000000000004,0.42000000000000004,3000,PRUNED
27,27,0.0011512631915574032,2025-07-04 06:35:21.941333,2025-07-04 06:39:29.780475,0 days 00:04:07.839142,0.72,0.65,3500,COMPLETE
28,28,,2025-07-04 06:39:29.780932,2025-07-04 06:59:29.782219,0 days 00:20:00.001287,0.39,0.33,4000,PRUNED
29,29,0.04421959902566985,2025-07-04 06:59:29.783029,2025-07-04 07:14:30.730089,0 days 00:15:00.947060,0.56,0.49,3500,COMPLETE
