,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9977,2025-04-28 17:31:15.852961,2025-04-28 17:36:59.507168,0 days 00:05:43.654207,64,20,128,0.005,0.89,2,,,,COMPLETE
1,1,0.9988,2025-04-28 17:36:59.507648,2025-04-28 17:41:03.294363,0 days 00:04:03.786715,128,20,128,0.005,0.9,2,0.9987,0.9987,0.9987,COMPLETE
2,2,0.9992,2025-04-28 17:41:03.294786,2025-04-28 17:43:49.402009,0 days 00:02:46.107223,1024,20,128,0.005,0.89,2,,,,COMPLETE
3,3,0.9995,2025-04-28 17:43:49.402376,2025-04-28 17:46:46.174390,0 days 00:02:56.772014,512,20,128,0.002,0.9299999999999999,2,,,,COMPLETE
4,4,0.9981,2025-04-28 17:46:46.174818,2025-04-28 17:53:26.811006,0 days 00:06:40.636188,32,20,128,0.002,0.97,2,0.9981,,,PRUNED
5,5,0.9986,2025-04-28 17:53:26.811302,2025-04-28 18:03:07.405533,0 days 00:09:40.594231,32,20,128,0.001,0.95,2,0.9986,0.9986,,COMPLETE
6,6,0.9988,2025-04-28 18:03:07.405937,2025-04-28 18:07:06.116108,0 days 00:03:58.710171,128,20,128,0.005,0.87,2,,,,COMPLETE
7,7,0.9992,2025-04-28 18:07:06.116533,2025-04-28 18:09:59.352925,0 days 00:02:53.236392,512,20,128,0.005,0.9199999999999999,2,,,,COMPLETE
8,8,0.9988,2025-04-28 18:09:59.353374,2025-04-28 18:19:20.373623,0 days 00:09:21.020249,32,20,128,0.001,0.9099999999999999,2,,,,COMPLETE
9,9,0.9989,2025-04-28 18:19:20.374062,2025-04-28 18:28:46.615414,0 days 00:09:26.241352,32,20,128,0.001,0.95,2,,,,COMPLETE
10,10,0.9995,2025-04-28 18:28:46.615840,2025-04-28 18:31:44.806461,0 days 00:02:58.190621,512,20,128,0.002,0.85,2,,,,COMPLETE
11,11,0.9994,2025-04-28 18:31:44.806932,2025-04-28 18:34:41.062295,0 days 00:02:56.255363,512,20,128,0.002,0.86,2,,,,COMPLETE
12,12,0.9994,2025-04-28 18:34:41.062728,2025-04-28 18:37:41.744823,0 days 00:03:00.682095,512,20,128,0.002,0.94,2,,,,COMPLETE
13,13,0.9995,2025-04-28 18:37:41.745250,2025-04-28 18:40:58.180430,0 days 00:03:16.435180,256,20,128,0.002,0.99,2,,,,COMPLETE
14,14,0.9995,2025-04-28 18:40:58.180866,2025-04-28 18:43:54.242030,0 days 00:02:56.061164,512,20,128,0.002,0.85,2,,,,COMPLETE
15,15,0.9995,2025-04-28 18:43:54.242468,2025-04-28 18:46:48.319036,0 days 00:02:54.076568,512,20,128,0.002,0.9299999999999999,2,,,,COMPLETE
16,16,0.9993,2025-04-28 18:46:48.319485,2025-04-28 18:50:02.734810,0 days 00:03:14.415325,256,20,128,0.002,0.88,2,,,,COMPLETE
17,17,0.9985,2025-04-28 18:50:02.735256,2025-04-28 18:55:24.231601,0 days 00:05:21.496345,64,20,128,0.002,0.97,2,0.9985,,,PRUNED
18,18,0.9994,2025-04-28 18:55:24.231876,2025-04-28 18:58:23.048430,0 days 00:02:58.816554,1024,20,128,0.002,0.9199999999999999,2,,,,COMPLETE
19,19,0.9994,2025-04-28 18:58:23.048890,2025-04-28 19:01:12.625370,0 days 00:02:49.576480,512,20,128,0.002,0.9,2,0.9994,0.9994,0.9994,COMPLETE
20,20,0.9994,2025-04-28 19:01:12.625817,2025-04-28 19:04:04.226615,0 days 00:02:51.600798,512,20,128,0.001,0.85,2,,,,COMPLETE
21,21,0.9994,2025-04-28 19:04:04.227085,2025-04-28 19:07:09.838417,0 days 00:03:05.611332,256,20,128,0.002,0.98,2,,,,COMPLETE
22,22,0.9994,2025-04-28 19:07:09.838874,2025-04-28 19:10:16.502372,0 days 00:03:06.663498,256,20,128,0.002,0.99,2,,,,COMPLETE
23,23,0.9994,2025-04-28 19:10:16.502817,2025-04-28 19:13:20.852474,0 days 00:03:04.349657,256,20,128,0.002,0.96,2,,,,COMPLETE
24,24,0.9993,2025-04-28 19:13:20.852911,2025-04-28 19:16:24.479785,0 days 00:03:03.626874,256,20,128,0.002,0.99,2,,,,COMPLETE
25,25,0.9995,2025-04-28 19:16:24.480222,2025-04-28 19:19:16.008724,0 days 00:02:51.528502,512,20,128,0.002,0.94,2,,,,COMPLETE
26,26,0.9986,2025-04-28 19:19:16.009188,2025-04-28 19:24:54.130961,0 days 00:05:38.121773,64,20,128,0.002,0.9299999999999999,2,0.9986,,,COMPLETE
27,27,0.9989,2025-04-28 19:24:54.131371,2025-04-28 19:28:45.874324,0 days 00:03:51.742953,128,20,128,0.002,0.87,2,0.9989,,,PRUNED
28,28,0.9994,2025-04-28 19:28:45.874613,2025-04-28 19:31:44.758130,0 days 00:02:58.883517,1024,20,128,0.001,0.97,2,,,,COMPLETE
29,29,0.9987,2025-04-28 19:31:44.758596,2025-04-28 19:37:22.019743,0 days 00:05:37.261147,64,20,128,0.002,0.89,2,0.9987,0.9987,,COMPLETE
