,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.04634409001448253,2025-04-28 17:09:56.309825,2025-04-28 17:10:18.558974,0 days 00:00:22.249149,3.8906,75,1.4256903990745509,COMPLETE
1,1,0.05981071667311684,2025-04-28 17:10:18.559220,2025-04-28 17:10:40.804893,0 days 00:00:22.245673,3.8906,89,0.9225730519828786,COMPLETE
2,2,0.17552765898744654,2025-04-28 17:10:40.805127,2025-04-28 17:11:03.061123,0 days 00:00:22.255996,3.8906,74,0.234473250452717,COMPLETE
3,3,0.16750380947006038,2025-04-28 17:11:03.061308,2025-04-28 17:11:25.334901,0 days 00:00:22.273593,3.8906,92,0.320309013207497,COMPLETE
4,4,0.05949833362567971,2025-04-28 17:11:25.335125,2025-04-28 17:11:47.586671,0 days 00:00:22.251546,3.8906,62,0.9465022847419425,COMPLETE
5,5,0.04375240292195309,2025-04-28 17:11:47.586908,2025-04-28 17:12:09.903023,0 days 00:00:22.316115,3.8906,129,1.5394712336869936,COMPLETE
6,6,0.05941850220264317,2025-04-28 17:12:09.903227,2025-04-28 17:12:32.268531,0 days 00:00:22.365304,3.8906,94,0.9882411731494213,COMPLETE
7,7,0.05117414991546121,2025-04-28 17:12:32.268746,2025-04-28 17:12:54.632296,0 days 00:00:22.363550,3.8906,149,1.3791705514476427,COMPLETE
8,8,0.032328767123287666,2025-04-28 17:12:54.632516,2025-04-28 17:13:17.054680,0 days 00:00:22.422164,3.8906,185,1.6366000293906473,COMPLETE
9,9,0.048033004272874616,2025-04-28 17:13:17.054886,2025-04-28 17:13:39.473058,0 days 00:00:22.418172,3.8906,74,1.3372951474559147,COMPLETE
10,10,0.04637381567614126,2025-04-28 17:13:39.473270,2025-04-28 17:14:01.898100,0 days 00:00:22.424830,3.8906,24,0.30971711052710615,COMPLETE
11,11,0.09957424624207144,2025-04-28 17:14:01.898314,2025-04-28 17:14:24.165501,0 days 00:00:22.267187,3.8906,41,0.12901042068222968,COMPLETE
12,12,0.14336760280842525,2025-04-28 17:14:24.165720,2025-04-28 17:14:46.428208,0 days 00:00:22.262488,3.8906,126,0.48950697283997613,COMPLETE
13,13,0.11351001939237233,2025-04-28 17:14:46.428422,2025-04-28 17:15:08.793151,0 days 00:00:22.364729,3.8906,116,0.5769511868168213,COMPLETE
14,14,0.06976199243463997,2025-04-28 17:15:08.793367,2025-04-28 17:15:31.240865,0 days 00:00:22.447498,3.8906,59,0.6832872106363475,COMPLETE
15,15,0.03559465676580975,2025-04-28 17:15:31.241083,2025-04-28 17:15:53.503567,0 days 00:00:22.262484,3.8906,107,1.9937767880366635,COMPLETE
16,16,0.26567469944471406,2025-04-28 17:15:53.503791,2025-04-28 17:16:15.842327,0 days 00:00:22.338536,3.8906,150,0.15716021945027914,COMPLETE
17,17,0.24474708171206228,2025-04-28 17:16:15.842543,2025-04-28 17:16:38.248546,0 days 00:00:22.406003,3.8906,160,0.19846352229405684,COMPLETE
18,18,0.047775501526806076,2025-04-28 17:16:38.248770,2025-04-28 17:17:00.515419,0 days 00:00:22.266649,3.8906,180,0.7418679798533564,COMPLETE
19,19,0.1396270322966131,2025-04-28 17:17:00.515660,2025-04-28 17:17:22.779399,0 days 00:00:22.263739,3.8906,158,0.46168880303845117,COMPLETE
20,20,0.33392838926859125,2025-04-28 17:17:22.779615,2025-04-28 17:17:45.041057,0 days 00:00:22.261442,3.8906,157,0.10103254183070332,COMPLETE
21,21,0.3216383307573416,2025-04-28 17:17:45.041283,2025-04-28 17:18:07.303585,0 days 00:00:22.262302,3.8906,157,0.10936016673944679,COMPLETE
