,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.9987504405498061,2025-04-28 17:02:59.864423,2025-04-28 17:03:02.949283,0 days 00:00:03.084860,0.0017525910408553158,,300,l1,0.0007494038999553293,COMPLETE
1,1,0.9993918248455556,2025-04-28 17:03:02.949672,2025-04-28 17:03:04.343892,0 days 00:00:01.394220,6.364691591890874,balanced,100,l1,0.00789951766337853,COMPLETE
2,2,0.999167733674776,2025-04-28 17:03:04.344308,2025-04-28 17:03:23.009267,0 days 00:00:18.664959,800.9523363396817,balanced,1000,l2,0.00011389198685040398,COMPLETE
3,3,0.998624396173902,2025-04-28 17:03:23.009605,2025-04-28 17:03:25.315969,0 days 00:00:02.306364,4.77066332915497,,900,l1,0.00013623093147462716,COMPLETE
4,4,0.999327720331658,2025-04-28 17:03:25.316292,2025-04-28 17:03:29.447199,0 days 00:00:04.130907,516.3070856440853,balanced,700,l2,0.010852432694645022,COMPLETE
5,5,0.9991358064206382,2025-04-28 17:03:29.447527,2025-04-28 17:03:33.768220,0 days 00:00:04.320693,902.1937964429568,balanced,600,l2,0.0019406498736849614,COMPLETE
6,6,0.9992314589470987,2025-04-28 17:03:33.768540,2025-04-28 17:03:39.429452,0 days 00:00:05.660912,30.295426931475113,,800,l2,0.00023441230303766162,COMPLETE
7,7,0.9982091461464663,2025-04-28 17:03:39.429788,2025-04-28 17:03:42.254819,0 days 00:00:02.825031,96.53968880484967,balanced,200,l1,0.0001190713354790583,COMPLETE
8,8,0.9992314589470987,2025-04-28 17:03:42.255143,2025-04-28 17:03:47.000324,0 days 00:00:04.745181,0.013638858742783542,,600,l2,0.004242939189422658,COMPLETE
9,9,0.99862422012478,2025-04-28 17:03:47.000667,2025-04-28 17:03:49.010431,0 days 00:00:02.009764,46.66124717750055,,100,l1,0.00015286135308362526,COMPLETE
10,10,0.9974112307839815,2025-04-28 17:03:49.010738,2025-04-28 17:03:50.313151,0 days 00:00:01.302413,0.14659550910791383,balanced,400,l1,0.0993243987143168,COMPLETE
11,11,0.9992956844666411,2025-04-28 17:03:50.313479,2025-04-28 17:03:54.006295,0 days 00:00:03.692816,1.4316244806488911,balanced,700,l2,0.017082149187546268,COMPLETE
12,12,0.9992637408367745,2025-04-28 17:03:54.006636,2025-04-28 17:03:55.366339,0 days 00:00:01.359703,0.2535005516566699,balanced,400,l1,0.013811294813126939,COMPLETE
