,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.09287870715681053,2025-04-28 18:02:24.222252,2025-04-28 18:02:24.888781,0 days 00:00:00.666529,3.8906,16,1.5652780407907485,COMPLETE
1,1,0.08310693998518154,2025-04-28 18:02:24.888993,2025-04-28 18:02:25.558672,0 days 00:00:00.669679,3.8906,21,1.4018310980118258,COMPLETE
2,2,0.015102254850550601,2025-04-28 18:02:25.558863,2025-04-28 18:02:26.226823,0 days 00:00:00.667960,3.8906,23,1.2917654964140322,COMPLETE
3,3,0.012365095721026086,2025-04-28 18:02:26.227006,2025-04-28 18:02:26.893915,0 days 00:00:00.666909,3.8906,22,1.4234942733979967,COMPLETE
4,4,0.018471096931279123,2025-04-28 18:02:26.894102,2025-04-28 18:02:27.561185,0 days 00:00:00.667083,3.8906,6,0.43858700293721753,COMPLETE
5,5,0.33837975760153094,2025-04-28 18:02:27.561376,2025-04-28 18:02:28.229050,0 days 00:00:00.667674,3.8906,11,0.8464786456800599,COMPLETE
6,6,0.45454396028863064,2025-04-28 18:02:28.229234,2025-04-28 18:02:28.895138,0 days 00:00:00.665904,3.8906,8,0.31083637202910697,COMPLETE
7,7,0.006291578567376618,2025-04-28 18:02:28.895316,2025-04-28 18:02:29.562684,0 days 00:00:00.667368,3.8906,6,0.935187335834593,COMPLETE
8,8,0.3067740723736383,2025-04-28 18:02:29.562920,2025-04-28 18:02:30.230391,0 days 00:00:00.667471,3.8906,12,0.7794731548680631,COMPLETE
9,9,0.08031607864925763,2025-04-28 18:02:30.230569,2025-04-28 18:02:30.898474,0 days 00:00:00.667905,3.8906,17,1.6582350807040112,COMPLETE
10,10,0.05711256874047572,2025-04-28 18:02:30.898665,2025-04-28 18:02:31.569932,0 days 00:00:00.671267,3.8906,30,0.2807601013066822,COMPLETE
11,11,0.3945002052162233,2025-04-28 18:02:31.570120,2025-04-28 18:02:32.241878,0 days 00:00:00.671758,3.8906,11,0.5821900580347936,COMPLETE
12,12,0.47815800460808117,2025-04-28 18:02:32.242147,2025-04-28 18:02:32.912113,0 days 00:00:00.669966,3.8906,10,0.1065452202559064,COMPLETE
13,13,0.47545274691827727,2025-04-28 18:02:32.912303,2025-04-28 18:02:33.585808,0 days 00:00:00.673505,3.8906,3,0.13249751479210087,COMPLETE
14,14,0.4751959814293326,2025-04-28 18:02:33.586001,2025-04-28 18:02:34.254588,0 days 00:00:00.668587,3.8906,3,0.19788154603485192,COMPLETE
15,15,0.4754991477964451,2025-04-28 18:02:34.254776,2025-04-28 18:02:34.924089,0 days 00:00:00.669313,3.8906,3,0.12285325271346108,COMPLETE
16,16,0.38336439717867193,2025-04-28 18:02:34.924276,2025-04-28 18:02:35.594550,0 days 00:00:00.670274,3.8906,8,0.5983885928258093,COMPLETE
17,17,0.06625042290775998,2025-04-28 18:02:35.594742,2025-04-28 18:02:36.267511,0 days 00:00:00.672769,3.8906,14,1.9208792073950196,COMPLETE
18,18,0.4010415744070288,2025-04-28 18:02:36.267714,2025-04-28 18:02:36.938939,0 days 00:00:00.671225,3.8906,7,0.5158399377239836,COMPLETE
19,19,0.3862433862433863,2025-04-28 18:02:36.939130,2025-04-28 18:02:37.610645,0 days 00:00:00.671515,3.8906,3,1.1964163689654477,COMPLETE
20,20,0.34798648596171017,2025-04-28 18:02:37.610834,2025-04-28 18:02:38.281295,0 days 00:00:00.670461,3.8906,10,0.7100972443142002,COMPLETE
21,21,0.4754991477964451,2025-04-28 18:02:38.281486,2025-04-28 18:02:38.950799,0 days 00:00:00.669313,3.8906,3,0.10967576484316569,COMPLETE
22,22,0.475475947710429,2025-04-28 18:02:38.950997,2025-04-28 18:02:39.619566,0 days 00:00:00.668569,3.8906,4,0.1302800049642663,COMPLETE
23,23,0.44089435173081165,2025-04-28 18:02:39.619867,2025-04-28 18:02:40.288740,0 days 00:00:00.668873,3.8906,8,0.38617088313403614,COMPLETE
24,24,0.02796588454921483,2025-04-28 18:02:40.288931,2025-04-28 18:02:40.959735,0 days 00:00:00.670804,3.8906,6,0.31438546450235083,COMPLETE
25,25,0.2080586453534248,2025-04-28 18:02:40.959928,2025-04-28 18:02:41.632322,0 days 00:00:00.672394,3.8906,14,1.0311688598611866,COMPLETE
26,26,0.4754919117982743,2025-04-28 18:02:41.632510,2025-04-28 18:02:42.302825,0 days 00:00:00.670315,3.8906,5,0.10143035453078533,COMPLETE
27,27,0.4250255840979654,2025-04-28 18:02:42.303016,2025-04-28 18:02:42.974406,0 days 00:00:00.671390,3.8906,9,0.41973833530422294,COMPLETE
28,28,0.44338820233151555,2025-04-28 18:02:42.974602,2025-04-28 18:02:43.645474,0 days 00:00:00.670872,3.8906,13,0.2700213543955148,COMPLETE
29,29,0.212797619047619,2025-04-28 18:02:43.645665,2025-04-28 18:02:44.317272,0 days 00:00:00.671607,3.8906,18,0.6798186347641455,COMPLETE
30,30,0.473934869352555,2025-04-28 18:02:44.317467,2025-04-28 18:02:44.987901,0 days 00:00:00.670434,3.8906,5,0.4860120733103364,COMPLETE
31,31,0.4754919117982743,2025-04-28 18:02:44.988097,2025-04-28 18:02:45.657524,0 days 00:00:00.669427,3.8906,4,0.10844896577948229,COMPLETE
32,32,0.47471101567140317,2025-04-28 18:02:45.657716,2025-04-28 18:02:46.326613,0 days 00:00:00.668897,3.8906,5,0.2163756696286401,COMPLETE
33,33,0.17028362982739023,2025-04-28 18:02:46.326804,2025-04-28 18:02:46.998555,0 days 00:00:00.671751,3.8906,26,0.10704963775073084,COMPLETE
34,34,0.4774390433780712,2025-04-28 18:02:46.998750,2025-04-28 18:02:47.670170,0 days 00:00:00.671420,3.8906,5,0.3610286327226797,COMPLETE
35,35,0.44176515602414757,2025-04-28 18:02:47.670369,2025-04-28 18:02:48.341970,0 days 00:00:00.671601,3.8906,9,0.3641890605722884,COMPLETE
36,36,0.3599874936491187,2025-04-28 18:02:48.342164,2025-04-28 18:02:49.012686,0 days 00:00:00.670522,3.8906,20,0.23403151799710617,COMPLETE
37,37,0.4050449814782149,2025-04-28 18:02:49.012879,2025-04-28 18:02:49.682172,0 days 00:00:00.669293,3.8906,7,0.5031337167263278,COMPLETE
38,38,0.47640803222769296,2025-04-28 18:02:49.682369,2025-04-28 18:02:50.352863,0 days 00:00:00.670494,3.8906,3,0.38239224566374713,COMPLETE
39,39,0.37188589366866825,2025-04-28 18:02:50.353058,2025-04-28 18:02:51.023436,0 days 00:00:00.670378,3.8906,7,0.6092086956241709,COMPLETE
