,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-04-29 04:54:54.145901,2025-04-29 04:54:54.145977,0 days 00:00:00.000076,COMPLETE
1,1,0.0,2025-04-29 04:54:54.146165,2025-04-29 04:54:54.146205,0 days 00:00:00.000040,COMPLETE
2,2,0.0,2025-04-29 04:54:54.146364,2025-04-29 04:54:54.146402,0 days 00:00:00.000038,COMPLETE
3,3,0.0,2025-04-29 04:54:54.146558,2025-04-29 04:54:54.146595,0 days 00:00:00.000037,COMPLETE
4,4,0.0,2025-04-29 04:54:54.146749,2025-04-29 04:54:54.146787,0 days 00:00:00.000038,COMPLETE
5,5,0.0,2025-04-29 04:54:54.146941,2025-04-29 04:54:54.146979,0 days 00:00:00.000038,COMPLETE
6,6,0.0,2025-04-29 04:54:54.147131,2025-04-29 04:54:54.147168,0 days 00:00:00.000037,COMPLETE
7,7,0.0,2025-04-29 04:54:54.147319,2025-04-29 04:54:54.147357,0 days 00:00:00.000038,COMPLETE
8,8,0.0,2025-04-29 04:54:54.147509,2025-04-29 04:54:54.147546,0 days 00:00:00.000037,COMPLETE
9,9,0.0,2025-04-29 04:54:54.147701,2025-04-29 04:54:54.147739,0 days 00:00:00.000038,COMPLETE
10,10,0.0,2025-04-29 04:54:54.147891,2025-04-29 04:54:54.147929,0 days 00:00:00.000038,COMPLETE
11,11,0.0,2025-04-29 04:54:54.148083,2025-04-29 04:54:54.148120,0 days 00:00:00.000037,COMPLETE
12,12,0.0,2025-04-29 04:54:54.148274,2025-04-29 04:54:54.148311,0 days 00:00:00.000037,COMPLETE
13,13,0.0,2025-04-29 04:54:54.148464,2025-04-29 04:54:54.148501,0 days 00:00:00.000037,COMPLETE
14,14,0.0,2025-04-29 04:54:54.148653,2025-04-29 04:54:54.148690,0 days 00:00:00.000037,COMPLETE
15,15,0.0,2025-04-29 04:54:54.148843,2025-04-29 04:54:54.148880,0 days 00:00:00.000037,COMPLETE
16,16,0.0,2025-04-29 04:54:54.149032,2025-04-29 04:54:54.149068,0 days 00:00:00.000036,COMPLETE
17,17,0.0,2025-04-29 04:54:54.149219,2025-04-29 04:54:54.149256,0 days 00:00:00.000037,COMPLETE
18,18,0.0,2025-04-29 04:54:54.149427,2025-04-29 04:54:54.149466,0 days 00:00:00.000039,COMPLETE
19,19,0.0,2025-04-29 04:54:54.149622,2025-04-29 04:54:54.149659,0 days 00:00:00.000037,COMPLETE
20,20,0.0,2025-04-29 04:54:54.149813,2025-04-29 04:54:54.149850,0 days 00:00:00.000037,COMPLETE
21,21,0.0,2025-04-29 04:54:54.150001,2025-04-29 04:54:54.150040,0 days 00:00:00.000039,COMPLETE
22,22,0.0,2025-04-29 04:54:54.150190,2025-04-29 04:54:54.150228,0 days 00:00:00.000038,COMPLETE
23,23,0.0,2025-04-29 04:54:54.150378,2025-04-29 04:54:54.150415,0 days 00:00:00.000037,COMPLETE
24,24,0.0,2025-04-29 04:54:54.150565,2025-04-29 04:54:54.150603,0 days 00:00:00.000038,COMPLETE
25,25,0.0,2025-04-29 04:54:54.150756,2025-04-29 04:54:54.150793,0 days 00:00:00.000037,COMPLETE
26,26,0.0,2025-04-29 04:54:54.150946,2025-04-29 04:54:54.150983,0 days 00:00:00.000037,COMPLETE
27,27,0.0,2025-04-29 04:54:54.151135,2025-04-29 04:54:54.151172,0 days 00:00:00.000037,COMPLETE
28,28,0.0,2025-04-29 04:54:54.151324,2025-04-29 04:54:54.151361,0 days 00:00:00.000037,COMPLETE
29,29,0.0,2025-04-29 04:54:54.151512,2025-04-29 04:54:54.151550,0 days 00:00:00.000038,COMPLETE
