,number,value,datetime_start,datetime_complete,duration,state
0,0,0.0,2025-05-03 19:57:48.844899,2025-05-03 19:57:48.844969,0 days 00:00:00.000070,COMPLETE
1,1,0.0,2025-05-03 19:57:48.845137,2025-05-03 19:57:48.845170,0 days 00:00:00.000033,COMPLETE
2,2,0.0,2025-05-03 19:57:48.845290,2025-05-03 19:57:48.845319,0 days 00:00:00.000029,COMPLETE
3,3,0.0,2025-05-03 19:57:48.845431,2025-05-03 19:57:48.845458,0 days 00:00:00.000027,COMPLETE
4,4,0.0,2025-05-03 19:57:48.845567,2025-05-03 19:57:48.845593,0 days 00:00:00.000026,COMPLETE
5,5,0.0,2025-05-03 19:57:48.845701,2025-05-03 19:57:48.845726,0 days 00:00:00.000025,COMPLETE
6,6,0.0,2025-05-03 19:57:48.845832,2025-05-03 19:57:48.845856,0 days 00:00:00.000024,COMPLETE
7,7,0.0,2025-05-03 19:57:48.845962,2025-05-03 19:57:48.845989,0 days 00:00:00.000027,COMPLETE
8,8,0.0,2025-05-03 19:57:48.846096,2025-05-03 19:57:48.846119,0 days 00:00:00.000023,COMPLETE
9,9,0.0,2025-05-03 19:57:48.846224,2025-05-03 19:57:48.846247,0 days 00:00:00.000023,COMPLETE
10,10,0.0,2025-05-03 19:57:48.846352,2025-05-03 19:57:48.846376,0 days 00:00:00.000024,COMPLETE
11,11,0.0,2025-05-03 19:57:48.846483,2025-05-03 19:57:48.846507,0 days 00:00:00.000024,COMPLETE
12,12,0.0,2025-05-03 19:57:48.846612,2025-05-03 19:57:48.846636,0 days 00:00:00.000024,COMPLETE
13,13,0.0,2025-05-03 19:57:48.846750,2025-05-03 19:57:48.846775,0 days 00:00:00.000025,COMPLETE
14,14,0.0,2025-05-03 19:57:48.846882,2025-05-03 19:57:48.846905,0 days 00:00:00.000023,COMPLETE
15,15,0.0,2025-05-03 19:57:48.847010,2025-05-03 19:57:48.847034,0 days 00:00:00.000024,COMPLETE
16,16,0.0,2025-05-03 19:57:48.847139,2025-05-03 19:57:48.847163,0 days 00:00:00.000024,COMPLETE
17,17,0.0,2025-05-03 19:57:48.847266,2025-05-03 19:57:48.847289,0 days 00:00:00.000023,COMPLETE
18,18,0.0,2025-05-03 19:57:48.847392,2025-05-03 19:57:48.847415,0 days 00:00:00.000023,COMPLETE
19,19,0.0,2025-05-03 19:57:48.847519,2025-05-03 19:57:48.847542,0 days 00:00:00.000023,COMPLETE
20,20,0.0,2025-05-03 19:57:48.847645,2025-05-03 19:57:48.847667,0 days 00:00:00.000022,COMPLETE
21,21,0.0,2025-05-03 19:57:48.847771,2025-05-03 19:57:48.847794,0 days 00:00:00.000023,COMPLETE
22,22,0.0,2025-05-03 19:57:48.847904,2025-05-03 19:57:48.847929,0 days 00:00:00.000025,COMPLETE
23,23,0.0,2025-05-03 19:57:48.848036,2025-05-03 19:57:48.848060,0 days 00:00:00.000024,COMPLETE
24,24,0.0,2025-05-03 19:57:48.848166,2025-05-03 19:57:48.848191,0 days 00:00:00.000025,COMPLETE
25,25,0.0,2025-05-03 19:57:48.848297,2025-05-03 19:57:48.848321,0 days 00:00:00.000024,COMPLETE
26,26,0.0,2025-05-03 19:57:48.848454,2025-05-03 19:57:48.848479,0 days 00:00:00.000025,COMPLETE
27,27,0.0,2025-05-03 19:57:48.848586,2025-05-03 19:57:48.848609,0 days 00:00:00.000023,COMPLETE
28,28,0.0,2025-05-03 19:57:48.848714,2025-05-03 19:57:48.848737,0 days 00:00:00.000023,COMPLETE
29,29,0.0,2025-05-03 19:57:48.848840,2025-05-03 19:57:48.848863,0 days 00:00:00.000023,COMPLETE
