,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.10755679184051922,2025-07-04 23:43:18.754124,2025-07-04 23:50:46.361625,0 days 00:07:27.607501,0.51,0.46,5000,COMPLETE
1,1,,2025-07-04 23:50:46.361906,2025-07-05 00:12:32.837147,0 days 00:21:46.475241,0.44,0.37,4500,PRUNED
2,2,,2025-07-05 00:12:32.837369,2025-07-05 00:32:33.214256,0 days 00:20:00.376887,0.19,0.14,5000,PRUNED
3,3,,2025-07-05 00:32:33.214473,2025-07-05 00:56:06.166084,0 days 00:23:32.951611,0.37,0.3,3000,PRUNED
4,4,,2025-07-05 00:56:06.166298,2025-07-05 01:16:06.177337,0 days 00:20:00.011039,0.25,0.23,4500,PRUNED
5,5,,2025-07-05 01:16:06.177554,2025-07-05 01:36:06.181380,0 days 00:20:00.003826,0.32000000000000006,0.29000000000000004,4500,PRUNED
6,6,0.057038093298024034,2025-07-05 01:36:06.199917,2025-07-05 01:37:07.722722,0 days 00:01:01.522805,0.74,0.65,3000,COMPLETE
7,7,,2025-07-05 01:37:07.722987,2025-07-05 01:57:07.730820,0 days 00:20:00.007833,0.16000000000000003,0.15000000000000002,4000,PRUNED
8,8,,2025-07-05 01:57:07.731035,2025-07-05 02:17:07.734399,0 days 00:20:00.003364,0.14,0.09,4500,PRUNED
9,9,0.20117017303622559,2025-07-05 02:17:07.734624,2025-07-05 02:36:23.980589,0 days 00:19:16.245965,0.37,0.3,5000,COMPLETE
10,10,0.06219931271477663,2025-07-05 02:36:23.980842,2025-07-05 02:40:12.454862,0 days 00:03:48.474020,0.5800000000000001,0.51,3500,COMPLETE
11,11,0.0964843134163645,2025-07-05 02:40:12.455120,2025-07-05 02:47:57.720989,0 days 00:07:45.265869,0.52,0.44,5000,COMPLETE
12,12,0.05871757925072046,2025-07-05 02:47:57.721250,2025-07-05 02:50:52.811487,0 days 00:02:55.090237,0.6100000000000001,0.54,5000,COMPLETE
13,13,0.18615619364683036,2025-07-05 02:50:52.811760,2025-07-05 03:00:57.774484,0 days 00:10:04.962724,0.45,0.4,4000,COMPLETE
14,14,0.19413820919602046,2025-07-05 03:00:57.774744,2025-07-05 03:12:35.675526,0 days 00:11:37.900782,0.43,0.38,4000,COMPLETE
15,15,,2025-07-05 03:12:35.675800,2025-07-05 03:32:35.702824,0 days 00:20:00.027024,0.03,0.02,3500,PRUNED
16,16,,2025-07-05 03:32:35.703049,2025-07-05 03:52:35.709145,0 days 00:20:00.006096,0.28,0.22,3500,PRUNED
17,17,0.20443349753694584,2025-07-05 03:52:35.709360,2025-07-05 04:09:30.293251,0 days 00:16:54.583891,0.37,0.32,4000,COMPLETE
18,18,,2025-07-05 04:09:30.293502,2025-07-05 04:29:30.297714,0 days 00:20:00.004212,0.32,0.24000000000000002,3500,PRUNED
19,19,0.1553840313804884,2025-07-05 04:29:30.297934,2025-07-05 04:46:25.723970,0 days 00:16:55.426036,0.37,0.32,4500,COMPLETE
20,20,0.058901767053011596,2025-07-05 04:46:25.724233,2025-07-05 04:48:32.340577,0 days 00:02:06.616344,0.66,0.5700000000000001,4000,COMPLETE
21,21,0.19859285809106597,2025-07-05 04:48:32.340844,2025-07-05 05:01:03.738595,0 days 00:12:31.397751,0.42,0.37,4000,COMPLETE
22,22,,2025-07-05 05:01:03.738856,2025-07-05 05:24:20.958369,0 days 00:23:17.219513,0.34,0.27,4000,PRUNED
23,23,0.1989934185056136,2025-07-05 05:24:20.958587,2025-07-05 05:38:05.029765,0 days 00:13:44.071178,0.4,0.35000000000000003,4000,COMPLETE
24,24,,2025-07-05 05:38:05.030017,2025-07-05 05:58:05.033352,0 days 00:20:00.003335,0.2,0.16,3500,PRUNED
25,25,0.1509543088490457,2025-07-05 05:58:05.033568,2025-07-05 06:04:49.286088,0 days 00:06:44.252520,0.48,0.45,4500,COMPLETE
26,26,0.2014242115971516,2025-07-05 06:04:49.286347,2025-07-05 06:19:33.195805,0 days 00:14:43.909458,0.39,0.34,4000,COMPLETE
27,27,,2025-07-05 06:19:33.196063,2025-07-05 06:39:33.205701,0 days 00:20:00.009638,0.24,0.19,4000,PRUNED
28,28,0.20723313727943937,2025-07-05 06:39:33.205917,2025-07-05 06:55:22.979450,0 days 00:15:49.773533,0.38,0.33,4500,COMPLETE
29,29,0.161276412246658,2025-07-05 06:55:22.979726,2025-07-05 07:04:05.713669,0 days 00:08:42.733943,0.47000000000000003,0.42000000000000004,4500,COMPLETE
