,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9432,2025-04-28 17:32:38.541207,2025-04-28 17:42:13.084988,0 days 00:09:34.543781,128,20,128,0.002,0.9099999999999999,2,,,,COMPLETE
1,1,0.9379,2025-04-28 17:42:13.085548,2025-04-28 17:53:32.197126,0 days 00:11:19.111578,64,20,128,0.002,0.9299999999999999,2,0.9364,0.9364,0.9364,COMPLETE
2,2,0.9498,2025-04-28 17:53:32.197616,2025-04-28 18:02:24.001134,0 days 00:08:51.803518,512,20,128,0.005,0.9099999999999999,2,,,,COMPLETE
3,3,0.9241,2025-04-28 18:02:24.001637,2025-04-28 18:13:40.229081,0 days 00:11:16.227444,64,20,128,0.005,0.9199999999999999,2,0.9229,0.9229,,COMPLETE
4,4,0.9153,2025-04-28 18:13:40.229555,2025-04-28 18:21:32.685749,0 days 00:07:52.456194,64,20,128,0.005,0.9299999999999999,2,0.9153,,,PRUNED
5,5,0.9094,2025-04-28 18:21:32.686162,2025-04-28 18:28:11.475196,0 days 00:06:38.789034,128,20,128,0.001,0.88,2,0.9094,,,PRUNED
6,6,0.9291,2025-04-28 18:28:11.475514,2025-04-28 18:42:22.132781,0 days 00:14:10.657267,32,20,128,0.002,0.96,2,0.9291,,,PRUNED
7,7,0.9306,2025-04-28 18:42:22.133098,2025-04-28 18:53:39.789842,0 days 00:11:17.656744,64,20,128,0.005,0.88,2,,,,COMPLETE
8,8,0.9332,2025-04-28 18:53:39.790409,2025-04-28 19:02:05.020612,0 days 00:08:25.230203,256,20,128,0.002,0.94,2,0.9332,,,PRUNED
9,9,0.9537,2025-04-28 19:02:05.020949,2025-04-28 19:10:47.044594,0 days 00:08:42.023645,1024,20,128,0.005,0.99,2,,,,COMPLETE
10,10,0.9295,2025-04-28 19:10:47.045037,2025-04-28 19:19:25.725146,0 days 00:08:38.680109,1024,20,128,0.001,0.99,2,0.9295,,,COMPLETE
11,11,0.9506,2025-04-28 19:19:25.725626,2025-04-28 19:28:19.002076,0 days 00:08:53.276450,512,20,128,0.005,0.99,2,0.9506,0.9506,0.9506,COMPLETE
12,12,0.9525,2025-04-28 19:28:19.002577,2025-04-28 19:37:01.348258,0 days 00:08:42.345681,1024,20,128,0.005,0.99,2,,,,COMPLETE
13,13,0.9567,2025-04-28 19:37:01.348777,2025-04-28 19:45:41.078189,0 days 00:08:39.729412,1024,20,128,0.005,0.96,2,,,,COMPLETE
14,14,0.9448,2025-04-28 19:45:41.078705,2025-04-28 19:54:23.058518,0 days 00:08:41.979813,1024,20,128,0.005,0.96,2,0.9468,,,COMPLETE
15,15,0.9596,2025-04-28 19:54:23.058998,2025-04-28 20:03:07.106847,0 days 00:08:44.047849,1024,20,128,0.005,0.96,2,,,,COMPLETE
16,16,0.9439,2025-04-28 20:03:07.107310,2025-04-28 20:11:48.622754,0 days 00:08:41.515444,1024,20,128,0.001,0.96,2,,,,COMPLETE
17,17,0.9167,2025-04-28 20:11:48.623296,2025-04-28 20:25:21.555199,0 days 00:13:32.931903,32,20,128,0.005,0.97,2,0.9167,,,PRUNED
18,18,0.9157,2025-04-28 20:25:21.555517,2025-04-28 20:31:57.522616,0 days 00:06:35.967099,1024,20,128,0.005,0.95,2,0.9157,,,PRUNED
19,19,0.9363,2025-04-28 20:31:57.522892,2025-04-28 20:39:26.735172,0 days 00:07:29.212280,256,20,128,0.001,0.86,2,0.9363,,,PRUNED
20,20,0.9579,2025-04-28 20:39:26.735508,2025-04-28 20:48:57.177408,0 days 00:09:30.441900,1024,20,128,0.005,0.97,2,,,,COMPLETE
21,21,0.951,2025-04-28 20:48:57.177940,2025-04-28 20:58:27.683601,0 days 00:09:30.505661,1024,20,128,0.005,0.97,2,0.9502,,,COMPLETE
22,22,0.9584,2025-04-28 20:58:27.684114,2025-04-28 21:07:57.782218,0 days 00:09:30.098104,1024,20,128,0.005,0.94,2,,,,COMPLETE
23,23,0.9339,2025-04-28 21:07:57.782732,2025-04-28 21:15:30.344117,0 days 00:07:32.561385,1024,20,128,0.005,0.94,2,0.9339,,,PRUNED
24,24,0.9552,2025-04-28 21:15:30.344447,2025-04-28 21:24:53.387487,0 days 00:09:23.043040,1024,20,128,0.005,0.98,2,0.9552,0.9552,,COMPLETE
25,25,0.9552,2025-04-28 21:24:53.387992,2025-04-28 21:34:07.873406,0 days 00:09:14.485414,1024,20,128,0.005,0.94,2,,,,COMPLETE
26,26,0.9194,2025-04-28 21:34:07.873911,2025-04-28 21:48:55.710047,0 days 00:14:47.836136,32,20,128,0.005,0.97,2,0.9194,,,PRUNED
27,27,0.9093,2025-04-28 21:48:55.710392,2025-04-28 21:55:04.122783,0 days 00:06:08.412391,128,20,128,0.005,0.95,2,0.9093,,,PRUNED
28,28,0.9548,2025-04-28 21:55:04.123098,2025-04-28 22:03:39.353781,0 days 00:08:35.230683,512,20,128,0.001,0.9,2,,,,COMPLETE
29,29,0.9528,2025-04-28 22:03:39.354281,2025-04-28 22:10:51.186725,0 days 00:07:11.832444,256,20,128,0.002,0.9199999999999999,2,0.9528,,,PRUNED
