,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.03554453399462699,2025-04-28 17:09:23.548897,2025-04-28 17:09:45.976145,0 days 00:00:22.427248,3.8906,30,1.4545863587416283,COMPLETE
1,1,0.03477478214621773,2025-04-28 17:09:45.976392,2025-04-28 17:10:08.470120,0 days 00:00:22.493728,3.8906,39,0.25174750847245175,COMPLETE
2,2,0.03857693956279468,2025-04-28 17:10:08.470349,2025-04-28 17:10:30.964652,0 days 00:00:22.494303,3.8906,49,1.8153384797058303,COMPLETE
3,3,0.04426002766251729,2025-04-28 17:10:30.964876,2025-04-28 17:10:53.453220,0 days 00:00:22.488344,3.8906,168,1.4154363943541242,COMPLETE
4,4,0.033778397768035075,2025-04-28 17:10:53.453453,2025-04-28 17:11:15.926304,0 days 00:00:22.472851,3.8906,63,1.9395928437427221,COMPLETE
5,5,0.045176422598409136,2025-04-28 17:11:15.926521,2025-04-28 17:11:38.405683,0 days 00:00:22.479162,3.8906,172,0.655478337227354,COMPLETE
6,6,0.048336221067128704,2025-04-28 17:11:38.405910,2025-04-28 17:12:00.890336,0 days 00:00:22.484426,3.8906,182,0.1296549236700598,COMPLETE
7,7,0.039232131208647845,2025-04-28 17:12:00.890572,2025-04-28 17:12:23.351785,0 days 00:00:22.461213,3.8906,76,1.1834815195101411,COMPLETE
8,8,0.040561881805336215,2025-04-28 17:12:23.352019,2025-04-28 17:12:45.821041,0 days 00:00:22.469022,3.8906,95,0.7204262342576833,COMPLETE
9,9,0.04060242670317738,2025-04-28 17:12:45.821254,2025-04-28 17:13:08.293334,0 days 00:00:22.472080,3.8906,90,1.2999828034907601,COMPLETE
10,10,0.05314641004316661,2025-04-28 17:13:08.293548,2025-04-28 17:13:30.784325,0 days 00:00:22.490777,3.8906,137,0.11640810234968119,COMPLETE
11,11,0.05146642966793245,2025-04-28 17:13:30.784565,2025-04-28 17:13:53.260614,0 days 00:00:22.476049,3.8906,137,0.15027543311580735,COMPLETE
12,12,0.047943100496114506,2025-04-28 17:13:53.260846,2025-04-28 17:14:15.737898,0 days 00:00:22.477052,3.8906,132,0.4813763579677336,COMPLETE
13,13,0.046058458813108945,2025-04-28 17:14:15.738127,2025-04-28 17:14:38.226738,0 days 00:00:22.488611,3.8906,130,0.858524528793098,COMPLETE
14,14,0.04808232801487439,2025-04-28 17:14:38.226962,2025-04-28 17:15:00.712722,0 days 00:00:22.485760,3.8906,134,0.3855169731511716,COMPLETE
15,15,0.05036216446527482,2025-04-28 17:15:00.712964,2025-04-28 17:15:23.193408,0 days 00:00:22.480444,3.8906,150,0.12368467362666774,COMPLETE
16,16,0.04192160423163463,2025-04-28 17:15:23.193641,2025-04-28 17:15:45.682304,0 days 00:00:22.488663,3.8906,114,0.5215424811994569,COMPLETE
17,17,0.046254877700580566,2025-04-28 17:15:45.682528,2025-04-28 17:16:08.193350,0 days 00:00:22.510822,3.8906,153,0.9663124942646737,COMPLETE
18,18,0.041052782148476616,2025-04-28 17:16:08.193570,2025-04-28 17:16:30.692525,0 days 00:00:22.498955,3.8906,112,0.29480165473695186,COMPLETE
19,19,0.04698265895953757,2025-04-28 17:16:30.692753,2025-04-28 17:16:53.178409,0 days 00:00:22.485656,3.8906,149,0.6643979249661675,COMPLETE
20,20,0.040763037644157535,2025-04-28 17:16:53.178638,2025-04-28 17:17:15.677018,0 days 00:00:22.498380,3.8906,119,0.346809983666751,COMPLETE
21,21,0.05164479290949378,2025-04-28 17:17:15.677263,2025-04-28 17:17:38.164817,0 days 00:00:22.487554,3.8906,155,0.1089594198890447,COMPLETE
22,22,0.04862717709197259,2025-04-28 17:17:38.165187,2025-04-28 17:18:00.654525,0 days 00:00:22.489338,3.8906,160,0.14693230239960187,COMPLETE
23,23,0.048025134649910234,2025-04-28 17:18:00.654763,2025-04-28 17:18:23.142077,0 days 00:00:22.487314,3.8906,141,0.4882827080641433,COMPLETE
24,24,0.04750768101985601,2025-04-28 17:18:23.142320,2025-04-28 17:18:45.629603,0 days 00:00:22.487283,3.8906,177,0.29479314224512043,COMPLETE
25,25,0.048696273365876896,2025-04-28 17:18:45.629839,2025-04-28 17:19:08.130635,0 days 00:00:22.500796,3.8906,121,0.1004398257005046,COMPLETE
26,26,0.04521484375,2025-04-28 17:19:08.130862,2025-04-28 17:19:30.618172,0 days 00:00:22.487310,3.8906,161,0.5415912011694298,COMPLETE
27,27,0.04941448976965642,2025-04-28 17:19:30.618394,2025-04-28 17:19:53.109314,0 days 00:00:22.490920,3.8906,141,0.24768424463627958,COMPLETE
28,28,0.04086167963009427,2025-04-28 17:19:53.109536,2025-04-28 17:20:15.596677,0 days 00:00:22.487141,3.8906,102,0.38897181523876045,COMPLETE
29,29,0.04300168634064081,2025-04-28 17:20:15.596907,2025-04-28 17:20:38.093122,0 days 00:00:22.496215,3.8906,126,1.695805625265093,COMPLETE
30,30,0.046463212680387986,2025-04-28 17:20:38.093356,2025-04-28 17:21:00.597409,0 days 00:00:22.504053,3.8906,142,0.9060756931207365,COMPLETE
31,31,0.049718409010911645,2025-04-28 17:21:00.597631,2025-04-28 17:21:23.112727,0 days 00:00:22.515096,3.8906,187,0.10376453776980543,COMPLETE
32,32,0.048763557483731026,2025-04-28 17:21:23.112968,2025-04-28 17:21:45.620874,0 days 00:00:22.507906,3.8906,156,0.21413451726580418,COMPLETE
33,33,0.04816059274575687,2025-04-28 17:21:45.621109,2025-04-28 17:22:08.152271,0 days 00:00:22.531162,3.8906,146,0.22729608727341327,COMPLETE
34,34,0.03040317250495704,2025-04-28 17:22:08.152507,2025-04-28 17:22:30.655999,0 days 00:00:22.503492,3.8906,25,0.3761585931249286,COMPLETE
35,35,0.0437902028698664,2025-04-28 17:22:30.656230,2025-04-28 17:22:53.140292,0 days 00:00:22.484062,3.8906,168,1.5462093243305925,COMPLETE
36,36,0.04776253654148865,2025-04-28 17:22:53.140521,2025-04-28 17:23:15.628596,0 days 00:00:22.488075,3.8906,164,0.21790231595318768,COMPLETE
37,37,0.031094353674998836,2025-04-28 17:23:15.628834,2025-04-28 17:23:38.107166,0 days 00:00:22.478332,3.8906,40,0.44635630656257425,COMPLETE
38,38,0.04538697849568923,2025-04-28 17:23:38.107398,2025-04-28 17:24:00.595104,0 days 00:00:22.487706,3.8906,173,0.59729353303782,COMPLETE
39,39,0.041741819118783816,2025-04-28 17:24:00.595333,2025-04-28 17:24:23.083474,0 days 00:00:22.488141,3.8906,80,0.8012637100916071,COMPLETE
