,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.9448751076658054,2025-04-28 17:02:48.580462,2025-04-28 17:02:52.064485,0 days 00:00:03.484023,219.75289511559998,,100,l2,0.0089955054227492,COMPLETE
1,1,0.9426476929711083,2025-04-28 17:02:52.064859,2025-04-28 17:02:55.210131,0 days 00:00:03.145272,1.1785357776041985,,200,l2,0.025664250223762314,COMPLETE
2,2,0.9658083579569439,2025-04-28 17:02:55.210439,2025-04-28 17:02:58.285607,0 days 00:00:03.075168,12.028186319410109,balanced,100,l2,0.02386705179855885,COMPLETE
3,3,0.9685798072894848,2025-04-28 17:02:58.285976,2025-04-28 17:03:04.553209,0 days 00:00:06.267233,0.21055424842304019,balanced,900,l2,0.00013056333776148584,COMPLETE
4,4,0.9675789473684209,2025-04-28 17:03:04.553526,2025-04-28 17:03:08.019878,0 days 00:00:03.466352,0.013743794981100812,balanced,600,l2,0.0022215739237581933,COMPLETE
5,5,0.9684210526315788,2025-04-28 17:03:08.020184,2025-04-28 17:03:11.452839,0 days 00:00:03.432655,38.08630568553353,balanced,300,l2,0.0031772633167578748,COMPLETE
6,6,0.9366535605067715,2025-04-28 17:03:11.453166,2025-04-28 17:03:14.761551,0 days 00:00:03.308385,0.0012181922805662476,,1000,l1,0.00039042014977510773,COMPLETE
7,7,0.9274858879722101,2025-04-28 17:03:14.761866,2025-04-28 17:03:17.556162,0 days 00:00:02.794296,0.5847625076328263,,100,l2,0.07496082196521235,COMPLETE
8,8,0.9718369062631357,2025-04-28 17:03:17.556485,2025-04-28 17:03:21.464601,0 days 00:00:03.908116,0.00868875955447627,,400,l2,0.0008666251300613131,COMPLETE
9,9,0.9673366834170856,2025-04-28 17:03:21.464912,2025-04-28 17:03:23.858424,0 days 00:00:02.393512,20.218379957942805,,100,l1,0.00046920720312718366,COMPLETE
10,10,0.9704391891891893,2025-04-28 17:03:23.858737,2025-04-28 17:03:26.624446,0 days 00:00:02.765709,0.013385944959169225,,500,l1,0.0011859403223135046,COMPLETE
11,11,0.9695688926458156,2025-04-28 17:03:26.624782,2025-04-28 17:03:29.379120,0 days 00:00:02.754338,0.01279401146870917,,500,l1,0.0011894206096586563,COMPLETE
12,12,0.9366535605067715,2025-04-28 17:03:29.379455,2025-04-28 17:03:32.551033,0 days 00:00:03.171578,0.001140142447463978,,500,l1,0.00072962209482845,COMPLETE
13,13,0.9734736842105264,2025-04-28 17:03:32.551350,2025-04-28 17:03:35.309298,0 days 00:00:02.757948,0.029346317931501827,,700,l1,0.00014361509558453403,COMPLETE
14,14,0.9726546066470341,2025-04-28 17:03:35.309621,2025-04-28 17:03:38.160062,0 days 00:00:02.850441,0.05812351841708228,,700,l1,0.00011785289361922667,COMPLETE
15,15,0.9714045416316232,2025-04-28 17:03:38.160381,2025-04-28 17:03:41.277704,0 days 00:00:03.117323,0.12336569993769948,,700,l1,0.00011641070102688278,COMPLETE
16,16,0.9722455845248108,2025-04-28 17:03:41.278034,2025-04-28 17:03:43.952887,0 days 00:00:02.674853,0.06643261137368374,,800,l1,0.0002177859483455324,COMPLETE
17,17,0.9653155035520268,2025-04-28 17:03:43.953208,2025-04-28 17:03:46.434483,0 days 00:00:02.481275,2.8526678459126704,,700,l1,0.00025584406656321124,COMPLETE
18,18,0.9727234578262695,2025-04-28 17:03:46.434804,2025-04-28 17:03:49.369027,0 days 00:00:02.934223,0.06255711595608368,balanced,800,l1,0.00011523382927917766,COMPLETE
19,19,0.9626485568760611,2025-04-28 17:03:49.369349,2025-04-28 17:03:51.941760,0 days 00:00:02.572411,0.004567867327909606,balanced,900,l1,0.004342015233853588,COMPLETE
20,20,0.9694688414889169,2025-04-28 17:03:51.942085,2025-04-28 17:03:54.463303,0 days 00:00:02.521218,0.3978677327895221,balanced,1000,l1,0.00027376920571853746,COMPLETE
21,21,0.9727234578262695,2025-04-28 17:03:54.463652,2025-04-28 17:03:57.319326,0 days 00:00:02.855674,0.05152105622546932,balanced,700,l1,0.00010181966093464562,COMPLETE
22,22,0.9739714525608733,2025-04-28 17:03:57.319646,2025-04-28 17:04:00.102984,0 days 00:00:02.783338,0.04116448362914811,balanced,800,l1,0.00017940784752050942,COMPLETE
23,23,0.9735405291894162,2025-04-28 17:04:00.103444,2025-04-28 17:04:02.834952,0 days 00:00:02.731508,0.03845996617214652,balanced,800,l1,0.0001929096163748001,COMPLETE
24,24,0.9613259668508287,2025-04-28 17:04:02.835277,2025-04-28 17:04:07.099336,0 days 00:00:04.264059,0.003949113879465776,balanced,800,l1,0.000454673427594249,COMPLETE
25,25,0.9661795407098122,2025-04-28 17:04:07.099681,2025-04-28 17:04:09.686425,0 days 00:00:02.586744,1.8356318731218697,balanced,600,l1,0.0002239579820758422,COMPLETE
26,26,0.973109243697479,2025-04-28 17:04:09.686762,2025-04-28 17:04:12.308967,0 days 00:00:02.622205,0.03476301487560307,balanced,900,l1,0.0006078966677844854,COMPLETE
27,27,0.972338642078793,2025-04-28 17:04:12.309279,2025-04-28 17:04:15.269014,0 days 00:00:02.959735,0.15577353686348847,balanced,800,l1,0.0001902125287902601,COMPLETE
28,28,0.9383145091225021,2025-04-28 17:04:15.269348,2025-04-28 17:04:19.153120,0 days 00:00:03.883772,0.003094188441159451,balanced,600,l1,0.001594558512160815,COMPLETE
29,29,0.9735182849936949,2025-04-28 17:04:19.153442,2025-04-28 17:04:21.840527,0 days 00:00:02.687085,0.023292847914368232,balanced,900,l1,0.00035244361207894707,COMPLETE
30,30,0.9673640167364017,2025-04-28 17:04:21.840856,2025-04-28 17:04:24.010428,0 days 00:00:02.169572,547.0791026053981,balanced,1000,l1,0.006049846686899485,COMPLETE
31,31,0.9735182849936949,2025-04-28 17:04:24.010758,2025-04-28 17:04:26.753590,0 days 00:00:02.742832,0.023365433922412946,balanced,900,l1,0.0003175337763975979,COMPLETE
