,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
0,0,0.02387456498147663,2025-04-28 18:01:13.045780,2025-04-28 18:01:13.712436,0 days 00:00:00.666656,3.8906,18,0.18569955091697793,COMPLETE
1,1,0.04590497826172105,2025-04-28 18:01:13.712728,2025-04-28 18:01:14.377903,0 days 00:00:00.665175,3.8906,9,0.5397225061999186,COMPLETE
2,2,0.027120678835502444,2025-04-28 18:01:14.378086,2025-04-28 18:01:15.044364,0 days 00:00:00.666278,3.8906,10,1.3023576197170845,COMPLETE
3,3,0.0208967616938832,2025-04-28 18:01:15.044548,2025-04-28 18:01:15.710607,0 days 00:00:00.666059,3.8906,13,1.4541091201444605,COMPLETE
4,4,0.029753996054273868,2025-04-28 18:01:15.710793,2025-04-28 18:01:16.377439,0 days 00:00:00.666646,3.8906,16,0.26844296856509275,COMPLETE
5,5,0.019050802139037433,2025-04-28 18:01:16.377623,2025-04-28 18:01:17.043106,0 days 00:00:00.665483,3.8906,21,0.789332200945684,COMPLETE
6,6,0.020327931728833064,2025-04-28 18:01:17.043294,2025-04-28 18:01:17.708681,0 days 00:00:00.665387,3.8906,21,0.8920925551195463,COMPLETE
7,7,0.022091310751104567,2025-04-28 18:01:17.708862,2025-04-28 18:01:18.373612,0 days 00:00:00.664750,3.8906,28,0.49035489610018845,COMPLETE
8,8,0.04706960694451933,2025-04-28 18:01:18.373794,2025-04-28 18:01:19.040771,0 days 00:00:00.666977,3.8906,4,1.9793503641206516,COMPLETE
9,9,0.025403838188595887,2025-04-28 18:01:19.041008,2025-04-28 18:01:19.706645,0 days 00:00:00.665637,3.8906,28,1.3038895345816313,COMPLETE
10,10,0.044661342797988765,2025-04-28 18:01:19.706825,2025-04-28 18:01:20.407725,0 days 00:00:00.700900,3.8906,3,1.9443364918708756,COMPLETE
11,11,0.043225806451612905,2025-04-28 18:01:20.407915,2025-04-28 18:01:21.077921,0 days 00:00:00.670006,3.8906,3,1.9835604811361094,COMPLETE
12,12,0.04716741302774899,2025-04-28 18:01:21.078109,2025-04-28 18:01:21.747703,0 days 00:00:00.669594,3.8906,7,0.5691298388037083,COMPLETE
13,13,0.02433033103286934,2025-04-28 18:01:21.747986,2025-04-28 18:01:22.417904,0 days 00:00:00.669918,3.8906,7,1.5634375146850497,COMPLETE
14,14,0.03461894974408576,2025-04-28 18:01:22.418097,2025-04-28 18:01:23.087373,0 days 00:00:00.669276,3.8906,6,1.0377182633269355,COMPLETE
15,15,0.019779284147100236,2025-04-28 18:01:23.087558,2025-04-28 18:01:23.757138,0 days 00:00:00.669580,3.8906,12,1.737597337389407,COMPLETE
16,16,0.047224669603524234,2025-04-28 18:01:23.757324,2025-04-28 18:01:24.426379,0 days 00:00:00.669055,3.8906,6,0.6379520596881257,COMPLETE
17,17,0.04590240850797623,2025-04-28 18:01:24.426566,2025-04-28 18:01:25.095825,0 days 00:00:00.669259,3.8906,8,0.509122352676039,COMPLETE
18,18,0.021687131239036834,2025-04-28 18:01:25.096012,2025-04-28 18:01:25.765700,0 days 00:00:00.669688,3.8906,14,0.7212923617949386,COMPLETE
19,19,0.04669943820224719,2025-04-28 18:01:25.765892,2025-04-28 18:01:26.434615,0 days 00:00:00.668723,3.8906,10,0.29140956067085916,COMPLETE
20,20,0.04789535602480508,2025-04-28 18:01:26.434809,2025-04-28 18:01:27.102740,0 days 00:00:00.667931,3.8906,5,1.0418977577587496,COMPLETE
21,21,0.03504607089687362,2025-04-28 18:01:27.102929,2025-04-28 18:01:27.770864,0 days 00:00:00.667935,3.8906,6,1.0185083276435087,COMPLETE
22,22,0.04758078739540261,2025-04-28 18:01:27.771055,2025-04-28 18:01:28.438767,0 days 00:00:00.667712,3.8906,5,0.6708768397526325,COMPLETE
23,23,0.04804841149773071,2025-04-28 18:01:28.438955,2025-04-28 18:01:29.109539,0 days 00:00:00.670584,3.8906,5,1.1604155582404194,COMPLETE
24,24,0.048380550369348164,2025-04-28 18:01:29.109732,2025-04-28 18:01:29.780171,0 days 00:00:00.670439,3.8906,4,1.2603446814778607,COMPLETE
25,25,0.026084400138974263,2025-04-28 18:01:29.780366,2025-04-28 18:01:30.451804,0 days 00:00:00.671438,3.8906,11,1.2129865389723395,COMPLETE
26,26,0.04802457071059612,2025-04-28 18:01:30.451995,2025-04-28 18:01:31.121833,0 days 00:00:00.669838,3.8906,3,1.172486125803113,COMPLETE
27,27,0.0481484443733504,2025-04-28 18:01:31.122026,2025-04-28 18:01:31.792985,0 days 00:00:00.670959,3.8906,3,1.1961584565174608,COMPLETE
28,28,0.023806310561688575,2025-04-28 18:01:31.793175,2025-04-28 18:01:32.463517,0 days 00:00:00.670342,3.8906,8,1.5503262588543536,COMPLETE
29,29,0.020147750167897917,2025-04-28 18:01:32.463735,2025-04-28 18:01:33.143658,0 days 00:00:00.679923,3.8906,20,0.8951878420192199,COMPLETE
30,30,0.024360535931790498,2025-04-28 18:01:33.143866,2025-04-28 18:01:33.814236,0 days 00:00:00.670370,3.8906,25,1.3998445223077494,COMPLETE
31,31,0.04790466732869911,2025-04-28 18:01:33.814435,2025-04-28 18:01:34.483967,0 days 00:00:00.669532,3.8906,3,1.1322522710303944,COMPLETE
32,32,0.04799394096426365,2025-04-28 18:01:34.484163,2025-04-28 18:01:35.155227,0 days 00:00:00.671064,3.8906,3,1.1660315812906625,COMPLETE
33,33,0.028858045898034906,2025-04-28 18:01:35.155420,2025-04-28 18:01:35.826024,0 days 00:00:00.670604,3.8906,9,1.2624371444932605,COMPLETE
34,34,0.04877643441771574,2025-04-28 18:01:35.826219,2025-04-28 18:01:36.496841,0 days 00:00:00.670622,3.8906,5,1.377602247376317,COMPLETE
35,35,0.04881205895862041,2025-04-28 18:01:36.497036,2025-04-28 18:01:37.167322,0 days 00:00:00.670286,3.8906,5,1.4081910603081695,COMPLETE
36,36,0.023331660812844955,2025-04-28 18:01:37.167517,2025-04-28 18:01:37.838755,0 days 00:00:00.671238,3.8906,15,1.6794024757591863,COMPLETE
37,37,0.026870846576134064,2025-04-28 18:01:37.838951,2025-04-28 18:01:38.511831,0 days 00:00:00.672880,3.8906,9,1.4016722384327185,COMPLETE
38,38,0.049103865255884255,2025-04-28 18:01:38.512026,2025-04-28 18:01:39.183406,0 days 00:00:00.671380,3.8906,5,1.5347411381289837,COMPLETE
39,39,0.01953034178098117,2025-04-28 18:01:39.183599,2025-04-28 18:01:39.854855,0 days 00:00:00.671256,3.8906,12,1.8103867948602517,COMPLETE
40,40,0.02077922077922078,2025-04-28 18:01:39.855049,2025-04-28 18:01:40.524961,0 days 00:00:00.669912,3.8906,19,1.5390108851320028,COMPLETE
41,41,0.0486468674053631,2025-04-28 18:01:40.525156,2025-04-28 18:01:41.195994,0 days 00:00:00.670838,3.8906,5,1.31660384570521,COMPLETE
42,42,0.02710443300680724,2025-04-28 18:01:41.196190,2025-04-28 18:01:41.867802,0 days 00:00:00.671612,3.8906,7,1.3441086298177343,COMPLETE
43,43,0.022089314194577353,2025-04-28 18:01:41.868003,2025-04-28 18:01:42.539816,0 days 00:00:00.671813,3.8906,17,1.513956056660605,COMPLETE
44,44,0.0527060154629455,2025-04-28 18:01:42.540018,2025-04-28 18:01:43.212159,0 days 00:00:00.672141,3.8906,5,1.6133680315594987,COMPLETE
45,45,0.02442477876106195,2025-04-28 18:01:43.212356,2025-04-28 18:01:43.883140,0 days 00:00:00.670784,3.8906,23,1.6337306484178176,COMPLETE
46,46,0.05277729279425336,2025-04-28 18:01:43.883335,2025-04-28 18:01:44.553819,0 days 00:00:00.670484,3.8906,5,1.8441715360032864,COMPLETE
47,47,0.02040306981967929,2025-04-28 18:01:44.554012,2025-04-28 18:01:45.224680,0 days 00:00:00.670668,3.8906,8,1.8857607358560893,COMPLETE
48,48,0.022741046434446337,2025-04-28 18:01:45.224881,2025-04-28 18:01:45.895868,0 days 00:00:00.670987,3.8906,9,1.793077652062427,COMPLETE
